"","type","gene","immune_cells","cor","p.value","pvalue"
"cor","GBM","CD96","Bcells_EPIC",0.422565809297052,1.61939971975998e-07,"p<0.05"
"cor1","GBM","CD96","CAFs_EPIC",-0.040283724888842,0.634084073701098,"p≥0.05"
"cor2","GBM","CD96","CD4_Tcells_EPIC",-0.171175517444984,0.0416679493411127,"p<0.05"
"cor3","GBM","CD96","CD8_Tcells_EPIC",0.342041633550796,3.09663327602496e-05,"p<0.05"
"cor4","GBM","CD96","Endothelial_EPIC",-0.253867412451775,0.00229951902610636,"p<0.05"
"cor5","GBM","CD96","Macrophages_EPIC",0.156335754282253,0.063178876572633,"p≥0.05"
"cor6","GBM","CD96","NKcells_EPIC",0.325530379671983,7.71511937611397e-05,"p<0.05"
"cor7","GBM","CD96","otherCells_EPIC",-0.207275986049023,0.0133203137353364,"p<0.05"
"cor8","OV","CD96","Bcells_EPIC",0.359883799059274,5.28385157746129e-11,"p<0.05"
"cor11","OV","CD96","CAFs_EPIC",-0.124893118126173,0.0271466985521734,"p<0.05"
"cor21","OV","CD96","CD4_Tcells_EPIC",0.245638361255191,1.10297499577467e-05,"p<0.05"
"cor31","OV","CD96","CD8_Tcells_EPIC",0.475390948061923,4.71032107904291e-19,"p<0.05"
"cor41","OV","CD96","Endothelial_EPIC",-0.229564120920961,4.13076365991337e-05,"p<0.05"
"cor51","OV","CD96","Macrophages_EPIC",-0.0750825660328801,0.185203541894252,"p≥0.05"
"cor61","OV","CD96","NKcells_EPIC",-0.0295451463428161,0.602555318649052,"p≥0.05"
"cor71","OV","CD96","otherCells_EPIC",-0.411128055766167,3.39221471797044e-14,"p<0.05"
"cor9","LUAD","CD96","Bcells_EPIC",0.637535087084637,2.98624848542543e-57,"p<0.05"
"cor12","LUAD","CD96","CAFs_EPIC",0.149040481836991,0.000935541946496357,"p<0.05"
"cor22","LUAD","CD96","CD4_Tcells_EPIC",0.679980327028847,9.14786627666587e-68,"p<0.05"
"cor32","LUAD","CD96","CD8_Tcells_EPIC",0.522479661259993,1.13159778603326e-35,"p<0.05"
"cor42","LUAD","CD96","Endothelial_EPIC",-0.241734476880546,6.02996035972374e-08,"p<0.05"
"cor52","LUAD","CD96","Macrophages_EPIC",0.174549277449306,0.000102836749881558,"p<0.05"
