id	fc	log2fc	pvalue	padj
RCC1	2.96732040477035	1.56916071428572	8.79246166393465e-42	5.90853423816408e-39
CCT3	2.7009784755304	1.43348214285714	4.79668337409581e-32	1.61168561369619e-29
TOP2A	7.7197470253727	2.94855357142857	4.85287800403566e-31	1.08704467290399e-28
CDC20	6.98642094978337	2.80455357142857	8.51724870068475e-31	1.43089778171504e-28
HSPD1	2.39985364960308	1.26294642857143	1.51104662759562e-30	2.03084666748852e-28
DKC1	2.14237983372506	1.09921428571429	1.98796322167605e-30	2.22651880827717e-28
VARS	2.35871318452243	1.238	2.59040961811927e-29	2.4867932333945e-27
DDOST	1.81706136550102	0.861607142857143	3.00305714885124e-28	2.52256800503504e-26
TPX2	6.61021148030193	2.72469642857143	6.56018764019552e-28	4.89827343801265e-26
BIRC5	5.51123253510396	2.462375	7.72511232105901e-28	5.19127547975165e-26
PLK1	3.80225988260386	1.92685714285714	2.45682011104995e-27	1.5008937405687e-25
EPRS	2.09860197972425	1.06942857142857	5.40925961779551e-27	2.91072737617658e-25
GAPDH	3.11257185518182	1.63810714285715	5.63087141224635e-27	2.91072737617658e-25
CDCA8	4.34769278257961	2.12025	8.342813941061e-27	4.00455069170928e-25
CPSF3	1.79862304321125	0.846892857142858	9.50735687417567e-27	4.2592958796307e-25
RRM2	5.09048660426085	2.34780357142857	1.38393718392256e-26	5.81253617247475e-25
MCM4	3.5608317895578	1.83221428571428	1.69391231648933e-26	6.69593574518133e-25
POLR2H	1.87525824556998	0.907089285714286	1.95110684633477e-26	7.28413222631647e-25
WDR75	1.65857750271827	0.729946428571429	2.06408008146803e-26	7.30032534077115e-25
IARS	1.86248930715299	0.897232142857142	4.09238156798407e-26	1.37504020684265e-24
GINS2	2.75486599384817	1.46198214285714	9.99774361794112e-26	3.14081942748264e-24
BOP1	2.58275485376154	1.36891071428572	1.02824445542586e-25	3.14081942748264e-24
WDR12	1.71076649430815	0.774642857142856	1.18018883084329e-25	3.44820388837693e-24
HEATR1	2.00560252039235	1.00403571428571	1.32087749634446e-25	3.69845698976448e-24
KIF11	3.64078614182573	1.86425	1.55750906794665e-25	4.1865843746406e-24
CDC6	3.28150388894928	1.71435714285714	2.5772381467398e-25	6.66116936388133e-24
CCNA2	3.92350450616045	1.97214285714286	3.72286951678504e-25	9.26580857510943e-24
SNRPE	2.22849763296816	1.15607142857143	4.21187826693639e-25	1.01085078406473e-23
NSF	1.92521271562327	0.945017857142857	5.76988880507787e-25	1.3370225093146e-23
PRC1	3.34039302360056	1.74001785714286	7.16373252412831e-25	1.60467608540474e-23
