GenePairs,frac.of.var.tissue,frac.of.var.species,frac.of.var.residual,group
TGIF2LY_Tgif2lx1,0.900664408185552,6.51545271878631e-06,0.0993290763617295,High across tissues
TMSB4Y_Tmsb4x,2.9286691707352e-17,0.830852410940482,0.169147589059518,High across species
TBL1Y_Tbl1x,0,0.936618744282546,0.0633812557174545,High across species
DDX3Y_Ddx3y,0.209290268047716,0,0.790709731952283,None
USP9Y_Usp9y,0.154125726609581,0.317740315996545,0.528133957393874,None
UTY_Uty,0.228858806820869,0,0.771141193179131,None
KDM5D_Kdm5d,0.168949089583932,0,0.831050910416068,None
EIF1AY_Eif1a,0,0.466901683060611,0.533098316939389,None
NCAM2_Ncam2,0.213083988287059,0.484981388174128,0.301934623538814,None
MORC3_Morc3,0.189528920288872,0.424025342480351,0.386445737230777,None
CHODL_Chodl,0.321655623071418,0.140934601228129,0.537409775700453,None
CBR1_Cbr1,0.176979773944153,0.622820313568832,0.200199912487014,None
SIM2_Sim2,0.0336156702206376,0.0389054050068237,0.927478924772539,None
RIPPLY3_Ripply3,0.0403812734684599,0.656272439557086,0.303346286974454,High across species
RRP1B_Rrp1b,0.576751973862453,0,0.423248026137547,High across tissues
AGPAT3_Agpat3,8.31237028967312e-17,0.953095933827718,0.0469040661722824,High across species
TPTE_Tpte,0.936887469610766,0.00357695943200557,0.0595355709572283,High across tissues
PCP4_Pcp4,0.414934097251699,6.43952981681426e-11,0.585065902683906,None
DSCAM_Dscam,0.725513709001362,0.141557237993238,0.132929053005401,High across tissues
RIPK4_Ripk4,0.49565458885355,0.212116386785589,0.292229024360862,High across tissues
TFF2_Tff2,0,0.282204364201244,0.717795635798756,None
TFF1_Tff1,0,0,1,None
UBASH3A_Ubash3a,0.257469752345116,0.250545140824464,0.49198510683042,None
OLIG1_Olig1,0.492250647259196,0.207779876976565,0.299969475764239,High across tissues
UMODL1_Umodl1,0.63956455042204,0.0883893755944363,0.272046073983524,High across tissues
MCM3AP_Mcm3ap,0.017369365505102,0.730375192471709,0.252255442023189,High across species
MZT1_Mzt1,0.655598200630489,0.0745747120604122,0.269827087309099,High across tissues
