GenePairs,frac.of.var.tissue,frac.of.var.species,frac.of.var.residual
FAM71E1_Fam71e1,0.27543998590804,0.672808332231209,0.0517516818607516
MYBPC2_Mybpc2,0,0,1
RCN3_Rcn3,0.270036042532509,0.491612995038817,0.238350962428674
ARFGEF3_Arfgef3,0.677092467247942,0.0718010703850568,0.251106462367001
LACTB_Lactb,0,0,1
TRIAP1_Triap1,0,0.581634307206235,0.418365692793765
TRPV5_Trpv5,0.748788225650592,0.00425030807371746,0.24696146627569
ZNF574_Zfp574,0.153704289382037,0.819024865823671,0.027270844794292
RABGGTB_Rabggtb,2.64833041732482e-09,0.513795559338958,0.486204438012712
PPOX_Ppox,0.0226309630348546,0.930789703519075,0.0465793334460708
FKBP11_Fkbp11,0.247428028029356,0.162856601524844,0.5897153704458
HDX_Hdx,0.205901208556854,0.468591768895481,0.325507022547665
RND1_Rnd1,0.446308473145754,0.131266347349501,0.422425179504745
LENEP_Lenep,0.0295366866854534,0.20175805941847,0.768705253896076
SYCP2_Sycp2,0.345175143963326,0.540357581697436,0.114467274339238
ZNF598_Zfp598,0.0518448093032615,0.913845546072811,0.0343096446239273
CACNB3_Cacnb3,0.368427103011994,0.473557263970393,0.158015633017613
COX20_Cox20,6.09340734760164e-10,0.880361855672352,0.119638143718308
APOBEC4_Apobec4,0.865547476744603,1.89029830313919e-09,0.134452521365099
COLGALT2_Colgalt2,0.214467639279505,0.133065739965815,0.65246662075468
THBS4_Thbs4,0.381071450235655,0,0.618928549764345
ZNF507_Zfp507,0.293469961760351,0.0766334945546238,0.629896543685025
CCDC24_Ccdc24,0.411771300206942,0.309422237178722,0.278806462614335
RPS18_Rps18,0.435946384151182,0.143153851211497,0.420899764637321
TSEN15_Tsen15,0.119690745220013,0.73520627602333,0.145102978756657
TMEM218_Tmem218,0.221681931689687,0.104820366423084,0.67349770188723
GET1_Wrb,0.0261094050207203,0.854609605602172,0.119280989377107
DHRS1_Dhrs1,0.0192349703613651,0.940013901947578,0.0407511276910571
SLC6A4_Slc6a4,0.31065877586988,0.451165828654284,0.238175395475835
VPS52_Vps52,0.043344589576665,0.901630313192295,0.05502509723104
CRYZ_Cryz,0.739886541149475,0.0268757698619099,0.233237688988615
DCAF5_Dcaf5,0.326611769300743,0.315368199992132,0.358020030707125
SHC1_Shc1,0.697598110353353,0.147034898967337,0.155366990679311
C1orf21_1700025G04Rik,0.167618751795769,0.542068553669612,0.290312694534619
DPY19L3_Dpy19l3,0.692485441548977,0.0556509410816197,0.251863617369403
FAM161A_Fam161a,0.600140621248011,0.0823419237020679,0.317517455049921
EDEM3_Edem3,2.00988885824389e-07,0.477216001357512,0.522783797653602
RASEF_Rasef,0.276127909883632,1.51893675394927e-08,0.723872074927
ITLN1_Itln1,0.31974009467794,0.504926548157653,0.175333357164407
TYW3_Tyw3,0,0.252717446246553,0.747282553753447
FGR_Fgr,0.458601875569878,0.265824109840935,0.275574014589188
NIBAN1_Fam129a,0.61955354956183,0.155377343008617,0.225069107429553
PHF19_Phf19,0.318469131803696,0.441874562481687,0.239656305714617
ILF3_Ilf3,0.566010629401528,0.21732401039372,0.216665360204752
RNF2_Rnf2,0.602785694248531,0.0189576399228444,0.378256665828625
LHX8_Lhx8,0.140494757693477,0.538264403104234,0.321240839202289
TEAD2_Tead2,0.579201239468272,0.0189136400811015,0.401885120450626
GALNT16_Galnt16,0.603595103317092,8.45026909676831e-08,0.396404812180217
TRMT1L_Trmt1l,0.0449322199877277,0.0482603266876428,0.90680745332463
TSTD1_Tstd1,0.222732172263644,1.20747334489254e-07,0.777267706989021
USP10_Usp10,1.73203055993776e-09,0.885891130561904,0.114108867706066
F11R_F11r,0.42342363566756,0.379078866334919,0.197497497997521
HTR2B_Htr2b,0.107184146508289,0.400631094195154,0.492184759296556
SWT1_Swt1,0.474570110533887,0.0417607462925373,0.483669143173576
TXLNB_Txlnb,0.600209383822592,0,0.399790616177408
EMC10_Emc10,0.0042291038155359,0.9729661610752,0.0228047351092646
MTX1_Mtx1,0.0250497427573583,0.963917404705634,0.011032852537008
H2AZ1_H2afz,0.131619685493765,0.780691149582477,0.0876891649237581
SLC44A1_Slc44a1,0.215142120076748,0.0153398503219033,0.769518029601349
VPS37C_Vps37c,0.143908794221153,0.826458622111756,0.0296325836670902
RPS27L_Rps27l,0,0.485320587431888,0.514679412568112
IFNGR1_Ifngr1,0.184492789879152,0.606679883584775,0.208827326536073
TMEM17_Tmem17,0.157970895915493,0.387917292317924,0.454111811766583
ADM2_Adm2,0.510456231783425,0,0.489543768216575
AL159141.1_Rin3,0.370524767511634,0.228785188938961,0.400690043549404
GRIK5_Grik5,0.14962945711645,0.690107590777174,0.160262952106376
PYGO2_Pygo2,0.248146656870428,0.473886605745429,0.277966737384144
SLC6A9_Slc6a9,0.168236664653284,0.749418155928803,0.0823451794179125
PMVK_Pmvk,0,0,1
RABAC1_Rabac1,0.0153143572557271,0.951808653761645,0.0328769889826272
POLR1C_Polr1c,0.0517916352906998,0.874269708352696,0.0739386563566044
CMYA5_Cmya5,0.423780535347729,0.222172232527713,0.354047232124558
APOA1_Apoa1,0.584041960761404,4.17854135428004e-08,0.415957997453182
EBF1_Ebf1,0.721906182142586,3.83336416687167e-07,0.278093434520998
USP45_Usp45,0.159446051583769,1.63479036389997e-07,0.840553784937195
EP400_Ep400,0.10676799642323,0.839835950714575,0.0533960528621951
PLEKHM2_Plekhm2,0.385780122553688,0.510555445286336,0.103664432159976
PUS1_Pus1,0.0462367504168269,0.849418663868935,0.104344585714238
ALDH6A1_Aldh6a1,0.474639066788874,0.140631835724202,0.384729097486924
HOMER1_Homer1,0.452829271461771,0.0848966137329848,0.462274114805244
ULK1_Ulk1,7.95668988921996e-05,0.916974473030205,0.0829459600709024
COQ6_Coq6,0.0306107645829936,0.939056403497756,0.0303328319192503
MAP2K6_Map2k6,0,0.231538499448922,0.768461500551078
QSOX1_Qsox1,0.0914868789552375,0.67927656481685,0.229236556227913
MTFR2_Mtfr2,0.753734327129142,6.90690163771122e-11,0.246265672801789
TOR1AIP1_Tor1aip1,0.196837371935195,0.415354509388704,0.387808118676101
ZNF641_Zfp641,0.0646165683237282,0.362131841712446,0.573251589963826
LRRIQ3_Lrriq3,0.819894706056788,1.38586215791672e-08,0.180105280084591
GFER_Gfer,0.0694615395897633,0.822179333184492,0.108359127225745
IFT81_Ift81,0.525190698788788,1.62313564752653e-09,0.474809299588076
WDR34_Wdr34,0.191140139794726,0.602921823251517,0.205938036953757
BRSK1_Brsk1,0.476860954880985,0.401702750094963,0.121436295024052
TRAF2_Traf2,0.118714600264446,0.762834047041781,0.118451352693773
MMS22L_Mms22l,0.382129885197479,0.397388536386528,0.220481578415993
C5orf52_4921536K21Rik,0.428038858293882,0.342129268471508,0.229831873234609
FASTKD3_Fastkd3,0.0122517862598452,0.562456154161557,0.425292059578598
PTPRB_Ptprb,0.513690889749963,4.41473746961065e-08,0.486309066102662
LYST_Lyst,0.550091249020312,0,0.449908750979688
