Mouse gene name,Gene name
,MT-TF
,MT-RNR1
,MT-TV
,MT-RNR2
,MT-TL1
mt-Nd1,MT-ND1
,MT-TI
,MT-TQ
,MT-TM
mt-Nd2,MT-ND2
,MT-TW
,MT-TA
,MT-TN
,MT-TC
,MT-TY
mt-Co1,MT-CO1
,MT-TS1
,MT-TD
mt-Co2,MT-CO2
,MT-TK
mt-Atp8,MT-ATP8
mt-Atp6,MT-ATP6
mt-Co3,MT-CO3
,MT-TG
mt-Nd3,MT-ND3
,MT-TR
mt-Nd4l,MT-ND4L
mt-Nd4,MT-ND4
,MT-TH
,MT-TS2
,MT-TL2
mt-Nd5,MT-ND5
mt-Nd6,MT-ND6
,MT-TE
mt-Cytb,MT-CYB
,MT-TT
,MT-TP
,
,
,5S_rRNA
,
,
Gm22279,U6
Gm54642,U6
,
,
,
,
,
,
,
,
,
,
,
Gm54867,5_8S_rRNA
Gm55073,5_8S_rRNA
,RNA5-8SN5
,
,
,
,5_8S_rRNA
,
,
Prodh,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Dgcr6,
,
,
,
,
,U6
,
,
,
,
,
,
,Y_RNA
,
,
,
,
,
,
,
,
,
,
,
,
,U1
,
,
,
,U1
,
,
,
,
,
,
Tekt4,MAFIP
Gm23788,U2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Gm56421,
Mrpl23,
,
,
Gm56420,
,
,
,
,
,
,
,
,
,RNA5-8SN4
,5_8S_rRNA
,
,
,
,
,
,
,
,
,
Slc6a8,
,
Gm25115,U1
,
,
,
,
Frg1,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Y_RNA
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Gm23788,U2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,RNU1-62P
,MTCO3P47
,RNA5SP136
,RYBP
,GCGR
,RPL23AP45
,MCRIP1
,Y_RNA
,RNU6-409P
,ACR
,
,
,
,C8orf33
,SNRPA1P2
,LINC01784
,SHANK3
,PRAMEF11
,PRAMEF30P
,HNRNPCL1
,PRAMEF2
,PRAMEF4
,PRAMEF10
,PRAMEF7
,
,RNU6-1072P
,PRAMEF29P
,PRAMEF6
,PPP1R27
,PRAMEF28P
,PRAMEF27
,HNRNPCL3
,PRAMEF25
,PRAMEF34P
,PRAMEF35P
,LINC02688
,HNRNPCL2
,MUC5AC
,PRAMEF36P
,
,MUC2
,
,PRAMEF26
,HNRNPCL4
,PRAMEF9
,PRAMEF13
,PRAMEF18
,PRAMEF31P
,PRAMEF5
,PRAMEF32P
,RNU6-771P
,PRAMEF8
,PRAMEF33
,PRAMEF22
,CNTNAP3C
,RN7SL462P
,
,OR9G1
,OR9G9
,
,OR9G3P
,OR9G4
,OR9G2P
,OR5G1P
,BCL2L14
,OR5G4P
,OR5G5P
,OR5G3
,LINC02735
,PTMAP9
,MIR1244-4
,LRP6
,SYT15B
,
,NPY4R2
,
,FAM25C
,AGAP12P
,AGAP12P
,RNA5SP315
,BMS1P7
,
,TOLLIP
,TOLLIP-DT
,
,LINC02689
,BRSK2
,RPL21P100
,RNU6-545P
,
,RNU6-318P
,MANSC1
,
,DUSP8
,KRTAP5-AS1
,RPL23AP66
,KRTAP5-1
,LOH12CR2
,KRTAP5-2
,KRTAP5-3
,KRTAP5-4
,KRTAP5-5
,BORCS5
,
,FAM99A
,FAM99B
,LINC02708
,MOB2
,
,DUSP16
,
,HMX1
,
,
,
,
,
,
,
,Y_RNA
,RBMY3AP
,CDY3P
,TSPY25P
,
,USP9YP22
,TSPY16P
,
,USP9YP4
,ELOCP4
,
,RBMY1A3P
,
,LINC03015
,TTTY20
,TSPY8
,FAM197Y7
,
,TSPY4
,TSPY9
,FAM197Y2
,FAM197Y4
,FAM197Y4
,FAM197Y8
,LINC03014
,FAM197Y8
,
,
,
,FAM20C
,
,
,SERTAD4-AS1
,SERTAD4
,OR4C12
,OR4C48P
,ST13P19
,OR4C49P
,OR4C45
,
,HHAT
,GRK1
,LINC00552
,
,RNU5A-8P
,
,BPNT2P1
,ARHGEF19
,
,ANO7L1
,
,CPLANE2
,MT1XP1
,FBXO42
,SZRD1
,RPL22P3
,SPATA21
,NECAP2
,LINC01772
,CROCCP3
,RNU1-1
,
,
,LINC01783
,RNU1-6P
,PDE4DIPP8
,
,RNU1-2
,
,
,LINC03126
,RNU1-5P
,ELOCP5
,
,CDY10P
,
,EIF1AXP1
,RNU1-3
,RNU1-4
,PADI2
,USP9YP3
,
,USP9YP8
,CROCCP4
,CDY11P
,
,OFD1P16Y
,
,
,
,LINC01300
,
,
,GPR20
,
,
,ASTILCS
,
,PTP4A3
,
,
,
,
,
,HNRNPA1P38
,
