GenePairs,frac.of.var.tissue,frac.of.var.species,frac.of.var.residual
TGIF2LY_Tgif2lx1,0.900664408185552,6.51545271878631e-06,0.0993290763617295
TMSB4Y_Tmsb4x,2.9286691707352e-17,0.830852410940482,0.169147589059518
TBL1Y_Tbl1x,0,0.936618744282546,0.0633812557174545
DDX3Y_Ddx3y,0.209290268047716,0,0.790709731952283
USP9Y_Usp9y,0.154125726609581,0.317740315996545,0.528133957393874
UTY_Uty,0.228858806820869,0,0.771141193179131
KDM5D_Kdm5d,0.168949089583932,0,0.831050910416068
EIF1AY_Eif1a,0,0.466901683060611,0.533098316939389
NCAM2_Ncam2,0.213083988287059,0.484981388174128,0.301934623538814
MORC3_Morc3,0.189528920288872,0.424025342480351,0.386445737230777
CHODL_Chodl,0.321655623071418,0.140934601228129,0.537409775700453
CBR1_Cbr1,0.176979773944153,0.622820313568832,0.200199912487014
SIM2_Sim2,0.0336156702206376,0.0389054050068237,0.927478924772539
RIPPLY3_Ripply3,0.0403812734684599,0.656272439557086,0.303346286974454
RRP1B_Rrp1b,0.576751973862453,0,0.423248026137547
AGPAT3_Agpat3,8.31237028967312e-17,0.953095933827718,0.0469040661722824
TPTE_Tpte,0.936887469610766,0.00357695943200557,0.0595355709572283
PCP4_Pcp4,0.414934097251699,6.43952981681426e-11,0.585065902683906
DSCAM_Dscam,0.725513709001362,0.141557237993238,0.132929053005401
RIPK4_Ripk4,0.49565458885355,0.212116386785589,0.292229024360862
TFF2_Tff2,0,0.282204364201244,0.717795635798756
TFF1_Tff1,0,0,1
UBASH3A_Ubash3a,0.257469752345116,0.250545140824464,0.49198510683042
OLIG1_Olig1,0.492250647259196,0.207779876976565,0.299969475764239
UMODL1_Umodl1,0.63956455042204,0.0883893755944363,0.272046073983524
MCM3AP_Mcm3ap,0.017369365505102,0.730375192471709,0.252255442023189
MZT1_Mzt1,0.655598200630489,0.0745747120604122,0.269827087309099
ERICH6B_Erich6b,0.497133269961189,0.29411134776725,0.208755382271561
KLHL1_Klhl1,0.689081642619245,3.87656510123711e-16,0.310918357380755
TTC3_Ttc3,0.375994161990301,0.262576528546932,0.361429309462767
FREM2_Frem2,0.0644062244271838,0.162144886013784,0.773448889559032
POU4F1_Pou4f1,0.35903507672806,0.23285747009227,0.408107453179671
NHLRC3_Nhlrc3,0.183688017301248,0,0.816311982698752
OLFM4_Olfm4,0.092688046566048,0.359547654661524,0.547764298772428
DIAPH3_Diaph3,0.697173475383091,0.00328059025316669,0.299545934363742
PCNT_Pcnt,0.0917804552941771,0.727666530947514,0.180553013758309
SON_Son,0.100364555408623,0.82554549628914,0.0740899483022363
PCDH17_Pcdh17,0.57077566327912,0.123510295140572,0.305714041580308
LRCH1_Lrch1,0.384558340222867,6.78953889401435e-11,0.615441659709237
SLITRK6_Slitrk6,0.0935159466586804,0,0.90648405334132
MYO16_Myo16,0.323650285570263,0,0.676349714429737
NRIP1_Nrip1,0.306815289373309,0.323245195265896,0.369939515360795
RCAN1_Rcan1,0.470471235535776,0.0646620599230359,0.464866704541188
IRS2_Irs2,0,0,1
SPACA7_Spaca7,0.876901145927916,1.30370027583034e-09,0.123098852768384
UBL3_Ubl3,0.284099266097059,0.358090634356345,0.357810099546595
GRIK1_Grik1,0.786208556123178,1.86104249658222e-09,0.213791442015779
FAM216B_Fam216b,0.723800371555248,0.119075593369348,0.157124035075404
KCNRG_Kcnrg,0.655446988657734,3.04313071203807e-10,0.344553011037953
FAM124A_Fam124a,0.0910381277700377,0.526858903989992,0.382102968239971
ZAR1L_Zar1l,0.121997060204734,1.78256246384239e-10,0.87800293961701
MRPS6_Mrps6,0.301985871876479,0.455030506612479,0.242983621511041
RFXAP_Rfxap,0.122819854927278,0.705433543560511,0.171746601512211
SIAH3_Siah3,0.380411637251184,2.50823497922961e-09,0.619588360240581
SLC5A3_Slc5a3,0.518191255952834,0.385566113335335,0.0962426307118315
KCNE2_Kcne2,0,0,1
CYYR1_Cyyr1,0.506535166958571,0.221518510409812,0.271946322631616
RAP2A_Rap2a,0.422310677218884,0.00353801796444016,0.574151304816676
SHISA2_Shisa2,0.246609731591019,0.321767546242337,0.431622722166644
RXFP2_Rxfp2,0.257853131776511,0.493073854422689,0.2490730138008
FRY_Fry,0.400852511204006,0.367797651445398,0.231349837350596
UTP14C_Utp14b,0,0.615009696175738,0.384990303824262
CCDC70_Ccdc70,0.95619280765559,0.0017423279915296,0.0420648643528803
GPR18_Gpr18,0,0,1
TNFSF13B_Tnfsf13b,0.490852753624973,9.15801536376467e-11,0.509147246283447
ATP8A2_Atp8a2,0.596557361058312,0.0930499518108959,0.310392687130792
SACS_Sacs,0.431674272159165,0.429785909250176,0.138539818590659
AKAIN1_Akain1,0.413338054115654,0.0149593758551756,0.57170257002917
SLC14A2_Slc14a2,0.533929841878086,0.211953585071915,0.25411657305
CLN5_Cln5,0.0327597385690348,0.862432431568664,0.104807829862301
HRH4_Hrh4,0.299284350885338,0,0.700715649114662
SERPINE3_Serpine3,0.0359286896903303,0.523394247377751,0.440677062931918
ST8SIA3_St8sia3,0.793418192483852,0.0156257922824625,0.190956015233686
METTL21C_Mettl21c,0.0823171951223435,0.18972768328231,0.727955121595346
SLC10A2_Slc10a2,0.431522223639847,0.1451489390777,0.423328837282453
CDH7_Cdh7,0.777267372297667,2.59132646889475e-11,0.22273262767642
ZIC2_Zic2,0.70714954753388,9.93345630304679e-11,0.292850452366785
ZIC5_Zic5,0.709485703390717,0.0876328451460525,0.202881451463231
MC4R_Mc4r,0.37816648763889,0,0.62183351236111
NBEA_Nbea,0.621188534051077,0.142950883526058,0.235860582422865
CDH20_Cdh20,0.623469926148198,0.00656856614038082,0.369961507711421
