Group	miRNA1	miRNA2	miRNA3	miRNA4
1	26	15.7	41.2	40.1
1	27.2	29.6	41.2	41.9
1	20.2	35.5	41.7	39.4
1	29.7	29.5	41.1	39.4
1	29	41.8	39.8	39.4
1	24	26.8	40.6	41.1
1	22.2	28.4	40.6	39.5
1	19.8	26.2	42.1	41.1
1	33.7	40.7	38.7	40.3
1	32.8	37.2	39.8	41.7
1	35.5	30.7	39.5	41.3
1	30.7	38.3	40.2	41.3
1	28.8	29.3	40.9	40.8
1	24.3	24.4	39.5	40.5
1	37.2	18.9	42.4	40.6
1	27.6	23.7	41.1	40
1	22.5	22.8	40.1	40.2
1	34	31.2	40.3	40.6
1	27.4	28.9	39.8	41.6
1	35.4	22.7	40	39.2
1	34.7	14.7	41.1	40
1	46.6	46.2	40.6	43.2
1	32.8	33.8	40	41.1
0	42	48.7	39.1	40.7
0	45.2	25.3	40.9	39.5
0	32.8	47.2	39.4	38.6
0	40.3	32.9	40.6	41
0	50.5	52.1	40.8	41.2
0	54	38.9	39.8	42
0	77.5	59.2	41	39.8
0	42.7	45.5	39.7	40.8
0	76.3	68.5	40.9	41
0	42.3	51.6	39.9	39.7
0	41.1	61.8	38.7	39.4
0	44.6	32.1	40.5	41.2
0	46	82.9	40.1	39.6
0	51.8	33	40.1	39.5
0	41	27.9	39.8	38.5
0	44.4	42.7	40	39.2
0	34	25.1	41.8	39.3
0	45.4	72	40.5	40.8
0	57.4	59.8	40.6	41.4
0	89.1	64.3	39.6	39.7
0	55.4	61.2	41.3	40
0	57.4	84.2	41.1	39.7
0	55.3	63.1	39.8	40.3
