IRGP	IRGP1	IRGP2	logrank.p	fwer
P441	ABCA7	ARHGDIB	0	0
P877	ABCG1	AFP	0	0
P3414	ALOX5AP	ANXA5	0	0
P3421	ALOX5AP	ARHGDIB	0	0
P4077	ARNT	BCL2	0	0
P4235	ATF1	BCL2	0	0
P4442	ATRN	BCL2	0	0
P1744	ADAM7	AQP9	2.85327317328665e-13	1.11562981075508e-09
P337	ABCA1	ANXA11	1.01508889072122e-08	3.96899756271996e-05
P4267	ATF4	BAX	2.90464735930307e-07	0.0011357171174875
P4124	ARRB1	BCL6	1.65513513517013e-06	0.0064715783785152
P1881	ADAM9	AHR	3.79974808739636e-06	0.0148570150217198
P3337	ALOX15	BAX	6.7630611878533e-06	0.0264435692445064
P4847	BCL10	BCL2	1.23653305681426e-05	0.0483484425214376
P727	ABCE1	ATF4	1.32077832859512e-05	0.0516424326480691
P749	ABCE1	BCAP31	1.32077832859512e-05	0.0516424326480691
P2764	AHR	ARRB1	1.74168150095522e-05	0.068099746687349
P1623	ADAM17	BCL6	2.23757147281844e-05	0.0874890445872012
P296	ABCA1	ABCB1	2.40503554591598e-05	0.0940368898453148
P509	ABCB1	AFF1	2.40503554591598e-05	0.0940368898453148
P513	ABCB1	AHR	2.40503554591598e-05	0.0940368898453148
P1353	ACP1	B2M	2.40503554591598e-05	0.0940368898453148
P1842	ADAM8	B2M	2.40503554591598e-05	0.0940368898453148
P2639	AFP	ATP6V0A2	3.27436021713146e-05	0.12802748448984
P3952	ARF6	BCL2L2	4.13261063165749e-05	0.161585075697808
P3631	ANXA5	ARHGDIB	4.29274938824609e-05	0.167846501080422
P719	ABCE1	ARF6	4.36521380022814e-05	0.17067985958892
P744	ABCE1	BAG6	4.36521380022814e-05	0.17067985958892
P746	ABCE1	BANF1	4.36521380022814e-05	0.17067985958892
P1634	ADAM19	ADAR	5.21936789764643e-05	0.204077284797975
P86	A2M	BCL11A	5.35825764149678e-05	0.209507873782524
P2248	ADK	BIRC2	6.51366220117966e-05	0.254684192066125
P1657	ADAM19	ANXA11	6.6195089730714e-05	0.258822800847092
P2328	ADORA1	AHR	7.5857233004295e-05	0.296601781046794
P2356	ADORA1	ATF1	7.5857233004295e-05	0.296601781046794
P1392	ACVR1B	ADORA1	9.67560162254966e-05	0.378316023441692
P3648	ANXA5	B2M	9.86165392536931e-05	0.38559066848194
P2982	AIF1	BCAP31	0.000120797027631347	0.472316378038569
P966	ABHD16A	AFP	0.000124565621120398	0.487051578580757
P1390	ACVR1B	ADK	0.000125630661830578	0.49121588775756
P1389	ACVR1B	ADIPOQ	0.000136694708963825	0.534476312048555
P1703	ADAM19	BCL3	0.000155040055512368	0.606206617053358
P2175	ADIPOQ	BIRC3	0.000230036519649368	0.899442791829029
P1666	ADAM19	ARHGDIB	0.000230227327420507	0.900188850214182
P1	A2M	A4GALT	0.041460802366278	1
P3	A2M	ABCA1	0.104959583959526	1
P4	A2M	ABCA7	0.182010946370022	1
P6	A2M	ABCC2	0.00102168035753247	1
P7	A2M	ABCE1	0.507415235566069	1
P8	A2M	ABCF1	0.226867312399184	1
P9	A2M	ABCG1	0.654656018605958	1
P11	A2M	ABI1	0.148539928154185	1
P12	A2M	ABL1	0.52277250336219	1
P13	A2M	ABO	0.163033493799984	1
P14	A2M	ACP1	0.571633796023316	1
P15	A2M	ACVR1B	0.159772897959427	1
P16	A2M	ADA	0.558958343609534	1
P17	A2M	ADAM17	0.230018345011681	1
P18	A2M	ADAM19	0.434616288457855	1
P20	A2M	ADAM8	0.927256171752116	1
P21	A2M	ADAM9	0.400260328122651	1
P22	A2M	ADAMDEC1	0.340869547201068	1
P23	A2M	ADAR	0.130362293379022	1
P25	A2M	ADK	0.817666913631617	1
P26	A2M	ADM	0.491668274017143	1
P27	A2M	ADORA1	0.0409027101479941	1
P29	A2M	AFF1	0.0850507256722568	1
