gene,drug
Gene 1,Drug 1
Gene 2,Drug 2
Gene 2,Drug 3
Gene 3,Drug 3
Gene 4,Drug 4
Gene 5,Drug 4
Gene 6,Drug 4
Gene 7,Drug 5
Gene 7,Drug 6
Gene 8,Drug 6
Gene 8,Drug 7
Gene 9,Drug 7
Gene10,Drug 7
Gene10,Drug 8
Gene11,Drug 9
Gene12,Drug 9
Gene13,Drug 9
Gene14,Drug 9
Gene15,Drug10
Gene16,Drug10
Gene17,Drug11
Gene18,Drug11
Gene19,Drug12
Gene19,Drug13
Gene20,Drug13
Gene21,Drug14
Gene22,Drug15
Gene23,Drug16
Gene24,Drug16
Gene25,Drug17
Gene25,Drug18
Gene26,Drug18
Gene27,Drug19
Gene28,Drug19
Gene29,Drug20
Gene30,Drug20
