"","x"
"1","TCGA-ZF-AA51-01A"
"2","TCGA-BT-A20P-01A"
"3","TCGA-XF-AAMW-01A"
"4","TCGA-K4-A6FZ-01A"
"5","TCGA-FD-A5BU-01A"
"6","TCGA-C4-A0EZ-01A"
"7","TCGA-FD-A3B3-01A"
"8","TCGA-FD-A5BZ-01A"
"9","TCGA-UY-A8OD-01A"
"10","TCGA-DK-A2HX-01A"
"11","TCGA-CF-A8HX-01A"
"12","TCGA-DK-A3X1-01A"
"13","TCGA-BT-A20V-01A"
"14","TCGA-GC-A3RD-01A"
"15","TCGA-E7-A5KE-01A"
"16","TCGA-DK-A1AB-01A"
"17","TCGA-DK-AA6M-01A"
"18","TCGA-ZF-A9R7-01A"
"19","TCGA-GC-A6I3-01A"
"20","TCGA-GC-A6I1-01A"
"21","TCGA-FD-A62S-01A"
"22","TCGA-FD-A3B4-01A"
"23","TCGA-LT-A8JT-01A"
"24","TCGA-BT-A2LD-01A"
"25","TCGA-FT-A3EE-01A"
"26","TCGA-BT-A0YX-01A"
"27","TCGA-ZF-AA58-01A"
"28","TCGA-FD-A5BV-01A"
"29","TCGA-FD-A6TF-01A"
"30","TCGA-ZF-A9RN-01A"
"31","TCGA-XF-AAME-01A"
"32","TCGA-E5-A2PC-01A"
"33","TCGA-ZF-AA5H-01A"
"34","TCGA-2F-A9KW-01A"
"35","TCGA-E7-A97Q-01A"
"36","TCGA-G2-AA3B-01A"
"37","TCGA-5N-A9KI-01A"
"38","TCGA-GD-A2C5-01A"
"39","TCGA-ZF-A9RE-01A"
"40","TCGA-DK-A1A7-01A"
"41","TCGA-XF-A9T3-01A"
"42","TCGA-ZF-AA56-01A"
"43","TCGA-DK-AA6Q-01A"
"44","TCGA-FD-A3N6-01A"
"45","TCGA-G2-A3IB-01A"
"46","TCGA-BL-A5ZZ-01A"
"47","TCGA-XF-AAN1-01A"
"48","TCGA-XF-A9SY-01A"
"49","TCGA-K4-A3WV-01A"
"50","TCGA-PQ-A6FN-01A"
"51","TCGA-XF-AAMZ-01A"
"52","TCGA-YC-A89H-01A"
"53","TCGA-XF-A8HH-01A"
"54","TCGA-XF-A9SH-01A"
"55","TCGA-DK-A3WY-01A"
"56","TCGA-XF-A9T6-01A"
"57","TCGA-K4-A5RI-01A"
"58","TCGA-DK-A2I1-01A"
"59","TCGA-GC-A3WC-01A"
"60","TCGA-XF-AAN4-01A"
"61","TCGA-DK-A6AV-01A"
"62","TCGA-FD-A5BY-01A"
