Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
GPR50	G protein-coupled receptor 50	241 / 1,297 (18.58%)	241 / 12,987,TCGA-SKCM: 41 / 470 (8.72%),TCGA-UCEC: 37 / 512 (7.23%),TCGA-DLBC: 2 / 47 (4.26%),TCGA-LUAD: 23 / 559 (4.11%),TCGA-CHOL: 2 / 51 (3.92%),TCGA-STAD: 16 / 434 (3.69%),TCGA-COAD: 14 / 427 (3.28%),TCGA-BLCA: 12 / 408 (2.94%),TCGA-CESC: 8 / 287 (2.79%),CMI-ASC: 1 / 36 (2.78%),HCMI-CMDC: 3 / 109 (2.75%),TCGA-LUSC: 13 / 490 (2.65%),CPTAC-3: 18 / 778 (2.31%),CMI-MBC: 4 / 174 (2.30%),TCGA-ACC: 2 / 90 (2.22%),TCGA-HNSC: 9 / 509 (1.77%),TCGA-READ: 2 / 155 (1.29%),CPTAC-2: 4 / 328 (1.22%),TCGA-GBM: 4 / 374 (1.07%),TCGA-SARC: 2 / 235 (0.85%),TCGA-KIRP: 2 / 277 (0.72%),TCGA-OV: 3 / 418 (0.72%),MMRF-COMMPASS: 6 / 959 (0.63%),TCGA-LGG: 3 / 510 (0.59%),TCGA-PAAD: 1 / 179 (0.56%),TCGA-PCPG: 1 / 179 (0.56%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-LIHC: 2 / 369 (0.54%),TCGA-BRCA: 4 / 965 (0.41%),TCGA-PRAD: 1 / 496 (0.20%)	--	--	235		
PER3	period circadian regulator 3	216 / 1,297 (16.65%)	216 / 12,987,TCGA-UCEC: 42 / 512 (8.20%),TCGA-SKCM: 27 / 470 (5.74%),CMI-ASC: 2 / 36 (5.56%),EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-COAD: 17 / 427 (3.98%),TCGA-STAD: 16 / 434 (3.69%),HCMI-CMDC: 4 / 109 (3.67%),TCGA-ACC: 3 / 90 (3.33%),TCGA-CESC: 9 / 287 (3.14%),CPTAC-2: 10 / 328 (3.05%),TCGA-BLCA: 11 / 408 (2.70%),TCGA-LUAD: 11 / 559 (1.97%),TCGA-CHOL: 1 / 51 (1.96%),TCGA-LUSC: 8 / 490 (1.63%),TCGA-ESCA: 3 / 184 (1.63%),TCGA-KICH: 1 / 66 (1.52%),CPTAC-3: 10 / 778 (1.29%),TCGA-SARC: 3 / 235 (1.28%),TCGA-LIHC: 4 / 369 (1.08%),TCGA-KIRP: 3 / 277 (1.08%),TCGA-BRCA: 9 / 965 (0.93%),TCGA-HNSC: 4 / 509 (0.79%),MMRF-COMMPASS: 7 / 959 (0.73%),TCGA-TGCT: 1 / 141 (0.71%),TCGA-READ: 1 / 155 (0.65%),TCGA-PAAD: 1 / 179 (0.56%),TCGA-GBM: 2 / 374 (0.53%),TCGA-OV: 2 / 418 (0.48%),TARGET-NBL: 1 / 218 (0.46%),TCGA-KIRC: 1 / 330 (0.30%),TCGA-LGG: 1 / 510 (0.20%)	--	--	237		
CYP2C19	cytochrome P450 family 2 subfamily C member 19	210 / 1,297 (16.19%)	210 / 12,987,TCGA-SKCM: 80 / 470 (17.02%),EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-UCEC: 26 / 512 (5.08%),HCMI-CMDC: 4 / 109 (3.67%),CMI-ASC: 1 / 36 (2.78%),TCGA-COAD: 10 / 427 (2.34%),TCGA-LUAD: 13 / 559 (2.33%),TCGA-DLBC: 1 / 47 (2.13%),TCGA-LUSC: 9 / 490 (1.84%),TCGA-BLCA: 7 / 408 (1.72%),CPTAC-3: 12 / 778 (1.54%),TCGA-HNSC: 7 / 509 (1.38%),TCGA-SARC: 3 / 235 (1.28%),TCGA-OV: 5 / 418 (1.20%),TCGA-STAD: 5 / 434 (1.15%),TCGA-CESC: 3 / 287 (1.05%),CPTAC-2: 3 / 328 (0.91%),TCGA-BRCA: 7 / 965 (0.73%),TCGA-READ: 1 / 155 (0.65%),TCGA-KIRC: 2 / 330 (0.61%),TCGA-PRAD: 3 / 496 (0.60%),MMRF-COMMPASS: 4 / 959 (0.42%),TCGA-LGG: 2 / 510 (0.39%),TCGA-KIRP: 1 / 277 (0.36%)	--	--	215		
PER2	period circadian regulator 2	206 / 1,297 (15.88%)	206 / 12,987,TCGA-UCEC: 45 / 512 (8.79%),HCMI-CMDC: 6 / 109 (5.50%),EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-SKCM: 21 / 470 (4.47%),TCGA-STAD: 19 / 434 (4.38%),CMI-MPC: 1 / 30 (3.33%),TCGA-LUSC: 12 / 490 (2.45%),CPTAC-2: 8 / 328 (2.44%),TCGA-DLBC: 1 / 47 (2.13%),TCGA-COAD: 9 / 427 (2.11%),TCGA-KIRP: 5 / 277 (1.81%),TCGA-LUAD: 10 / 559 (1.79%),TCGA-UCS: 1 / 57 (1.75%),TCGA-BLCA: 7 / 408 (1.72%),TCGA-ESCA: 3 / 184 (1.63%),CPTAC-3: 11 / 778 (1.41%),TCGA-CESC: 4 / 287 (1.39%),TCGA-LIHC: 5 / 369 (1.36%),TCGA-READ: 2 / 155 (1.29%),TCGA-BRCA: 11 / 965 (1.14%),MMRF-COMMPASS: 9 / 959 (0.94%),TCGA-SARC: 2 / 235 (0.85%),TCGA-KIRC: 2 / 330 (0.61%),TCGA-PRAD: 3 / 496 (0.60%),TCGA-HNSC: 3 / 509 (0.59%),TCGA-PAAD: 1 / 179 (0.56%),TCGA-PCPG: 1 / 179 (0.56%),TCGA-GBM: 2 / 374 (0.53%),TCGA-LGG: 1 / 510 (0.20%)	--	--	243		
CLOCK	clock circadian regulator	190 / 1,297 (14.65%)	190 / 12,987,TCGA-UCEC: 45 / 512 (8.79%),EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-STAD: 20 / 434 (4.61%),HCMI-CMDC: 5 / 109 (4.59%),TCGA-COAD: 15 / 427 (3.51%),CPTAC-2: 11 / 328 (3.35%),CMI-MPC: 1 / 30 (3.33%),TCGA-BLCA: 8 / 408 (1.96%),TCGA-CHOL: 1 / 51 (1.96%),TARGET-ALL-P3: 1 / 56 (1.79%),TCGA-CESC: 5 / 287 (1.74%),TCGA-THYM: 2 / 123 (1.63%),TCGA-KICH: 1 / 66 (1.52%),TCGA-SKCM: 7 / 470 (1.49%),TCGA-LUSC: 7 / 490 (1.43%),CPTAC-3: 11 / 778 (1.41%),TCGA-READ: 2 / 155 (1.29%),MMRF-COMMPASS: 12 / 959 (1.25%),TCGA-HNSC: 6 / 509 (1.18%),TCGA-ACC: 1 / 90 (1.11%),TCGA-LUAD: 5 / 559 (0.89%),TCGA-BRCA: 8 / 965 (0.83%),TCGA-GBM: 3 / 374 (0.80%),TCGA-KIRP: 2 / 277 (0.72%),TCGA-TGCT: 1 / 141 (0.71%),CMI-MBC: 1 / 174 (0.57%),TCGA-PAAD: 1 / 179 (0.56%),TCGA-LIHC: 2 / 369 (0.54%),TCGA-PRAD: 2 / 496 (0.40%),TCGA-KIRC: 1 / 330 (0.30%),TCGA-OV: 1 / 418 (0.24%),TCGA-LGG: 1 / 510 (0.20%)	--	--	170		
RORA	RAR related orphan receptor A	165 / 1,297 (12.72%)	165 / 12,987,TCGA-UCEC: 32 / 512 (6.25%),EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-STAD: 14 / 434 (3.23%),TCGA-SKCM: 13 / 470 (2.77%),CPTAC-2: 8 / 328 (2.44%),TCGA-COAD: 10 / 427 (2.34%),MMRF-COMMPASS: 22 / 959 (2.29%),TCGA-ACC: 2 / 90 (2.22%),TCGA-BLCA: 9 / 408 (2.21%),HCMI-CMDC: 2 / 109 (1.83%),TCGA-LUSC: 8 / 490 (1.63%),TCGA-KIRP: 4 / 277 (1.44%),TCGA-READ: 2 / 155 (1.29%),TCGA-LUAD: 7 / 559 (1.25%),CPTAC-3: 9 / 778 (1.16%),TCGA-TGCT: 1 / 141 (0.71%),TCGA-CESC: 2 / 287 (0.70%),TCGA-KIRC: 2 / 330 (0.61%),TCGA-PRAD: 3 / 496 (0.60%),TCGA-HNSC: 3 / 509 (0.59%),TCGA-PAAD: 1 / 179 (0.56%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-LIHC: 2 / 369 (0.54%),TCGA-GBM: 2 / 374 (0.53%),TCGA-OV: 2 / 418 (0.48%),TCGA-SARC: 1 / 235 (0.43%),TCGA-BRCA: 2 / 965 (0.21%)	--	--	163		
MTNR1B	melatonin receptor 1B	157 / 1,297 (12.10%)	157 / 12,987,CMI-ASC: 3 / 36 (8.33%),EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-UCEC: 24 / 512 (4.69%),TCGA-LUSC: 21 / 490 (4.29%),TCGA-DLBC: 2 / 47 (4.26%),TCGA-SKCM: 16 / 470 (3.40%),TCGA-READ: 5 / 155 (3.23%),HCMI-CMDC: 3 / 109 (2.75%),TCGA-LUAD: 14 / 559 (2.50%),TCGA-COAD: 10 / 427 (2.34%),TCGA-STAD: 9 / 434 (2.07%),CPTAC-2: 5 / 328 (1.52%),TCGA-CESC: 4 / 287 (1.39%),TCGA-UVM: 1 / 80 (1.25%),CPTAC-3: 9 / 778 (1.16%),TCGA-PAAD: 2 / 179 (1.12%),TCGA-ESCA: 2 / 184 (1.09%),TCGA-HNSC: 5 / 509 (0.98%),TCGA-GBM: 3 / 374 (0.80%),TCGA-BLCA: 3 / 408 (0.74%),TCGA-LIHC: 2 / 369 (0.54%),MMRF-COMMPASS: 5 / 959 (0.52%),TCGA-OV: 2 / 418 (0.48%),TCGA-LGG: 2 / 510 (0.39%),TCGA-KIRC: 1 / 330 (0.30%),TCGA-BRCA: 2 / 965 (0.21%),TCGA-PRAD: 1 / 496 (0.20%)	--	--	155		
CYP1A2	cytochrome P450 family 1 subfamily A member 2	139 / 1,297 (10.72%)	139 / 12,987,TCGA-SKCM: 30 / 470 (6.38%),TCGA-UCEC: 28 / 512 (5.47%),HCMI-CMDC: 3 / 109 (2.75%),TCGA-COAD: 10 / 427 (2.34%),TCGA-UCS: 1 / 57 (1.75%),TCGA-STAD: 7 / 434 (1.61%),TCGA-SARC: 3 / 235 (1.28%),TCGA-BLCA: 5 / 408 (1.23%),CPTAC-2: 4 / 328 (1.22%),TCGA-PAAD: 2 / 179 (1.12%),TCGA-CESC: 3 / 287 (1.05%),TCGA-HNSC: 5 / 509 (0.98%),TCGA-LUAD: 5 / 559 (0.89%),TCGA-THYM: 1 / 123 (0.81%),TCGA-GBM: 3 / 374 (0.80%),CPTAC-3: 6 / 778 (0.77%),TCGA-KIRP: 2 / 277 (0.72%),TCGA-OV: 3 / 418 (0.72%),TCGA-READ: 1 / 155 (0.65%),MMRF-COMMPASS: 6 / 959 (0.63%),TCGA-BRCA: 5 / 965 (0.52%),TCGA-LUSC: 2 / 490 (0.41%),TCGA-LGG: 2 / 510 (0.39%),TCGA-KIRC: 1 / 330 (0.30%),TCGA-THCA: 1 / 490 (0.20%)	--	--	144		
MTNR1A	melatonin receptor 1A	137 / 1,297 (10.56%)	137 / 12,987,TCGA-SKCM: 36 / 470 (7.66%),TCGA-UCEC: 22 / 512 (4.30%),TCGA-LUAD: 14 / 559 (2.50%),TCGA-STAD: 10 / 434 (2.30%),TCGA-DLBC: 1 / 47 (2.13%),HCMI-CMDC: 2 / 109 (1.83%),TCGA-LUSC: 8 / 490 (1.63%),TCGA-BLCA: 5 / 408 (1.23%),CPTAC-2: 4 / 328 (1.22%),CPTAC-3: 9 / 778 (1.16%),TCGA-ACC: 1 / 90 (1.11%),TCGA-ESCA: 2 / 184 (1.09%),TCGA-LIHC: 4 / 369 (1.08%),TCGA-SARC: 2 / 235 (0.85%),TCGA-HNSC: 4 / 509 (0.79%),TCGA-COAD: 3 / 427 (0.70%),TCGA-READ: 1 / 155 (0.65%),TCGA-PAAD: 1 / 179 (0.56%),MMRF-COMMPASS: 5 / 959 (0.52%),TCGA-GBM: 1 / 374 (0.27%),TCGA-OV: 1 / 418 (0.24%),TCGA-PRAD: 1 / 496 (0.20%)	--	--	124		
ASMT	acetylserotonin O-methyltransferase	129 / 1,297 (9.95%)	129 / 12,987,EXCEPTIONAL_RESPONDERS-ER: 1 / 19 (5.26%),TCGA-UCEC: 20 / 512 (3.91%),TCGA-SKCM: 17 / 470 (3.62%),TCGA-ESCA: 5 / 184 (2.72%),TCGA-COAD: 11 / 427 (2.58%),TCGA-LUAD: 13 / 559 (2.33%),TCGA-STAD: 9 / 434 (2.07%),TCGA-LUSC: 10 / 490 (2.04%),HCMI-CMDC: 2 / 109 (1.83%),CPTAC-2: 4 / 328 (1.22%),CGCI-HTMCP-CC: 1 / 85 (1.18%),TCGA-HNSC: 5 / 509 (0.98%),TCGA-LIHC: 3 / 369 (0.81%),CPTAC-3: 6 / 778 (0.77%),TCGA-CESC: 2 / 287 (0.70%),TCGA-PAAD: 1 / 179 (0.56%),TCGA-GBM: 2 / 374 (0.53%),TCGA-SARC: 1 / 235 (0.43%),MMRF-COMMPASS: 4 / 959 (0.42%),TCGA-BRCA: 4 / 965 (0.41%),TCGA-PRAD: 2 / 496 (0.40%),TCGA-LGG: 2 / 510 (0.39%),TCGA-KIRC: 1 / 330 (0.30%),TCGA-BLCA: 1 / 408 (0.25%),TCGA-OV: 1 / 418 (0.24%),TCGA-THCA: 1 / 490 (0.20%)	--	--	123		
