	TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8430-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01	TCGA-KL-8324-11	TCGA-KL-8326-11	TCGA-KL-8329-11	TCGA-KL-8332-11	TCGA-KL-8336-11	TCGA-KL-8339-11	TCGA-KN-8419-11	TCGA-KN-8422-11	TCGA-KN-8423-11	TCGA-KN-8424-11	TCGA-KN-8425-11	TCGA-KN-8426-11	TCGA-KN-8427-11	TCGA-KN-8428-11	TCGA-KN-8429-11	TCGA-KN-8430-11	TCGA-KN-8431-11	TCGA-KN-8432-11	TCGA-KN-8433-11	TCGA-KN-8434-11	TCGA-KN-8435-11	TCGA-KN-8436-11	TCGA-KN-8437-11	TCGA-KO-8403-11	TCGA-KO-8415-11
ACSL4	842.441	119.831	3419.15	1081.2	1068.87	1623.47	1684.02	695.851	1065.37	1641.19	2800.96	1616.1	2494.23	3082.8	2072.76	983.553	3016.52	1329.41	704.415	674.45	1923.89	6826.01	765.116	814.291	1311.84	3695.4	1821.71	3228.62	1098.45	730.29	1517.22	1247.1	7229.62	1939.56	2239.53	3127.11	1431.09	1407.56	1876.36	582.04	768.699	2165.03	159.214	1517.93	1459.3	1009.09	1440.5	1077.38	1049.53	1682.17	5317.68	4041.92	1560.36	1302.63	1102.74	1375.45	1092.7	1341.35	632.271	1865.83	2332.08	938.134	1287.86	897.367	1590.95	1889.16	5293.87	3461.22	7007.85	3488.39	3860.28	5176.27	3375.91	2513.4	3511.64	2506.69	2212.87	2938.93	6148.97	7413.53	3053.65	2048.91	2082.04	4093.36	2589.25	4435.67	4831.52	2569.76	6280.42	2346.78	3400.75
ALOX15	0.3989	0	0	0	0	0	0.6621	0	0	0	0.661	0.7316	0	0.764	0	0	0	0	0	0.449	0	0	0	0	0	0	0	0	0	0.4149	0	0.4499	0.3073	0	0.9302	0.375	0.4519	0	0.3328	0.6975	0.4065	0.6575	1.5106	0	0	0	0	0	2.0387	0.347	0	0.3436	0.4346	0	0	0	3.9353	0.5342	0	0.3607	0	0.4459	0	1.0747	0	0.3541	1.7206	0.3797	3.621	0.3768	0.9315	0.684	1.4789	0.9111	1.5309	0	0.5573	2.936	0.2819	0.3522	2.0768	0.3409	0.6134	1.2384	0.7361	0.3449	1.5457	0.3744	0.6798	0.5833	0.4594
ATP5G3	5360.19	5445.02	5978.76	9368.93	2566.98	12177.2	6557.64	7152.24	6931.24	7253.48	5658.1	6279.29	8349.15	14633.9	6498.29	5651.79	13847	6286.67	7322.21	5720.25	15600.1	3013.78	7737.6	5936.07	8618.15999999999	13277.8	8018.63	13898	4049.56	7192.12	6673.82	14248.6	12006.5	7364.69	11297.2	14467.2	19498.4	8541.44	6059.07	7920.49	6289.43	4455.63	4816.01	5426.25	9283.44	9030	4906.37	6333.11	4790.18	5535.39	7783.49	12194.5	6092.8	2911.18	7780.12	7043.49	5850.9	10096.7	8958.45	20432.1	8952.45	6010.03	5467.32	7757.12	6836.77	5746.1	6266.69	7352.63	5834.64	13213.2	3906.85	12598.5	10669.7	5663.65	3634.42	8625.53	9932.85	6735.47	7037.42	6392.39	6700.24	7167.62	7779.81	9513.47	6634.52	6833.74	5537.59	6352.52	2102.65	5022.24	8275.83
CARS	1445.15	1038.06	948.003	654.06	666.038	1049.39	1109.33	955.24	1291.8	1169.95	1109.48	1785.45	1338.02	1832.87	2442.68	1102.44	2556.03	1236.58	1611.21	1230.79	586.457	1176.57	733.333	711.967	1184.72	1275.65	977.761	1357.99	1642.26	876.751	969.697	1001.01	439.733	1549.4	1046.05	622.032	1642.57	481.703	1935.27	1546.64	1538.21	1028.6	1790.94	1499.45	1184.87	950.909	490.694	964.583999999999	1079.3	1767.17	1209.86	1143.99	1060.09	1449.56	1170.91	521.468	1050.28	1699.78	1042.24	792.418	511.321	928.77	1797.4	1807.08	1092.73	1473.09	630.42	669.388	670.489	585.103	901.032	576.966	425.178	519.323	590.628	567.464	484.533	561.656	544.007	605.847	501.212	617.639	542.82	624.572	483.254	508.106	528.626	554.461	599.252	552.064	590.835
CDKN1A	358.596	2864.19	2540.58	3031.02	1414.15	3784.78	1053.05	1627.9	1936.69	4585.24	7825.5	2873.34	1303.5	1519.24	3152.96	1220.86	1738.51	4134.41	780.939	2813.2	1780.08	2880.56	3506.2	5507	3088.93	4249.54	2705.57	21927.3	6902.56	2863.9	1801	3533.01	4699.39	549.745	4937.21	1782.9	2819.7	380.868	2282.05	3716.83	4529.27	7459.58	895.77	3077.26	5097.34	2982.73	1681.9	2165.25	2066.86	2058.64	502.376	11767	1636.42	2351.97	9613.54	1998.35	1382.16	1451.39	2647.51	3930.75	1548.68	4360.72	2747.46	4320.26	2744.71	1303.82	4044.05	3853.82	2163.55	1962.53	9213.07000000001	2224.76	16642.6	910.182	3077.46	1822.43	841.46	10191.1	10912.6	2163.44	23045	6867.66	863.605	3809.76	5987.85	947.223	1363.92	3911.17	2818.49	1681.27	1277.69
CISD1	966.893000000001	1704.89	1493.44	1333.83	690.566	1805.62	1223.21	1180.66	1344.73	1480.96	949.186	1759.49	1477.28	1718.65	898.462	1411.65	2164.51	1398.3	1998.32	1189.94	869.519	1339.65	1635.66	845.676	2134.16	1392.77	1386.81	1349.73	1172.62	1153.53	1193.98	1900.8	1401.55	1331.75	1936.28	1167.6	2137.37	1349.89	1534.24	1302.88	1025.61	680.146	640.181	1157.49	1451.53	2582.73	1173.72	1038.69	1061.77	1263.36	3227.92	1480.76	1418.23	171.053	1323.57	1264.49	1296.9	1193.91	1558.86	1256.27	1600	982.276	1135.2	1190.76	1045.38	1101.98	919.476999999999	1100.33	957.453	1835.18	573.469	1534.59	1077.36	819.072	799.449	1156.49	1244.91	898.121	850.962	964.424	901.35	975.543	1230.39	1574.02	997.056	1200.07	808.087	958.419000000001	397.009	762.332	1072.78
CS	6820.1	10628.8	7966.23	9904.34	5756.6	10935.2	8501.86	11220.5	7016.98	7102.71	9506.07	7976.95	12278.1	18718.7	7702.19	9000	11699.7	7228.39	11614.6	6308.49	13571.4	7607.24	10917.1	7823.47	14240	6629.52	10139.9	10840.3	6747.81	8265.98	8009	11304.5	7525.85	9998.64	15900.5	12617.2	13884.3	17891.6	6835.84	10661.2	14045.9	6585.81	6345.62	7842.51	13941.5	17121.8	9422.45	9965.25	6197.31	6996.88	15966.8	8834.02	6277.95	1710.53	6518.48	7494.64	5997.38	15219.6	14774.2	18328.6	7610.19	6711.85	10270.8	11766.8	7653.82	9160.06	3427.74	3859.9	3780.33	3032.14	3435.85	3920.77	4174.14	3915.88	2870.18	3680.43	4773.75	4726.37	4076.67	3612.89	3162.69	4810.91	3886.53	2382.7	4268.68	3857.88	3747.06	4403.11	2116.93	4153.46	3686.98
DPP4	26.7252	3.7594	340.814	396.984	13.2075	4.0779	46.3461	109.115	4.1023	81.4289	3365.12	11.3397	17.2569	37.0547	191.986	39.0038	12.5718	4.2004	17.3791	78.132	2071.9	3267.3	60.0775	29.2354	40.7524	985.906	7.6031	2948.83	471.679	21.9917	92.0574	4031.49	17.8228	13.2428	3656.28	2718.04	12.2006	411.325	50.5866	27.5501	32.1138	17.4228	5.136	14.7874	26.9939	32.7273	16.9205	5.9016	13.4556	2.4289	15.6064	2758.76	15.6471	3149.12	152.664	34.789	20.5509	14.9573	14.5429	3386.11	13.2075	476.201	26.3906	24.1805	21.5704	8.8527	2977.63	1094.64	3772.48	4682.33	886.129	3300.37	1410.48	922.937	2578.69	931.518	1466.7	583.676	469.875	1897.15	1341.99	987.814	1706.97	1219.42	2021.35	2003.1	3564.67	925.098999999999	4819.85	476.239	1534.06
FANCD2	168.329	10.8083	80.4468	43.5051	33.9623	85.1835	127.783	55.2107	113.223	61.4657	39.3291	110.105	67.8238	247.541	125.967	171.053	295.259	73.9263	333.006	106.421	59.2774	104.795	153.101	69.649	38.8118	45.8866	118.228	43.9395	60.3506	138.589	57.4494	43.1897	66.3747	98.8115	21.8605	41.9948	46.0913	16.2638	100.175	20.5754	65.0407	214.662	446.828	82.4399	92.4335	32.7273	15.2284	18.3607	73.8017	187.717	79.8897	79.3814	71.2811	186.952	36.4858	135.86	90.5116	90.2778	14.5429	49.0532	78.1132	22.7399	39.3829	40.8383	60.5024	103.754	56.435	82.0123	60.35	21.0984	102.461	69.0854	52.1305	64.0802	189.835	64.6887	87.2109	148.268	85.4062	71.1518	117.342	154.41	112.858	168.011	55.576	51.742	76.048	110.817	80.2175	98.2808	85.9146
FDFT1	4082.57	2405.08	4368.83	1233.47	961.321	4990.94	2950.92	2659.92	2892.12	4411.87	1574.82	2485.96	5323.17	5060.83	945.889	3273.03	4278.38	3887.85	7682.69	2418.05	1725.71	1584.84	3249.22	4695.72	2053.63	1393.2	3103.97	1236.32	2465.61	3759.34	1181.52	1604.77	1271.26	2896.43	2018.6	2171.73	2310.44	2106.01	2626.18	2124.5	1360.16	2144.97	7715.71	3764.14	2090.39	3477.27	1538.07	2179.02	3261.14	2859.47	1180.14	1106.87	2758.23	1061.95	3424.39	4181.27	2341.5	2376.07	2211.91	2256.09	1397.36	1958.31	1097.44	3002.69	1639.88	1912.54	1955.27	2362.79	1938.14	3127.46	1787.16	2702.2	2931.88	1918.76	3946.42	1935.63	3516.58	2538.46	2901.84	1976.4	3601.59	3173.41	2630.68	3711.93	1959.88	2117.97	1942.62	2727	1393.27	1789.47	2511.28
