	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-A45N-01	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-HZ-A9TJ-06	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7654-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01	TCGA-H6-8124-11	TCGA-H6-A45N-11	TCGA-HV-A5A3-11	TCGA-YB-A89D-11
ACSL4	900.976	2675.08	1554.97	1088.6	1605.57	1477.38	1434.87	1858.42	1558.36	989.84	1563.63	1363.78	2140.45	2195.42	1650.81	1419.21	555.905	2059.12	1025.02	2492.42	1000.5	776.213	2410.09	1486.19	1151.31	1122.95	1592.66	1313.09	1563.45	290.464	943.701	989.607	592.784	839.67	342.572	1265.82	1984	2119.45	4098.88	897.28	1461.73	902.767	1563.6	765.879	2875.58	3577.03	1802.98	1804.25	2157.87	2106.93	1501.36	1923.02	1309.61	715.702	1166.04	1829.67	1039.82	2575.65	1573.79	1710.97	1102.93	1941.35	1258.76	2047.96	1529.55	2197.2	1357.75	2835.63	1446.61	1461.21	1354.09	1230.52	2767.19	1373.13	637.708	541.369	2090.69	1319.21	1061.16	2482.62	2022.89	2505.68	2694.22	2198.14	1577.81	1858.8	2148.35	1335.38	2677.01	2173.05	1395.86	2451.72	2231.17	1797.47	2011.36	2139.29	1825.08	1808.53	1499.03	1104.11	2192.46	1991.8	1468.06	1411.81	3799.65	1666.26	1149.7	2236.62	2529.71	1345.71	3387.94	2994.92	2619.45	3593.6	2368.72	1980.12	883.959	1630.61	2369.14	1907.68	1943.31	1306.55	2353.13	2875.52	3444.9	2352.37	2337.05	1980.44	1178.23	1646.3	1344.97	1547.77	1186.11	1721.6	2158.97	2147.72	1573.42	1197.85	1526.14	1014.25	1508.74	1415.82	2330.48	2690.84	1962.92	2020.88	2235.2	2174.99	1228.67	679.114	1558.88	1364.7	1745.55	537.239	1027.03	1222.7	1428.98	1269.41	1690.99	1203.11	1960.08	1310.14	1389.62	1977.68	883.88	659.973	1460.26	1184.85	928.745	2206.76	1839.67	1630.51	1348.86	1942.51	2066.75	1887.98	1481.31	1140.34	1839.89	2972.97	1457.22	2452.45	3024.27
ALOX15	1.4634	2.5253	1.1696	4.7004	0	1.2525	1.8499	4.6071	0.4355	2.1771	1.2898	3.2051	1.5781	3.0921	3.7547	0	0	1.2065	0.4634	1.4576	2.4752	0.6468	2.3739	6.0024	3.3812	0	0.4031	0.9877	0	1.064	4.2895	21.94	63.1062	2.4099	12.7215	0.8787	0.5612	2.8586	0.7435	0.5281	0.9751	0.7479	1.4723	2.4547	2.9275	1.0047	0	8.9485	0.8795	2.0601	2.9054	2.0436	0	6.2598	0.4161	1.8242	4.1732	0.8974	0.6897	0.7509	0.5417	2.1723	0.5921	1.4989	1.396	0	1.8779	0.4119	2.3383	0.5388	1.5573	0	2.8885	0	4.9291	2.0429	0.9699	3.458	2.091	1.227	0.7922	0.9402	4.7109	126.243	54.3641	3.1377	6.9712	20.0409	3.5651	3.1463	0	6.8156	1.0195	3.4273	2.0974	11.8476	2.8467	0.547	4.9875	1.1003	10.0792	1.4465	3.3214	4.6012	4.1128	0.6649	2.3952	0.5728	0.4362	1.227	1.6632	10.1523	20.9096	4.0844	0.2715	2.9155	0.3103	0.3357	3.0137	0	3.3021	3.2963	1.0249	2.1443	9.3703	9.7579	2.0585	1.2951	0.7749	1.0153	10.7833	0.7591	5.2425	1.4455	4.2943	2.296	22.8253	0.7168	1.1242	1.4756	10.9999	0	7.6646	1.4699	0.5981	1.7043	5.7971	2.3594	0.8544	2.3194	1.0152	1.8269	0	0	0.4123	3.191	0	0.5974	6.4378	2.6795	1.6632	2.0172	1.0588	0.4211	0.49	0.5038	0	0	14.0073	4.0541	1.0411	1.4859	0	0	4.1716	2.0555	0	0.8819	5.698	0.3961	17.6355	1.0995	2.4765
ATP5G3	2266.83	2284.51	2303.51	2909.52	2598.07	2623.45	3211.35	2472.58	2463.85	2897.31	3090.28	3419.87	3368.75	2136.05	3177.72	2779.48	4412.6	2949.93	2655.24	3878.56	2951.98	3654.02	2476.56	4703.48	3436.18	2453.82	2510.53	2719.01	4565.68	4423.99	1248.26	1388.57	2181.82	2551.72	1461.61	2491.21	1636.03	2001.84	2595.54	3216.27	3385.67	3398.65	3175.21	2470.7	2229.94	2238.78	3204.19	2804.25	3730.87	3145.2	2201.56	1641.01	1640.42	5064.68	2965.04	3019.5	4960.53	3616.69	2596.55	2202.07	3106.72	2590.88	3050.99	2773.42	3397.39	5041.69	3371.83	2459.96	2111.46	3162.72	2379.59	2290.17	2563.84	2975.91	5959.95	5211.44	2294.86	6105.04	4100.37	3377.1	3215.16	2730.08	2127.19	1762.76	4521.2	2802.32	3001.26	3358.28	2744.03	2174.1	2454.07	2290.04	3050.85	2644.53	2113.08	2700.61	3885.81	1981.95	2522.03	2040.43	2005.28	2487.46	4314.5	4062.88	2841.36	3638.38	3598.8	2736.06	2566.35	2469.94	2130.15	3523.35	3362.52	2739.28	3183	2293.4	2117.28	2908.79	2959.07	2929.32	3049.53	3405.03	2166.09	2782.46	2985.01	2115.65	2204.63	2812.67	2403.72	4424.15	2843.36	2748.65	2870.69	2664.56	2115.49	2205.12	3081.41	2189.96	2749.3	3264.09	2144.53	2334.82	2034.72	2969.62	2279.31	3535.58	2373.08	2196.22	3909.86	2762.84	3781.22	2481.85	1792.65	3705.56	3711.51	3014.46	3247.3	2561.53	2438.2	3337.08	1982.12	9761.01999999999	2344.63	2852.21	2692.31	3407.68	2556.77	2013.69	2801.46	2004.05	1966.68	3266.47	2466.94	2973.63	2496.42	2648.51	3487.73	3325.32	2265.53	2572.93	1765.51	2163.83	2956.41
CARS	1253.66	1315.23	1523.98	1235.25	949.625	1142.32	1002	975.618000000001	1216.46	1609.22	949.699	1493.59	1395.58	904.143999999999	938.048	888.646	1411.02	987.734	2213.62	1236.98	1199.01	1441.17	743.62	1151.86	1281.48	1184.12	1327.82	1265.18	1265.32	787.871	635.384	878.753	1217.12	823.142	834.621	985.057	1109.58	944.155	841.636	1164.51	1177.96	1443.53	1448.47	1796.87	755.556	893.838	1304.64	796.421	1705.37	1083.59	1151.26	837.875	1038.61	2236.31	1030.79	1128.72	1448.79	1497.79	1190.3	1153.02	1245.88	1189.72	1935.48	917.307	851.559	1238.27	1409.39	1173.14	1091.19	1032.87	1306.59	937.668	870.017	1545.5	1367.84	1179.78	1054.8	1201.64	1788.81	815.542	1325.36	991.930000000001	1071.95	785.606	1098.75	1068.72	1472.44	1566.05	805.703999999999	1156.27	2640.79	1004.17	1013.38	622.444	1006.73	832.853	999.521999999999	712.801	999.169000000001	1162.43	912.887	1132.11	1417.69	1026.07	1136.31	1010.66	1104.17	1297.3	989.641	1166.56	811.222	1715.74	2527.18	1012.91	1355.96	681.156	1172.51	917.681	835.171	698.257	996.698	1201.48	1311.34	849.577	1233.88	760.752	875.538	924.173	1221.62	1681.84	888.64	1254.77	989.515	1458.97	1333.39	1049.27	1316.26	792.115	1658.23	1278.39	967.988	1121.81	958.963	969.623	741.627	1413.72	914.683	842.312	1231.23	788.125	1109.64	1192.05	1365.31	1337.64	1535.39	1028.04	1142.03	1044.19	1047.21	951.769	793.343	788.204	640	1106.11	2179.8	1202.06	1012.66	1357.35	1023.75	799.324	1101.5	1791.98	1115.59	1047.41	1109.65	1053.44	1633.18	1734.75	1260.97	859.091	800.131	1175.37	1106.48
CDKN1A	4182.44	7118.27	6766.08	4070.51	3628.08	3591.67	5306.61	3008.06	9436.41	1821.48	6384.78	3895.03	2663.34	5400.74	2331.04	2032.75	3719.68	8053.89	2082.48	3041.43	7216.83	6745.94	1280.12	4867.95	4907.86	4683.85	4349.09	7297.28	3968.64	1765.13	1088.47	4901.27	3302.73	2674.96	960.018	4432.34	4345.17	3110.57	3898.88	4787.96	3823.5	2725.5	1940.52	3467.32	4161.01	5658.07	6675.5	3439.6	3298.15	3983.13	3372.44	1748.64	3610.14	6138.24	4049.94	10957.5	4187.79	8724.02	5014.48	7505.81	3815.28	5329.47	4995.97	2400.7	2474.64	2868.52	4013.15	3434.96	5058.46	1925.11	3736.8	4713.59	2777.59	3056.21	5971.66	3986.72	3442.77	5783.01	3476.22	2474.85	3507.09	4345.37	1973.45	3407.89	1458.6	4436.15	4674.96	3238.85	2473.44	2120.08	5099.61	3611.89	4734.04	2101.44	5542.95	1777.46	1914.28	3635.12	4930.45	9859.99	10362.4	2684.67	4674.88	3995.02	6508.23	3264.7	3735.33	4968.67	3775.82	2787.12	5772.14	5932.99	2505.23	1986.39	2642.14	4595.81	2908.47	4476.63	4472.33	1914.34	2111.72	3331.27	3793.61	2955.72	5040.1	3332.13	7125.75	5275.66	6254.55	2594.59	7087.07	3555.18	3072.52	2595.17	2647.99	7379.94	4190.72	2054.48	2292.86	5010.26	2768.01	4616.71	5167.72	3082.31	3854.07	5614.83	3526.29	3950.06	4179	1405.08	8083.76	3698.56	4427.91	9738.82999999999	4484.57	5992.22	4844.27	4264.64	5158.8	2746.52	2285.65	4381.77	3065.11	3628.21	4479.67	2552.73	3779.04	1859.88	6521.92	6243.24	6509.11	7651.31	2795.01	3641.88	3640.05	5100.21	6435.16	4777.42	3566.38	3776.61	591.77	3911.49	7536.9
CISD1	253.171	320.286	463.158	447.474	360.129	321.904	249.73	327.456	288.763	492.743	417.025	407.051	538.138	329.623	527.534	360.262	740.158	330.987	486.098	387.224	466.337	443.735	474.777	555.822	594.252	331.445	559.105	419.259	456.103	1019.28	378.017	415.127	893.832	1204.59	392.549	299.649	469.763	374.068	362.825	319.514	564.603	398.654	539.164	255.293	369.394	402.88	368.101	482.103	537.379	441.883	334.12	239.101	272.521	740.219	240.949	506.67	342.201	358.079	474.483	309.754	456.663	313.541	314.395	322.258	369.009	644.29	492.019	281.338	289.945	418.642	328.595	232.671	317.158	407.923	596.426	1264.56	361.785	400.259	513.853	461.759	397.687	525.268	440.685	402.253	441.895	279.887	338.559	642.945	400.356	393.288	326.434	399.47	430.228	594.499	300.62	413.705	428.91	283.37	468.274	358.135	404.128	366.924	326.051	541.794	409.518	267.958	294.012	235.976	347.618	338.344	379.21	433.502	650.549	467.665	358.675	301.882	301.893	355.459	470.137	257.861	599.34	616.811	305.928	446.017	346.327	455.367	452.178	390.857	394.421	624.407	541.615	487.333	394.932	386.433	368.775	334.763	473.751	329.749	263.631	325.13	350.676	512.755	321.461	450.269	390.55	493.822	576.812	333.071	362.277	379.45	486.802	312.4	308.443	506.951	483.626	248.9	383.562	309.438	393.991	492.497	289.397	528.999	287.983	273.684	366.487	358.703	319.214	354.633	425.091	392.568	402.395	339.277	399.584	277.426	516.687	432.682	362.149	480.653	340.741	354.49	242.978	366.135	391.778
CS	2750.24	2634.68	3077.78	3391.77	3535.91	2010.96	2587.33	2896.43	2144.6	2064.95	2741.62	2335.74	3172.54	3473.72	3578.22	1675.76	3081.89	2639.05	2671.46	4068.04	3113.37	2383.62	3402.37	4069.03	3069.74	2207.37	3515.47	1669.14	4123.12	2346.59	3359.25	2497.11	3311	2380.96	3212.18	2105.89	3687.39	2696.48	2781.41	2101.4	2527.55	3231.11	2748.82	2771.4	3038.46	3024.78	2836.64	3275.17	4345.21	2098.17	2436.9	2606.27	2405.75	2969.22	2640.03	2604.49	3474.18	3586.17	2266.21	3741.45	2419.28	3238.23	2856.2	3443.42	1751.98	1298.34	3277	3511.58	2434.14	2504.31	3012.64	2336.38	3006.93	2132.23	2485.52	2512.77	2083.41	1666.74	4138.53	3693.66	2873.33	2937.55	2548.61	2394.3	3797.51	2788.83	3124.93	2637.22	3157.22	2890.93	3642.52	2418.78	3033.52	2446.28	1772.61	2661.54	2824.61	2591.36	2121.36	2986.66	2651.31	2656.22	2479.43	2926	2262.04	2125.05	3368.86	2639.84	2878.64	2937.73	2646.57	3133.5	3489.02	2640.57	2682.05	2189.24	2959.04	2192.16	2687.46	1901.02	2614.2	3208.08	2044.64	2776.46	2197.9	2717.38	2420.08	3575.21	2421.15	3071.78	2908.55	2373.28	2441.24	2902.59	3405.94	3075.78	3077.86	2761.29	2038.22	2954.7	2764.05	2298.47	2442.29	2524.74	2848.09	2418.41	2178.05	2635.86	2801.67	1833.24	2645.69	2592.37	2356.12	2586.89	2345.98	2320.41	2694.3	2206.69	2704.72	2674.71	2468.61	3413.53	2400.21	2088.84	2381.19	2160.28	2192.14	2124.14	2426.92	2202.03	2571.58	2976.72	2518.5	2936.71	2354.59	2397.74	2174.07	2948.3	2940.74	3135.76	2896.15	3468.39	2491.33
DPP4	917.561	620.37	1795.32	332.785	146.838	325.661	278.095	379.197	146.341	171.988	434.222	320.513	1155.71	539.889	608.26	219.432	187.402	48.2606	67.6552	267.704	285.644	234.804	2393.47	623.049	2586.22	75.3541	624.811	584.197	119.64	5.3199	141.019	206.697	8621.23	4246.2	6212.63	180.58	1432.86	373.252	685.502	468.445	377.377	91.997	558.009	301.933	404.79	382.451	507.726	306.488	603.782	465.574	469.221	394.414	178.653	65.2061	335.414	619.77	487.567	542.952	377.241	273.71	336.945	485.156	574.91	466.15	290.833	298.867	1000.94	487.708	575.214	630.388	84.0954	533.584	393.992	681.477	187.308	1.0215	757.517	682.083	340.826	551.329	1129.29	1311.92	2378.59	404.904	1454.86	618.136	351.289	473.62	486.274	654.955	1673.13	355.168	617.816	295.272	540.418	622.478	779.377	741.247	360.211	530.876	205.424	579.556	78.6066	888.037	173.913	155.589	130.539	553.856	177.08	710.123	325.156	373.604	2571.88	542.546	254.955	342.698	359.913	1725.6	2901.44	254.007	311.502	152.452	529.865	441.3	794.603	792.194	774.673	577.349	451.375	188.337	736.204	363.981	568.37	156.115	97.1592	237.411	356.581	380.645	262.507	155.925	394.675	394.77	251.127	548.751	581.34	660.418	418.634	585.529	41.8669	216.63	523.858	159.854	488.8	392.751	748.321	365.905	294.16	359.02	274.249	284.03	126.819	79.1734	349.391	501.474	91.6218	263.989	163.756	125.97	233.252	550	499.219	855.374	162.994	210.97	272.944	678.828	1401.87	909.271	325.356	302.208	470.281	120.396	223.873
FANCD2	184.39	261.784	420.468	178.613	138.264	291.216	207.794	314.344	246.951	394.775	206.793	102.564	698.58	213.976	157.697	141.921	99.2126	454.45	261.817	223.978	100.99	64.6844	76.5579	155.462	157.642	151.275	175.753	146.667	259.413	47.3467	99.1958	53.1178	20.1733	37.5252	114.948	217.487	84.7481	182.542	320.446	586.744	158.947	250.187	250.589	23.32	93.147	145.345	245.585	136.465	326.737	233.302	250.59	130.109	349.735	811.163	292.551	160.981	336.637	116.667	157.931	441.916	158.705	212.889	312.618	275.293	575.147	190.494	92.9577	247.149	215.121	337.279	141.716	235.357	190.064	387.045	272.951	154.239	170.223	148.688	317.303	152.965	259.843	134.138	141.756	192.512	316.708	155.315	227.019	130.879	180.749	189.827	216.041	152.215	202.365	108.354	169.529	350.945	318.836	220.459	149.615	202.448	287.017	149.47	314.974	166.02	146.886	132.982	171.257	293.252	326.682	132.209	97.2973	179.695	197.595	144.316	127.613	189.504	61.7437	171.855	151.815	98.8	130.985	175.113	159.882	127.372	302.099	168.775	110.472	129.508	177.063	184.784	126.949	251.257	212.32	183.58	283.426	280.117	501.649	113.978	455.306	395.961	473.434	279.337	431.014	145.027	112.44	328.505	125.88	137.239	584.001	193.436	98.4772	122.402	209.075	268.123	181.823	324.421	232.156	160.066	183.687	119.507	279.834	472.014	242.446	170.526	451.249	154.665	221.834	311.693	338.611	81.7568	185.32	274.393	242.412	330.696	183.552	118.191	145.444	176.386	843.875	118.428	918.354	146.784	86.6766
FDFT1	3869.76	3485.27	2150.29	2004.23	4867.1	3036.79	2587.95	4227.87	4921.17	2593.98	3941.96	3947.92	978.958	3599.88	2329.79	1938.86	16105.5	10787.9	2384.15	11316	5197.52	3943.16	1018.4	2010.2	1928.99	2026.63	1212.54	1866.67	3567.9	1281.02	877.749	1009.82	1978.53	1704.82	1785.1	4358.08	1014.73	1957.33	5161.34	3460.26	3102.39	4505.98	2445.23	2217.86	2002.93	2963.16	4064.57	1834.45	3582.67	2882.54	2206.65	2807.22	3288.42	2950.44	3022.89	1707.44	4356.81	7853.5	2125.52	6455.65	3909.53	2393.92	8080.71	2940.79	2437.41	3380.65	3570.89	1915.41	2918.16	2761.85	2768.14	2788.82	2363.95	2217.34	5422.06	5684.37	2071.78	7390.1	2719.81	3258.08	3347.06	2133.98	2956.32	2233.27	2693.77	1947.29	2338.39	4256.44	2572.91	1689.56	1057.35	3301.02	2696.06	1528.82	2799.62	1860.39	4170.17	2020.79	2684.95	3484.53	3435.09	1825.46	3172.49	2692.87	2363.69	4847.85	3179.64	5988.75	6359.61	3314.72	2279.42	3191.88	3487.72	2681.42	3545.48	2641.93	3581.14	6859.11	1943.08	2000.18	3434.78	3293.78	1680.3	3566.42	3772.11	1661.73	2121.6	1859.22	2685.39	6444.59	2549.76	3012.43	2076.45	1869.05	3186.93	1550.29	2163.33	3065.23	2145.59	3075.21	2111.53	1931.12	1867.45	1884.86	3181.82	2619.51	1320.91	3671.25	1929.72	4174.88	4012.18	2462.66	4627.8	2101.29	3314.88	1824.21	2221.34	3436.08	3737.34	4244.37	3446.99	5198.21	2150.34	3928.84	2503.18	5431.93	2826.2	4502.05	3665.65	1845.95	2090.06	19165.9	3667.78	2637.13	1903.46	4249.74	2470.79	3995.15	2294.59	4195.66	2089.48	4028.04	2689.45
