gene	Amp	Del	tumor
DPP4	0.109259259259259	-0.256481481481481	BRCA
ATP5G3	0.116666666666667	-0.261111111111111	BRCA
NFE2L2	0.12037037037037	-0.263888888888889	BRCA
FANCD2	0.240740740740741	-0.171296296296296	BRCA
TFRC	0.348148148148148	-0.183333333333333	BRCA
SLC7A11	0.124074074074074	-0.22962962962963	BRCA
CDKN1A	0.275925925925926	-0.230555555555556	BRCA
HSPB1	0.327777777777778	-0.153703703703704	BRCA
FDFT1	0.157407407407407	-0.112037037037037	BRCA
EMC2	0.637037037037037	-0.0638888888888889	BRCA
RPL8	0.594444444444444	-0.0675925925925926	BRCA
HSPA5	0.181481481481481	-0.162037037037037	BRCA
NCOA4	0.176851851851852	-0.158333333333333	BRCA
CISD1	0.169444444444444	-0.15462962962963	BRCA
CARS	0.169444444444444	-0.163888888888889	BRCA
LPCAT3	0.288888888888889	-0.17962962962963	BRCA
CS	0.250925925925926	-0.194444444444444	BRCA
GLS2	0.246296296296296	-0.198148148148148	BRCA
MT1G	0.137962962962963	-0.191666666666667	BRCA
ALOX15	0.087037037037037	-0.155555555555556	BRCA
GPX4	0.157407407407407	-0.162962962962963	BRCA
SLC1A5	0.276851851851852	-0.167592592592593	BRCA
SAT1	0.250925925925926	-0.175925925925926	BRCA
ACSL4	0.2	-0.169444444444444	BRCA
