gene	Amp	Del	tumor
DPP4	0.222222222222222	-0.194444444444444	CHOL
ATP5G3	0.25	-0.194444444444444	CHOL
NFE2L2	0.25	-0.194444444444444	CHOL
FANCD2	0.0277777777777778	-0.111111111111111	CHOL
TFRC	0.333333333333333	-0.138888888888889	CHOL
SLC7A11	0.111111111111111	-0.166666666666667	CHOL
CDKN1A	0.305555555555556	-0.138888888888889	CHOL
HSPB1	0.25	-0.194444444444444	CHOL
FDFT1	0.138888888888889	-0.194444444444444	CHOL
EMC2	0.416666666666667	-0.138888888888889	CHOL
RPL8	0.444444444444444	-0.138888888888889	CHOL
HSPA5	0.0555555555555556	-0.222222222222222	CHOL
NCOA4	0.194444444444444	-0.222222222222222	CHOL
CISD1	0.222222222222222	-0.194444444444444	CHOL
CARS	0.111111111111111	-0.388888888888889	CHOL
LPCAT3	0.361111111111111	-0.166666666666667	CHOL
CS	0.25	-0.222222222222222	CHOL
GLS2	0.25	-0.222222222222222	CHOL
MT1G	0.166666666666667	-0.305555555555556	CHOL
ALOX15	0.111111111111111	-0.277777777777778	CHOL
GPX4	0.194444444444444	-0.277777777777778	CHOL
SLC1A5	0.194444444444444	-0.222222222222222	CHOL
SAT1	0.0833333333333333	-0.166666666666667	CHOL
ACSL4	0.0555555555555556	-0.25	CHOL
