gene	Amp	Del	tumor
DPP4	0.221729490022173	-0.248337028824834	COAD
ATP5G3	0.226164079822616	-0.239467849223947	COAD
NFE2L2	0.226164079822616	-0.241685144124169	COAD
FANCD2	0.124168514412417	-0.254988913525499	COAD
TFRC	0.223946784922395	-0.161862527716186	COAD
SLC7A11	0.0443458980044346	-0.30820399113082	COAD
CDKN1A	0.235033259423503	-0.274944567627494	COAD
HSPB1	0.536585365853659	-0.119733924611973	COAD
FDFT1	0.210643015521064	-0.150776053215078	COAD
EMC2	0.596452328159645	-0.157427937915743	COAD
RPL8	0.583148558758315	-0.133037694013304	COAD
HSPA5	0.201773835920177	-0.164079822616408	COAD
NCOA4	0.0753880266075388	-0.392461197339246	COAD
CISD1	0.0842572062084257	-0.365853658536585	COAD
CARS	0.159645232815965	-0.314855875831486	COAD
LPCAT3	0.268292682926829	-0.188470066518847	COAD
CS	0.241685144124169	-0.208425720620843	COAD
GLS2	0.241685144124169	-0.208425720620843	COAD
MT1G	0.297117516629712	-0.24390243902439	COAD
ALOX15	0.0443458980044346	-0.139689578713969	COAD
GPX4	0.201773835920177	-0.241685144124169	COAD
SLC1A5	0.235033259423503	-0.235033259423503	COAD
SAT1	0.312638580931264	-0.11529933481153	COAD
ACSL4	0.339246119733925	-0.124168514412417	COAD
