gene	Amp	Del	tumor
DPP4	0.206896551724138	-0.235632183908046	HNSC
ATP5G3	0.25095785440613	-0.224137931034483	HNSC
NFE2L2	0.25095785440613	-0.227969348659004	HNSC
FANCD2	0.053639846743295	-0.128352490421456	HNSC
TFRC	0.752873563218391	-0.0613026819923372	HNSC
SLC7A11	0.114942528735632	-0.252873563218391	HNSC
CDKN1A	0.229885057471264	-0.206896551724138	HNSC
HSPB1	0.344827586206897	-0.224137931034483	HNSC
FDFT1	0.189655172413793	-0.103448275862069	HNSC
EMC2	0.754789272030651	-0.0670498084291188	HNSC
RPL8	0.758620689655172	-0.0670498084291188	HNSC
HSPA5	0.408045977011494	-0.149425287356322	HNSC
NCOA4	0.124521072796935	-0.323754789272031	HNSC
CISD1	0.10727969348659	-0.331417624521073	HNSC
CARS	0.153256704980843	-0.189655172413793	HNSC
LPCAT3	0.363984674329502	-0.162835249042146	HNSC
CS	0.216475095785441	-0.233716475095785	HNSC
GLS2	0.216475095785441	-0.233716475095785	HNSC
MT1G	0.277777777777778	-0.241379310344828	HNSC
ALOX15	0.174329501915709	-0.256704980842912	HNSC
GPX4	0.103448275862069	-0.256704980842912	HNSC
SLC1A5	0.185823754789272	-0.308429118773946	HNSC
SAT1	0.172413793103448	-0.162835249042146	HNSC
ACSL4	0.323754789272031	-0.168582375478927	HNSC
