gene	Amp	Del	tumor
DPP4	0.381782945736434	-0.151162790697674	LUAD
ATP5G3	0.374031007751938	-0.155038759689922	LUAD
NFE2L2	0.377906976744186	-0.155038759689922	LUAD
FANCD2	0.102713178294574	-0.151162790697674	LUAD
TFRC	0.308139534883721	-0.124031007751938	LUAD
SLC7A11	0.143410852713178	-0.186046511627907	LUAD
CDKN1A	0.445736434108527	-0.168604651162791	LUAD
HSPB1	0.523255813953488	-0.0968992248062016	LUAD
FDFT1	0.180232558139535	-0.12015503875969	LUAD
EMC2	0.612403100775194	-0.11046511627907	LUAD
RPL8	0.627906976744186	-0.11046511627907	LUAD
HSPA5	0.135658914728682	-0.172480620155039	LUAD
NCOA4	0.242248062015504	-0.180232558139535	LUAD
CISD1	0.222868217054264	-0.178294573643411	LUAD
CARS	0.209302325581395	-0.201550387596899	LUAD
LPCAT3	0.362403100775194	-0.12984496124031	LUAD
CS	0.37984496124031	-0.135658914728682	LUAD
GLS2	0.381782945736434	-0.137596899224806	LUAD
MT1G	0.273255813953488	-0.125968992248062	LUAD
ALOX15	0.12984496124031	-0.12984496124031	LUAD
GPX4	0.0910852713178295	-0.143410852713178	LUAD
SLC1A5	0.197674418604651	-0.158914728682171	LUAD
SAT1	0.174418604651163	-0.197674418604651	LUAD
ACSL4	0.304263565891473	-0.193798449612403	LUAD
