	TCGA-AG-A011-01	TCGA-EI-6512-01	TCGA-AG-3578-01	TCGA-AG-3587-01	TCGA-F5-6863-01	TCGA-AG-3742-01	TCGA-DC-5337-01	TCGA-AG-3609-01	TCGA-DC-6682-01	TCGA-AG-3583-01	TCGA-AH-6643-01	TCGA-CI-6619-01	TCGA-AF-3911-01	TCGA-CI-6622-01	TCGA-DC-6158-01	TCGA-AF-2693-01	TCGA-AG-3890-01	TCGA-AG-3881-01	TCGA-AF-2689-01	TCGA-DY-A0XA-01	TCGA-F5-6702-01	TCGA-G5-6233-01	TCGA-AG-A014-01	TCGA-AG-A00Y-01	TCGA-EI-6510-01	TCGA-DC-6156-01	TCGA-AG-4021-01	TCGA-AG-3727-01	TCGA-AH-6903-01	TCGA-EI-6882-01	TCGA-AG-A002-01	TCGA-AG-3909-01	TCGA-AF-2687-01	TCGA-AG-A016-01	TCGA-AF-3400-01	TCGA-AG-3887-01	TCGA-AG-3878-01	TCGA-AG-4005-01	TCGA-EF-5830-01	TCGA-AF-6136-01	TCGA-AG-A01W-01	TCGA-AF-A56L-01	TCGA-AG-3580-01	TCGA-AG-4008-01	TCGA-AG-A00C-01	TCGA-AG-3574-01	TCGA-AG-3584-01	TCGA-AG-A00H-01	TCGA-EI-6507-01	TCGA-AG-3602-01	TCGA-AG-3592-01	TCGA-AH-6547-01	TCGA-EI-6508-01	TCGA-AG-3599-01	TCGA-AG-A026-01	TCGA-EI-6883-01	TCGA-AG-3999-01	TCGA-DY-A1DE-01	TCGA-DC-6681-01	TCGA-AG-A01Y-01	TCGA-EI-6513-01	TCGA-EI-6506-01	TCGA-G5-6641-01	TCGA-AG-A032-01	TCGA-F5-6813-01	TCGA-AG-3601-01	TCGA-AG-A020-01	TCGA-AG-3582-01	TCGA-DC-6683-01	TCGA-AF-3913-01	TCGA-DC-6157-01	TCGA-G5-6572-01	TCGA-CI-6623-01	TCGA-AG-A023-01	TCGA-DC-6155-01	TCGA-BM-6198-01	TCGA-AG-A01J-01	TCGA-AF-2692-01	TCGA-AG-3896-01	TCGA-AG-3892-01	TCGA-EI-6885-01	TCGA-DT-5265-01	TCGA-G5-6235-01	TCGA-AG-4001-01	TCGA-AG-A015-01	TCGA-AG-A008-01	TCGA-DY-A1DD-01	TCGA-DC-4745-01	TCGA-AF-A56K-01	TCGA-DC-4749-01	TCGA-F5-6571-01	TCGA-EI-6884-01	TCGA-AG-3885-01	TCGA-AF-2690-01	TCGA-AG-3894-01	TCGA-AG-4007-01	TCGA-AG-3591-01	TCGA-AG-4022-01	TCGA-AG-3605-01	TCGA-CI-6621-01	TCGA-AG-3731-01	TCGA-AG-A02N-01	TCGA-AG-3586-01	TCGA-F5-6465-01	TCGA-F5-6810-01	TCGA-F5-6861-01	TCGA-F5-6814-01	TCGA-DY-A1DF-01	TCGA-AG-3581-01	TCGA-EI-6514-01	TCGA-AH-6544-01	TCGA-AG-3612-01	TCGA-AF-6672-01	TCGA-EI-7002-01	TCGA-AG-3725-01	TCGA-AG-A02X-01	TCGA-AG-3611-01	TCGA-DY-A1H8-01	TCGA-AG-3598-01	TCGA-AG-3594-01	TCGA-AG-3600-01	TCGA-CI-6624-01	TCGA-AG-A02G-01	TCGA-F5-6864-01	TCGA-AG-3883-01	TCGA-AH-6897-01	TCGA-F5-6812-01	TCGA-DC-6160-01	TCGA-AH-6644-01	TCGA-EI-6511-01	TCGA-DY-A1DG-01	TCGA-CL-4957-01	TCGA-EI-7004-01	TCGA-AG-A025-01	TCGA-AG-A01L-01	TCGA-DC-6154-01	TCGA-AF-5654-01	TCGA-AG-3893-01	TCGA-AG-3882-01	TCGA-AG-4015-01	TCGA-CL-5917-01	TCGA-CL-5918-01	TCGA-AG-3728-01	TCGA-EF-5831-01	TCGA-AG-3901-01	TCGA-AG-3898-01	TCGA-AG-3902-01	TCGA-AF-4110-01	TCGA-DC-5869-01	TCGA-AF-2691-01	TCGA-AG-A01N-01	TCGA-AF-A56N-01	TCGA-AG-3575-01	TCGA-EI-6917-01	TCGA-AF-6655-01	TCGA-AG-3593-01	TCGA-AG-3732-01	TCGA-EI-6509-01	TCGA-AG-3726-01	TCGA-AG-3608-01	TCGA-CI-6620-01	TCGA-DY-A1DC-01	TCGA-EI-6881-01	TCGA-F5-6464-01	TCGA-F5-6811-01
DPP4	-0.038	0.032	0.009	0.121	0.534	-0.002	0.009	0.761	0.124	-0.008	-0.04	0	0.029	0	0.036	0.013	0.083	-0.343	0.426	0.021	0.032	0.279	0.051	-0.008	0	0.236	-0.003	-0.008	0.014	0.006	-0.003	0	0.145	0.04	0.045	-0.009	0.005	-0.005	0	0.268	0.48	-0.22	0.004	0	-0.022	0.78	-0.001	-0.246	0.001	-0.025	0.01	0	0.015	-0.015	0.016	-0.009	0.375	0.269	-0.019	0.007	0.035	0.001	0	0.316	-0.004	0.027	0.037	0.016	0.019	0.283	0.245	0.501	0	-0.005	0.005	0.148	-0.019	0.004	0.266	0.003	0.274	0.032	0.012	-0.189	-0.003	0	-0.017	0	0.399	0.01	-0.248	-0.007	-0.007	0.272	-0.002	0.408	0.196	0.209	-0.02	0.134	0	-0.005	-0.001	0.494	0.021	0.008	-0.395	0.019	-0.011	0.328	0.014	-0.043	-0.015	-0.018	-0.024	-0.612	-0.196	-0.008	0.029	0.005	0.736	0.053	-0.597	0.217	0.019	0.443	0.076	-0.001	-0.019	-0.022	-0.018	0.025	-0.087	-0.016	0.082	0.593	0.542	-0.039	0.118	0.016	0.569	0.297	0.016	0.267	0.032	0.37	-0.016	0.002	0.293	0.012	0.383	0.013	-0.005	0.011	0.008	0.095	0.024	0	-0.012	-0.012	0.013	-0.01	0.005	0.385	0
ATP5G3	-0.654	0.032	0.008	0.121	0.534	-0.002	0.009	0.761	0.124	-0.008	-0.04	0	0.029	0	0.036	0.013	0.083	-0.343	0.426	0.021	0.032	0.279	0.051	0.017	0	0.236	-0.003	-0.002	0.014	0.006	-0.003	0	0.145	0.04	0.045	-0.009	0.005	-0.005	0	0.286	0.452	-0.22	0.004	0	-0.005	0.78	-0.001	-0.246	0.001	-0.025	0.01	0	0.012	-0.015	0.016	-0.009	0.368	0.269	-0.019	0.007	0.035	0.001	0	0.316	-0.004	0.763	0.037	0.016	0.019	0.283	0.245	0.501	0	-0.005	0.005	0.165	-0.019	0.004	0.266	0.003	0.274	0.032	0.012	-0.189	-0.003	0	-0.01	0	0.399	0.01	-0.248	-0.007	0.023	0.331	-0.002	0.408	0.196	0.209	-0.02	0.134	0.021	-0.005	-0.001	0.494	0.021	0.008	0.034	0.007	-0.011	0.328	0.014	-0.007	-0.022	-0.018	-0.024	-0.612	-0.202	-0.008	0.029	0.005	0.736	0.053	-0.598	0.217	0.019	0.443	0.076	-0.001	-0.019	-0.022	-0.018	0.401	-0.448	-0.016	0.082	0.593	0.578	-0.039	0.118	0.016	0.569	0.297	0.016	0.294	0.032	0.37	-0.016	0.002	0.293	0.012	0.383	0.013	-0.005	0.011	-0.002	0.095	0.024	0	-0.012	-0.012	0.013	-0.01	0.005	0.385	-0.014
NFE2L2	-0.654	0.032	0.008	0.121	0.534	-0.002	0.009	0.761	0.124	-0.008	-0.04	0	0.029	0	0.036	0.013	0.083	-0.343	0.426	0.021	0.032	0.279	0.051	0.017	0	0.236	-0.003	-0.002	0.014	0.006	-0.003	0	0.145	0.04	0.045	-0.009	0.005	-0.005	0	0.286	0.452	-0.22	0.004	0	-0.005	0.78	-0.001	-0.246	0.001	-0.025	0.01	0	-0.751	-0.015	0.016	-0.009	0.368	0.269	-0.019	0.007	0.035	0.001	0	0.316	-0.004	0.763	0.037	0.016	0.019	0.283	0.245	0.501	0	-0.005	0.005	0.165	-0.019	0.004	0.266	0.003	0.274	0.032	0.012	-0.189	-0.003	0	-0.01	0	0.399	0.01	-0.248	-0.007	0.023	0.331	-0.002	0.408	0.196	0.209	-0.02	0.134	0.021	-0.005	-0.001	0.494	0.021	0.008	0.034	0.007	-0.011	0.328	0.014	-0.007	-0.022	-0.018	-0.024	-0.612	-0.202	-0.008	0.029	0.005	0.736	0.053	-0.598	0.217	0.019	0.443	0.076	-0.001	-0.019	-0.022	-0.018	0.401	-0.448	-0.016	0.082	0.593	0.578	-0.039	0.118	0.016	0.569	0.297	-0.364	0.294	0.032	0.37	-0.016	0.002	0.293	0.012	0.383	0.013	-0.005	0.011	-0.002	0.095	0.024	0	-0.012	-0.012	0.013	-0.01	0.005	0.385	-0.014
FANCD2	-0.001	-0.482	0.028	-0.088	0.012	-0.024	0.006	-0.062	-0.493	-0.361	0.013	-0.163	0.015	0.007	0.01	-0.005	-0.061	-0.356	0.003	0.028	0.166	-0.162	-0.016	0.054	1.449	-0.071	-0.814	-0.834	0.006	-0.003	-0.001	0.021	-0.077	0.116	-0.137	0.014	0.002	0.485	0.03	0.033	0.027	0	0.002	0.005	-0.035	0.004	-0.754	0.047	0.002	0.008	0.515	0.003	0.085	-0.01	0.044	-0.001	-0.018	0.43	0.144	0.013	0.017	0.01	0.39	-0.032	0.014	-0.012	0.123	0.014	0.029	0.034	0	-0.005	0.206	-0.012	0.008	-0.466	0	-0.149	0.282	0.001	0.05	-0.348	-0.01	0.184	-0.009	0.057	0.003	0.538	-0.003	-0.014	0.05	-0.01	-0.576	0	-0.009	0	0.245	-0.014	0.072	-0.032	-0.158	-0.014	-0.001	-0.002	-0.148	0.007	-0.09	-0.045	0.012	-0.581	-0.374	0.257	0.418	0.018	0.348	0.023	0.339	-0.01	-0.008	-0.003	0.003	-0.204	-0.066	0.558	0.012	0.004	0.086	0.004	0	-0.012	0.013	0.002	0.007	-0.001	0.171	-0.004	0	-0.044	-0.049	0.036	0.006	0.066	-0.045	0.417	-0.01	0.018	-0.004	-0.286	0.297	0.02	-0.026	0.021	0.005	0.008	0.352	0.617	0.041	0.023	-0.035	0.01	0.027	0.014	0.041	-0.039	0.267
TFRC	0.032	0.025	-0.432	-0.08	0.618	0.663	0.008	-0.036	0.172	-0.373	-0.003	-0.165	0.531	0.007	0.005	0.029	-0.044	0.093	0.007	0.055	0.177	-0.162	0.008	0.048	0.706	0.501	0.068	0.032	0	0	0.02	0.021	-0.061	0.049	-0.114	0.03	0.002	-0.003	0.031	0.033	0.035	0	0.013	0.009	0.026	-0.003	0.063	0.029	0	0.014	0.508	0.001	0.097	0.005	0.027	0.021	0.42	0.046	0.161	0.029	0.029	0.013	-0.048	-0.032	0.014	-0.071	0.13	0.02	0.029	0.948	0	-0.005	0.225	0	0.003	-0.084	0	0.033	0.326	0.001	-0.392	-0.348	-0.001	0.117	-0.005	0.052	0.008	0.58	0.003	0.029	0.071	0.418	0.534	0.044	-0.001	0.007	0.238	-0.014	0.072	-0.031	-0.132	-0.014	-0.009	0	0.263	0.007	-0.068	-0.085	-0.002	0.443	0.02	1.062	0.416	-0.514	0.337	0.023	0.463	-0.039	0.005	0.01	0.293	0.097	-0.071	-0.015	0.01	0.027	0.077	0.027	-0.022	-0.014	0.005	0.472	-0.015	0.011	0.21	-0.004	0.012	0.072	0.04	0.05	0.975	0.039	-0.023	0.424	-0.015	0.048	-0.001	-0.266	0.34	0.018	-0.026	-0.056	0.011	0.015	0.547	0.662	-0.088	0.018	0.653	-0.075	0.027	1.15	0.021	-0.033	0.281
SLC7A11	0.706	-0.003	0	-0.086	-0.038	-0.69	0.009	-0.006	0.121	-0.005	-0.454	-0.21	-0.51	-0.002	-0.359	-0.601	0.204	-0.366	-0.005	-0.195	-0.364	-0.119	-0.02	-0.104	-0.06	-0.366	-0.773	-0.023	0.012	0	-0.012	-0.308	0.256	-0.001	-0.162	-0.018	0	-0.45	-0.097	-0.354	-0.418	-0.218	0.018	0.024	-0.048	0	-0.013	-0.608	-0.004	-0.003	-0.252	-0.002	0.009	0.02	-0.049	-0.029	-0.444	-0.514	-0.003	-0.786	-0.805	0.014	-0.109	-0.079	0	-0.659	-0.028	-0.562	-0.087	-0.111	-0.196	-0.036	-0.076	-0.013	-0.021	-0.469	-0.014	-0.547	-0.23	0	-0.013	-0.02	-0.018	-0.194	-0.01	-0.537	-0.054	-0.055	0.021	-0.529	-0.536	-0.03	-0.134	-0.293	-0.001	-0.018	-0.003	-0.065	-0.761	-0.375	0.399	-0.012	-0.024	-0.011	-0.223	-0.017	-0.08	-0.081	-0.021	-0.086	-0.15	-0.826	-0.03	-0.82	-0.569	-0.626	-0.519	-0.016	0.008	0.007	0.112	-0.215	-0.05	-0.006	-0.396	-0.009	-0.448	-0.544	-0.034	-0.124	0.403	0.016	-0.007	-0.012	-0.383	-0.016	0	0.391	-0.013	-0.484	-0.026	-0.006	-0.333	-0.405	-0.055	-0.271	0.441	-0.313	-0.257	-0.187	-0.015	-0.059	0.01	-0.015	-0.022	-0.422	-0.569	-0.822	-0.025	0.033	-0.52	-0.047	-0.304	-0.139	-0.428
CDKN1A	-0.686	0.459	0.021	0.334	-0.03	0.001	0.002	0.703	0.739	0	-0.002	0.19	0.548	0.001	0.027	0.569	0.04	0.009	0	0.027	0.212	0.298	-0.016	0.098	-0.007	0.231	-0.692	0.015	0.009	0	0.012	0.016	0.428	1.062	-0.106	0.011	0.006	0.439	0.072	0.373	0.027	0.14	0.011	-0.007	0	-0.008	-0.742	0.085	0	0.884	0.97	-0.005	0.025	0.004	0.011	-0.715	0	0.52	-0.035	-0.025	0.025	0.135	0.249	-0.044	0.02	0.554	0.013	0.9	-0.092	0.513	0.198	0	0.333	-0.008	0.051	0.165	-0.007	-0.547	0.223	0	-0.024	-0.601	0	0.095	1.125	-0.508	-0.017	-0.142	0.054	0.021	0.095	-0.015	-0.046	-0.254	0.003	0.444	0.277	0.339	0.005	0.473	-0.001	-0.001	0.007	0.571	0.31	0.011	0.03	-0.485	0	0	0.013	0.509	-0.011	0	0.523	0.033	-0.23	-0.023	0.008	0.003	0.106	-0.05	0.051	-0.011	0.389	0.008	0.061	0.013	0.371	-0.504	0.002	0.008	-0.011	-0.003	0.16	0.642	-0.002	-0.007	0.032	0.55	-0.012	-0.007	0.583	-0.008	-0.053	0.049	-0.006	-0.245	0.509	0.211	0.406	-0.014	-0.002	0.003	-0.015	-0.274	0.001	0.015	-0.002	0.014	0.009	0.008	0.022	-0.047	0.031
HSPB1	0.021	0.45	0.016	0.435	0.54	0.67	0.009	0.824	0.196	0.015	0.306	0.39	-0.001	-0.004	0.45	0.026	0.276	0.065	0.393	-0.033	0.304	0.398	1.354	0.065	0.718	0.433	0.019	-0.019	0.01	-0.001	0.005	0.615	0.153	1.156	0.098	-0.012	0.327	0.009	0.723	0.363	-0.028	0.143	0	0.216	0.079	-0.01	0.709	0.147	-0.004	-0.001	1.14	0.099	0.039	0.171	0.006	0.603	0.427	0.015	0.032	0.043	0.008	-0.083	0.244	0.469	0.512	0.571	0.094	0.544	0.455	0.978	0.785	0.59	0.706	0.003	0.002	0.119	0.532	0.019	0.281	-0.002	-0.016	0.617	0.33	0	1.217	-0.547	1.447	0.466	0.896	0.6	0.11	0.1	1.263	-0.051	-0.006	0.447	-0.237	1.136	0.829	0.555	0.023	-0.011	-0.018	0	0.724	0.012	0.045	1.581	0.636	1.206	0.109	1.433	0	0.521	1.062	0.015	0.861	0.004	0.002	0.002	0.004	0.069	0.377	0.518	0.078	0.456	-0.029	0	0.018	1.057	-0.001	0.091	0.841	0.001	0.2	0.635	0.605	0.372	0.493	0.02	0.638	0.651	0.367	0.015	0.02	0.537	0	0.319	0.328	0.028	0.864	0.006	-0.002	0.001	0.526	0.019	0.025	0.011	-0.002	0.985	0.069	0.656	0.018	0.873	0.783
FDFT1	-0.006	-0.029	-0.893	-0.645	-0.461	-0.746	-0.042	-0.092	-0.861	0	0.474	0.161	-1.147	-0.026	-0.805	-0.651	-0.327	-0.381	-0.486	-0.773	-0.672	-0.708	-0.685	-0.879	-0.052	-0.431	-0.806	-0.832	-0.003	-0.003	0.009	-0.697	-0.087	-0.114	-0.18	0.699	-0.006	-0.482	-0.782	-0.387	-0.209	-0.61	-0.001	-0.615	-0.055	0.863	-0.757	-0.69	-0.006	-0.004	-1.152	-0.113	-0.021	0.037	-0.672	-0.727	-0.449	-1.13	0.001	-0.856	-0.858	-0.012	-0.587	-0.094	-0.609	-0.734	-0.292	-1.173	-0.903	-0.749	-0.959	0.555	0.487	-0.601	-0.968	-0.474	-0.526	-0.525	-0.749	-0.001	-0.416	-0.623	0.013	-0.865	-0.018	0.009	-0.886	-0.876	-0.04	-0.434	-0.697	-0.35	0.01	-0.369	-0.009	0.916	-0.764	0.575	-0.827	-0.437	0.026	-0.01	-0.768	0.551	-0.195	-0.005	-0.027	0.596	0	0.135	0.296	-0.053	-0.979	-1.103	-0.095	-1.287	-1.293	0.009	-0.017	-0.686	-0.586	-0.491	-1.171	-0.628	-0.412	-0.018	-0.101	-0.016	-0.895	-0.648	-0.096	-0.997	-0.451	-0.013	-0.262	-0.048	-0.015	-0.65	-0.03	-0.546	-0.743	0.562	-0.438	-0.894	-0.024	0.29	-0.514	0.058	-0.269	-0.416	-0.954	0.013	-0.017	-0.008	-0.629	-0.887	-0.636	0.76	-0.746	-0.002	0.01	-0.728	0.009	-0.54	-0.055
EMC2	1.579	-0.012	1.696	1.762	1.122	0.675	-0.007	-0.059	0.437	0	0.466	0.723	0.994	-0.015	0.828	0.007	0.234	0.457	0.49	0.986	0.643	0.522	1.794	0.399	-0.052	0.502	1.261	-0.019	-0.003	-0.007	0.003	-0.006	0.307	2.393	0.236	0.665	-0.006	0.422	0.985	0.028	0.364	0.843	-0.001	0.908	0.028	0.848	1.458	0.246	-0.006	-0.004	0.338	0.283	-0.012	0.043	1.147	1.116	1.188	-0.031	0.001	1.569	0.79	-0.012	0.774	0.38	-0.063	0.712	0.096	0.894	0.697	0.493	0.382	0.555	0.498	0.539	0.825	0.186	2.087	0.148	0.287	-0.006	3.111	0.035	0.461	0.2	-0.016	0.009	1.347	-0.088	1.152	0.414	0.692	0.132	-0.06	0.856	-0.009	0.875	1.157	0.545	0.933	0.484	0.519	1.339	0.699	0.551	0.245	-0.005	0.131	0.572	0	0.135	0.29	1.744	0.571	0.03	-0.095	-0.643	-0.197	0.754	1.107	-0.086	1.603	0.305	0.039	1.052	0.347	-0.018	-0.056	-0.016	0.722	0.553	-0.115	0.019	0.008	-0.013	-0.271	1.211	-0.002	-0.018	-0.03	0.52	1.552	0.64	0.078	-0.014	-0.029	0.314	0.73	0.058	0.413	0.489	1.716	0.009	-0.008	-0.005	0.493	0.083	0.75	0.768	0.631	0.015	0.01	1.168	0.004	0.871	0.125
