gene	Amp	Del	tumor
DPP4	0.229024943310658	-0.154195011337868	STAD
ATP5G3	0.247165532879819	-0.147392290249433	STAD
NFE2L2	0.247165532879819	-0.145124716553288	STAD
FANCD2	0.151927437641723	-0.229024943310658	STAD
TFRC	0.408163265306122	-0.0997732426303855	STAD
SLC7A11	0.0770975056689342	-0.231292517006803	STAD
CDKN1A	0.281179138321995	-0.235827664399093	STAD
HSPB1	0.510204081632653	-0.131519274376417	STAD
FDFT1	0.448979591836735	-0.124716553287982	STAD
EMC2	0.709750566893424	-0.0884353741496599	STAD
RPL8	0.689342403628118	-0.0884353741496599	STAD
HSPA5	0.276643990929705	-0.251700680272109	STAD
NCOA4	0.240362811791383	-0.301587301587302	STAD
CISD1	0.242630385487528	-0.294784580498866	STAD
CARS	0.165532879818594	-0.326530612244898	STAD
LPCAT3	0.306122448979592	-0.131519274376417	STAD
CS	0.310657596371882	-0.136054421768707	STAD
GLS2	0.303854875283447	-0.142857142857143	STAD
MT1G	0.142857142857143	-0.303854875283447	STAD
ALOX15	0.104308390022676	-0.195011337868481	STAD
GPX4	0.149659863945578	-0.219954648526077	STAD
SLC1A5	0.306122448979592	-0.226757369614512	STAD
SAT1	0.27891156462585	-0.133786848072562	STAD
ACSL4	0.285714285714286	-0.160997732426304	STAD
