	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-A45N-01	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-HZ-A9TJ-06	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7654-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01	TCGA-H6-8124-11	TCGA-H6-A45N-11	TCGA-HV-A5A3-11	TCGA-YB-A89D-11
ALKBH5	2261.28	1894.09	2443.81	2049.12	2063.24	2186.87	1945.85	1892.91	1619.62	1957.78	2156.68	1981.5	3865.29	2198.31	2696.24	1830.79	2074.96	1177.79	1673.67	1700.89	1469.19	1762.26	8978.92	2127.18	2084.05	1785.75	2094.47	2627.04	1654.62	3364.6	5262.19	5725.84	3771.42	3644.76	3677.31	1452.83	8128.78	2041.85	2211.15	1891.14	1848.52	2056.97	1465.91	2687.94	2522.03	2157.07	2197.02	2344.52	1516.27	1243.69	2252.04	2112.2	1834.08	1922.74	1398.98	2128.58	2101.03	1940.02	2333.5	2400.87	2129.82	2443.57	1661.32	2141.33	1553.2	1128.48	1273.02	2271.15	2321.9	1421.76	1266.66	1715.71	2437.26	1334.01	1404.49	1907.8	2205.09	1482.17	2593.77	2168.89	1282.12	2989.52	1599.45	2228.32	2265.79	1929.05	1920.68	2410.57	2017.83	2036.55	1764.98	1433.04	1932.8	2324.18	1660.98	1860.85	2473.44	2118	2201.08	3143.9	1824.7	1869.65	1783.41	2500.99	2202.63	2124.72	1646.99	1018.59	1797.57	1369.49	1859.01	1898.95	1833.48	1980.18	2616.2	1577.75	1472.85	1929.95	1322.92	2331.22	1757.84	3327.02	1801.23	1729.55	1808.1	1970.48	2294.88	1506.24	2007.1	1473.19	2688.29	1854.01	2713.29	1658.37	1934.8	1872.28	1406.46	2200.41	1509.02	1470.91	1967.22	2011.34	2589.69	2042.76	2337.94	1568.72	2508.94	2080.23	2505.21	1539.54	2338.53	2008.48	1503.12	1473.06	1750.99	2329.39	1770.65	1861.31	2072.1	2392.68	1138.29	1312.81	1824.41	1875.32	2396.55	1687.67	1943.46	1269.54	2723.2	2802.89	2543.77	1928.96	1673.53	1931.84	2161.52	2108.36	1902.32	1346.66	2191.08	1812.71	2245.07	2027.27	2346.18
FTO	790.244	924.242	822.807	1319.86	809.218	976.358	930.476	976.699	815.331	1142.96	937.660999999999	796.474	928.459	1004.95	1069.46	864.629	650.394	628.192	535.681	943.038999999999	607.921	554.345	872.404	653.061	769.653	605.666	1069.43	815.803	762.366	1952.39	999.999999999999	1042.73	1170.57	1655.93	1122.22	782.074	1707.31	1114.85	532.342	874.571	743.54	817.502	1010.6	1287.51	1367.93	1212.32	838.852	1063.76	727.792	924.967	806.247	722.752	800.151	660.407	614.232	1009.24	576.595	662.311	1297.93	649.169	789.816	905.865	725.89	811.391	1238.25	464.069	715.493	1139.36	893.219	645.474	598.791	653.412	952.051	647.752	473.198	301.328	1014.55	650.962	489.284	1274.44	1203.76	1584.89	1244.54	1331.68	803.491	1439.6	858.37	1018.4	1355.44	1219.19	1277.71	1074.97	1089.33	1219.84	1111.6	764.329	784.121	993.982	743.696	838.399	861.531	872.71	970.404	1049.46	997.65	643.632	560.479	1287.56	971.758999999999	1117.48	1221.21	1226.9	1170.41	1197.41	1109.96	1168.57	1021.72	981.455	1353.15	1250.77	1413.32	751.133	1565	1204.67	1825.34	1702.93	1161.67	971.314	1186.75	821.373999999999	1111.17	881.298	968.108	836.951	750.971	892.701	668.019	865.950000000001	817.313	568.117	1081.07	933.673	894.049	1165.12	1020.33	840.222	1446.38	970.9	854.427	1005.68	647.716	1004.8	735.784	477.656	803.569	744.042	515.501	910.992	1001.72	1077.71	622.453	709.03	862.89	965.474	514.944	559.214	706.987	498.859	834.957	1500	1075.48	694.899	904.366	895.042	889.75	1167.01	1065.42	567.082	801.709	1198.93	782.495	879.054	916.79
HNRNPA2B1	10586.3	13541.2	15015.2	15061.8	12338.7	10410.5	10591.6	14311	11970.8	13375.9	14508.2	12756.4	18212.5	12369.8	11426.8	14365.7	11070.9	13299	12725.7	15265.5	13118.3	13226.7	11353.1	13987.4	12073.1	11193.8	12298.7	13788.1	14335.5	10480.1	9474.54	9221.71	13061.4	12147.5	13114	12694.2	10654.1	11667.2	12664.7	14471.6	14580.2	12566.6	13848.1	9294.88	10206	12061.3	12408.4	10409.4	16903.7	13286.9	10901.8	10226.8	11078.7	12669.3	12782.4	10893.2	18125.5	11161.5	12564.1	13438.1	12117.6	14343.2	13881.3	17298.5	13448.6	12714.6	12148.4	13636	10095.1	14486	10057.2	10188.1	10828.4	19391.3	13009.9	8010.21	11220.2	15404.4	10528	10812.3	15123.2	13386.2	10430	11263.1	13468.1	10830.2	13247.4	11111.7	13385	12211.3	12206.1	14393.4	14395.3	12196.3	13642.2	14683.6	15327.5	10909.2	10478.2	10278.6	11968.3	10274.3	13981.5	11429.8	12695.7	14837.4	15474.9	13628.2	15411.2	12145.4	13323.1	16884.3	13699.9	11286.6	8884.88	12019.9	11112	11066.2	11903.3	10471.8	11213	13697.6	11250.2	11988.8	14060.7	12890.9	11301	13311.4	11686.9	11908.9	10643.1	9801.69	11402.8	14596.3	13943.7	15717.3	12843	12136.2	15162.5	15904.8	15351.4	12919.6	13633.9	13023	11553.2	15527.5	11513.5	12644.5	12711.7	15977.7	13860.4	11315.8	11040.8	8009.43	14246.1	14630.3	13978.4	14684	14779.4	14610.4	14089.4	13416.6	13192.7	9930.53	15290.1	10103.6	12677.7	12591.5	11841	10992.6	11513.3	12353.1	11978.4	13593.9	11732.4	13239.5	14004.1	16358.9	19734.5	12669.8	19231.9	11878	12429.4
HNRNPC	6309.27	8710.02	9039.77	7944.54	6481.24	5704.71	7136.73	7255.78	7876.74	8359.94	9468.62	7568.91	7851.13	6505.88	5995.62	7804.59	7130.71	8757.29	6403.15	7833.88	7973.27	8822.31	7299.7	10697.5	5955.62	5701.42	8572	6903.7	6548.06	9448.05999999999	5447.19	5268.48	7352.9	7702.31	7024.08	7953.43	6234.88	7071.77	10423	5698.97	6882.5	6196.71	8813.6	4805.15	6937.59	7259.54	7890.73	6926.17	10765.2	8268.57	6538.59	4829.02	6825.89	9704.75	7316.69	6033.52	5950.27	8522.99	7152.41	8284.51	6886.78	8686.46	8417.01	9782.16	9772.45	12686.8	9185.92	9801.53	5943.1	7130.39	6363.22	7143.47	6480.07	8367.24	10443.6	6623.08	6808.92	8997.19	10092.5	7460.53	9312.76	7897.83	6944.33	6481.44	6822.19	9532.16	7602.27	10748.9	7542.96	6291.03	9248.38	8235.14	6724.61	6878.26	8791.05	8572.21	7250.04	6619.8	7605.43	7348.65	7257.5	6450.34	7961.96	6642.64	7624.56	9265.51	9000.6	7813.56	6785.74	9117.79	7328.9	12340.6	7750.13	8209.67	7304.1	7990.19	6634.5	7591.51	8389.38	8108.96	8890.47999999999	9667.9	6976.9	8012.01	10465.5	6755.69	6572.02	9264.52	7477.33	7611.16	6475.36	7788.22	6620.8	11776.6	7793.13	7637.56	11755.5	6560.57	6681.28	9669.31	8204.14	7965.56	7650.14	7179.32	7467.11	7715.81	6987.58	7182.07	7097.73	6962.31	7807.11	7642.84	6560.02	7957.3	9366.59	9200.27	7715.93	7513.74	8274.25	9146.84	5936.38	9315.23	6636.32	6416	7654.58	7310.59	5603.93	5350.07	7959.81	6983.11	6894.33	7700.84	5748.44	7629.75	6650.18	7387.98	6992.41	8683.94	10181.2	7969.9	8969.3	6827.93	7984.65
IGF2BP1	1.4634	5.0505	0.5848	30.0823	4.2872	32.5661	9.8659	69.1061	0.8711	7.9826	2.1496	36.0577	75.2236	1.2369	10.6383	9.8253	1.5748	16.0869	3.2437	4.8585	2.9703	9.7027	0	88.8355	5.9172	13.0312	14.9148	9.8765	20.9079	0	0.5362	0.5774	0	0	0	6.5905	0	5.7172	4.461	19.0124	7.8011	0.374	14.4287	0	1.3307	1.6745	29.8013	8.9485	181.618	3.6051	17.4324	2.0436	12.112	14.0845	6.6583	3.6484	1.3911	0.8974	51.0345	2.2528	5.9588	7.9652	44.406	0.9993	1.396	6.0074	6.5728	41.1915	24.1621	14.5474	197.78	1.612	19.0641	692.72	8.626	5.1073	3.3948	80.3977	33.4553	1.636	1.5844	1.2536	64.2398	14.9105	0.9975	2.1964	54.5574	0.409	91.6221	50.8652	101.337	210.526	3.0585	13.7091	91.9339	126.481	0.3163	6.5646	6.0959	0.5501	59.0353	3.3751	16.607	13.8037	17.0388	3.3245	45.509	67.0126	163.995	4.2945	4.5738	10.1523	13.5912	1.3615	3.8012	12.4569	129.383	17.7897	7.1575	5.956	0.5504	18.9534	2.0498	3.8598	52.4738	22.0455	6.8616	4.6623	37.9698	2.0306	14.7045	196.983	53.7353	0.4818	2.684	24.3381	107.532	1.4337	109.05	321.687	17.1598	4.4643	3.156	2.4498	1.7943	69.8764	0.8282	5.1121	3.8449	52.8818	22.335	1.8269	13.7852	8.9374	2.8861	21.2735	122.567	4.779	233.047	4.8232	7.4844	3.0257	30.1747	37.8947	92.6017	7.0531	4.3668	0.9128	13.3983	3.3784	8.8496	980.188	3.3264	621.308	1.7878	3.0832	14.6028	11.4651	23.3618	1.9804	9.1444	3.2985	16.84
IGF2BP2	911.22	851.852	1459.06	991.774	781.351	401.44	373.67	702.755	959.058999999999	1913.64	516.337	1018.43	373.488	552.876	489.362	746.725	390.551	809.169	879.981	723.434	991.583999999999	499.364	2.3739	345.138	1044.8	610.765	1819.21	1114.07	579.615	3.7239	12.8686	46.1894	30.5186	129.445	2.726	949.912	49.9509	577.846	1585.13	355.426	463.189	513.089	1266.2	218.472	439.654	448.761	1147.35	539.15	1099.38	760.678	351.553	844.005	1223.32	1354.72	975.864	1069.89	683.707	1233.08	746.207	1393.33	614.843	1736.42	2155.17	1633.28	934.388	451.304	711.737	1110.11	409.197	1302.26	1983.25	808.168	491.046	1134.37	784.35	1358.53	598.933	321.158	738.63	653.579	1016.4	257.62	929.764	362.823	1126.43	326.953	1633.99	391.002	643.137	620.87	2307.89	1046.19	673.378	313.726	844.184	228.946	831.884	638.403	426.157	562.784	810.175	1155.26	723.513	319.785	460.047	458.787	643.713	1362.59	1913.42	895.398999999999	405.821	1635.03	613.173	754.935	665.762	147.893	166.925	467.567	1294.01	428.484	319.758	459.827	873.714	557.95	970.39	289.845	330.042	965.874999999999	633.088	1166.57	452.898	1205.81	332.023	1298.55	1175.57	2096.29	2287.09	492.473	712.76	2146.55	696.952	583.546	288.097	374.326	739.234	1559.86	221.946	566.654	2873.01	535.312	896.447	498.744	1474.44	583.913	1455.82	194.653	1385	718.638	667.811	472.669	1102.7	56.4804	723.663	560	358.648	826.728999999999	891.703	403.012	261.876	384.459	305.05	1035.66	1400.83	929.325	352.205	863.309	577.687	1072.43	321.937	442.816	114.304	598.131	619.118
IGF2BP3	153.659	430.135	792.398	583.784	464.094	345.076	492.678	467.086	17.4216	15.2395	214.101	572.115	117.833	89.6722	221.527	234.716	62.9921	721.898	94.0686	184.624	427.228	48.5133	11.8694	61.2245	300.93	54.9575	693.742	396.049	18.5848	8.5118	15.5496	27.1363	2.0691	5.5083	8.1781	339.192	10.6637	129.862	5.2045	301.558	365.675	8.9753	989.988	13.5011	74.7838	86.0683	605.408	20.1342	682.938	669.005	249.137	89.2371	563.21	273.865	5.8261	256.755	49.3827	9.8718	71.0345	515.13	199.35	758.87	818.847	200.35	31.1773	303.372	144.601	971.709	314.108	590.517	662.641	327.243	187.175	1252.68	104.744	37.7937	10.6693	754.701	1168.32	35.1738	895.191	52.6522	725.91	18.5553	12.2195	561.343	601.344	61.3497	206.774	227.583	1445.45	397.198	27.5264	31.6363	516.648	350.304	42.7012	46.4989	30.4794	11.5527	743.461	480.231	617.228	136.503	209.166	13.2982	293.413	1014.93	320.14	439.571	533.056	927.411	732.619	123.213	379.039	11.9268	120.385	539.062	713.116	177.28	335.168	176.349	70.2046	176.262	923.163000000001	40.4771	67.2435	716.182	45.7187	757.918	166.161	9.8681	122.761	211.045	86.9601	805.452	875.476	16.4875	367.622	382.68	379.715	583.546	25.248	66.634	49.6411	1064.76	32.2981	17.6956	1253.87	20.8744	158.376	305.092	680.069	212.016	582.165	122.323	291.997	58.5424	893.562	34.8339	344.283	6.0515	154.579	174.316	2.9397	147.612	89.9563	704.245	42.6309	41.8919	180.635	621.1	204.99	444.62	272.944	275.437	376.752	641.605	96.2963	74.4628	69.2358	68.1693	109.955
KIAA1429	1062.93	963.384	845.614	1012.46	982.851	1054.02	964.39	1190.75	918.99	1409.65	998.279999999999	1056.09	1492.37	1054.42	1079.47	1195.41	811.024	879.147	1566.27	1395.85	1404.95	726.406	545.401	827.131	1001.69	976.204	829.185	893.827	1209.56	788.403	825.738	602.771	2586.84	1116.81	1396.64	1037.79	849.165	1450.13	1220.07	622.657	967.333000000001	1263.65	1510.9	1507.21	1255.09	1288.68	1221.85	908.277	2006.6	1023.85	865.807	1040.19	970.477	1038.6	1056.18	894.767	990.436	816.671	834.483	1375.68	874.323	817.524	573.134	1246.57	1551.42	1042.28	918.309999999999	1503.49	949.337	1038.25	1287.91	915.637	779.896	1263.92	614.911	908.069	1026.19	1087.53	1943.02	1555.42	1304.37	1363.63	2018.84	1203.11	1324.94	1495.76	1177.83	1188.14	1489.48	1426.85	1802.5	1455.13	1103.61	1409.92	1844.27	1421.71	1213.98	937.089999999999	884.456	778.434999999999	914.327	888.139	1253.83	1069.02	870.74	990.714999999999	1082.04	1038.41	1013.63	1546.93	1264.86	1436.04	1981.18	1485.36	1357.05	1273.26	1463.54	1202.99	1779.96	1246.56	1310.95	1248.87	1998.52	1310.17	1715.52	1615.47	1176.76	1408.02	1062.77	1055.4	1343.01	1640	1307.99	1605	1606.62	1265.12	1765.66	1248.03	1605.96	896.691	1282.14	710.459	1040.58	905.928	900.12	898.168	1112.63	1157.29	2799.96	991.766	687.817	1144.55	999.999999999999	684.707	817.175	1001.45	732.516	915.771	1207.73	1035.91	1118.5	1306.61	1133.4	1122.95	1086.23	902.299	778.603	986.764	936.054	1063.51	1060.91	935.612	993.347	1141.88	1026.82	843.268	1040.3	967.92	1272.93	1145.86	1380.8	859.263	842.992
METTL14	240.976	194.444	171.345	209.636	199.357	309.378	201.634	317.533	252.613	386.793	236.457	232.372	145.187	260.359	342.929	242.358	125.984	129.499	238.184	309.974	218.812	144.893	217.804	115.246	248.521	172.238	232.188	176.296	228.052	282.484	449.867	418.591	502.78	402.105	961.836	291.74	521.959	316.08	174.721	156.324	247.684	252.431	264.429	266.339	363.54	356.329	455.85	193.512	289.798	236.392	220.083	286.785	161.242	100.156	235.955	263.596	299.774	215.386	213.793	250.431	186.891	282.404	203.676	208.843	238.716	129.159	232.864	350.54	248.636	205.819	235.935	250.94	250.722	164.347	96.7344	32.6864	247.333	235.142	205.959	404.09	294.7	424.038	257.388	374.752	374.813	242.548	325.223	296.933	360.071	368.118	296.248	325.256	259.972	409.163	393.603	286.583	366.598	230.853	304.794	183.744	183.345	204.918	236.927	360.046	205.64	205.457	347.305	252.586	215.462	362.883	333.888	278.173	288.291	375.766	457.507	360.456	329.507	258.119	271.609	307.261	351.679	257.932	348.461	358.529	320.09	473.075	349.255	335.686	285.161	141.634	280.365	246.323	226.3	214.417	224.915	208.94	239.919	263.799	225.407	142.152	289.957	181.76	259.693	239.588	257.177	241.585	310.559	346.048	261.027	197.611	172.589	254.853	180.356	83.4161	244.493	224.436	180.245	210.872	278.97	278.671	300.624	219.366	263.632	277.895	208.721	177.336	228.384	214.514	215.591	314.189	334.721	213.967	237.006	230.485	259.833	215.827	168.808	227.097	286.61	298.643	387.982	219.901	179.792
METTL3	471.898	522.142	516.018	526.12	503.687	402.236	447.948	582.631	608.105	680.925	883.47	639.816	939.127	591.014	640.745	555.371	517.858	469.552	749.337	540.122	297.941	288.13	1295.9	621.02	522.692	535.643	486.558	390.168	297.721	657.162	984.312	663.77	746.375	566.772	731.454	324.886	731.618	582.693	493.918	346.522	545.714	615.527	464.505	543.001	352.812	527.991	497.793	410.313	448.474	500.276	577.12	599.149	497.351	282.389	734.157	411.647	759.416	300.382	598.772	370.349	717.79	417.806	398.725	658.201	707.11	481.386	652.676	683.986000000001	540.125	686.374	451.826	424.358	535.072	508.051	474.991	239.877	562.779	389.79	328.625	418.286	390.913	537.454	412.681	544.102	545.773	421.277	442.358	529.112	595.971	522.895	435.52	495.619	494.671	521.435	586.986	824.012	679.155	615.077	528.285	607.399	584.022	452.657	571.282	580.882	361.815	718.454	420.952	217.808	317.309	437.561	524.374	385.244	312.457	429.312	405.308	413.135	328.554	513.713	460.44	501.109	463.275	471.409	360.267	334.611	543.707	528.012	536.96	439.184	568.442	523.715	379.621	326.312	438.855	727.743	607.717	620.561	706.771	778.452	398.28	716.477	703.252	567.098	871.465	458.991	571.711	608.441	556.845	508.321	703.287	650.813	467.838	509.084	607.473	484.508	392.685	562.409	551.774	474.468	512.691	482.76	499.272	459.095	539.126	465.819	825.654	434.751	383.092	438.567	560.195	603.926	534.347	539.693	407.268	578.476	533.308	444.723	423.75	574.578	1023.15	483.711	1538.43	615.877	452.774
