	TCGA-AF-2687-01	TCGA-AF-2690-01	TCGA-AF-2693-01	TCGA-AF-3911-01	TCGA-AF-4110-01	TCGA-AF-5654-01	TCGA-AF-6136-01	TCGA-AF-6655-01	TCGA-AF-6672-01	TCGA-AF-A56K-01	TCGA-AF-A56L-01	TCGA-AF-A56N-01	TCGA-AG-3591-01	TCGA-AG-3592-01	TCGA-AG-3725-01	TCGA-AG-3731-01	TCGA-AG-3732-01	TCGA-AG-3742-01	TCGA-AG-3902-01	TCGA-AG-4021-01	TCGA-AG-4022-01	TCGA-AH-6544-01	TCGA-AH-6547-01	TCGA-AH-6549-01	TCGA-AH-6643-01	TCGA-AH-6644-01	TCGA-AH-6897-01	TCGA-AH-6903-01	TCGA-BM-6198-01	TCGA-CI-6619-01	TCGA-CI-6620-01	TCGA-CI-6621-01	TCGA-CI-6622-01	TCGA-CI-6623-01	TCGA-CI-6624-01	TCGA-CL-4957-01	TCGA-CL-5917-01	TCGA-CL-5918-01	TCGA-DC-4745-01	TCGA-DC-4749-01	TCGA-DC-5337-01	TCGA-DC-5869-01	TCGA-DC-6154-01	TCGA-DC-6155-01	TCGA-DC-6156-01	TCGA-DC-6157-01	TCGA-DC-6158-01	TCGA-DC-6160-01	TCGA-DC-6681-01	TCGA-DC-6682-01	TCGA-DC-6683-01	TCGA-DT-5265-01	TCGA-DY-A0XA-01	TCGA-DY-A1DC-01	TCGA-DY-A1DD-01	TCGA-DY-A1DE-01	TCGA-DY-A1DF-01	TCGA-DY-A1DG-01	TCGA-DY-A1H8-01	TCGA-EF-5830-01	TCGA-EF-5831-01	TCGA-EI-6506-01	TCGA-EI-6507-01	TCGA-EI-6508-01	TCGA-EI-6509-01	TCGA-EI-6510-01	TCGA-EI-6511-01	TCGA-EI-6512-01	TCGA-EI-6513-01	TCGA-EI-6514-01	TCGA-EI-6881-01	TCGA-EI-6882-01	TCGA-EI-6883-01	TCGA-EI-6884-01	TCGA-EI-6885-01	TCGA-EI-6917-01	TCGA-EI-7002-01	TCGA-EI-7004-01	TCGA-F5-6464-01	TCGA-F5-6465-01	TCGA-F5-6571-01	TCGA-F5-6702-01	TCGA-F5-6810-01	TCGA-F5-6811-01	TCGA-F5-6812-01	TCGA-F5-6813-01	TCGA-F5-6814-01	TCGA-F5-6861-01	TCGA-F5-6863-01	TCGA-F5-6864-01	TCGA-G5-6233-01	TCGA-G5-6235-01	TCGA-G5-6572-01	TCGA-G5-6572-02	TCGA-G5-6641-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AG-3574-01	TCGA-AG-3575-01	TCGA-AG-3578-01	TCGA-AG-3580-01	TCGA-AG-3581-01	TCGA-AG-3582-01	TCGA-AG-3583-01	TCGA-AG-3584-01	TCGA-AG-3586-01	TCGA-AG-3587-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-3598-01	TCGA-AG-3599-01	TCGA-AG-3600-01	TCGA-AG-3601-01	TCGA-AG-3602-01	TCGA-AG-3605-01	TCGA-AG-3608-01	TCGA-AG-3609-01	TCGA-AG-3726-01	TCGA-AG-3727-01	TCGA-AG-3728-01	TCGA-AG-3878-01	TCGA-AG-3881-01	TCGA-AG-3882-01	TCGA-AG-3883-01	TCGA-AG-3885-01	TCGA-AG-3887-01	TCGA-AG-3890-01	TCGA-AG-3892-01	TCGA-AG-3893-01	TCGA-AG-3894-01	TCGA-AG-3896-01	TCGA-AG-3898-01	TCGA-AG-3901-01	TCGA-AG-3909-01	TCGA-AG-3999-01	TCGA-AG-4001-01	TCGA-AG-4005-01	TCGA-AG-4007-01	TCGA-AG-4008-01	TCGA-AG-4015-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A025-01	TCGA-AG-A026-01	TCGA-AG-A02G-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AF-2689-11	TCGA-AF-2691-11	TCGA-AF-2692-11	TCGA-AF-3400-11	TCGA-AF-5654-11	TCGA-AG-3725-11	TCGA-AG-3731-11	TCGA-AG-3732-11	TCGA-AG-3742-11	TCGA-AH-6643-11
ALKBH5	2300.68	1538.71	1123.44	1071.93	1314	1445.05	1300.88	1066.21	1882.95	1076.19	1058.06	1013.34	1038.93	1326.45	1328.85	1210.74	1007.61	1110.28	1101.94	1160.65	1597.36	1519.29	1934.74	1602.38	1391.78	1310.42	1019.48	1838.21	1237.03	1432.96	1350.25	1230.55	1014.84	1822.3	1987.9	1923.09	1167.47	972.691	1303.74	1148.48	1365.31	1250.36	1703.66	884.486	1136.15	1082.81	1408.64	730.481	1786.52	1373.11	1356.98	1757.97	820.523	1362.42	961.116	1202.55	1244.98	1331.42	2039.2	817.131	1044.22	1561	2439.06	1237.38	1555.49	1371.16	1605.66	2285.28	898.353	1224.92	1227.09	1830.76	817.643	987.817	1416.5	2036.14	1096.48	1895.98	1591.8	1096.91	1021.5	1766.63	1589.56	1591.12	1899.3	1167.72	2577.59	1648.18	1338.17	1106.7	1050.39	1122.11	1467.23	2331.25	2077.62	1657.58952870858	1441.76497467652	1420.94816404348	1657.86969412524	863.186071034867	1013.2293580647	1569.05734369039	1716.5522031982	1406.23761326659	1384.31208069403	1386.61244383835	1521.96888793889	2090.90542643532	815.112170085361	1242.3960111754	1885.41974571167	2247.5582964935	2102.24794103975	1461.80929976458	928.959828396083	1600.1848749285	1348.09836486667	1974.76781468715	2104.47136997945	1741.55989141244	2460.73770088096	2258.5871204607	2495.69760777395	2395.21286740453	1614.47912428681	2441.150719466	2073.17467033635	1304.25416446221	1940.60771726295	1411.28103267884	1783.45301910549	1520.80872869235	1117.1258494697	1962.83517921955	1265.75061986858	1466.5920577337	1023.65662286206	1690.09622118272	1258.66367657471	1536.09688278945	1693.1398161544	2370.10766542537	1985.43145141331	1306.11273327282	1354.63214653606	1558.48973356395	1951.55623437483	2368.52713184927	1283.28439512573	1433.42857443111	1236.50029680643	1195.9253925194	1294.9782064862	2029.79028112279	2053.98526103145	1518.23451893872	2269.46210863929	1646.76126699114	1919.03717827688	1552.91065733667	1240.3974149765	2416.41	2374.96	2562.34	2204.18	1550.34	1563.78	2003.4	2190.22	2596.41	2096.51
FTO	879.523	849.705	564.319	703.896	737.642	441.784	581.658	671.194	477.938	728.584	713.585	710.878	421.231	641.782	286.318	762.305	347.392	724.121	551.193	557.084	769.128999999999	671.285	614.665	924.132000000001	737.683	510.332	501.538	686.069	669.246	597.697	780.335	718.638	454.854	651.483	605.069	775.388	999.999999999999	564.293	488.139	645.889	425.747	616.015	693.986	154.111	741.342	496.252	812.621	597.762	737.901	598.793	851.809	491.432	518.704	501.998	479.807	321.608	416.256	669.936	444.515	341.414	393.124	584.68	738.326	395.746	542.412	588.737	626.014	821.971	509.147	1006.42	742.476	676.386	406.712	549.441	558.336	910.828	637.208	999.134	599.219	898.705	807.679	1063.61	655.032	756.579	874.273	654.871	511.364	395.495	605.205	554.504	336.506	489.359	943.457	742.589	594.963	568.300916237729	651.165934051578	529.379198237474	491.960479441089	610.926589458447	465.966944199714	506.076531097888	476.946024491928	568.366967631154	560.455167903419	379.398886271149	353.41675941384	599.981402976708	650.287001630981	437.270804255523	368.563059427505	464.984477216813	407.783226977382	581.371393998309	351.182694452478	436.036797673497	436.266834612375	549.996173593311	401.779294202986	296.467434252866	366.998683011035	417.288928729143	296.531282027227	443.840028421078	308.237685897793	528.172421236745	545.021333610841	584.968420065313	360.962955454567	636.725037057485	521.54429621895	469.547847552288	647.517123902332	650.658162012648	696.012102362924	491.429538312699	671.929235877522	390.808841656221	420.18652507067	699.696668634136	534.518645324612	646.221583533931	650.463130669486	461.771090134545	484.358388221592	446.963824947414	627.609740902867	589.909604463487	343.269699806742	425.17709225797	818.482771126863	314.341599990519	489.496798106923	494.684655324531	470.245407830423	682.03605478808	650.210536027231	319.741389695086	485.504007637801	567.742485323709	697.482462039603	724.036	746.347	984.844000000001	562.582	412.045	391.468	672.088	1114.92	871.09	697.555
HNRNPA2B1	17329.9	13548.5	18739.4	19183.5	13040.3	18660.5	17906.4	20856.3	16772.7	16427.9	19015.1	21406	13708.3	27952.3	19292.7	20006.5	12957.8	17551.8	12691.4	17589.1	13302.5	22097.5	14441.4	21993.5	19623.8	20538.2	20841.4	14712.5	17599.5	23651.6	23248.3	21034.3	15227.2	24874.6	17041.9	20690.8	17629	23137.1	17643.2	22110.1	18130.4	19102.7	13901.4	10375	14343.4	18862.6	18559.5	17735.4	13838.3	30255.2	17967.8	16703.6	19248.7	24123.1	17042.7	22088	23921.2	20486	17524.4	14962.6	18211.3	18012.2	17025.6	31804.4	16353.5	18601.5	19879.9	22590.1	28416.5	17797.4	19787.6	16956	17522.2	19491.7	20863	23828.4	15457.9	19315.6	12255.1	15446.8	12375.7	14496.5	25085.8	17673.9	17100.8	17995.2	23244	17651.5	17734.6	19855.8	22148.5	16239.4	14468.1	11177.5	14474	9271.44390030961	16577.3194061551	11471.0432598772	6791.69371216635	8872.57942938012	15431.7813697904	12508.8085543615	11103.8459067896	14427.5824096915	9693.57482362549	12657.8184049252	12876.6501570973	10158.1295434432	15794.7812191891	10869.5637573736	9635.53930800728	14287.4153135893	16884.6482140178	14569.8168389857	7915.58232261792	8333.00845671475	13213.9925061804	13767.634631449	3960.51318505777	4446.10714081277	8718.27356434377	5399.33810105023	5867.91659079643	5086.0328197845	3059.97624329484	7504.37624352455	12187.174493746	9179.31304838722	9589.51965785214	11783.2511641146	9759.81077484336	9678.71419224222	15227.7787277291	10937.4244387093	8553.35221831601	9375.15524477659	13277.8055535203	11247.8553346598	9938.30175954024	12238.5082552588	13942.1843510959	16338.4141589998	14788.7706570826	13687.8774502535	12813.5802827244	13005.074472809	15970.4690144984	12725.9792274911	12924.5040444874	11976.2901722713	15666.1499946973	17989.5850731972	14617.3808536429	18724.4938500435	14167.2760556791	13952.8136033254	10816.0813392642	12075.7438889853	14710.8428964016	12006.917058001	23981.3248826614	12965	13131.6	13154.5	14002.6	16305.3	8973.02	12284	10320.7	9429.88	13892.6
HNRNPC	10028.1	9905.36	9347.61	8298.28	10104.3	10945.6	10343.6	8427.84	9243.31	6388.64	8137.36	6977.76	14575.4	8814.16	9261.4	10876	8209.98	6475.1	10143	13017.5	6550.2	12171.5	7105.31	11109.4	12365.9	11034.6	10518.2	8951.57	11567.7	10801	10160.4	10663.5	11107.7	9770.48	6898.16	11298.3	7169.57	6913.13	10180.7	9480.99	14549.4	9960.44	6785.31	7526.66	7912.11	6507.75	6969.02	11193.7	9054.32000000001	17009.9	7487.58	8720.77	9350.82	11126.1	5723.62	9549.7	6333.13	7865.13	13241.6	12439.9	10475.4	7634.21	10477.5	9557.19	11410.8	9710.74999999999	8364.82	10160.2	8440.63999999999	6274.9	8638.17	8760.43	7890.13	7269.35	8197.06	14542.2	7720.39	10332	7206.52	9458.21	6244.66	6948.78	8907.91000000001	6046.52	7436.78	10518.1	10740.4	10451.1	10038.3	8070.02	9601.62	7116.42	9344.91	8111.07	8669.28	9616.88835889537	9073.94616878334	11609.7828764568	9220.03335808613	18506.23395603	10708.4852105637	11386.8125075314	8418.637917879	10370.2539731393	15182.8600354383	7756.40226334428	10605.0489587785	12704.1011139332	8670.61153835905	10664.6622321843	10567.6949822766	10492.798759519	12851.509023476	8302.95901636234	16300.5202758329	14636.9630792892	10106.4893927468	12095.3818558749	4250.64430678182	4013.87152788277	4880.15323372937	4787.39398568732	7054.13675372849	3802.102193888	5686.78525785218	5154.00243802439	12670.1192738435	6124.54835450003	13742.0756877588	5907.94743681708	11368.0177201757	9454.942322751	11339.4076033743	10446.1575817667	7909.98990030348	8699.15670782719	6566.38330018381	9983.84869341072	7913.08532618952	8491.81793400798	7088.98246094486	10292.4622260422	12441.7765320841	7102.27940225467	9162.08166088173	6992.61256684384	9774.34664575716	8380.45626812071	5887.97701540934	7674.466600308	7158.33180724134	12066.2995584316	12459.61362025	9236.40996231981	10140.4767605577	7460.43709651872	6937.88256766887	8738.2777934151	9592.49238519344	6928.18399988404	11415.7226295279	7291.79	8509.3	7453.36	8321.48	7484.2	11622.3	7955.75	6532.39	9443.91	6783.97
IGF2BP1	2603.24	295.731	4.3276	1.9884	1.2488	5.4407	0	0	3.9221	1.8034	1.5094	22.2402	8.2292	2.8837	0.8446	320.367	12.6984	1.4648	516.865	40.1636	31.8443	1.4333	3.4449	53.6099	7.0761	5.3908	1.1718	0.7156	3.2021	3990.3	10.9686	1221.01	8.0543	540.961	220.737	51.5473	30.3332	6.5871	1.8248	1.3263	3.9265	32.8027	2.9803	4.128	753.762	233.383	29.0546	18.9598	7.89	21.405	38.11	9.5766	1.0111	34.1596	240.905	4.4123	0.6158	3.4331	383.006	1.0101	0.4742	1.2361	3.5242	11.6396	45.8505	8.5324	15.5872	2.1711	1140.52	0	2.052	4.0023	2.7966	1.7897	927.745	31.4725	5.1987	56.71	2.7258	2.982	0	23.1309	1702.19	7.9887	1.8996	0.4369	477.983	1.9874	2.2305	1.8925	81.3898	973.256	2.4233	52.5822	10.7349	28.9087326467108	3.00935224593325	2.94338337325218	2.12261089631931	23.1040154979427	0.5952779345505	55.2194118137191	1.82456926103895	728.051662615492	4.69796759278113	205.646349329669	2.77430913456259	1237.74095647544	5.43893728898193	14.4864145070753	1.18282812700373	0	0.175274109953936	1.93749887317201	0	2.41090268248486	9.71191801851137	218.953704491914	4.24846751632291	0.48082904788359	0.76207870770831	0.31533461955329	1.47673490033347	3.02991173622213	136.232628807821	24.6985120876628	1.75760927131699	144.334368455007	0.24538783249155	16.31277069757	513.263649736025	1.55886370725345	8.96256548389342	4.90026273509186	0.863923441625611	7.59788605935653	2.83783628962614	4.39583101146055	36.9295956270917	0.856809861234657	24.5079845819226	2.87965395797001	7.99377059606365	0	5.54337504520868	0	0.265582137979483	6.59731025671438	0	0.708250058033989	618.003854718392	364.916258197709	2000.53421269634	36.5858801831191	3.92801481041469	466.729266467193	241.142705398254	62.1932001879707	0	0.890269002785087	106.921007910395	5.1434	1.5639	1.4074	0.3294	0.5963	0.6274	2.6475	1.1144	0.5394	4.548
IGF2BP2	1724.56	348.49	1062.43	973.986999999999	790.509	2039.17	1639.45	1080.93	2009.24	874.211	1109.81	2020.62	576.557	1152.52	1614.44	1428.65	507.483	762.207	901.599	804.016	1092.44	903.01	1064.96	2125.89	1116.7	1540.43	2325.47	1163.64	804.803	1681.15	1037.7	1585.66	1269.61	877.825	1771.43	2309.1	1495.77	853.026	928.831999999999	870.911	1072.5	1767.97	1154.23	646.715	1286.36	1360.32	959.709999999999	1674.79	1709.87	2701.43	1812.8	692.036	875.123	3181.3	1046.76	1269.76	512.931	1284.94	1363.35	2667.68	2281.45	1607.35	1397.36	1191.6	776.249	2259.81	1078.88	1035.17	1009.34	1811.65	1527.7	887.364	1155.01	1083.22	961.839	980.517	1073.9	493.507	766.854	747.74	1791.59	1408.51	2423.69	1411.65	1943.25	1442.99	1660.16	2305.07	2719.33	797.123	866.254	1601.91	1110.26	618.645	717.176	660.039334770325	2530.77502124081	345.43843668033	1775.75758408118	1363.93942941466	977.206468536912	1774.22592382259	1023.55843680672	1476.03127733933	1183.7032016912	829.543156857432	774.579620984748	1073.22154555332	2851.41156150968	972.671932221411	797.354409826118	771.072153762654	762.187273146929	577.047635679759	332.845015764748	739.805872651489	684.774726892138	1011.81374137383	820.993385379584	895.594567906672	870.524149533854	558.496990177347	425.584577369157	417.750883569971	398.217574762526	898.586977298081	679.299864732864	722.996829193738	415.538671891429	1100.13305999152	1699.92524208309	1138.68407129029	341.658122604738	684.992754227181	1669.47644965448	1431.78735004096	1012.62363179782	1498.87837185977	879.500293844141	736.67833702401	1180.42651567846	945.103474186394	951.540487809084	1070.80191184521	1232.51864881877	221.852313393931	1220.7684971393	1075.49669300251	816.776729838072	2119.84198301633	951.099854226146	1297.46858257778	2019.75291575892	820.757978723918	1015.45626712255	593.715937182355	2279.15975532302	621.972135921045	34.8352778858556	1150.03473453499	1511.1644693003	733.531	882.011	620.321	1152.83	1368.52	592.221	1031.01	496.448	500	836.271
IGF2BP3	504.044	41.6522	3.8948	6.9594	8.7418	904.244	10.0503	4.5274	2.2412	9.0171	4.5283	10.9179	7.2005	13.7776	70.5236	839.148	903.401	13.1836	95.5358	41.6512	6.192	14.3335	26.5748	1031.35	5.7493	4.9416	1177.09	4.771	12.8085	90.1192	275.781	11.8392	4.663	1092.87	1070.05	6.1712	1.4918	54.8923	50.1825	6.1892	3.3656	16.8837	306.546	31.6477	739.432	23.4883	8.1716	5.2666	5.26	1008.78	99.3949	126.512	8.0889	4.4556	113.691	22.0615	36.33	30.4071	5.707	34.3434	9.9585	6.1805	15.859	1171.6	4.5851	2.9863	18.1148	89.8828	17.1273	14.2439	4.446	418.525	5.9928	7.6063	9.071	43.0873	8.1693	490.043	756.406	5.5913	6.4229	19.0004	724.471	226.034	6.1736	9.1743	1115.77	3.6436	5.948	9.841	1234.17	437.464	8.8853	10.1945	40.4624	82.5136070702642	8.34288054270452	441.220763832552	5.41118488765453	562.120076837545	960.136516646981	70.8461741343333	4.80724073725119	43.138106578662	9.32991405780654	412.257317209902	360.150674347656	15.5703851461722	16.7166218560258	378.515031945005	6.70588146986042	11.356838170099	362.805550319992	43.8020973149594	5.03789611897485	1.69797207271045	26.1458152523102	548.881259818979	91.3064733414043	3.88095186708361	0.23027235818411	7.57638587507868	42.5993763535121	0.23027235818411	4.94857643840364	153.260195516715	11.865425062034	4.90602490482991	29.867098674603	287.578307077353	6.48670518899771	2.93737842761909	10.5409022540418	11.0089130058682	82.0653378794225	17.5391931311193	3.58066629211357	131.773920748554	194.852166926943	6.66351782657267	5.88864261018575	183.974747867018	7.42579724232594	1.97826858200345	24.0088348457796	0.23027235818411	4.37633245662634	0.23027235818411	1.76006615356449	1.39124411919915	5.95830878151946	734.98874707294	1134.52186017024	23.8554551916752	3.59406459357969	7.78488736332244	20.6465848461175	331.072030918476	747.970632418379	14.530334146065	50.7553332066239	18.1998	14.4656	9.1482	6.2582	8.3482	10.0376	15.885	22.8444	13.4844	27.8567
KIAA1429	1549.6	1506.88	1243.75	1409.78	1185.56	916.213	1085.43	1308.43	1601.34	1511.72	1793.21	1105.94	1879.85	1117.59	883.868	2882.54	2197.28	1247.07	1758.51	2124.95	1337.9	1468.71	1216.54	1316.63	1585.49	1841.42	1017.14	1299.14	1273.92	2109.52	1328.37	1619.6	1062.74	1780.37	1631.34	1130.77	2413.23	1380.54	1038.78	1190.54	789.791	1314.04	1688.13	571.035	1355.62	1310.34	2069.23	1411.45	1157.2	2335.89	1732.97	733.367	2325.07	1640.65	1105.36	855.987	950.738999999999	725.846	1263.79	1741.92	1127.68	1071.29	1008.37	1380.38	1900.5	994.88	1529.65	1101.17	2010.9	1400.36	1319.08	817.038	2198.56	1489.93	5039.72	1414.76	1187.15	1211.26	1412.41	1733.67	2058.54	1380.42	1276.64	1359.02	1206.22	1303.19	867.543	985.756999999999	1692.94	1762.3	1102.81	1641.97	1540.39	1088.13	1377.37	1229.22971464352	1210.30630742876	1137.50760991268	1268.08886191513	1298.78688373296	2271.14316045326	1055.14641590097	974.136594212787	1622.26192074083	960.656250901803	1590.50504234925	1322.00139687605	1925.24920982143	1137.14813717369	1057.98994932341	1275.73607523707	969.737658194789	1859.35339361125	1340.34781950031	899.243271406728	1042.51731138194	938.110807830952	729.961902547005	413.100702840033	344.35737305449	571.317539392093	383.373618719744	453.939967688898	372.696010760757	467.778350879896	396.013767551786	1337.38998755507	1051.04081742891	826.288889076911	983.938175274633	976.105835261333	1202.23565993968	1178.46045648164	1017.67427535472	1035.49426118165	1345.78642778335	927.775833534626	1397.7800412322	1025.50969539948	1797.63297626869	1154.00892192495	848.898047743988	1292.06902462616	1073.52431518906	1263.19534711431	1552.29879802246	1009.13358608205	1434.16183047843	1891.56704533998	867.501724532964	1927.65844189397	1514.80885752928	2135.55535631425	1367.24519209991	1016.96641217521	1599.0159068121	458.298757182798	2220.34701602131	609.58941865695	1088.11028065803	2051.71441538723	1168.35	1034.88	1019.68	1003.62	1029.82	981.179	1069.21	1450.34	1195.25	1109.15
METTL14	231.588	186.047	166.18	158.741	222.292	183.895	167.714	196.378	273.988	218.666	220	191.67	247.904	199.936	166.807	329.16	260.771	247.07	267.176	170.323	207.873	246.058	279.035	247.946	222.455	316.712	234.364	361.164	146.764	221.459	170.405	224.944	329.801	261.299	217.051	189.854	265.539	188.829	199.817	156.057	254.663	241.679	187.334	41.2797	244.566	255.372	188.855	169.585	293.432	446.213	225.57	178.931	207.785	174.263	156.263	216.203	116.379	221.677	103.995	201.01	210.551	263.291	295.154	313.178	202.659	272.611	192.522	240.122	219.93	274.196	266.416	323.042	230.923	227.293	270.253	352.941	163.387	203.463	219.88	304.166	217.174	209.418	220.943	267.857	226.998	174.749	267.756	267.307	135.688	274.413	149.929	273.131	260.501	309.054	303.881	218.164540052094	204.935098180874	203.53742156413	237.077949513419	283.009450548529	394.755392789151	290.862263223557	265.861774678045	210.316610386088	215.371425795406	248.584724021101	270.860306220826	213.569806212498	288.795521739307	285.43199900282	243.386702756284	303.308399142901	237.004831430318	140.702983700427	212.26605759998	167.359435932111	220.950648393958	198.249519771707	35.3234906567813	58.1197959214793	51.4435791715257	80.5450936783979	33.3186276178958	71.4387462004569	37.4887709780703	40.2803816633702	217.933349627225	258.808962349275	255.411216784908	251.741572047431	234.551004635747	164.472723116906	232.162857980646	345.283833120635	193.186831744461	174.345509200669	198.610909428474	164.98201985865	184.552033279329	296.72558585223	192.201017473162	422.020343116045	318.764577626497	185.134301338181	183.892947392077	391.791927419505	297.310348553987	176.408282839349	178.7192736419	161.437791284553	185.021690658755	235.204730503939	178.962993915718	270.725825569196	231.171963751582	274.139157183206	345.500306738728	340.627553451953	223.348635639045	215.920740993753	228.302869678183	254.006	249.825	310.337	229.249	253.429	323.714	307.867	441.844	347.357	307.561
METTL3	804.449	654.578	245.219	495.584	693.383	723.085	823.624	733.707	559.031	592.412	736.838	501.019	518.968	504.861	653.015	656.687	529.315	432.056	684.062	734.366	599	508.156	457.771	469.655	476.999	287.561	835.084	671.023	363.699	626.704	596.091	457.126	403.798	423.983	416.433	303.214	605.236	305.838	475.794	317.255	631.423	534.288	554.802	115.129	382.35	427.426	463.734	433.891	397.291	381.443	309.957	520.585	798.632	502.488	1106.89	544.586	817.592	501.094	762.181	766.116	211.846	413.837	686.771	412.478	789.784	446.992	577.121	607.92	337.158	259.298	420.588	616.832	953.224	507.414	931.942	785.792	697.88	472.26	433.464	343.55	389.315	463.697	600.865	363.205	398.195	500.253	965.011	770.391	597.119	563.323	740.476	359.832	348.76	252.368	352.63	488.039123619534	629.083634864943	586.621528742427	558.874895389042	564.879931406665	1023.8660093673	670.152964482284	325.241345638412	645.730884972346	518.619310034048	593.110191326718	718.438949280663	772.909282431692	601.580794684656	496.465571389471	412.235602149777	542.387954994524	590.736887033256	303.015990780627	487.470807779806	792.918352528055	672.521356691123	334.023774682502	669.147548895519	362.70562732139	584.668823221323	445.820149951233	675.087673879081	418.474641672093	538.219748381602	632.538982484118	850.873574167194	357.710481990894	647.159307929202	306.41770109465	612.476019241032	466.586443845335	715.05247503822	587.832577121613	329.014154206189	455.515298578431	600.722164864016	493.767519918058	347.29831839105	600.570110600744	362.530479703679	597.73445674594	803.051705980553	427.355297327887	683.681249177176	719.517317224921	403.920227492797	555.610768133376	408.041607054182	707.783259929305	389.676223406106	772.529424738203	1302.32939271349	675.171025948684	715.182456705651	314.383847932976	313.077890590705	730.654716127593	625.470026214706	462.447440787885	676.285313670412	340.483	323.881	293.694	467.428	350.399	477.892	394.633	337.172	320.442	377.402
