,B,B Activated,CD14 Mono,CD16 Mono,CD4 Memory T,CD4 Naive T,CD8 T,DC,Eryth,Mk,NK,pDC,T activated
B,0,0,0,0,0,0,8,0,0,0,2,0,0
B Activated,2,2,2,2,2,3,12,2,2,2,4,2,0
CD14 Mono,1,1,3,2,0,0,8,3,0,1,2,2,0
CD16 Mono,0,0,2,2,0,0,11,1,0,0,3,0,0
CD4 Memory T,0,0,1,1,0,0,9,0,0,0,2,0,0
CD4 Naive T,0,0,1,1,0,0,9,0,0,0,2,0,0
CD8 T,0,0,2,1,0,0,9,0,0,0,2,0,0
DC,0,0,1,1,0,0,10,1,1,0,2,0,0
Eryth,0,0,1,1,0,0,8,1,0,0,2,0,0
Mk,0,0,2,1,0,0,10,0,0,0,3,0,0
NK,0,0,2,1,0,0,10,0,0,0,2,0,0
pDC,1,1,2,2,1,1,9,1,1,1,3,1,0
T activated,0,0,1,1,0,0,8,0,0,0,2,0,0
