,B,B Activated,CD14 Mono,CD16 Mono,CD4 Memory T,CD4 Naive T,CD8 T,DC,Eryth,Mk,NK,pDC,T activated
B,0,0,0,1,0,0,11,0,0,0,2,0,0
B Activated,0,0,3,2,0,0,11,3,0,0,2,0,0
CD14 Mono,1,1,8,7,2,2,14,9,0,2,5,0,2
CD16 Mono,1,1,7,5,2,2,14,6,0,2,5,0,2
CD4 Memory T,0,0,0,0,0,0,10,0,0,0,2,0,0
CD4 Naive T,0,0,0,0,0,0,10,0,0,0,2,0,0
CD8 T,0,0,2,2,0,0,11,2,0,0,2,0,0
DC,1,1,6,5,2,2,15,5,1,2,5,1,2
Eryth,0,0,4,4,0,0,12,3,0,0,3,0,0
Mk,0,0,2,2,0,0,12,2,0,0,2,0,0
NK,0,0,4,4,2,1,12,4,0,1,5,0,2
pDC,0,0,1,2,2,0,14,1,0,0,5,0,0
T activated,0,0,0,0,0,0,9,0,0,0,2,0,0
