p_val	p.adj	CTRL	STIM
Glycolysis / Gluconeogenesis	0	0	0.408483408332886	0.228790710416112
Citrate cycle (TCA cycle)	3.29500195164201e-14	6.87243264199619e-14	0.0516097678727485	0.0241920077956078
Pentose phosphate pathway	8.73547313016019e-192	1.06281589750282e-190	0.0687221622295821	-0.03247521810569
Fructose and mannose metabolism	3.56321116506073e-164	3.7159202149919e-163	0.00363204710996398	-0.0503056957156399
Starch and sucrose metabolism	0.000565623984488451	0.000750737288502853	-0.174295277562572	-0.173056507679727
Amino sugar and nucleotide sugar metabolism	5.70607841272011e-05	8.16752400252094e-05	-0.0761967599449552	-0.0811728695185302
Pyruvate metabolism	1.54848915326571e-155	1.41299635235496e-154	0.19231612723443	0.0923818728955226
Glyoxylate and dicarboxylate metabolism	1.18511016178222e-12	2.21828312333594e-12	-0.0294465222451622	-0.0428474124963391
Propanoate metabolism	3.91123415803158e-28	1.14208037414522e-27	0.0200041701814582	-0.034090315532327
Inositol phosphate metabolism	1.00869688342096e-71	5.66422096074847e-71	-0.125628361596626	-0.144268679099595
Oxidative phosphorylation	2.26326523803623e-275	4.13045905941611e-274	0.580919838327896	0.461503499132298
Nitrogen metabolism	0.000512210917098529	0.000692433276818381	-0.175873820743566	-0.17540591572538
Sulfur metabolism	0.014327718045497	0.01686973253744	-0.181634829855285	-0.182065116971502
Fatty acid biosynthesis	4.44269108487798e-10	7.91015729746568e-10	-0.18084311027746	-0.179369427329246
Fatty acid elongation	3.63511799556812e-26	1.02062928337105e-25	-0.0918217023502326	-0.165392400379911
Fatty acid degradation	1.29331595642124e-33	4.72060324093754e-33	-0.0673061024689229	-0.0859828324093323
Synthesis and degradation of ketone bodies	8.48278528994196e-09	1.40737119583128e-08	-0.182988549471739	-0.181292536351741
Steroid biosynthesis	7.93096782329894e-05	0.000111338586750158	-0.178265322477406	-0.177352333713952
Steroid hormone biosynthesis	3.72452598800901e-20	9.37553093533304e-20	-0.175049933725214	-0.177706019252174
Glycerolipid metabolism	4.74429368695035e-14	9.62037330964933e-14	-0.105660594065891	-0.122904818340108
Glycerophospholipid metabolism	7.19542762231551e-06	1.07197187026333e-05	-0.126084845694368	-0.129025161642206
Ether lipid metabolism	8.98527419443846e-08	1.39558514083831e-07	-0.109459411830877	-0.138764963758597
Sphingolipid metabolism	6.09094350899246e-10	1.03404389803825e-09	-0.0958116448939876	-0.106621090433709
Arachidonic acid metabolism	4.97373739588748e-123	3.30075299908896e-122	-0.0258244192121222	-0.0597048613062283
Linoleic acid metabolism	1.13847538844002e-28	3.46286263983839e-28	-0.186020539429924	-0.183066795886974
alpha-Linolenic acid metabolism	0.0137832050729475	0.0164946552512322	-0.182310675514445	-0.181600844707739
Biosynthesis of unsaturated fatty acids	1.16625238083953e-07	1.77367549586011e-07	-0.175928627794155	-0.177763401019089
Purine metabolism	3.90956879576902e-08	6.34218937980308e-08	-0.0116988345608139	-0.0196987568754554
Pyrimidine metabolism	1.27967889208863e-193	1.8683311824494e-192	-0.00954793198182948	0.031833392253254
Alanine, aspartate and glutamate metabolism	3.44471430940913e-55	1.57165090366792e-54	-0.0784049835559953	-0.0121941386220565
Glycine, serine and threonine metabolism	3.42793035559682e-16	7.58299745328993e-16	-0.173769102540771	-0.171604178509946
Cysteine and methionine metabolism	4.55475620732572e-17	1.03905375979618e-16	0.0381458512596915	0.0616289638659304
Valine, leucine and isoleucine degradation	8.00854082082957e-08	1.27092060852295e-07	-0.0951959004071271	-0.0906277601646055
Lysine degradation	2.13634392668713e-41	8.20805824464001e-41	-0.0967013884871234	-0.11273664001188
Arginine biosynthesis	0.000426689552438336	0.000587704477886764	-0.175562472994135	-0.174927969269239
Arginine and proline metabolism	0	0	0.0718496182379106	0.258730257173378
Histidine metabolism	0.00646283149482279	0.00799638473088243	-0.177496222263389	-0.176858646248722
Tyrosine metabolism	2.05423425576569e-124	1.49959100670895e-123	-0.175155296930262	-0.057559916938896
Phenylalanine metabolism	1.94108577867499e-151	1.57443624270305e-150	-0.179909731555046	-0.173547132629535
Tryptophan metabolism	6.8135819471694e-23	1.84219067460506e-22	-0.00835599342829173	-0.00794424468415464
Taurine and hypotaurine metabolism	3.30300744863948e-11	6.02798859376706e-11	-0.186599257806061	-0.184544461085543
Selenocompound metabolism	2.86804911904234e-13	5.65858339702947e-13	-0.176018581563052	-0.178020814116925
Glutathione metabolism	1.88859401971416e-51	8.10984490818435e-51	0.208022112106654	0.133066886336899
N-Glycan biosynthesis	2.93193633448613e-30	9.72869783715852e-30	-0.0589073975231893	-0.0865734971788911
Mucin type O-glycan biosynthesis	2.39024680090578e-32	8.30895316505343e-32	-0.178609832482617	-0.175600233383276
Mannose type O-glycan biosynthesis	2.24188879328409e-20	5.84492435391925e-20	-0.184790023613629	-0.182367147568289
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	7.32221275978182e-16	1.57212215136492e-15	-0.175303496850515	-0.172630036350472
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.00168251509276165	0.00215480003108071	-0.181623190889116	-0.182229573513776
Glycosaminoglycan biosynthesis - keratan sulfate	3.02495576570969e-18	7.12328293215508e-18	-0.181633979968905	-0.179485730455999
Glycosaminoglycan degradation	0.0104897944978724	0.0127625833057447	-0.0982836955160113	-0.167756368540582
Glycosphingolipid biosynthesis - lacto and neolacto series	3.54856633861611e-30	1.12628409877816e-29	-0.181784791652091	-0.1791606126155
Glycosphingolipid biosynthesis - globo and isoglobo series	1.84536083473576e-41	7.48396338531723e-41	-0.174063095538027	-0.178065294803318
Glycosphingolipid biosynthesis - ganglio series	3.24449374495018e-13	6.23284324687798e-13	-0.173845809532077	-0.176467324529584
Other glycan degradation	6.42141949663045e-57	3.12509082169348e-56	-0.168480182777925	-0.175900897207592
Thiamine metabolism	0.00505348313518412	0.00636041842876622	-0.178698380203946	-0.178253547002438
Riboflavin metabolism	5.33058386777518e-10	9.26506243684734e-10	-0.17316817961096	-0.175637463922713
Nicotinate and nicotinamide metabolism	0	0	-0.172511748548465	0.0284156946434049
Pantothenate and CoA biosynthesis	0.0327630461412178	0.0373703495048265	-0.174928737053899	-0.174403081730408
Folate biosynthesis	2.35584460643766e-109	1.43313880224958e-108	-0.176266861485825	-0.0949424049531492
One carbon pool by folate	2.4444137666025e-19	5.94807349873276e-19	-0.176516367773366	-0.174037038986498
Retinol metabolism	0.0147381235779126	0.0170775082728194	-0.179323670903328	-0.178583336990434
Porphyrin and chlorophyll metabolism	0.000699605343663241	0.000911985537275297	-0.0869159458390432	-0.0739004240025249
Terpenoid backbone biosynthesis	1.74152539964234e-05	2.54262708347781e-05	-0.108918451661427	-0.163752056740585
Metabolism of xenobiotics by cytochrome P450	3.02894072422904e-61	1.57937623477657e-60	0.147122585025031	0.0689410478245798
