gene	tumor	Delta	Pvalue
ACSL4	BLCA	-0.1128606402587	0.0528072629325599
ALOX15	BLCA	0.278528315338828	3.26858305212053e-09
ATP5G3	BLCA	-0.0212997175137363	1.65781698877358e-06
CARS	BLCA	-0.00464658508470695	0.00106879379218795
CDKN1A	BLCA	-0.0346646834134615	0.00388348514002975
CISD1	BLCA	-0.00533489568452381	0.010525055380369
CS	BLCA	-0.0266947032967033	3.40076881975884e-05
DPP4	BLCA	-0.221267771497253	1.45045253183916e-05
FANCD2	BLCA	-4.84174908424902e-05	0.759998661432195
FDFT1	BLCA	-0.0115455615556319	0.000461812430031948
GLS2	BLCA	-0.03093815625	1.30480511523643e-06
GPX4	BLCA	-0.00979373472985348	0.000170754869782537
HSPA5	BLCA	-0.0178956311011905	1.15630920608403e-05
HSPB1	BLCA	-0.000194645295329671	0.00242385225784437
LPCAT3	BLCA	-0.00287127791895605	0.0176008697745759
MT1G	BLCA	0.0197923470123626	0.626885133655369
NCOA4	BLCA	-0.00334281202495422	0.00116640867135094
NFE2L2	BLCA	-0.00282333403731685	0.0400363206431686
RPL8	BLCA	-0.00239266203067766	0.203860169956651
SAT1	BLCA	-0.0612100648809524	0.000601040264491204
SLC1A5	BLCA	-0.0466030450320513	4.75505889170296e-09
SLC7A11	BLCA	0.0267968500686813	0.080329592481474
TFRC	BLCA	-0.00226688840430403	0.00791945487270704
TTC35	BLCA	-0.00440353405448718	0.0470245219545688
ACSL4	BRCA	-0.0410218859755015	0.00196177582979279
ALOX15	BRCA	0.262404682285934	3.31585342533559e-35
ATP5G3	BRCA	-0.00105401270489378	0.774437624488318
CARS	BRCA	-8.239330581691e-05	0.977875038813067
CDKN1A	BRCA	0.109164527546009	5.82052259678232e-14
CISD1	BRCA	0.00169786632640985	3.90823775091889e-05
CS	BRCA	-0.00465549730457424	0.137136807269204
DPP4	BRCA	-0.122137031676431	1.18286416465298e-10
FANCD2	BRCA	-0.00187727430469259	0.325911492049603
FDFT1	BRCA	-0.00086121139860347	0.247498390414152
GLS2	BRCA	0.0526386772161075	2.11012363755081e-14
GPX4	BRCA	-0.00200271286466655	0.730115058443527
HSPA5	BRCA	-0.00441451341943309	0.0647045741298903
HSPB1	BRCA	0.000903136587963788	0.13307235934034
LPCAT3	BRCA	-0.00142408473282443	0.406432121359171
MT1G	BRCA	0.106212426442393	0.00173999907760241
NCOA4	BRCA	0.0114951673101959	0.0297218459333758
NFE2L2	BRCA	-0.000716303546067817	0.23482826828042
RPL8	BRCA	0.000974828282738621	1.47762605888606e-05
SAT1	BRCA	0.079630613125037	1.09976889268553e-11
SLC1A5	BRCA	-0.00976087358275637	2.14563321988755e-06
SLC7A11	BRCA	0.0428816545742352	0.0060488019083172
TFRC	BRCA	-0.00262964303804959	0.766851358353804
TTC35	BRCA	-0.00250102009586366	0.349654987559489
ACSL4	CESC	-0.0224184448051948	0.92546635677794
ALOX15	CESC	0.218896510606061	0.0357249781994257
ATP5G3	CESC	-0.00733457781385281	0.382002904989687
CARS	CESC	0.00373091174242424	0.47390243240884
CDKN1A	CESC	0.00613118257575757	0.889677278290307
CISD1	CESC	0.00341725768398268	0.418115911735801
CS	CESC	0.0215032016774892	0.16054080870103
DPP4	CESC	-0.103121058116883	0.471913093057787
FANCD2	CESC	0.00520178566017316	0.0465508521562008
FDFT1	CESC	-0.00049646374458874	0.854111678706305
GLS2	CESC	0.0202518136904762	0.529319367204649
GPX4	CESC	0.00486718203463203	0.184894673514276
HSPA5	CESC	0.0020906487012987	0.951126981909858
HSPB1	CESC	0.00156198008658009	0.788893678476247
LPCAT3	CESC	0.00183559512987013	0.644583440120164
MT1G	CESC	0.0829215088744589	0.576792399051498
NCOA4	CESC	0.00627033371212121	0.874403368882481
NFE2L2	CESC	0.00158284864718614	0.925466364189842
RPL8	CESC	-0.00216134274891776	0.884581142742732
SAT1	CESC	0.175096292532468	0.0165378617612477
SLC1A5	CESC	-0.0562845489177489	0.00856144612601272
SLC7A11	CESC	0.00260995173160174	0.546350131524791
TFRC	CESC	-0.00244187813852814	0.294450247372914
TTC35	CESC	0.00292595941558441	0.889677289222879
ACSL4	CHOL	0.0679917516745154	0.988880423241709
ALOX15	CHOL	0.251642209569381	0.00157235383076503
ATP5G3	CHOL	-0.00192359742581262	0.769662615224904
CARS	CHOL	0.0047640441578386	0.279926677383166
CDKN1A	CHOL	0.0571636328206805	0.103510164638027
CISD1	CHOL	0.004727563118042	0.333594267606269
CS	CHOL	0.00599662148167431	0.548148568604132
DPP4	CHOL	0.0454114607735202	0.210631296459878
FANCD2	CHOL	0.00363126485665335	0.171686663539665
FDFT1	CHOL	-0.00150016744715227	0.685809303046668
GLS2	CHOL	0.116505072650036	6.95447571287199e-05
GPX4	CHOL	0.00357219408125393	0.221259831577173
HSPA5	CHOL	0.00129430563155694	0.9001739437062
