	C1	C2	C4	C3	C5
CD80	0.209482227616943	0.0576340757687908	-0.103053597213964	-0.0183006656463777	-0.152082133947419
CD28	0.100211964201602	0.13917300316264	-0.0734094963051049	-0.0211079969760109	-0.0445691805795433
ICOSLG	0.223205550925758	0.173255500975708	-0.113203941221439	-0.0539016834768499	-0.0922567645365573
PDCD1LG2	0.261549331497518	-0.0281609582127717	-0.0760638749681475	-0.0477108033853927	-0.120994051045865
CD274	0.26724700170296	-0.0294562950003365	-0.0773592117557122	-0.0490061401729574	-0.122289387833429
VTCN1	0.209219536939744	0.0303983581185654	-0.0804170559755372	-0.0361080891708001	-0.0922567645365573
SLAMF7	0.0977118736186094	-0.0851053091985734	0.0155440414507773	-0.0013598731399701	-0.401122625215889
BTN3A2	0.310735896228124	0.0889576744499024	-0.154442368130468	-0.0316228126786274	-0.174630589138361
BTN3A1	0.312031233015689	0.0902530112374672	-0.153147031342903	-0.0338861947522726	-0.173335252350796
C10orf54	0.044775173013515	0.136683264921607	-0.065679945638325	0.00861560304611583	-0.123056994818653
CD276	0.104605239320265	-0.0152748805598546	-0.0658922959313684	0.0160603322700201	-0.0821339474189215
TNFSF9	0.107186854596181	-0.0606453132359868	-0.0286035844729466	-0.00920564969667914	-0.0404432930339666
TNF	0.314621906590819	0.10583069779961	-0.154654718423511	-0.038412958899563	-0.170744578775667
TNFSF4	0.0277818036885394	-0.0461442702375344	0.0319374840737281	0.0057575645824498	-0.364085588178852
IL1B	0.112386318344868	0.0924062983648476	-0.0723265098105835	-0.0159266498257518	-0.0393878334292842
CXCL9	0.0618681836298416	0.0548751766368347	-0.106451201902659	0.054551656740361	-0.0899059681443101
CXCL10	0.0618681836298416	0.0548751766368347	-0.106451201902659	0.054551656740361	-0.0899059681443101
CCL5	-0.0787890865611073	-0.0618060695780903	-0.0776140321073643	0.129856360518503	-0.056515064287085
VEGFB	0.0957915141852966	0.123763542157325	-0.0792915994224072	0.000502461600870308	-0.148963730569948
CX3CL1	0.0465958911554767	0.0885539331135186	-0.0604773634587616	0.00993859827042576	-0.0562272116676262
TGFB1	0.143691800427552	0.0537817105174618	-0.0543192049605029	-0.0351400438847196	-0.0578104010746498
VEGFA	0.334568281459473	0.0798230267142184	-0.141701350547864	-0.053929341913595	-0.157791210900019
CD70	0.107186854596181	-0.0606453132359868	-0.0286035844729466	-0.00920564969667914	-0.0404432930339666
CD40LG	0.119623899416646	0.0107327905255366	-0.0747473031512783	0.00666568325558239	-0.0580502782575321
IL10	-0.0411156201311642	-0.00714958616513017	0.023082476853818	0.0355088230413217	-0.340001919017463
IFNG	-0.122305155983912	0.000571966893210402	-0.0685679096237153	0.121429756790146	0.00201496833621184
IL1A	0.112386318344868	0.0924062983648476	-0.0723265098105835	-0.0159266498257518	-0.0393878334292842
IL12A	0.332231240262328	0.0565069645380526	-0.156820691412554	-0.0274233400328214	-0.218144310113222
IFNA2	0.20845863980579	-0.0113215799744297	-0.0715195786970186	-0.0308714251470507	-0.104154672807523
IFNA1	0.21104931338092	-0.0217179193863132	-0.0689289051218891	-0.0318394704331311	-0.101563999232393
IL4	-0.121779774629516	-0.113787766637508	0.037798352161726	0.060959194586322	-0.0065246593744003
IL2	0.0326098771694627	0.0495928941524796	-0.0727724454259747	0.0384083491601055	-0.0562272116676262
IL13	-0.121779774629516	-0.113787766637508	0.037798352161726	0.060959194586322	-0.0065246593744003
