	C1	C2	C3	C4	C5
CD80	5.188	5.4648	4.7604	4.05455	3.9951
CD28	6.1266	6.4027	5.6587	5.6678	6.0693
ICOSLG	8.741	8.5673	7.816	8.29545	8.7017
PDCD1LG2	6.7611	6.6568	5.8376	5.8202	6.3231
CD274	4.8933	4.815	4.2524	4.24855	4.7849
VTCN1	11.6481	9.5701	9.2215	11.5284	11.4853
SLAMF7	8.5462	8.7718	7.437	7.51235	8.1877
BTN3A2	10.387	10.2706	9.8239	9.9021	10.0236
BTN3A1	9.7177	9.6134	9.2237	9.45805	9.6973
C10orf54	9.4813	8.9369	8.4935	9.29345	10.101
CD276	11.5102	11.7488	11.361	11.2872	11.5514
TNFSF9	4.6814	4.619	3.8707	3.79025	3.7266
TNF	6.0725	4.8906	4.7864	4.57215	4.7348
TNFSF4	6.6266	7.4881	7.2084	6.9003	6.1583
IL1B	6.6973	5.8194	5.8339	5.99995	6.3231
CXCL9	10.7687	11.362	9.1012	9.0181	8.7413
CXCL10	10.1801	9.8545	8.879	8.0502	7.5584
CCL5	9.9804	9.662	8.6863	8.8578	9.3978
VEGFB	10.2641	10.3535	10.2252	10.37435	10.4486
CX3CL1	10.9723	9.5944	8.748	9.89095	11.9108
TGFB1	9.8136	10.1723	9.9352	10.2296	10.4234
VEGFA	11.3534	11.2094	10.7144	10.6425	10.4213
CD70	3.9979	3.516	2.724	2.7417	2.1522
CD40LG	4.4808	4.5502	3.5692	4.3635	4.9427
IL10	3.9412	4.0681	3.6108	3.2474	3.7393
IFNG	2.737	2.5365	1.2927	1.27835	1.3702
IL1A	2.247	1.894	1.6124	1.4829	1.3051
IL12A	3.935	2.9527	2.0853	2.4055	3.3161
IFNA2	0	0	0	0	0
IFNA1	0	0	0	0	0
IL4	0	0	0	0	0
IL2	0.4229	0.4846	0	0.441	0.6756
IL13	0.4707	0.6064	0	0	0.7173
TNFRSF18	6.5587	6.2162	6.754	6.94235	6.3697
TIGIT	6.8024	6.9365	5.4281	5.29775	5.5207
PDCD1	5.3777	4.79	4.0032	4.18165	4.7999
CTLA4	5.8526	5.7674	4.5121	4.1213	4.5387
IL2RA	6.3766	5.8895	4.5761	4.13045	4.4334
TNFRSF4	6.2858	6.1953	5.4318	5.81635	6.0109
CD27	7.0617	7.2056	6.0745	6.5867	7.0898
LAG3	6.9788	6.5214	5.5699	5.0088	5.3702
TNFRSF9	4.746	4.7495	3.4401	3.14715	3.8652
ICOS	5.7326	5.5318	4.415	3.9797	4.2675
BTLA	4.5403	4.5214	3.2512	3.6184	4.3047
KIR2DL3	0.7828	1.0102	0.4812	0.40735	0.7729
KIR2DL1	0.5127	0.3975	0	0	0.6346
TNFRSF14	9.489	9.2416	9.4217	9.83415	9.8727
EDNRB	6.873	6.9712	7.2366	7.8631	8.7568
CD40	8.3512	8.1505	7.4357	7.78235	8.4082
ADORA2A	7.3042	7.6535	7.6518	7.8286	7.5381
TLR4	8.2385	8.6955	8.4311	8.54615	8.9444
HAVCR2	8.6613	8.8757	8.494	8.26985	8.3435
ITGB2	11.2031	11.1236	10.2926	10.3322	10.5899
ICAM1	11.3383	10.4327	9.8132	10.0443	10.4318
SELP	5.5305	6.2956	6.1516	7.5927	8.6158
HLA-DRB5	10.427	10.1372	9.846	9.9747	10.3829
HLA-DQA1	11.0611	11.4549	10.3197	10.4751	10.9752
HLA-DQB1	11.3328	11.1353	10.5817	10.72575	11.4203
MICA	8.068	8.4373	8.0987	8.30575	8.5157
MICB	7.4114	7.1083	7.559	7.11705	6.6557
HLA-DQA2	8.4383	8.9184	8.1553	8.32025	8.0826
HLA-DQB2	7.175	6.9076	6.2796	7.13145	7.2931
HLA-B	15.3439	14.9063	14.3383	14.26995	14.3086
HLA-A	14.7567	14.2359	13.7117	13.58205	13.7828
HLA-C	14.5357	14.2578	13.9097	14.0155	13.8281
HLA-DRA	13.8004	14.0539	13.2932	13.6139	13.5682
HLA-DRB1	12.393	12.0642	11.7681	12.0381	12.3824
HLA-DPB1	11.8016	11.9536	11.2863	11.87335	12.0636
HLA-DPA1	12.4074	12.6413	12.0063	12.45145	12.5617
IDO1	8.5279	7.5557	5.8286	5.5339	5.7925
GZMA	6.8774	6.9542	5.9318	6.3412	6.5325
PRF1	7.0842	6.7992	5.6217	6.0649	6.833
ARG1	0	0.3807	0	0.3322	0.6346
HMGB1	12.4395	12.55	12.39	12.3435	12.3771
ENTPD1	10.1253	10.4047	10.1831	10.39985	10.5367
