"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"CD79A","OK","negbinomial.size",2.18929265455045e-84,2.28299438016521e-80,"CD79A",417,TRUE
"HLA-DRA","OK","negbinomial.size",2.79270614262652e-66,1.45611698276547e-62,"HLA-DRA",1478,TRUE
"IGLL5","OK","negbinomial.size",3.12217298024856e-64,1.0852673279344e-60,"IGLL5",107,TRUE
"NKG7","OK","negbinomial.size",9.63340500868935e-60,2.51142868576531e-56,"NKG7",788,TRUE
"MS4A1","OK","negbinomial.size",1.08388852776147e-51,2.26055791349933e-48,"MS4A1",415,TRUE
"GNLY","OK","negbinomial.size",2.59711903835333e-50,4.51379288865809e-47,"GNLY",475,TRUE
"GZMA","OK","negbinomial.size",3.8237122806666e-49,5.69623880897019e-46,"GZMA",521,TRUE
"IGJ","OK","negbinomial.size",5.38873432669578e-49,7.02421519484795e-46,"IGJ",68,TRUE
"HLA-DQA1","OK","negbinomial.size",3.49474930691989e-46,3.64432457725606e-43,"HLA-DQA1",576,TRUE
"CCL5","OK","negbinomial.size",3.23420198438536e-46,3.64432457725606e-43,"CCL5",835,TRUE
"HLA-DQB1","OK","negbinomial.size",3.3514732170392e-44,3.17719660975316e-41,"HLA-DQB1",635,TRUE
"GZMB","OK","negbinomial.size",2.85377672679136e-42,2.47993197558169e-39,"GZMB",318,TRUE
"TCL1A","OK","negbinomial.size",4.17815417539292e-41,3.35152244161518e-38,"TCL1A",264,TRUE
"CST7","OK","negbinomial.size",5.04650222595046e-40,3.75892322944367e-37,"CST7",518,TRUE
"LINC00926","OK","negbinomial.size",1.09427600847257e-39,7.60740681090127e-37,"LINC00926",215,TRUE
"CTSW","OK","negbinomial.size",6.45201039833295e-37,4.2050977771135e-34,"CTSW",790,TRUE
"CD79B","OK","negbinomial.size",2.09403821308509e-36,1.28450767565008e-33,"CD79B",640,TRUE
"GZMH","OK","negbinomial.size",4.93519905797165e-36,2.85912532091825e-33,"GZMH",264,TRUE
"PRF1","OK","negbinomial.size",5.94440040993654e-36,3.26253723551675e-33,"PRF1",412,TRUE
"CD74","OK","negbinomial.size",2.88548571553922e-34,1.50449225208215e-31,"CD74",2227,TRUE
"LY86","OK","negbinomial.size",7.50611280227928e-34,3.72732115724611e-31,"LY86",506,TRUE
"PPBP","OK","negbinomial.size",2.02366873877189e-33,9.59218982177876e-31,"PPBP",76,TRUE
"VPREB3","OK","negbinomial.size",2.28030354760268e-33,1.03386979975656e-30,"VPREB3",183,TRUE
"IL32","OK","negbinomial.size",1.43792883709522e-32,6.24780079717875e-30,"IL32",1457,TRUE
"FGFBP2","OK","negbinomial.size",2.84858567495683e-32,1.18820205673799e-29,"FGFBP2",290,TRUE
"HLA-DRB1","OK","negbinomial.size",3.03359122860942e-32,1.21670343584381e-29,"HLA-DRB1",1213,TRUE
"HLA-DPB1","OK","negbinomial.size",6.34738912225227e-32,2.45150273210543e-29,"HLA-DPB1",1368,TRUE
"GZMM","OK","negbinomial.size",2.32832478229884e-31,8.67134672493298e-29,"GZMM",645,TRUE
"HLA-DRB5","OK","negbinomial.size",2.70215186270463e-30,9.71656538768409e-28,"HLA-DRB5",927,TRUE
"AL928768.3","OK","negbinomial.size",8.78190499136483e-30,3.05259017499841e-27,"AL928768.3",18,TRUE
"CD247","OK","negbinomial.size",1.96556816002126e-29,6.61191766861344e-27,"CD247",707,TRUE
"HLA-DPA1","OK","negbinomial.size",3.49936160617395e-29,1.14035446341193e-26,"HLA-DPA1",1302,TRUE
"HLA-DQA2","OK","negbinomial.size",4.99540696081633e-29,1.57854859961796e-26,"HLA-DQA2",329,TRUE
"CD3D","OK","negbinomial.size",4.74046136051118e-28,1.45392738433561e-25,"CD3D",1372,TRUE
"HLA-DMA","OK","negbinomial.size",2.34347609226124e-27,6.98221962574292e-25,"HLA-DMA",701,TRUE
"CD7","OK","negbinomial.size",1.00089552056886e-26,2.8992606912478e-24,"CD7",970,TRUE
"CCL4","OK","negbinomial.size",2.30582578000704e-26,6.4986895226793e-24,"CCL4",300,TRUE
"HCST","OK","negbinomial.size",3.1574682403255e-25,8.66475758160904e-23,"HCST",1425,TRUE
"SRGN","OK","negbinomial.size",2.1374146867288e-24,5.71511803928408e-22,"SRGN",1580,TRUE
"GIMAP7","OK","negbinomial.size",7.94511168142827e-24,2.07129061534835e-21,"GIMAP7",1425,TRUE
"ARHGAP24","OK","negbinomial.size",1.62937960338627e-23,4.14418792783221e-21,"ARHGAP24",86,TRUE
"ID2","OK","negbinomial.size",1.92166196709059e-23,4.77121214114777e-21,"ID2",1022,TRUE
"FCGR3A","OK","negbinomial.size",2.62205365458112e-23,6.29987145577382e-21,"FCGR3A",491,TRUE
"HLA-DMB","OK","negbinomial.size",2.65817361003115e-23,6.29987145577382e-21,"HLA-DMB",478,TRUE
"BANK1","OK","negbinomial.size",6.28025360542134e-23,1.45534410216297e-20,"BANK1",251,TRUE
"SPON2","OK","negbinomial.size",4.18389705948237e-22,9.48471272527873e-20,"SPON2",211,TRUE
"SPIB","OK","negbinomial.size",4.41979797701209e-22,9.80630921367705e-20,"SPIB",108,TRUE
"IRF8","OK","negbinomial.size",4.69550862276775e-22,1.02009924829629e-19,"IRF8",292,TRUE
"FCRLA","OK","negbinomial.size",8.91864129326903e-22,1.86007182812419e-19,"FCRLA",115,TRUE
"GZMK","OK","negbinomial.size",8.90404170380344e-22,1.86007182812419e-19,"GZMK",298,TRUE
"S100A4","OK","negbinomial.size",9.99464913436654e-22,2.0436117877093e-19,"S100A4",2144,TRUE
"GNG7","OK","negbinomial.size",2.31004837514722e-21,4.63253547231447e-19,"GNG7",140,TRUE
"FCER2","OK","negbinomial.size",3.23430375941535e-21,6.36364520814779e-19,"FCER2",151,TRUE
"ANXA1","OK","negbinomial.size",8.05827872520044e-21,1.55614315826648e-18,"ANXA1",1565,TRUE
"PF4","OK","negbinomial.size",1.07655176730213e-20,2.04114215080483e-18,"PF4",41,TRUE
"LYAR","OK","negbinomial.size",2.80280874770882e-20,5.21923028948349e-18,"LYAR",481,TRUE
"KLRD1","OK","negbinomial.size",3.53376222394924e-20,6.4649249949724e-18,"KLRD1",158,TRUE
"LGALS1","OK","negbinomial.size",4.35614750322519e-20,7.83205278683315e-18,"LGALS1",1258,TRUE
"KIAA0125","OK","negbinomial.size",1.39964138886299e-19,2.47380684797683e-17,"KIAA0125",90,TRUE
"KLRG1","OK","negbinomial.size",1.7143173021722e-19,2.97948347117528e-17,"KLRG1",303,TRUE
"XCL2","OK","negbinomial.size",2.18864959284964e-19,3.74151441872721e-17,"XCL2",138,TRUE
