"geneA"	"geneB"	"Neither"	"AnotB"	"BnotA"	"Both"	"oddsRatio"	"pvalue"	"Tendency"	"log2OR"	"stars"
"MLL2"	"FGFR3"	11	4	11	4	1	0.659170414792603	"Mutual-exclusivity"	0.137503523749935	""
"MLL2"	"MLL3"	18	5	4	3	2.60026903676829	0.260831122900088	"Co-occurrence"	1.43310315493353	""
"MLL2"	"KDM6A"	14	8	8	0	0	0.054634221350863	"Mutual-exclusivity"	-3.32192809488736	"."
"MLL2"	"ZFP36L1"	18	6	4	2	1.47869067159417	0.519540229885057	"Co-occurrence"	0.658728517445812	""
"MLL2"	"STAG2"	18	7	4	1	0.651696944009528	0.595441595441596	"Mutual-exclusivity"	-0.411776956252455	""
"MLL2"	"CRIPAK"	18	8	4	0	0	0.266922094508301	"Mutual-exclusivity"	-3.32192809488736	""
"MLL2"	"ARID1A"	19	6	3	2	2.05317177228568	0.404558404558404	"Co-occurrence"	1.10646341710828	""
"MLL2"	"TP53"	19	6	3	2	2.05317177228568	0.404558404558404	"Co-occurrence"	1.10646341710828	""
"MLL2"	"GANAB"	20	6	2	2	3.1770162581025	0.283524904214559	"Co-occurrence"	1.71238283047166	""
"FGFR3"	"MLL3"	14	9	1	6	8.68232155433897	0.0400383141762453	"Co-occurrence"	3.13460235800777	"*"
"FGFR3"	"KDM6A"	13	9	2	6	4.12310073869895	0.107379643511577	"Co-occurrence"	2.07830266188891	""
"FGFR3"	"ZFP36L1"	12	12	3	3	1	0.674329501915709	"Mutual-exclusivity"	0.137503523749935	""
"FGFR3"	"STAG2"	14	11	1	4	4.83700748781563	0.164750957854406	"Co-occurrence"	2.30363683317427	""
"FGFR3"	"CRIPAK"	14	12	1	3	3.36376587185082	0.298850574712644	"Co-occurrence"	1.79234141651521	""
"FGFR3"	"ARID1A"	11	14	4	1	0.206739394660643	0.164750957854406	"Mutual-exclusivity"	-1.70491463049386	""
"FGFR3"	"TP53"	11	14	4	1	0.206739394660643	0.164750957854406	"Mutual-exclusivity"	-1.70491463049386	""
"FGFR3"	"GANAB"	12	14	3	1	0.297285851066019	0.298850574712644	"Mutual-exclusivity"	-1.33175068067195	""
"MLL3"	"KDM6A"	16	6	7	1	0.391775690183655	0.376976127320955	"Mutual-exclusivity"	-1.02392767454937	""
"MLL3"	"ZFP36L1"	18	6	5	1	0.609414191399801	0.566696139109932	"Mutual-exclusivity"	-0.495299904087997	""
"MLL3"	"STAG2"	20	5	3	2	2.56571332726355	0.328912466843502	"Co-occurrence"	1.41452164030203	""
"MLL3"	"CRIPAK"	19	7	4	0	0	0.323116219667944	"Mutual-exclusivity"	-3.32192809488736	""
"MLL3"	"ARID1A"	19	6	4	1	0.797606920560296	0.671087533156498	"Mutual-exclusivity"	-0.15584429570143	""
"MLL3"	"TP53"	19	6	4	1	0.797606920560296	0.671087533156498	"Mutual-exclusivity"	-0.15584429570143	""
"MLL3"	"GANAB"	21	5	2	2	3.95059887618953	0.224521072796935	"Co-occurrence"	2.01813522449979	""
"KDM6A"	"ZFP36L1"	20	4	2	4	8.98470432853507	0.0293545534924845	"Co-occurrence"	3.18343956116301	"*"
"KDM6A"	"STAG2"	20	5	2	3	5.55592598302063	0.101974653698792	"Co-occurrence"	2.49976324026262	""
"KDM6A"	"CRIPAK"	21	5	1	3	11.2344940855833	0.0475095785440613	"Co-occurrence"	3.5026480928025	"*"
"KDM6A"	"ARID1A"	18	7	4	1	0.651696944009528	0.595441595441596	"Mutual-exclusivity"	-0.411776956252455	""
"KDM6A"	"TP53"	18	7	4	1	0.651696944009528	0.595441595441596	"Mutual-exclusivity"	-0.411776956252455	""
"KDM6A"	"GANAB"	18	8	4	0	0	0.266922094508301	"Mutual-exclusivity"	-3.32192809488736	""
"ZFP36L1"	"STAG2"	22	3	2	3	9.70302549915606	0.0413035240621448	"Co-occurrence"	3.293227075656	"*"
"ZFP36L1"	"CRIPAK"	22	4	2	2	5.08100979228672	0.169129720853859	"Co-occurrence"	2.37323331033382	""
"ZFP36L1"	"ARID1A"	21	4	3	2	3.31975186220764	0.254347185381668	"Co-occurrence"	1.77389164670474	""
"ZFP36L1"	"TP53"	20	5	4	1	1	0.745652814618332	"Mutual-exclusivity"	0.137503523749935	""
"ZFP36L1"	"GANAB"	20	6	4	0	0	0.387739463601532	"Mutual-exclusivity"	-3.32192809488736	""
"STAG2"	"CRIPAK"	22	4	3	1	1.79093752834568	0.538405400474366	"Co-occurrence"	0.919101701185794	""
"STAG2"	"ARID1A"	21	4	4	1	1.29991533751073	0.627173592690834	"Co-occurrence"	0.485339580136862	""
"STAG2"	"TP53"	20	5	5	0	0	0.372826407309166	"Mutual-exclusivity"	-3.32192809488736	""
"STAG2"	"GANAB"	21	5	4	0	0	0.461594599525634	"Mutual-exclusivity"	-3.32192809488736	""
"CRIPAK"	"ARID1A"	22	3	4	1	1.79093752834567	0.538405400474366	"Co-occurrence"	0.919101701185786	""
"CRIPAK"	"TP53"	21	4	5	0	0	0.461594599525634	"Mutual-exclusivity"	-3.32192809488736	""
"CRIPAK"	"GANAB"	22	4	4	0	0	0.545520890348477	"Mutual-exclusivity"	-3.32192809488736	""
"ARID1A"	"TP53"	20	5	5	0	0	0.372826407309166	"Mutual-exclusivity"	-3.32192809488736	""
"ARID1A"	"GANAB"	22	4	3	1	1.79093752834568	0.538405400474366	"Co-occurrence"	0.919101701185794	""
"TP53"	"GANAB"	23	3	2	2	6.89516741479897	0.118773946360153	"Co-occurrence"	2.80635858571168	""
