Population	Data set	Sample ID	PubMed ID
B cell activated	GSE1133	GSM18881	15075390
B cell activated	GSE1133	GSM18882	15075390
CD4 T cell activated 	GSE1133	GSM18877	15075390
CD4 T cell activated 	GSE1133	GSM18878	15075390
CD8 T cell activated 	GSE1133	GSM18879	15075390
CD8 T cell activated 	GSE1133	GSM18880	15075390
Dendritic cells activated	GSE1133	GSM18873	15075390
Dendritic cells activated	GSE1133	GSM18874	15075390
Dendritic cells activated	GSE11943	GSM301727	23497451
Dendritic cells activated	GSE11943	GSM301728	23497451
Dendritic cells activated	GSE11943	GSM301729	23497451
Dendritic cells activated	GSE11943	GSM301730	23497451
Plasmacytoid dendritic cells	GSE11943	GSM301723	23497451
Plasmacytoid dendritic cells	GSE11943	GSM301724	23497451
Plasmacytoid dendritic cells	GSE11943	GSM301725	23497451
Plasmacytoid dendritic cells	GSE11943	GSM301726	23497451
T cells regulatory	GSE13017	GSM326123	194532521
T cells regulatory	GSE13017	GSM326124	194532521
B cell memory	GSE13411	GSM338403	19124732
B cell memory	GSE13411	GSM338404	19124732
B cell memory	GSE13411	GSM338405	19124732
B cell memory	GSE13411	GSM338406	19124732
B cell naïve	GSE13411	GSM338401	19124732
B cell naïve	GSE13411	GSM338402	19124732
Plasma cell	GSE13411	GSM338407	19124732
T gamma delta 	GSE13906	GSM349848	20132662
T gamma delta 	GSE13906	GSM349849	20132662
CD4 T cell resting	GSE1460	GSM24616	15210650
CD4 T cell resting	GSE1460	GSM24617	15210650
CD4 T cell resting	GSE1460	GSM24618	15210650
CD4 T cell resting	GSE1460	GSM24619	15210650
CD4 T cell resting	GSE1460	GSM24620	15210650
CD4 T cell activated 	GSE17354	GSM433804	19652199
CD4 T cell activated 	GSE17354	GSM433806	19652199
CD4 T cell activated 	GSE17354	GSM433808	19652199
CD4 T cell activated 	GSE17354	GSM433810	19652199
CD8 T cell activated 	GSE17354	GSM433805	19652199
CD8 T cell activated 	GSE17354	GSM433807	19652199
CD8 T cell activated 	GSE17354	GSM433809	19652199
CD8 T cell activated 	GSE17354	GSM433811	19652199
Neutrophils	GSE20151	GSM313630	20663022
Neutrophils	GSE20151	GSM313632	20663022
B cell memory	GSE22886	GSM565316	15789058
B cell memory	GSE22886	GSM565317	15789058
B cell memory	GSE22886	GSM565318	15789058
B cell memory	GSE22886	GSM565319	15789058
B cell memory	GSE22886	GSM565320	15789058
B cell memory	GSE22886	GSM565321	15789058
B cell memory	GSE22886	GSM565322	15789058
B cell naïve	GSE22886	GSM565314	15789058
B cell naïve	GSE22886	GSM565313	15789058
B cell naïve	GSE22886	GSM565312	15789058
B cell naïve	GSE22886	GSM565311	15789058
B cell naïve	GSE22886	GSM565310	15789058
B cell naïve	GSE22886	GSM565309	15789058
B cell naïve	GSE22886	GSM565308	15789058
CD4 T cell resting	GSE22886	GSM565273	15789058
CD4 T cell resting	GSE22886	GSM565274	15789058
CD4 T cell resting	GSE22886	GSM565275	15789058
CD8 T cell resting	GSE22886	GSM565269	15789058
CD8 T cell resting	GSE22886	GSM565270	15789058
CD8 T cell resting	GSE22886	GSM565271	15789058
CD8 T cell resting	GSE22886	GSM565272	15789058
Dendritic cells activated	GSE22886	GSM565372	15789058
Dendritic cells activated	GSE22886	GSM565373	15789058
Dendritic cells activated	GSE22886	GSM565374	15789058
Dendritic cells activated	GSE22886	GSM565375	15789058
Dendritic cells activated	GSE22886	GSM565376	15789058
Dendritic cells activated	GSE22886	GSM565377	15789058
Dendritic cells resting	GSE22886	GSM565366	15789058
Dendritic cells resting	GSE22886	GSM565367	15789058
Dendritic cells resting	GSE22886	GSM565368	15789058
Dendritic cells resting	GSE22886	GSM565369	15789058
Dendritic cells resting	GSE22886	GSM565370	15789058
