tumor	class	samID	NETs
ACC	train	TCGA-OR-A5LT-01	2.80020904054157
ACC	train	TCGA-OR-A5J7-01	3.19069185268653
ACC	train	TCGA-OR-A5K2-01	3.83877318328892
ACC	train	TCGA-P6-A5OF-01	3.50339094498664
ACC	train	TCGA-OR-A5K9-01	1.80576742825245
ACC	train	TCGA-OR-A5J1-01	3.2946304262928
ACC	train	TCGA-OR-A5LE-01	1.46878050508091
ACC	train	TCGA-OR-A5JC-01	1.15247633994773
ACC	train	TCGA-OR-A5L3-01	1.66271126206949
ACC	train	TCGA-OR-A5J3-01	1.02236029374356
ACC	train	TCGA-OR-A5JW-01	1.90015347301388
ACC	train	TCGA-OR-A5JA-01	4.79195308719069
ACC	train	TCGA-OR-A5LH-01	3.75151357424423
ACC	train	TCGA-OR-A5JI-01	0.606520303382434
ACC	train	TCGA-OR-A5LA-01	2.18343429232361
ACC	train	TCGA-OR-A5LD-01	-0.381140760718252
ACC	train	TCGA-OR-A5L5-01	1.5471785975303
ACC	train	TCGA-OR-A5KW-01	2.072344630193
ACC	train	TCGA-OR-A5JE-01	2.59034487645668
ACC	train	TCGA-OR-A5KY-01	2.85217434297844
ACC	train	TCGA-OR-A5LS-01	1.30944363128249
ACC	train	TCGA-OR-A5JX-01	2.12553480066542
ACC	train	TCGA-PK-A5H8-01	3.79149171430242
ACC	train	TCGA-OR-A5JT-01	2.0457610962969
ACC	train	TCGA-OR-A5JG-01	2.49145229898166
ACC	train	TCGA-OR-A5K1-01	1.4076617889897
ACC	train	TCGA-P6-A5OG-01	5.86354777598446
ACC	train	TCGA-PA-A5YG-01	1.56328292498082
ACC	train	TCGA-OR-A5JR-01	0.21375376663866
ACC	train	TCGA-OR-A5LL-01	2.66705025377606
ACC	train	TCGA-OR-A5JP-01	3.54976959476735
ACC	train	TCGA-OR-A5JJ-01	1.79292309245834
ACC	train	TCGA-OR-A5LN-01	1.61008039477873
ACC	train	TCGA-OR-A5J6-01	3.10758607864038
ACC	train	TCGA-OR-A5JQ-01	0.887656325542515
ACC	train	TCGA-OR-A5L9-01	2.96177329756965
ACC	train	TCGA-OR-A5K0-01	2.2396741620351
ACC	train	TCGA-OR-A5LP-01	1.36286906708146
ACC	train	TCGA-PK-A5HB-01	3.98541372937801
ACC	train	TCGA-OR-A5L8-01	-0.589831751572996
ACC	train	TCGA-OR-A5K3-01	4.03856390430202
ACC	train	TCGA-OR-A5JO-01	4.41812158290379
ACC	train	TCGA-OR-A5JV-01	3.17142030294278
ACC	train	TCGA-OR-A5L4-01	3.02769197464302
ACC	train	TCGA-PK-A5H9-01	3.92635929560099
ACC	train	TCGA-OR-A5JM-01	3.08129263800814
ACC	train	TCGA-OR-A5LK-01	1.16038904764924
ACC	train	TCGA-OR-A5KZ-01	2.58655103835815
ACC	train	TCGA-OR-A5J5-01	2.27747455953083
ACC	train	TCGA-OR-A5JZ-01	2.11958726847744
ACC	train	TCGA-OR-A5KU-01	0.743078729092075
ACC	train	TCGA-OR-A5KX-01	2.41282082479465
ACC	train	TCGA-PK-A5HA-01	-0.051614218424912
ACC	train	TCGA-OR-A5JF-01	1.44253075294653
ACC	train	TCGA-OU-A5PI-01	1.8712997722807
BLCA	train	TCGA-YF-AA3M-01	4.38625725321156
BLCA	train	TCGA-DK-AA6M-01	3.47370189730417
BLCA	train	TCGA-FD-A62O-01	3.12727723559335
BLCA	train	TCGA-DK-AA71-01	4.13562576859252
BLCA	train	TCGA-E7-A97P-01	6.59123649613922
BLCA	train	TCGA-G2-AA3F-01	1.31148622389141
BLCA	train	TCGA-BT-A20V-01	2.35084142136093
BLCA	train	TCGA-ZF-A9R9-01	0.818788966056728
BLCA	train	TCGA-ZF-A9R0-01	2.19142780118828
BLCA	train	TCGA-CF-A27C-01	3.86720349456258
BLCA	train	TCGA-DK-A3WX-01	5.36633859732231
BLCA	train	TCGA-GC-A3RB-01	5.39229866954713
BLCA	train	TCGA-4Z-AA7R-01	5.18212269156522
BLCA	train	TCGA-DK-AA6U-01	3.25536869814428
BLCA	train	TCGA-K4-A54R-01	3.3861648554939
