Gene ID #2	Gene ID #1	Class	type
AFP 	174	1	G12
MYH4 	4622	1	G12
SMYD3 	64754	1	G12
TOR3A 	64222	1	G12
FAM34A 	9926	1	G12
FGFR4 	2264	1	G12
KIAA0117 	23029	1	G12
TTC13 	79573	1	G12
PIGC 	5279	1	G12
C14orf101 	54916	1	G12
ZNF281 	23528	1	G12
RCOR3 	55758	1	G12
FBXW2 	26190	1	G12
YAP 	55249	1	G12
PRCC 	5546	1	G12
ATRN 	8455	1	G12
WDR26 	80232	1	G12
SLC29A1 	2030	1	G12
SYNJ2 	8871	1	G12
CEBPA 	1050	1	G12
FLJ11273 	54664	1	G12
RAP2A 	5911	1	G12
FLJ20618 	55000	1	G12
EFNA1 	1942	1	G12
GORASP2 	26003	1	G12
RPS6KC1 	26750	1	G12
TI-227H 	29793	1	G12
CREB3L2 	64764	1	G12
NCK2 	8440	1	G12
ARF1 	375	1	G12
H1F0 	3005	1	G12
UNC84A 	23353	1	G12
ARK5 	9891	1	G12
SCAMP3 	10067	1	G12
C1orf37 	92703	1	G12
UXS1 	80146	1	G12
CHKA 	1119	1	G12
C2orf33 	56947	1	G12
MKKS 	8195	1	G12
HSPA14 	51182	1	G12
KIAA1078 	23271	1	G12
GSTA3 	2940	1	G12
GCKR 	2646	1	G12
HGD 	3081	1	G12
PIK3C2G 	5288	1	G12
HLF 	3131	1	G12
QDPR 	5860	1	G12
FAM13A1 	10144	1	G12
FAH 	2184	1	G12
HHLA3 	11147	1	G12
MTCBP-1 	55256	1	G12
ACSL5 	51703	1	G12
RPIB9 	154661	1	G12
TSK 	25987	1	G12
ABCG2 	9429	1	G12
FTHFD 	10840	1	G12
G6PD 	2539	2	G3
HN1 	51155	2	G3
PFN2 	5217	2	G3
NDRG1 	10397	2	G3
PHB 	5245	2	G3
MAD2L1 	4085	2	G3
NRAS 	4893	2	G3
ENO1 	2023	2	G3
NME1 	4830	2	G3
HCAP-G 	64151	2	G3
TRIP13 	9319	2	G3
PAPOLA 	10914	2	G3
POLR2K 	5440	2	G3
CGI-48 	51096	2	G3
PHLDA2 	7262	2	G3
TCEB1 	6921	2	G3
CCNA2 	890	2	G3
GMFB 	2764	2	G3
CGI-141 	51026	2	G3
TTK 	7272	2	G3
TBL1XR1 	79718	2	G3
HMMR 	3161	2	G3
PGD 	5226	2	G3
P15RS 	55197	2	G3
PDCD2 	5134	2	G3
USP14 	9097	2	G3
FAM11B 	79134	2	G3
UCK2 	7371	2	G3
CDC6 	990	2	G3
ARPP-19 	10776	2	G3
LRP12 	29967	2	G3
MMD 	23531	2	G3
BOP1 	23246	2	G3
NME2 	4831	2	G3
RIT1 	6016	2	G3
HIST2H2BE 	8349	2	G3
SLC38A6 	145389	2	G3
C1orf39 	54874	2	G3
DR1 	1810	2	G3
KIAA0196 	9897	2	G3
KNTC2 	10403	2	G3
TPD52 	7163	2	G3
SLC16A3 	9123	2	G3
FLJ20485 	54517	2	G3
KNS2 	3831	2	G3
PSME3 	10197	2	G3
RAD21 	5885	2	G3
BUB1 	699	2	G3
RBM28 	55131	2	G3
SKB1 	10419	2	G3
KIF2 	3796	2	G3
GTF3C3 	9330	2	G3
EDD 	51366	2	G3
PGK1 	5230	2	G3
PRIM1 	5557	2	G3
TXN 	7295	2	G3
FLJ12443 	79888	2	G3
CLIC1 	1192	2	G3
FLJ10204 	55093	2	G3
ITGB1BP1 	9270	2	G3
RPL8 	6132	2	G3
KPNB1 	3837	2	G3
ACTL6A 	86	2	G3
UGCG 	7357	2	G3
WDR12 	55759	2	G3
NUP155 	9631	2	G3
CCT4 	10575	2	G3
CCT5 	22948	2	G3
SLC7A1 	6541	2	G3
C1orf33 	51154	2	G3
CNAP1 	9918	2	G3
FLJ10407 	55706	2	G3
IPO7 	10527	2	G3
GPR172A 	79581	2	G3
TGIF 	7050	2	G3
GLA 	2717	2	G3
DKFZP586L0724 	25926	2	G3
PC4 	10923	2	G3
SRI 	6717	2	G3
EZH2 	2146	2	G3
MELK 	9833	2	G3
TPD52L2 	7165	2	G3
USP3 	9960	2	G3
CCT2 	10576	2	G3
COIL 	8161	2	G3
KIF2C 	11004	2	G3
CKLF 	51192	2	G3
TRIM31 	11074	2	G3
EBNA1BP2 	10969	2	G3
MARCKS 	4082	2	G3
ARPC4 	10093	2	G3
DDX48 	9775	2	G3
TEBP 	10728	2	G3
NUP107 	57122	2	G3
ADSL 	158	2	G3
FXR1 	8087	2	G3
NUP37 	79023	2	G3
PPARBP 	5469	2	G3
EIF3S3 	8667	2	G3
EVA1 	10205	2	G3
PLOD2 	5352	2	G3
RBBP4 	5928	2	G3
SNRPA1 	6627	2	G3
DKC1 	1736	2	G3
PRO1855 	55379	2	G3
DUSP3 	1845	2	G3
EIF3S9 	8662	2	G3
COPS5 	10987	2	G3
WDR45L 	56270	2	G3
ANP32E 	81611	2	G3
C22orf18 	79019	2	G3
LANCL1 	10314	2	G3
SMC1L1 	8243	2	G3
UBE2V2 	7336	2	G3
HNRPR 	10236	2	G3
NPEPPS 	9520	2	G3
PAK1IP1 	55003	2	G3
AGA 	175	2	G3
BRD7 	29117	2	G3
CANT1 	124583	2	G3
EIF2S1 	1965	2	G3
PPP1CC 	5501	2	G3
PSMD14 	10213	2	G3
TXNDC 	81542	2	G3
JMJD1A 	55818	2	G3
SCYE1 	9255	2	G3
HGS 	9146	2	G3
MGC2574 	79080	2	G3
MRPL42 	28977	2	G3
SEC61G 	23480	2	G3
SRM 	6723	2	G3
TSN 	7247	2	G3
ACACA 	31	2	G3
MAPRE1 	22919	2	G3
PRKAR1A 	5573	2	G3
PSMC4 	5704	2	G3
PWP1 	11137	2	G3
STMN1 	3925	2	G3
VMP1 	81671	2	G3
PSMD11 	5717	2	G3
TOPBP1 	11073	2	G3
KIF1B 	23095	2	G3
SMAD2 	4087	2	G3
CASC3 	22794	2	G3
CGI-121 	51002	2	G3
DDEF1 	50807	2	G3
DKFZp762E1312 	55355	2	G3
FLJ10036 	55055	2	G3
FLJ10458 	54475	2	G3
FLJ20516 	54962	2	G3
C14orf10 	55012	2	G3
EML4 	27436	2	G3
KIAA0090 	23065	2	G3
PSMC6 	5706	2	G3
SNRPD2 	6633	2	G3
SNX7 	51375	2	G3
DHX15 	1665	2	G3
GNB1 	2782	2	G3
HCNGP 	29115	2	G3
MASA 	58478	2	G3
PIGF 	5281	2	G3
RFC3 	5983	2	G3
TACC3 	10460	2	G3
XPO1 	7514	2	G3
CBX3 	11335	2	G3
FLJ11193 	55322	2	G3
MPV17 	4358	2	G3
NARS 	4677	2	G3
NEUGRIN 	51335	2	G3
NSF 	4905	2	G3
CSNK1D 	1453	2	G3
FLJ10587 	55181	2	G3
FLJ10719 	55215	2	G3
NS 	26354	2	G3
PTP4A2 	8073	2	G3
TAF2 	6873	2	G3
TDG 	6996	2	G3
DNAJC10 	54431	2	G3
PTBP2 	58155	2	G3
XAB1 	11321	2	G3
FTH1 	2495	2	G3
RANBP5 	3843	2	G3
ATIC 	471	2	G3
C10orf3 	55165	2	G3
CYB5-M 	80777	2	G3
FAM50A 	9130	2	G3
PLEKHF2 	79666	2	G3
RAD51AP1 	10635	2	G3
THRAP4 	9862	2	G3
C16orf30 	79652	2	G3
FXYD6 	53826	2	G3
GIMAP5 	55340	2	G3
SMARCA2 	6595	2	G3
ALAD 	210	2	G3
COX7A1 	1346	2	G3
PRG2 	5553	2	G3
ACADVL 	37	2	G3
FLJ20699 	55020	2	G3
MAT2A 	4144	2	G3
CA5A 	763	2	G3
PIK3R1 	5295	2	G3
MASP1 	5648	2	G3
SELENBP1 	8991	2	G3
TENC1 	23371	2	G3
TMPRSS6 	164656	2	G3
AGTRL1 	187	2	G3
FMO4 	2329	2	G3
TNXB 	7148	2	G3
C10orf56 	219654	2	G3
SLC25A20 	788	2	G3
TF 	7018	2	G3
SARDH 	1757	2	G3
ECHS1 	1892	2	G3
LR8 	28959	2	G3
PCSK6 	5046	2	G3
MGMT 	4255	2	G3
CRYL1 	51084	2	G3
TST 	7263	2	G3
GAMT 	2593	2	G3
CPN2 	1370	2	G3
CFHL1 	3078	2	G3
CYP27A1 	1593	2	G3
ALDH5A1 	7915	2	G3
FLJ20605 	54996	2	G3
ARGBP2 	8470	2	G3
F7 	2155	2	G3
COL18A1 	80781	2	G3
GPLD1 	2822	2	G3
SERPING1 	710	2	G3
SLC38A3 	10991	2	G3
RARRES2 	5919	2	G3
IFIT1 	3434	2	G3
ACAT1 	38	2	G3
ASGR2 	433	2	G3
CPB2 	1361	2	G3
PON1 	5444	2	G3
DCL-1 	9936	2	G3
DHTKD1 	55526	2	G3
SERPINF1 	5176	2	G3
KNG1 	3827	2	G3
SLC2A2 	6514	2	G3
PAP 	5068	3	G56
SPARCL1 	8404	3	G56
GLUL 	2752	3	G56
LAMA3 	3909	3	G56
TBX3 	6926	3	G56
RHBG 	57127	3	G56
SMYD2 	56950	3	G56
FLJ11151 	55313	3	G56
DUT 	1854	3	G56
DPP4 	1803	3	G56
HIST1H2BK 	85236	3	G56
NEDD4 	4734	3	G56
NCALD 	83988	3	G56
BHLHB2 	8553	3	G56
QSCN6 	5768	3	G56
THBS2 	7058	3	G56
RAB27A 	5873	3	G56
HPS5 	11234	3	G56
AGPAT2 	10555	3	G56
TRIB1 	10221	3	G56
VNN3 	55350	3	G56
IL4R 	3566	3	G56
LGALS3BP 	3959	3	G56
PLD1 	5337	3	G56
F2RL1 	2150	3	G56
MAFF 	23764	3	G56
CTGF 	1490	3	G56
IER3 	8870	3	G56
NAV2 	89797	3	G56
