Model	TCGA	GSE57303	GSE62254	All	GEO
RSF	0.934993762252718	0.509916826615483	0.542683295998063	0.662531294955421	0.526300061306773
RSF + CoxBoost	0.627160933879879	0.616122840690979	0.560695041472422	0.601326272014427	0.588408941081701
RSF + Enet[α=0.1]	0.62622527178756	0.611004478566859	0.562027002482291	0.59975225094557	0.586515740524575
RSF + Enet[α=0.2]	0.626938157191231	0.612923864363404	0.560816128836956	0.60022605013053	0.58686999660018
RSF + Enet[α=0.3]	0.627651042594903	0.614203454894434	0.560059332808621	0.600637943432653	0.587131393851528
RSF + Enet[α=0.4]	0.628096595972197	0.614203454894434	0.560483138584489	0.60092772981704	0.587343296739461
RSF + Enet[α=0.5]	0.627829263945821	0.614843250159949	0.560301507537688	0.600991340547819	0.587572378848819
RSF + Enet[α=0.6]	0.627740153270362	0.616122840690979	0.560785856995823	0.601549616985721	0.588454348843401
RSF + Enet[α=0.7]	0.62791837462128	0.616122840690979	0.560846400678089	0.601629205330116	0.588484620684534
RSF + Enet[α=0.8]	0.627651042594903	0.616762635956494	0.560695041472422	0.601702906674606	0.588728838714458
RSF + Enet[α=0.9]	0.627339155230797	0.616762635956494	0.560573954107889	0.60155858176506	0.588668295032191
RSF + GBM	0.775173765817145	0.521433141394754	0.532966034994248	0.609857647402049	0.527199588194501
RSF + Lasso	0.628764926038139	0.628278950735765	0.554640673245747	0.60389485000655	0.591459811990756
RSF + plsRcox	0.62702726786669	0.611644273832374	0.560392323061089	0.599687954920051	0.586018298446731
RSF + Ridge	0.626537159151666	0.616762635956494	0.559574983350487	0.600958259486216	0.588168809653491
RSF + StepCox[both]	0.613972553911959	0.614843250159949	0.558303566022885	0.595706456698264	0.586573408091417
RSF + StepCox[backward]	0.613972553911959	0.614843250159949	0.558303566022885	0.595706456698264	0.586573408091417
RSF + StepCox[forward]	0.62702726786669	0.611644273832374	0.560362051219955	0.59967786430634	0.586003162526164
RSF + SuperPC	0.611299233648191	0.614203454894434	0.566537506811164	0.597346731784596	0.590370480852799
RSF + survival-SVM	0.627160933879879	0.625719769673704	0.548616576860205	0.600499093471263	0.587168173266955
Enet[α=0.1]	0.708697201924791	0.594369801663468	0.593570260943271	0.63221242151051	0.593970031303369
Enet[α=0.2]	0.712929959009089	0.595009596928983	0.594569231700672	0.634169595879581	0.594789414314827
Enet[α=0.3]	0.714088397790055	0.595009596928983	0.594781134588606	0.634626376435881	0.594895365758794
Enet[α=0.4]	0.714311174478703	0.596928982725528	0.593872979354604	0.635037712186278	0.595400981040066
Enet[α=0.5]	0.714222063803244	0.596928982725528	0.593812435672338	0.63498782740037	0.595370709198933
Enet[α=0.6]	0.714578506505079	0.599488163787588	0.594508688018405	0.636191786103691	0.596998425902997
Enet[α=0.7]	0.713642844412761	0.597568777991043	0.594236241448205	0.635149287950669	0.595902509719624
Enet[α=0.8]	0.713910176439137	0.598208573256558	0.594115154083671	0.635411301259789	0.596161863670115
Enet[α=0.9]	0.713776510425949	0.598848368522073	0.594569231700672	0.635731370216231	0.596708800111373
StepCox[both]	0.700365353769382	0.600767754318618	0.579191136404916	0.626774748164305	0.589979445361767
StepCox[backward]	0.703038674033149	0.582213691618682	0.588000242174729	0.624417535942187	0.585106966896705
StepCox[forward]	0.714400285154161	0.584772872680742	0.588514863473997	0.6292293404363	0.586643868077369
StepCox[both] + CoxBoost	0.701390126537159	0.603326935380678	0.580553369255918	0.628423477057918	0.591940152318298
StepCox[both] + Enet[α=0.1]	0.699919800392087	0.604606525911708	0.576829932796513	0.627118753033436	0.59071822935411
StepCox[both] + Enet[α=0.2]	0.70045446444484	0.603326935380678	0.578373796694315	0.627385065506611	0.590850366037497
StepCox[both] + Enet[α=0.3]	0.70049901978257	0.605246321177223	0.578343524853182	0.628029621937658	0.591794923015202
StepCox[both] + Enet[α=0.4]	0.701479237212618	0.604606525911708	0.57931222376945	0.628465995631259	0.591959374840579
StepCox[both] + Enet[α=0.5]	0.701167349848512	0.603326935380678	0.579524126657383	0.628006137295524	0.591425531019031
StepCox[both] + Enet[α=0.6]	0.7013010158617	0.603966730646193	0.579736029545317	0.628334592017737	0.591851380095755
StepCox[both] + Enet[α=0.7]	0.701612903225806	0.604606525911708	0.579736029545317	0.628651819560944	0.592171277728513
StepCox[both] + Enet[α=0.8]	0.701434681874889	0.605886116442738	0.579947932433251	0.629089576916959	0.592917024437994
