Agent names	Target genes
"[sar9,met(o2)11]-substance-p"	TACR1
"1,2,3,4,5,6-hexabromocyclohexane"	JAK2
"1,4-butanediol"	MAN1B1
"1,4-butanediol"	PLA2G2A
"1,4-butanediol"	PLA2G2E
10-DEBC	PIM1
10-hydroxycamptothecin	TOP1
12-O-tetradecanoylphorbol-13-acetate	KCNT2
12-O-tetradecanoylphorbol-13-acetate	TRPV4
1400W	NOS1
1400W	NOS2
1400W	NOS3
"16,16-dimethylprostaglandin-e2"	HPGD
17-alpha-methyltestosterone	AR
17-hydroxyprogesterone-caproate	AR
17-hydroxyprogesterone-caproate	ESR1
17-hydroxyprogesterone-caproate	ESR2
17-hydroxyprogesterone-caproate	NR1H4
17-hydroxyprogesterone-caproate	NR1I2
17-hydroxyprogesterone-caproate	NR3C1
17-hydroxyprogesterone-caproate	PGR
1-azakenpaullone	CCNB1
1-azakenpaullone	CDK1
1-azakenpaullone	CDK5
1-azakenpaullone	GSK3B
1-deoxymannojirimycin	MAN2A1
1-EBIO	KCNN1
1-EBIO	KCNN2
1-EBIO	KCNN3
1-EBIO	KCNN4
1-hexadecanal	DBI
1-hexadecanal	RHO
1-naphthyl-PP1	SRC
1-octanol	GJA1
1-octanol	GJA10
1-octanol	GJA3
1-octanol	GJA4
1-octanol	GJA5
1-octanol	GJA8
1-octanol	GJA9
1-octanol	GJB1
1-octanol	GJB2
1-octanol	GJB3
1-octanol	GJB4
1-octanol	GJB5
1-octanol	GJB6
1-octanol	GJB7
1-octanol	GJC1
1-octanol	GJC2
1-octanol	GJC3
1-octanol	GJD2
1-octanol	GJD3
1-octanol	GJD4
1-octanol	GJE1
1-phenylbiguanide	HTR3A
1-phenylbiguanide	HTR3B
"1s,2r-phenylpropanolamine"	ADRA1A
"1s,2r-phenylpropanolamine"	ADRA2A
"1s,2r-phenylpropanolamine"	ADRB1
"1s,2r-phenylpropanolamine"	ADRB2
"1s,2r-phenylpropanolamine"	DRD1
2-(3-mercaptopropyl)pentanedioic acid	FOLH1
"2,3-DCPE"	BCL2L1
"2,4-dinitrochlorobenzene"	TXN
"2,4-dinitrophenol"	APP
"2,5-furandimethanol"	HBB
2-[1-(4-piperonyl)piperazinyl]benzothiazole	HTR4
2-aminobenzenesulfonamide	CA12
2-aminobenzenesulfonamide	CA14
2-aminobenzenesulfonamide	CA2
2-aminobenzenesulfonamide	CA6
2-aminobenzenesulfonamide	CA9
2-APB	TRPC1
2-APB	TRPC3
2-APB	TRPC4
2-APB	TRPC5
2-APB	TRPC6
2-APB	TRPC7
2-APB	TRPM2
2-APB	TRPM3
2-APB	TRPM6
2-APB	TRPV1
2-APB	TRPV6
2-BFI	ADRA2A
2-BFI	ADRA2B
2-BFI	ADRA2C
2-BFI	MAOA
2-BFI	MAOB
2-chloroadenosine	ADORA1
2-chloroadenosine	ADORA2A
2-chloroadenosine	ADORA2B
2-chloro-N6-cyclopentyladenosine	ADORA1
2-chloro-N6-cyclopentyladenosine	ADORA2A
2-chloro-N6-cyclopentyladenosine	ADORA2B
2-chloro-N6-cyclopentyladenosine	ADORA3
2-CMDO	DRD2
2-CMDO	DRD4
2-deoxyglucose	SLC2A1
2-deoxyglucose	SLC2A2
2-deoxyglucose	SLC2A3
2-deoxyglucose	SLC2A4
2-fluoro-2-deoxy-D-galactose	LCT
2-hydroxyflutamide	AR
2-hydroxysaclofen	GABBR1
2-hydroxysaclofen	GABBR2
2-iminobiotin	NOS1
2-iminobiotin	NOS2
2-iodomelatonin	MTNR1A
2-iodomelatonin	MTNR1B
2-iodomelatonin	NQO2
2'-MeCCPA	ADORA1
2-methoxyestradiol	COMT
2-methoxyestradiol	CYP19A1
2-methoxyestradiol	CYP1A1
2-methoxyestradiol	CYP1B1
2-methoxyestradiol	HIF1A
2-methoxyestradiol	TUBB
2-methyl-5-hydroxytryptamine	HTR1B
2-methyl-5-hydroxytryptamine	HTR1D
2-methyl-5-hydroxytryptamine	HTR1E
2-methyl-5-hydroxytryptamine	HTR1F
2-methyl-5-hydroxytryptamine	HTR3A
2-methyl-5-hydroxytryptamine	HTR3B
2-methyl-5-hydroxytryptamine	HTR6
2-Oleoylglycerol	GPR119
2-oxoglutaric-acid	OXGR1
2-oxopropanoate	ABAT
2-oxopropanoate	AGXT2
2-oxopropanoate	PC
2-oxopropanoate	PDHB
2-oxopropanoate	PKLR
2-oxopropanoate	PKM
2-oxopropanoate	SLC16A1
2-oxopropanoate	SLC16A2
2-oxopropanoate	SLC16A3
2-oxopropanoate	SLC16A4
2-oxopropanoate	SLC16A5
2-oxopropanoate	SLC16A6
2-oxopropanoate	SLC16A7
2-oxopropanoate	SLC16A8
2-phenylmelatonin	MTNR1A
2-phenylmelatonin	MTNR1B
2-PMDQ	ADRA1A
2-pyridylethylamine	HRH1
2-TEDC	ALOX12
"3,3'-dichlorobenzaldazine"	GRM5
"3,3'-diindolylmethane"	AR
"3,3'-diindolylmethane"	HIF1A
"3,3'-diindolylmethane"	IFNG
"3,3'-diindolylmethane"	PI3
"3,4-DCPG-(+/-)"	GRM8
"3,4-DCPG-(S)"	GRM8
"3,5-DHPG-(S)"	GRM1
3-alpha-bis-(4-fluorophenyl)-methoxytropane	CHRM1
3-alpha-bis-(4-fluorophenyl)-methoxytropane	SLC6A2
3-alpha-bis-(4-fluorophenyl)-methoxytropane	SLC6A3
3-alpha-bis-(4-fluorophenyl)-methoxytropane	SLC6A4
3-amino-benzamide	PARP1
3-AQC	HTR3A
3-bromo-7-nitroindazole	NOS1
3-bromo-7-nitroindazole	NOS2
3-bromo-7-nitroindazole	NOS3
3-bromopyruvate	HK2
3-carboxy-4-hydroxyphenylglycine-(R)	GRIN1
3-carboxy-4-hydroxyphenylglycine-(R)	GRIN2A
3-carboxy-4-hydroxyphenylglycine-(R)	GRIN2B
3-carboxy-4-hydroxyphenylglycine-(R)	GRIN2C
3-carboxy-4-hydroxyphenylglycine-(S)	GRM1
3-carboxy-4-hydroxyphenylglycine-(S)	GRM5
3-deazaadenosine	AHCY
3-deazaneplanocin-A	EZH2
3'-fluorobenzylspiperone	DRD2
3-indolebutyric-acid	B2M
3-indolebutyric-acid	HLA-A
3-indolebutyric-acid	TRAC
3-indolebutyric-acid	TRBC1
3-MATIDA	GRM1
3-methyladenine	PI3
3-methyl-GABA	ABAT
3-MPPI	ADRA1A
3PO	PFKFB3
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	HTR2A
"4,5,6,7-tetrabromobenzotriazole"	AKT1
"4,5,6,7-tetrabromobenzotriazole"	CHEK1
"4,5,6,7-tetrabromobenzotriazole"	CSNK2A1
"4,5,6,7-tetrabromobenzotriazole"	GSK3B
"4,5,6,7-tetrabromobenzotriazole"	LCK
"4,5,6,7-tetrabromobenzotriazole"	MAP2K1
"4,5,6,7-tetrabromobenzotriazole"	MAPK1
"4,5,6,7-tetrabromobenzotriazole"	MAPK11
"4,5,6,7-tetrabromobenzotriazole"	MAPK12
"4,5,6,7-tetrabromobenzotriazole"	MAPK14
"4,5,6,7-tetrabromobenzotriazole"	MAPK8
"4,5,6,7-tetrabromobenzotriazole"	PRKCA
"4,5,6,7-tetrabromobenzotriazole"	ROCK1
"4,5,6,7-tetrabromobenzotriazole"	RPS6KB1
"4,5,6,7-tetrabromobenzotriazole"	SGK1
4-aminohippuric-acid	SLC22A6
4BP-TQS	CHRNA7
4-carboxy-3-hydroxyphenylglycine-(RS)	GRM1
4-carboxy-3-hydroxyphenylglycine-(S)	GRM1
4-carboxy-3-hydroxyphenylglycine-(S)	GRM2
4-chlorophenylguanidine	PLAUR
4-CMTB	FFAR2
4-DAMP	CHRM1
4-DAMP	CHRM2
4-DAMP	CHRM3
4-DAMP	CHRM4
4-DAMP	CHRM5
4E1RCat	EIF4E
4E1RCat	EIF4G1
4EGI-1	EIF4E
4-galactosyllactose	AMY2B
4-HQN	PARP1
4-IBP	SIGMAR1
4-iodo-6-phenylpyrimidine	MIF
4-iodo-L-phenylalanine	DPP4
4-methylgenistein	CYP19A1
4-methylgenistein	ESRRA
4-methylgenistein	ESRRB
4-methylgenistein	ESRRG
4-methylgenistein	FASN
4-methylhistamine	HRH4
4-mu-8C	ERN1
4-PPBP	SIGMAR1
4-P-PDOT	MTNR1A
4-P-PDOT	MTNR1B
4SC-202	HDAC1
"5,7-dichlorokynurenic-acid"	GLRA2
"5,7-dichlorokynurenic-acid"	GRIN1
"5,7-dichlorokynurenic-acid"	GRIN2A
"5,7-dichlorokynurenic-acid"	GRIN2B
"5,7-dichlorokynurenic-acid"	GRIN2C
"5,7-dichlorokynurenic-acid"	GRIN2D
5-aminolevulinic-acid	ALAD
5-BDBD	P2RX4
5-carboxamidotryptamine	HTR1A
5-carboxamidotryptamine	HTR1B
5-carboxamidotryptamine	HTR1D
5-carboxamidotryptamine	HTR1E
5-carboxamidotryptamine	HTR1F
5-carboxamidotryptamine	HTR2A
5-carboxamidotryptamine	HTR2B
5-carboxamidotryptamine	HTR2C
5-carboxamidotryptamine	HTR5A
5-carboxamidotryptamine	HTR6
5-carboxamidotryptamine	HTR7
5'-Chloro-5'-deoxy-ENBA-(+/-)	ADORA1
5-fluorouracil	DPYD
5-fluorouracil	TYMS
5-FP	TYMS
5-hydroxymethyl-tolterodine	CHRM3
5-hydroxytryptophan	SLC36A1
5-hydroxytryptophan	SLC36A2
5-methylfurmethiodide	CHRM1
5-methylfurmethiodide	CHRM2
5-methylfurmethiodide	CHRM3
5-methylfurmethiodide	CHRM4
6-chloromelatonin	MTNR1A
6-chloromelatonin	MTNR1B
6-iodo-nordihydrocapsaicin	TRPV1
7-chlorokynurenic-acid	GRIN1
7-chlorokynurenic-acid	GRIN2A
7-chlorokynurenic-acid	GRIN2B
7-chlorokynurenic-acid	GRIN2C
7-hydroxy-DPAT	DRD2
7-hydroxy-DPAT	DRD3
7-hydroxy-PIPAT	DRD3
7-hydroxystaurosporine	CHEK1
7-hydroxystaurosporine	MARK3
7-hydroxystaurosporine	PDPK1
7-methoxytacrine	ACHE
7-nitroindazole	NOS1
7-nitroindazole	NOS2
7-nitroindazole	NOS3
8-bromo-cGMP	PRKG1
8-hydroxy-DPAT	CDK1
8-hydroxy-DPAT	CHEK1
8-hydroxy-DPAT	CHEK2
8-hydroxy-DPAT	GSK3B
8-hydroxy-DPAT	HTR5A
8-hydroxy-DPAT	HTR7
8-hydroxy-DPAT	LCK
8-hydroxy-DPAT	MAPK14
8-hydroxy-DPAT	MARK1
8-hydroxy-DPAT	PDPK1
8-hydroxy-DPAT	PRKCA
8-hydroxy-DPAT	PRKCB
8-hydroxy-DPAT	PRKCD
8-hydroxy-DPAT	PRKCE
8-hydroxy-DPAT	PRKCG
8-hydroxy-PIPAT	DRD2
8-hydroxy-PIPAT	DRD3
8-M-PDOT	MTNR1A
8-M-PDOT	MTNR1B
9-aminocamptothecin	TOP1
9-anthracenecarboxylic-acid	ANO1
9-anthracenecarboxylic-acid	CLCN1
A-1070722	GSK3A
A-1070722	GSK3B
A-1120	RBP4
A12B4C3	PNKP
A205804	ICAM1
A205804	SELE
A-317491	P2RX3
A-366	EHMT1
A-366	EHMT2
A-412997	DRD4
A-438079	P2RX7
A-582941	CHRNA7
A61603	ADRA1A
A-61603	ADRA1A
A-61603	ADRA1B
A-61603	ADRA1D
A66	PIK3CA
A-674563	AKT1
A-674563	PKIA
A-674563	PRKACA
A740003	P2RX7
A77636	CALY
A-784168	TRPV1
A-803467	SCN10A
A-804598	P2RX7
A-839977	P2RX7
A-867744	CHRNA3
A-867744	CHRNA4
A-867744	CHRNA7
A-887826	SCN10A
A922500	DGAT1
A-922500	DGAT1
A-939572	SCD
A-967079	TRPA1
A-987306	ADORA1
A-987306	AVPR1A
A-987306	CCR1
A-987306	CHRM1
A-987306	CHRM2
A-987306	CHRM3
A-987306	CHRM4
A-987306	DRD3
A-987306	HTR1A
A-987306	HTR1B
A-987306	HTR2A
A-987306	HTR2B
A-987306	HTR3A
A-987306	TACR2
AA-29504	GABRA1
AA-29504	GABRA4
AA-29504	GABRB3
abamectin	GABBR1
abamectin	GABBR2
abametapir	MMP9
ABC-294640	SPHK2
abemaciclib	CDK4
abemaciclib	CDK6
abiraterone	CYP11B1
abiraterone	CYP17A1
abiraterone-acetate	CYP17A1
ABT-239	HRH1
ABT-239	HRH2
ABT-239	HRH3
ABT-491	PTAFR
ABT-639	CACNA1G
ABT-639	CACNA1H
ABT-639	CACNA1I
ABT-702	ADK
ABT-724	DRD4
ABT-737	BCL2
ABT-737	BCL2L1
ABT-737	BCL2L2
ABT-751	TUBB
AC-186	ESR2
AC-261066	RARB
AC-264613	F2RL1
AC-55541	PARP2
AC-55649	RARA
AC-55649	RARB
AC-710	CSF1R
AC-710	FLT3
AC-710	KIT
AC-710	PDGFRA
AC-710	PDGFRB
AC-7954-(+/-)	UTS2R
