     CPP    k1     k3  centroid  SVM   LDA   BCPP
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
     18     18     18     18     18     18     18
