nes size p.value p.adj
SALL2 -3.80156562533847 292 0.000143784643166211 0.00809360509271866
PAX5 3.787902219249 450 0.000151924613682685 0.00809360509271866
SOX1 3.7850933589674 264 0.000153650886018811 0.00809360509271866
ISL2 3.7665013695109 410 0.000165551176277189 0.00809360509271866
PITX2 -3.76386963843118 401 0.000167304123719851 0.00809360509271866
HOXA11 3.72490972947955 285 0.000195385126517287 0.00809360509271866
ZNF844 -3.71833864263488 211 0.000200537322349386 0.00809360509271866
HOXD11 3.70050749998803 250 0.000215168719553355 0.00809360509271866
HOXC8 3.69458277269659 416 0.000220248139653814 0.00809360509271866
LHX2 3.6865003625673 112 0.000227359118148543 0.00809360509271866
ERF 3.68182602708442 186 0.000231569415014114 0.00809360509271866
HOXC9 3.6780431662886 626 0.000235030190297073 0.00809360509271866
HOXC11 3.67218267555503 150 0.000240487673195972 0.00809360509271866
NFIA -3.66707896983978 237 0.000245337044921454 0.00809360509271866
ZNF626 -3.66525884492921 619 0.000247088546641667 0.00809360509271866
HOXC6 3.65952090469817 263 0.000252687230016876 0.00809360509271866
ZNF200 3.65172289977088 446 0.000260486868841141 0.00809360509271866
HMGA2 3.64601527326216 352 0.000266338152701987 0.00809360509271866
ZNF256 -3.64508531714767 309 0.000267303109458155 0.00809360509271866
RORC -3.64348916697978 623 0.000268966977543167 0.00809360509271866
TCF12 3.63937901122701 448 0.000273296305688546 0.00809360509271866
KLF15 -3.63355089094417 466 0.000279547278386179 0.00809360509271866
GBX2 3.63253054815533 148 0.000280655338297989 0.00809360509271866
ZNF536 -3.63007336585842 538 0.000283340672865396 0.00809360509271866
PRRX2 3.62456493190362 385 0.000289448295216405 0.00809360509271866
HES1 -3.62448885106835 356 0.000289533508960179 0.00809360509271866
ZNF132 -3.62214146714373 552 0.000292174255940732 0.00809360509271866
PPARG -3.61753539039631 398 0.000297421672985581 0.00809360509271866
SALL4 3.61389847040589 413 0.000301627215438371 0.00809360509271866
HIF3A -3.6129996878269 395 0.000302675068205977 0.00809360509271866
FOXO4 -3.61235763286993 440 0.000303425699430041 0.00809360509271866
HLF -3.59514226992155 607 0.000324214351565254 0.00809360509271866
TSHZ1 -3.59497287205585 386 0.000324425380373093 0.00809360509271866
HOXD10 3.59328216341681 331 0.000326538650969301 0.00809360509271866
PKNOX1 3.58668160929054 191 0.000334912839141456 0.00809360509271866
ZFP69B 3.58176083512971 433 0.000341286161274547 0.00809360509271866
CDX1 3.57816060033372 367 0.000346020821670819 0.00809360509271866
DNMT1 3.57599664424957 770 0.000348896126107627 0.00809360509271866
OSR1 -3.57462665003882 516 0.000350728009611791 0.00809360509271866
ZIC5 3.57216775228054 451 0.000354038499882417 0.00809360509271866
ELF4 3.56339930567389 303 0.000366083161119364 0.00809360509271866
HOXB7 3.56162546171114 409 0.000368565911920106 0.00809360509271866
HBP1 -3.55484609485057 406 0.000378200398796785 0.00809360509271866
PLAGL1 -3.55340858859907 211 0.000380273331127595 0.00809360509271866
ZNF717 -3.54186588116914 248 0.000397307429356912 0.00809360509271866
HMX1 3.54099651015151 290 0.000398618850689785 0.00809360509271866
ZNF470 -3.54064203613513 254 0.000399154724374765 0.00809360509271866
TFAP2E 3.51904588547174 332 0.000433101792954515 0.00809360509271866
ONECUT2 3.51623523801986 320 0.000437712978425416 0.00809360509271866
NR0B1 -3.51525251632345 157 0.000439336029184746 0.00809360509271866
ZNF281 3.5124651811798 667 0.000443970173595842 0.00809360509271866
HOXC4 3.51160671343106 542 0.000445406602147564 0.00809360509271866
ZNF540 -3.50986206542515 403 0.000448339204505503 0.00809360509271866
ZNF707 3.50859807836266 329 0.000450475104051806 0.00809360509271866
ZNF736 -3.50631028066854 455 0.000454365218699757 0.00809360509271866
ZNF718 -3.50347509788272 327 0.00045922959124405 0.00809360509271866
LBX2 3.50269765799856 362 0.000460571922931692 0.00809360509271866
MAZ 3.49878578191133 345 0.000467381921326969 0.00809360509271866
ZXDC -3.49623019527694 497 0.000471881427798051 0.00809360509271866
ZFP90 3.49217058024737 340 0.000479112169355087 0.00809360509271866
ZSCAN4 -3.4918773326535 413 0.00047963846630274 0.00809360509271866
HOXD13 3.49132367152191 235 0.000480633602749278 0.00809360509271866
ZNF662 -3.49094786061016 395 0.000481310172566737 0.00809360509271866
ZNF532 3.49061171535915 489 0.000481916085060628 0.00809360509271866
RFX8 3.48711559816386 530 0.000488260264623669 0.00809360509271866
TCF3 3.48368274647074 453 0.000494565353201818 0.00809360509271866
ZNF763 -3.48339737077989 175 0.000495092903820226 0.00809360509271866
RORB -3.48045973540159 288 0.000500554055327891 0.00809360509271866
NR1H4 -3.47988599888398 204 0.000501627183028809 0.00809360509271866
EN1 3.47859344064476 306 0.000504052673042182 0.00809360509271866
ZNF555 -3.47758214442066 224 0.00050595799299964 0.00809360509271866
ZFP92 3.47134234527391 443 0.000517863319874706 0.00809360509271866
IRX4 3.46888610957305 269 0.00052262095299711 0.00809360509271866
BARX2 -3.46816959968909 553 0.000524016460549729 0.00809360509271866
ZNF442 -3.46742199486849 224 0.000525476231561209 0.00809360509271866
SNAI2 3.46687499701261 400 0.000526546697832306 0.00809360509271866
E2F3 3.46328526777242 922 0.000533622327604222 0.00809360509271866
NR3C2 -3.46145661669527 559 0.000537260704830352 0.00809360509271866
KLF7 3.46144849675153 443 0.000537276912105921 0.00809360509271866
RELB 3.46079299351037 296 0.00053858678968987 0.00809360509271866
PGR -3.45922436253131 205 0.000541733439316852 0.00809360509271866
ZIC2 3.45044179723283 338 0.000559669832866131 0.00809360509271866
ZKSCAN5 3.45038262809496 413 0.000559792526663036 0.00809360509271866
REL 3.45016235363412 492 0.000560249510551769 0.00809360509271866
TBP 3.44433093663076 259 0.00057247453035697 0.00809360509271866
HIF1A 3.44315235900923 244 0.000574975290123437 0.00809360509271866
FOXM1 3.43977421785185 439 0.000582199659194568 0.00809360509271866
NKX6-2 -3.43922309466975 133 0.00058338625866239 0.00809360509271866
POU3F1 3.43752940662416 380 0.000587046971987875 0.00809360509271866
HOXB9 3.4328583399815 138 0.000597254063453537 0.00809360509271866
MYBL2 3.42739243969976 742 0.000609407671409855 0.00809360509271866
PRDM5 -3.42715859047514 379 0.000609932741517006 0.00809360509271866
ZBTB2 3.42701523155243 231 0.000610254838607168 0.00809360509271866
HOXA5 3.42526223090744 441 0.000614206282175017 0.00809360509271866
PEG3 -3.42515104685457 267 0.000614457703629978 0.00809360509271866
TBX20 3.42392660241927 376 0.000617232892301652 0.00809360509271866
ZNF835 -3.41554999542885 286 0.000636533433087138 0.00809360509271866
AR -3.41532119967448 352 0.00063706839389739 0.00809360509271866
ZNF329 -3.41149528741758 311 0.00064607618104101 0.00809360509271866
RUNX3 3.41039023268781 480 0.000648699903444691 0.00809360509271866
ATOH8 -3.40392067503648 548 0.000664260409188582 0.00809360509271866
LMX1A -3.40193961764111 400 0.000669094193229273 0.00809360509271866
MEOX2 -3.39566457650749 494 0.000684622015980209 0.00809360509271866
SHOX2 3.39450475315803 419 0.000687528465628667 0.00809360509271866
ZNF7 3.3927660666287 434 0.000691907002247826 0.00809360509271866
PAX1 -3.39225244500143 274 0.000693205406611649 0.00809360509271866
KLF8 -3.39142784715651 463 0.000695294677114763 0.00809360509271866
FOXJ1 -3.39043638115823 327 0.000697814486933979 0.00809360509271866
ZNF682 -3.38934406113128 310 0.000700600441289119 0.00809360509271866
TGIF1 3.38733282392073 387 0.000705757142385462 0.00809360509271866
ZFP2 -3.38531156660531 572 0.000710975049858219 0.00809360509271866
HOXC13 3.38448170476271 452 0.000713127712604588 0.00809360509271866
NKX2-3 -3.38385414278064 390 0.000714759628944756 0.00809360509271866
NCOA1 -3.38273543727032 532 0.000717677326729699 0.00809360509271866
MSC 3.37376560958894 464 0.000741474742625359 0.00809360509271866
FOXN2 3.3723479405241 281 0.000745302284583288 0.00809360509271866
ZNF568 -3.36996965446568 290 0.000751764619113056 0.00809360509271866
SOX11 3.36959617403658 503 0.000752784163519847 0.00809360509271866
ZNF780A -3.36655770830136 308 0.000761126551135568 0.00809360509271866
ZNF615 -3.36552430639736 187 0.000763983358038896 0.00809360509271866
ZNF345 -3.36431011939073 255 0.000767352659219622 0.00809360509271866
ARID3A 3.36242110762705 263 0.000772621999393278 0.00809360509271866
ZNF697 3.36220849822322 426 0.000773217165314692 0.00809360509271866
ZHX3 -3.36097701133993 297 0.000776672896065772 0.00809360509271866
LHX9 3.35841244662704 335 0.000783915502680163 0.00809360509271866
NR2E3 -3.35767194527558 449 0.000786018392799805 0.00809360509271866
RUNX1 3.34729034112653 497 0.00081605690826993 0.00809360509271866
TFDP2 -3.34498818087036 573 0.000822860768452408 0.00809360509271866
ZNF582 -3.34492074291482 252 0.000823060867353594 0.00809360509271866
EN2 3.34490197264768 354 0.000823116569685594 0.00809360509271866
