id	CMS1-score	CMS2-score	CMS3-score	CMS4-score
PCSK1	0	0	0.8752	0
HSPA2	0	-0.159	0.8248	0
LINC00261	0	0	0.7765	0
HEPACAM2	0	0	0.7188	0
RETNLB	0	0	0.6881	0
B3GNT6	0	0	0.6816	0
FCGBP	0	0	0.6769	0
KIAA0226L	-0.626	0.3546	0	0
ATOH1	0	0	0.5617	0
SEMG1	0.5584	-0.002	0	0
ZFPM2	0	-0.0369	0	0.5543
EPDR1	-0.5507	0.0473	0	0.0174
SPOCK1	0	-0.1847	0	0.5497
Y16709	-0.5444	0	0	0
MUC2	0	0	0.5385	0
DACH1	-0.5363	0.0237	0	0
SFRP2	0	-0.1114	0	0.5314
AEBP1	0	-0.1452	0	0.5199
PIWIL1	0.515	0	0	0
RNF43	-0.5039	0.2393	0	0
SLITRK6	0	0	0.5021	0
ISLR	0	0	0	0.5004
HNRNPL	0.4929	0	0	0
VCAN	0	-0.0515	0	0.4929
CDH11	0	-0.0579	0	0.4915
FRMD6	0	-0.1865	0	0.4885
SPINK4	0	0	0.4849	0
LOC100996517	0.4794	-0.0154	0	0
TMPRSS3	0.478	0	0	0
SERPINF1	0	-0.0235	0	0.4773
CXCL14	-0.4772	0.0049	0	0
HMCN1	0	0	0	0.4723
RARRES3	0.4711	-0.1184	0	0
MITF	0	-0.2425	0	0.4698
TIMP2	0	-0.0978	0	0.4695
LINC01279	0	-0.0646	0	0.4692
PLCB4	-0.4656	0.1035	0	0
FAP	0	-0.2123	0	0.4652
CTTNBP2	-0.463	0.1768	0	0
COL10A1	0	-0.1704	0	0.4626
VAV3	-0.4605	0.3508	0	0
RAB31	0	-0.1844	0	0.459
RASD1	0	0	0.4561	0
THBS2	0	-0.0926	0	0.4538
SULF1	0	-0.1118	0	0.4532
KIAA1324	0	0	0.4487	0
C10orf99	-0.4485	0.2791	0	0
ADAM12	0	-0.191	0	0.4474
AKAP12	0	-0.1168	0	0.4453
MIR100HG	0	0	0	0.4431
BGN	0	-0.0916	0	0.4411
FNDC1	0	0	0	0.4408
REG4	0.089	-0.2199	0.4382	0
RP3-428L16.2	0	-0.137	0	0.4366
TSPAN6	-0.4359	0.3023	0	0
TAGLN	0	-0.0237	0	0.4353
COLEC12	0	-0.0726	0	0.4341
PKD2	0	-0.0222	0	0.4314
ANXA10	0.4308	0	0	0
RAB27B	0.4305	0	0	0
BST2	0.4302	-0.0202	0	0
ATP9A	-0.4296	0.1543	0	0
FBN1	0	-0.0494	0	0.4286
HPSE	0.4275	-0.1092	0	0
ZIC2	0.427	0	0	0
COL5A2	0	-0.1338	0	0.4263
COL5A1	0	-0.057	0	0.425
HTRA1	0	-0.082	0	0.4243
MEIS2	0.034	-0.423	0	0.2304
DDR2	0	-0.0258	0	0.4216
PTGER2	0	-0.09	0.421	0
ZNF521	0	-0.0093	0	0.4189
FERMT2	0	-0.0383	0	0.4171
TSPYL5	0	0	0	0.4158
ST6GALNAC1	0	0	0.4128	0
APOL1	0.4103	-0.076	0	0
EFEMP2	0	0	0	0.4092
LOC102725271	0	-0.0819	0	0.4092
MGP	0	0	0	0.408
C3orf80	0	0	0	0.408
