,Patient,Sample
T02_01,T02,01
T02_02,T02,02
T02_03,T02,03
T02_04,T02,04
T02_05,T02,05
T02_06,T02,06
T04_01,T04,01
T04_02,T04,02
T04_03,T04,03
T04_04,T04,04
T05_01,T05,01
T05_02,T05,02
T05_03,T05,03
T05_04,T05,04
T06_01,T06,01
T06_02,T06,02
T06_04,T06,04
T06_05,T06,05
T06_06,T06,06
T07_01,T07,01
T07_02,T07,02
T07_03,T07,03
T07_04,T07,04
T08_01,T08,01
T08_02,T08,02
T08_03,T08,03
T08_04,T08,04
T08_05,T08,05
T09_01,T09,01
T09_02,T09,02
T09_03,T09,03
T09_04,T09,04
T09_05,T09,05
T10_01,T10,01
T10_02,T10,02
T10_03,T10,03
T10_04,T10,04
T10_06,T10,06
T10_07,T10,07
T11_01,T11,01
T11_02,T11,02
T11_03,T11,03
T11_04,T11,04
T13_01,T13,01
T13_02,T13,02
T13_03,T13,03
T13_04,T13,04
T13_05,T13,05
T13_06,T13,06
T13_07,T13,07
T13_08,T13,08
T13_09,T13,09
T13_10,T13,10
T14_01,T14,01
T14_02,T14,02
T14_03,T14,03
T16_01,T16,01
T16_02,T16,02
T16_03,T16,03
T16_04,T16,04
T17_01,T17,01
T17_02,T17,02
T17_03,T17,03
T17_04,T17,04
T17_05,T17,05
T18_01,T18,01
T18_02,T18,02
T18_03,T18,03
T18_04,T18,04
T18_05,T18,05
T18_06,T18,06
T18_07,T18,07
T18_08,T18,08
T18_09,T18,09
T18_10,T18,10
