"","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4"
"A002_ICC",0,0,0,0,1,0,0,1,5,22,0
"A003_ICC",1,0,0,0,7,16,0,7,20,82,29
"A004_ICC",0,0,0,0,7,2,1,0,1,9,0
"A004_ICC_N",2,12,3,19,1648,14,74,1,5,1,2
"A005_ICC",0,0,0,0,2,0,1,3,20,110,9
"A005_ICC_N",1,3,1,3,3151,96,47,33,28,10,5
"A006_ICC",0,0,0,0,0,0,0,0,1,2,0
"A007_ASC",0,0,0,0,1,0,0,1,0,2,1
"A008_ICC",0,3,0,2,43,245,1,22,9,110,43
"A009_ICC",0,0,0,0,1,3,0,0,142,70,4
"A010_ICC",0,0,0,0,4,15,1,8,29,99,28
"A011_HCC",0,0,0,0,3,0,15,0,0,0,0
"A012_ICC",0,0,0,0,0,0,0,1,5,15,1
"A012_ICC_IM1",0,0,6,2,0,5,0,21,167,29,14
"A012_ICC_IM2",0,0,5,4,3,39,0,88,523,103,91
"A013_HCC",0,0,0,0,0,0,5,0,0,0,0
"A013_HCC_N",0,0,0,0,7,0,4,0,0,0,0
"A015_CHC",0,0,0,0,1,1,16,4,1,4,2
"A016_HCC",0,0,0,0,0,0,1,0,0,0,0
"A017_HCC",0,0,0,0,0,0,7,0,0,0,0
"A018_HCC",0,0,0,0,0,0,3,0,0,0,0
"A020_ICC",0,0,0,0,0,3,0,42,10,294,8
"A022_ICC",0,0,0,0,1,0,2,0,0,38,0
"A024_HCC",1,1,4,8,0,13,2,9,30,1,0
"A026_HCC",0,0,0,0,0,0,10,0,0,0,0
"A027_HCC",43,0,0,0,29,1,7,15,0,2,0
"A028_HCC",0,0,0,0,0,0,0,0,0,1,0
"A030_HCC",0,0,0,0,1,0,30,1,4,1,0
"A031_HCC",0,0,0,0,0,0,28,0,0,0,0
"A032_PAN",0,0,0,0,1,4,0,0,16,89,15
"A032_PAN_M",0,0,0,1,1,9,0,2,24,403,53
"A033_HCC",0,0,0,0,0,0,4,0,0,0,0
"A035_HCC",0,0,0,0,3,0,0,1,5,16,1
"A036_CRC_M",0,0,0,0,2,8,0,311,42,39,68
"A037_HCC",0,0,0,0,0,0,8,0,0,0,0
"A038_CHC",0,2,0,2,6,6,8,21,0,21,1
"A038_CHC_IM1",0,0,0,0,1,1,0,371,0,1,1
"A038_CHC_IM2",0,0,0,0,1,3,0,1178,1,1,2
"A039_HCC",0,0,0,0,0,0,1,0,0,0,0
"A041_CRC_M",0,0,0,0,1,9,0,1,8,140,18
"A042_BRC_M",0,0,0,0,0,0,0,0,1,1,0
"A043_HCC",0,0,0,0,0,0,13,0,0,0,0
"A044_HCC",0,0,0,0,2,2,2,0,0,0,0
"A045_CRC_M",0,0,0,0,2,0,56,0,2,0,0
"A046_HCC",0,0,0,0,0,0,0,2,0,0,0
"A047_HCC",0,0,0,0,1,0,21,1,0,4,0
"A048_ICC",0,0,0,0,0,0,0,0,1,3,0
"A048_ICC_IM1",0,0,0,0,0,2,0,1,2,21,1
"A048_ICC_IM2",0,0,0,0,1,2,0,7,2,39,0
"A048_ICC_IM3",0,0,0,0,0,1,0,2,7,128,2
"A048_ICC_IM4",0,0,0,0,0,3,0,5,2,101,7
"A049_HCC",0,0,0,0,0,0,2,0,0,0,0
"A050_HCC",0,0,0,0,0,0,14,0,0,0,0
"A051_HCC",0,0,0,0,1,0,3,4,1,2,0
"A052_CHC",0,0,0,0,0,1,3,1,2,136,16
"A053_LYM_M",0,0,0,0,0,0,0,2,0,0,0
"A054_HCC",0,0,0,0,1,0,1,0,0,1,0
"A055_HCC",0,0,0,0,9,1,16,0,1,0,0
"A056_HCC",0,0,0,0,6,3,1,0,0,5,1
"A057_HCC",0,0,0,0,0,0,6,0,0,0,0
"A058_HCC",2,0,0,0,14,0,0,12,2,1,0
"A059_HCC",0,0,0,0,0,0,103,0,0,1,0
"A061_HCC",1,1,2,2,13,54,0,1069,85,77,131
"A062_ICC",0,0,0,0,0,1,0,0,4,38,9
"A063_HCC",4,2,0,0,17,0,10,0,0,3,0
"A064_HCC",0,0,0,0,1,0,13,0,0,0,1
"A065_HCC",0,0,0,0,2,0,0,0,1,0,0
"A066_ICC",0,0,0,0,0,0,0,0,0,4,0
"A068_HCC",0,0,0,0,0,0,0,0,0,1,0
"A069_HCC",0,1,0,0,18,3,66,0,1,0,0
"A070_HCC",0,0,0,0,0,0,3,0,0,0,0
"A071_HCC",0,0,0,0,7,0,33,0,0,1,0
"A072_HCC",0,0,0,0,1,0,0,3,0,0,0
"A073_CHC",0,0,0,0,3,21,1,297,40,37,142
"A074_HCC",0,0,0,1,13,16,62,0,1,2,1
"A074_HCC_IM",0,0,0,0,1,2,2,0,0,2,0
"A075_ICC",0,1,0,0,3,37,0,19,149,9,153
"A077_CHC",0,1,0,0,19,8,6,6,0,64,22
"A078_ICC",0,0,0,0,1,37,0,3,30,284,137
"A079_HCC",0,0,0,0,0,0,0,141,7,0,0
"A081_ICC",0,0,0,3,12,17,1,2,7,20,7
"A082_HCC",0,0,0,0,0,0,9,0,0,0,0
"A083_HCC",0,0,0,0,0,0,14,1,0,0,0
"A085_HCC",0,0,0,0,0,0,9,0,0,0,0
"A086_HCC",0,0,0,0,0,0,12,0,1,6,2
"A087_HCC",0,0,0,0,1,0,15,0,0,1,0
"A088_HCC",0,0,0,0,0,0,1,0,0,0,0
"A089_HCC",0,0,0,0,0,0,2,0,0,0,0
"A090_HCC",0,0,0,0,4,0,45,0,24,2,6
"A091_HCC",0,0,0,0,0,0,6,0,2,0,0
"A092_CRC_M",0,0,0,0,3,80,1,4,14,22,40
"A093_ICC",0,0,0,0,1,14,0,0,4,33,8
"A094_HCC",0,0,0,0,0,0,7,0,0,0,0
"A095_HCC",0,0,0,0,2,0,5,0,0,15,3
"A096_HCC",0,0,0,0,0,0,6,0,1,0,0
"A097_HCC",0,0,0,0,2,0,62,0,4,7,1
"A098_HCC",0,0,0,0,1,0,2,0,0,0,0
"A099_HCC",0,0,0,0,4,10,0,17,3,37,6
"A100_HCC",3,0,0,1,2,25,1,2,0,8,4
"A101_HCC",0,0,0,0,0,1,4,1,0,0,0
"A102_HCC",0,0,0,0,1,5,1,0,0,0,0
"A103_HCC",0,0,1,3,11,0,33,3,1,1,0
"A104_ICC",0,0,2,0,2,225,0,28,171,50,558
"A107_HCC",8,0,0,0,1,0,64,0,0,0,0
"A108_HCC",0,0,0,0,2,0,7,0,0,0,0
"A109_HCC",0,0,0,2,18,14,136,0,6,0,7
"A110_HCC",0,0,0,0,0,0,4,0,0,0,0
"A111_ICC",0,0,0,0,0,0,0,0,0,22,10
"A113_HCC",0,0,0,0,0,0,13,0,0,0,0
"A114_HCC",1,0,0,0,0,0,70,0,0,1,0
"A114_HCC_B",0,451,5,110,15,2,0,0,0,0,0
"A114_HCC_N",0,0,0,1,80,3,4,1,2,1,0
"A115_ICC",0,0,0,0,0,0,0,0,0,4,0
"A115_ICC_B",0,10,0,2,1,0,0,0,0,0,0
"A115_ICC_N",0,1,0,6,57,77,4,4,2,11,1
"A116_HCC",0,0,0,0,8,1,1,0,0,0,0
"A116_HCC_B",1,1,0,0,0,0,0,0,0,0,0
"A116_HCC_N",0,1,0,0,4,0,0,3,1,0,0
"A117_HCC",0,0,0,0,0,1,8,0,1,1,0
"A117_HCC_N",0,0,0,0,16,2,18,0,3,0,0
"A118_ICC",0,0,0,1,21,125,21,50,20,190,619
"A118_ICC_N",2,2,0,0,72,599,45,28,64,2,31
"A119_HCC",0,0,0,0,0,0,14,0,0,0,0
"A119_HCC_B",5,1825,745,1175,15,2,1,6,2,0,0
"A119_HCC_IM1",0,0,0,0,0,0,149,0,2,0,0
"A119_HCC_IM2",0,1,1,1,15,32,25,0,6,6,12
"A119_HCC_N",8,0,4,12,74,184,71,7,24,10,6
"A120_HCC",0,1,0,0,10,3,2,76,4,0,0
"A120_HCC_N",0,0,0,0,1,1,0,0,0,0,0
"A121_HCC",0,0,0,0,0,0,1,0,0,0,0
"A121_HCC_B",3,10,0,2,1,0,0,0,0,1,0
