CD8 TRM.2	CD4 TCM.1	CD4 TCM.2	Cytotoxic CD8.1	Activated CD4.1	Activated CD4.2	CD8 TRM.1	Treg	Cytotoxic CD8.2	CD8 TRM.3	Mito-high T cells	Exhausted CD8.1	Terminally exhausted CD8.2	Proliferating T cells	PMCH+ terminally Exhausted CD8.1	Exhausted CD8.2	Cytotoxic CD8.3	Terminally exhausted CD8.3
CD8 TRM.2	980	23	2	68	33	60	248	2	52	45	22	14	52	44	23	8	0	12
CD4 TCM.1	23	4340	9	4	65	22	99	6	15	7	25	0	0	5	0	0	0	0
CD4 TCM.2	2	9	1295	1	10	14	0	2	0	5	0	0	0	0	0	0	0	0
Cytotoxic CD8.1	68	4	1	381	10	28	97	0	107	32	19	6	13	15	7	7	0	1
Activated CD4.1	33	65	10	10	2336	111	105	8	6	25	16	1	3	17	3	2	0	3
Activated CD4.2	60	22	14	28	111	1699	111	4	20	32	6	2	7	11	3	2	1	0
CD8 TRM.1	248	99	0	97	105	111	2079	11	116	70	42	32	73	67	39	17	0	13
Treg	2	6	2	0	8	4	11	999	0	9	7	0	0	10	0	0	0	0
Cytotoxic CD8.2	52	15	0	107	6	20	116	0	420	28	17	2	11	10	3	7	0	2
CD8 TRM.3	45	7	5	32	25	32	70	9	28	385	18	26	50	37	41	11	0	17
Mito-high T cells	22	25	0	19	16	6	42	7	17	18	390	13	28	26	21	8	0	10
Exhausted CD8.1	14	0	0	6	1	2	32	0	2	26	13	179	46	27	50	9	0	15
Terminally exhausted CD8.2	52	0	0	13	3	7	73	0	11	50	28	46	678	124	165	16	0	106
Proliferating T cells	44	5	0	15	17	11	67	10	10	37	26	27	124	349	96	10	0	53
PMCH+ terminally Exhausted CD8.1	23	0	0	7	3	3	39	0	3	41	21	50	165	96	313	11	0	40
Exhausted CD8.2	8	0	0	7	2	2	17	0	7	11	8	9	16	10	11	40	0	5
Cytotoxic CD8.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0
Terminally exhausted CD8.3	12	0	0	1	3	0	13	0	2	17	10	15	106	53	40	5	0	188
