,GSM904985,GSM904986,GSM904988,GSM904989
A1BG,6.379873772,6.554138211,6.593770193,7.955466328
A1BG-AS1,5.544874072,5.857036082,6.146661641,5.950527608
A1CF,8.196794711,9.1190178895,9.6692966945,9.6639830575
A2M,9.1573937475,9.3512097535,8.676057694,8.9548665345
A2M-AS1,7.518652263,7.365326682,6.522401449,7.295530522
A2ML1,4.1547714115,4.8189887275,4.752326487,4.74071338
A2MP1,5.52136624,5.900019592,6.10629606,5.869729285
A4GALT,7.469906103,8.086971497,7.353558855,7.298289638
A4GNT,6.033817819,5.500939833,5.833908638,5.938897911
AA06,5.574897836,5.163524021,5.682192768,5.742735788
AAAS,8.438659304,8.42452261,8.564248818,7.717760652
AACS,8.465735319,8.517579301,8.368029363,8.406469342
AACSP1,4.334228347,4.243690201,4.650225621,6.052433927
AADAC,4.881742748,4.89663509,4.821213203,6.382693013
AADACL2,3.516718359,2.936545876,3.666260255,3.811925125
AADACP1,3.967350814,3.730963329,3.423328086,3.35153563
AADAT,6.308271139,6.418324272,7.085636356,6.523997604
AAED1,8.530891254,9.544863867,8.350177539,8.883967915
AAGAB,7.854879662,7.274480112,7.549772953,6.881461364
AAK1,5.873140373,5.806817087,5.941732213,5.604527309
AAMDC,8.605246979,8.643540226,8.703603881,9.127659483
AAMP,9.447592926,9.429639322,9.561342086,10.36913364
AANAT,4.098040051,4.786009556,4.502848478,4.402152882
AAR2,8.711135188,8.810604915,8.857063578,8.555043942
AARS,9.51123718,9.536241752,10.06776498,9.513175793
AARS2,7.5644569065,7.834495972,7.581541767,7.9834486565
AASDH,8.055677979,7.694934383,7.9836506895,7.8900742165
AASDHPPT,8.893523993,8.859452838,9.487807683,10.21697267
AASS,7.3864105335,7.327650331,7.6645380375,5.861084693
AATBC,5.028554662,4.9253408,3.842859916,3.946616296
AATF,9.318849733,9.550233851,9.340325723,9.677306934
AATK,7.619411064,7.380238814,7.221057902,7.263906847
ABAT,11.30700396,9.751352988,12.42124729,8.752445087
ABCA1,6.7906512665,6.9315322235,7.1999935935,7.682138277
ABCA11P,7.379089098,6.776316888,6.759561282,6.973786477
ABCA12,3.343172478,4.72599208,3.494715644,3.841964895
ABCA13,3.407158619,3.094010349,3.04574146,3.258028058
ABCA17P,6.348792422,6.252869088,6.365302084,10.27761993
ABCA2,6.501350895,6.298086454,6.713162578,6.557368901
ABCA3,7.994133035,8.458101449,7.762758501,8.480852861
ABCA4,5.0933367045,5.1309659755,5.601374146,5.071873777
ABCA5,8.483966537,8.1959877205,8.33158729,8.0201849765
ABCA6,5.960888348,3.821448905,5.038393691,5.733574312
ABCA7,6.843321291,6.874735742,7.472504189,5.830199337
ABCA8,4.793485571,4.82414699,5.150371418,3.947334494
ABCA9,4.60368673,3.905423885,4.035493421,4.300443528
ABCB1,9.271137467,8.334516872,9.032420912,4.647957479
ABCB10,8.105377547,8.825456508,8.49552041,8.892436615
ABCB11,4.4921046965,4.3910377655,4.959042829,4.845053698
ABCB4,4.8623208155,4.7968058605,4.997097767,6.4527358635
ABCB5,4.4080871035,4.074092903,4.1709602095,3.8082153295
ABCB6,7.06877271,7.495228314,7.076992896,7.978965321
ABCB7,8.54367728,8.589697815,8.671458493,8.633446086
ABCB8,7.0417273195,7.001837294,7.0768339695,6.5893886875
ABCB9,6.045179649,6.15579313,6.397475378,5.90118901
ABCC1,8.01125241,8.690365647,7.2015242335,9.1184071825
ABCC10,7.448008478,7.6553698205,7.4624603215,7.3548058065
ABCC11,4.9234565755,4.705218444,5.0592364395,5.256624486
ABCC12,4.5014739275,4.43716252,4.53800635,4.5817230505
ABCC13,4.151947693,4.0641140965,4.197344155,4.4504141475
ABCC2,6.934069669,6.985573161,8.431171944,8.170731203
ABCC3,7.115957721,7.864944591,7.103538279,8.341301377
ABCC4,6.5312610735,6.1464322535,7.1646552365,7.0615677365
ABCC5,7.850745308,6.340243367,7.35544012,6.829323175
ABCC6P1,6.996809989,5.548006045,8.297529723,7.520191425
ABCC8,6.098174558,5.883200886,6.450619704,5.9977932615
ABCC9,4.95084602,5.772378492,4.383759892,5.310456665
ABCD1,7.73269041,7.427615233,7.729507449,7.160026407
ABCD2,3.175785332,3.465125064,3.524574646,3.137942655
ABCD3,8.8798426155,8.84617893,9.85533731,9.953776127
ABCD4,7.5089821295,7.7000786895,7.816877377,6.7002258835
ABCE1,8.9982299635,9.7469752455,8.952903907,9.2340145795
ABCF1,9.487297924,9.520664371,9.369861107,9.037334208
ABCF2,7.94356167,7.90394915,7.147771432,7.314909165
ABCF3,8.488190511,8.128576131,8.510438029,8.71746309
ABCG1,7.260908594,8.972314363,6.3395155465,7.437047763
ABCG2,7.097192173,9.510498295,7.247577476,7.721780483
ABCG4,7.133333859,7.096581004,7.331166939,6.96336912
ABCG5,4.917630521,4.77118227,5.093066841,5.293625105
ABCG8,6.007133118,5.97811779,6.461738235,6.18472471
ABHD1,5.443498801,5.53598242,6.003260907,6.121688528
ABHD10,9.600276884,8.208946457,10.1480075815,10.390133755
ABHD11,6.974015285,7.090013959,7.48241077,7.355345865
ABHD12,9.091325389,8.889546104,9.127418445,8.773774449
ABHD13,6.5309678415,7.0022581335,6.396308602,6.4881414085
ABHD14B,10.02243747,8.634067362,9.825429606,8.611906067
ABHD15,6.838607739,7.50464254,7.517442965,7.445368269
ABHD16A,7.266358501,7.1086999705,7.5959751075,7.0489174695
ABHD16B,5.087334821,5.519143487,6.117980876,5.853448074
ABHD17A,9.627161786,10.37218929,9.675408356,9.676595185
ABHD17B,7.014049016,6.937868178,7.993515,7.625868032
ABHD17C,9.671780604,8.294595523,9.148607274,7.706860939
ABHD18,7.658934128,7.299342196,8.073064793,6.807374479
ABHD2,7.4525177495,7.946756763,7.2753122565,7.0237958205
ABHD3,8.787986483,7.778697922,8.982585482,7.988166261
ABHD4,8.127202571,7.672756619,8.003260451,7.7081785195
ABHD5,6.5181131195,6.290478362,6.427396322,5.518643054
ABHD6,7.9261961525,8.301077821,9.7325948765,8.6300339395
ABHD8,6.493241916,6.786008747,6.805319891,6.932729284
ABI1,9.271082391,9.394857333,9.150435673,8.718725858
ABI2,7.895842911,8.5209458365,8.07817898,8.3145541575
ABI3,7.116155824,7.48472143,7.717567655,7.648124769
ABI3BP,4.182333463,4.68498918,4.191038904,4.665399016
ABL1,9.250699464,9.637440769,8.96586595,8.801114707
ABL2,8.195477724,9.436627966,7.626053006,8.208768878
ABLIM1,10.734418755,10.391189577,10.1339583515,9.777804557
ABLIM2,6.518283149,6.43775568,6.804968688,6.827808978
ABLIM3,8.114799536,8.770727805,8.329695214,9.984673016
ABO,6.066653144,6.021715021,6.805039777,5.844485587
ABR,6.332786308,6.723489859,6.601886547,6.781515303
ABRA,3.5504914595,3.600300481,3.654164437,3.419410054
ABRACL,9.475311157,9.047475454,10.4789218,10.07643675
ABT1,8.468635336,8.703705691,8.573182472,8.945856875
ABTB1,5.860039382,5.970457929,6.194248116,6.032878567
ABTB2,7.562785907,8.3076692405,7.2960157925,6.812756876
ACAA1,11.002314495,9.788927236,11.975606975,10.0928493705
ACAA2,8.454784847,8.97437461,9.126411247,9.387961867
ACACA,7.553240775,7.312895174,7.631823313,7.1110291645
ACACB,8.110664548,7.881588554,8.534866413,7.758089382
ACAD10,6.248595323,6.2464869585,6.763591708,6.493030845
ACAD8,9.758297984,8.496735718,10.10218583,9.438880179
ACAD9,7.6250037075,7.4009078965,7.669672632,8.4132385785
ACADL,8.1446120085,9.1033891335,9.1182000525,9.7622571355
ACADM,11.55740181,10.8879537,12.33885322,11.54653589
ACADS,9.219800921,9.082719137,9.448686531,8.725722907
ACADSB,9.623515495,8.369574648,10.4471661305,8.821697542
ACADVL,12.07602525,12.35823702,11.88432333,12.24697812
ACAN,6.495867775,6.6678523705,6.883128388,7.059604303
ACAP1,6.807114243,6.662697833,6.833181708,6.795997277
ACAP2,5.924251088,6.266980796,5.604401828,6.721463975
ACAP3,7.059052807,7.4102091395,7.0899449715,7.0326798525
ACAT1,6.584574683,5.895045055,7.388884275,6.175826867
ACAT2,8.509213129,7.893870319,8.681317438,7.957497999
ACBD3,8.85589087,9.35458109,8.5191185705,9.7770925865
ACBD4,8.036529218,8.208255493,8.277770612,7.891603651
ACBD5,9.4032924115,8.8348330635,9.480324645,9.0128749405
ACBD6,8.645302703,9.267560997,8.767395666,9.773291825
ACCS,8.932872419,8.599402061,8.854085261,9.411950765
ACD,7.552411941,8.087049247,7.549469628,7.886962787
ACE,6.0095169155,6.4737337885,6.684434309,5.7476380475
ACE2,9.9468218015,10.85663317,11.26811056,9.0020521535
ACER1,5.134305829,5.502585667,5.574825667,5.66638801
ACER2,5.649878793,6.970290843,5.103152973,6.029990222
ACER3,8.414478034,7.9404516635,8.0386792755,8.164258309
ACHE,6.117318743,6.596102592,6.761531545,6.918418801
ACIN1,7.666262476,7.776757738,7.35260954,7.108613998
ACKR1,8.809945451,7.509367352,6.341837566,8.222694074
ACKR2,5.467081455,5.648252091,5.634331337,5.590226653
ACKR3,6.303428007,8.547944369,5.317911187,7.277665774
ACKR4,6.594882072,5.624094562,5.36558302,7.48062864
ACLY,8.965630021,11.05324905,9.60373879,11.06842307
