hgnc_symbol,gene_biotype
A1BG,protein_coding
A1BG-AS1,lncRNA
A1CF,protein_coding
A2M,protein_coding
A2M-AS1,lncRNA
A2ML1,protein_coding
A2MP1,transcribed_unprocessed_pseudogene
A4GALT,protein_coding
A4GNT,protein_coding
AAAS,protein_coding
AACS,protein_coding
AACSP1,lncRNA
AACSP1,transcribed_unprocessed_pseudogene
AADAC,protein_coding
AADACL2,protein_coding
AADACP1,transcribed_unprocessed_pseudogene
AADAT,protein_coding
AAGAB,protein_coding
AAK1,protein_coding
AAMDC,protein_coding
AAMP,protein_coding
AANAT,protein_coding
AAR2,protein_coding
AARS2,protein_coding
AASDH,protein_coding
AASDHPPT,protein_coding
AASS,protein_coding
AATBC,lncRNA
AATF,protein_coding
AATK,protein_coding
ABAT,protein_coding
ABCA1,protein_coding
ABCA11P,transcribed_processed_pseudogene
ABCA12,protein_coding
ABCA13,protein_coding
ABCA17P,transcribed_unitary_pseudogene
ABCA17P,lncRNA
ABCA2,protein_coding
ABCA3,protein_coding
ABCA4,protein_coding
ABCA5,protein_coding
ABCA6,protein_coding
ABCA7,protein_coding
ABCA8,protein_coding
ABCA9,protein_coding
ABCB1,protein_coding
ABCB10,protein_coding
ABCB11,protein_coding
ABCB4,protein_coding
ABCB5,protein_coding
ABCB6,protein_coding
ABCB7,protein_coding
ABCB8,protein_coding
ABCB9,protein_coding
ABCC1,protein_coding
ABCC10,protein_coding
ABCC11,protein_coding
ABCC12,protein_coding
ABCC13,transcribed_unprocessed_pseudogene
ABCC2,protein_coding
ABCC3,protein_coding
ABCC4,protein_coding
ABCC5,protein_coding
ABCC6P1,transcribed_unprocessed_pseudogene
ABCC6P1,lncRNA
ABCC8,protein_coding
ABCC9,protein_coding
ABCD1,protein_coding
ABCD2,protein_coding
ABCD3,protein_coding
ABCD4,protein_coding
ABCE1,protein_coding
ABCF1,protein_coding
ABCF2,protein_coding
ABCF3,protein_coding
ABCG1,protein_coding
ABCG2,protein_coding
ABCG4,protein_coding
ABCG5,protein_coding
ABCG8,protein_coding
ABHD1,protein_coding
ABHD10,protein_coding
ABHD11,protein_coding
ABHD12,protein_coding
ABHD13,protein_coding
ABHD14B,protein_coding
ABHD15,protein_coding
ABHD16A,protein_coding
ABHD16B,protein_coding
ABHD17A,protein_coding
ABHD17B,protein_coding
ABHD17C,protein_coding
ABHD18,protein_coding
ABHD2,protein_coding
ABHD3,protein_coding
ABHD4,protein_coding
ABHD5,protein_coding
ABHD6,protein_coding
ABHD8,protein_coding
ABI1,protein_coding
ABI2,protein_coding
ABI3,protein_coding
ABI3BP,protein_coding
ABL1,protein_coding
ABL2,protein_coding
ABLIM1,protein_coding
ABLIM2,protein_coding
ABLIM3,protein_coding
ABO,protein_coding
ABR,protein_coding
ABRA,protein_coding
ABRACL,protein_coding
ABT1,protein_coding
ABTB1,protein_coding
ABTB2,protein_coding
ACAA1,protein_coding
ACAA2,protein_coding
ACACA,protein_coding
ACACB,protein_coding
ACAD10,protein_coding
ACAD8,protein_coding
ACAD9,protein_coding
ACADL,protein_coding
ACADM,protein_coding
ACADS,protein_coding
ACADSB,protein_coding
ACADVL,protein_coding
ACAN,protein_coding
ACAP1,protein_coding
ACAP2,protein_coding
ACAP3,protein_coding
ACAT1,protein_coding
ACAT2,protein_coding
ACBD3,protein_coding
ACBD4,protein_coding
ACBD5,protein_coding
ACBD6,protein_coding
ACCS,protein_coding
ACD,protein_coding
ACE,protein_coding
ACE2,protein_coding
ACER1,protein_coding
ACER2,protein_coding
ACER3,protein_coding
ACHE,protein_coding
ACIN1,protein_coding
ACKR1,protein_coding
ACKR2,protein_coding
ACKR3,protein_coding
ACKR4,protein_coding
ACLY,protein_coding
ACMSD,protein_coding
ACO1,protein_coding
ACO2,protein_coding
ACOD1,protein_coding
ACOT11,protein_coding
ACOT12,protein_coding
ACOT13,protein_coding
ACOT4,protein_coding
ACOT6,protein_coding
ACOT7,protein_coding
ACOT8,protein_coding
ACOT9,protein_coding
ACOX1,protein_coding
ACOX2,protein_coding
ACOX3,protein_coding
ACOXL,protein_coding
ACP1,protein_coding
ACP2,protein_coding
ACP5,protein_coding
ACP6,protein_coding
ACR,protein_coding
ACRBP,protein_coding
ACRV1,protein_coding
ACSBG1,protein_coding
ACSBG2,protein_coding
ACSF2,protein_coding
ACSF3,protein_coding
ACSL1,protein_coding
ACSL3,protein_coding
ACSL4,protein_coding
ACSL5,protein_coding
ACSL6,protein_coding
ACSM1,protein_coding
ACSM2A,protein_coding
ACSM2B,protein_coding
ACSM3,protein_coding
ACSM5,protein_coding
ACSS1,protein_coding
ACSS2,protein_coding
ACSS3,protein_coding
ACTA1,protein_coding
ACTA2,protein_coding
ACTA2-AS1,lncRNA
ACTB,protein_coding
ACTBP9,processed_pseudogene
ACTC1,protein_coding
ACTG1P17,transcribed_processed_pseudogene
ACTG2,protein_coding
ACTL10,protein_coding
ACTL6A,protein_coding
ACTL6B,protein_coding
ACTL7A,protein_coding
ACTL7B,protein_coding
ACTL8,protein_coding
ACTL9,protein_coding
ACTN1,protein_coding
ACTN2,protein_coding
ACTN3,protein_coding
ACTN4,protein_coding
ACTR10,protein_coding
ACTR1A,protein_coding
ACTR1B,protein_coding
ACTR2,protein_coding
ACTR3,protein_coding
ACTR3B,protein_coding
ACTR3BP2,processed_pseudogene
ACTR3C,protein_coding
ACTR5,protein_coding
ACTR6,protein_coding
ACTR8,protein_coding
ACTRT2,protein_coding
ACTRT3,protein_coding
ACVR1,protein_coding
ACVR1B,protein_coding
ACVR1C,protein_coding
ACVR2A,protein_coding
ACVR2B,protein_coding
ACVR2B-AS1,lncRNA
ACVRL1,protein_coding
ACY1,protein_coding
ACY3,protein_coding
ACYP1,protein_coding
ADA,protein_coding
ADAD1,protein_coding
ADAD2,protein_coding
ADAM10,protein_coding
ADAM11,protein_coding
ADAM12,protein_coding
ADAM15,protein_coding
ADAM17,protein_coding
ADAM18,protein_coding
ADAM19,protein_coding
