,GSM904985,GSM904986,GSM904988,GSM904989
A1BG-AS1,5.544874072,5.857036082,6.146661641,5.950527608
A2M-AS1,7.518652263,7.365326682,6.522401449,7.295530522
AACSP1,4.334228347,4.243690201,4.650225621,6.052433927
AATBC,5.028554662,4.9253408,3.842859916,3.946616296
ABCA17P,6.348792422,6.252869088,6.365302084,10.27761993
ABCC6P1,6.996809989,5.548006045,8.297529723,7.520191425
ACTA2-AS1,6.307689246,5.779651846,6.264890238,5.80984586
ACVR2B-AS1,6.552595738,5.758522595,6.516662463,6.318920119
ADAM3A,4.1291442025,4.1252905,4.2124073665,3.9852525455
ADAM6,5.404160426,4.961069548,5.273270157,5.605360319
ADAMTS9-AS1,6.762889513,5.8961631595,6.7916251755,6.475584757
ADAMTS9-AS2,5.673200124,5.820317171,5.941946799,6.07093326
ADARB2-AS1,6.989594778,6.749556567,7.14608723,7.140985407
ADCY10P1,6.400026908,6.049997003,6.121648258,6.0364494175
ADD3-AS1,4.973751847,4.681063355,5.40761201,6.020753292
ADIRF-AS1,6.159206734,5.221657381,5.963155193,5.887647586
ADORA2A-AS1,6.8071080405,6.850154081,7.0924826385,7.029536904
AFAP1-AS1,5.1409388615,4.98074316,5.2121255535,5.5687573315
AFG3L1P,6.887868408,6.662697833,6.85090676,6.969082102
AGAP2-AS1,5.97792587,7.204348547,6.3527961,6.494498031
ALDH1L1-AS2,6.421486592,5.968298694,6.627904019,6.376525038
ALKBH3-AS1,5.309870776,5.3934284715,5.228345048,5.268745744
ALMS1-IT1,4.169278737,4.467719097,4.032794811,4.791005279
ALMS1P1,5.360592995,5.249368044,5.418585655,5.159991875
AMZ2P1,8.222879364,7.5650515,8.350139895,8.980074055
ANKRD10-IT1,8.9859626205,8.773319251,8.7445257685,8.6811780665
ANKRD19P,7.204348032,7.389876822,6.986972595,6.813671501
ANKRD44-IT1,4.58055772,4.525580935,4.454210217,5.555289118
AOC4P,7.225250552,6.898609709,7.598177105,7.569281593
APTR,6.9071342955,6.839303438,7.1135343595,6.969869708
AQP4-AS1,3.973076925,4.5613954835,3.8438944545,3.7805429455
ARHGAP22-IT1,4.48302712,4.512577552,4.569535437,4.7075601825
ARHGAP26-AS1,5.574897836,6.153056165,5.864148898,5.144450303
ARHGAP5-AS1,7.045382994,7.35205046,7.114404291,6.567191369
ARHGEF26-AS1,4.316664542,3.964142558,4.014574346,3.588434516
ARHGEF7-AS2,4.249825506,3.530704313,3.98692287,3.50404899
ARHGEF7-IT1,4.400985835,4.357322759,4.517849799,4.495014949
ARIH2OS,6.536772551,5.795677645,6.368885922,6.1226537
ARRDC1-AS1,7.751928425,7.453180869,7.891604269,7.753853747
ARRDC3-AS1,6.180223689,5.701900222,6.532413885,6.280621394
ASAP1-IT2,5.303040662,6.13211304,5.389928408,5.718548363
ASB16-AS1,5.987910822,6.269737625,6.365302084,6.208256709
ASH1L-AS1,7.751711804,7.68843627,7.852304938,8.505343823
ASMTL-AS1,6.802921589,6.698064956,6.800952111,6.774747384
ATP11A-AS1,4.436072337,4.58856336,4.736759952,4.989561971
ATP13A4-AS1,3.741773211,3.130814503,3.607344536,3.557055857
ATP1A1-AS1,7.390384498,7.1328264975,7.6706650985,6.792951894
ATP2A1-AS1,6.57848367,5.284002183,5.575792549,5.968813127
ATP6V0E2-AS1,6.275305866,5.218219783,5.842194727,4.414468172
ATXN8OS,6.082391406,6.169734006,5.867455353,5.502454063
B3GALT5-AS1,5.028887323,4.9317458495,5.0839118535,5.179509793
BAALC-AS2,5.5945698105,5.6740823285,5.8419967075,6.005445635
BANCR,5.874645004,5.317566252,5.91941865,5.714359958
BBOX1-AS1,6.00224097,5.163421816,6.518721154,5.963583625
BCAR4,5.318478435,4.965672359,5.366958355,5.083882375
BCDIN3D-AS1,5.330292113,5.2315005905,5.362504186,5.208723244
BDNF-AS,3.5123677905,3.4713905405,3.4797127495,4.092760977
BFSP2-AS1,5.090627459,3.829910225,4.834576678,4.839650661
BGLT3,6.730223658,6.539196315,6.250430077,6.464698989
BPESC1,2.931574477,3.24988518,3.027521373,3.091237642
BPIFA4P,5.090791158,4.916855045,4.9890498,5.360534103
BTN2A3P,5.815820228,5.669319281,6.191238778,5.473376223
C10orf55,3.244339965,4.049222268,3.728100224,3.831659832
C10orf71-AS1,4.650135503,5.104044069,5.082464027,4.437536876
C11orf40,3.915599276,4.097102317,3.808195049,3.810559652
C15orf32,3.804789318,4.222910608,4.14489486,3.811925125
C1orf220,3.673381944,3.946627169,3.45714308,3.237594529
C1QTNF1-AS1,5.567172755,5.053101561,6.061889594,6.082748324
