,TCGA.02.0001,TCGA.02.0003,TCGA.02.0006,TCGA.02.0007,TCGA.02.0009,TCGA.02.0010,TCGA.02.0011,TCGA.02.0014,TCGA.02.0021,TCGA.02.0024,TCGA.02.0027,TCGA.02.0028,TCGA.02.0033,TCGA.02.0034,TCGA.02.0037,TCGA.02.0038,TCGA.02.0043,TCGA.02.0046,TCGA.02.0047,TCGA.02.0052,TCGA.02.0054,TCGA.02.0055,TCGA.02.0057,TCGA.02.0058,TCGA.02.0060,TCGA.02.0064,TCGA.02.0069,TCGA.02.0071,TCGA.02.0074,TCGA.02.0075,TCGA.02.0080,TCGA.02.0083,TCGA.02.0085,TCGA.02.0086,TCGA.02.0089,TCGA.02.0099,TCGA.02.0102,TCGA.02.0107,TCGA.02.0113,TCGA.02.0114,TCGA.02.0115,TCGA.06.0122,TCGA.06.0124,TCGA.06.0125,TCGA.06.0126,TCGA.06.0128,TCGA.06.0129,TCGA.06.0130,TCGA.06.0132,TCGA.06.0133,TCGA.06.0137,TCGA.06.0138,TCGA.06.0139,TCGA.06.0143,TCGA.06.0145,TCGA.06.0147,TCGA.06.0148,TCGA.06.0154,TCGA.06.0156,TCGA.06.0157,TCGA.06.0158,TCGA.06.0166,TCGA.06.0168,TCGA.06.0171,TCGA.06.0173,TCGA.06.0174,TCGA.06.0176,TCGA.06.0178,TCGA.06.0184,TCGA.06.0185,TCGA.06.0187,TCGA.06.0188,TCGA.06.0189,TCGA.06.0190,TCGA.06.0195,TCGA.06.0197,TCGA.06.0208,TCGA.06.0210,TCGA.06.0211,TCGA.06.0214,TCGA.06.0219,TCGA.06.0221,TCGA.06.0237,TCGA.06.0241
RPS4Y1,-2.5,2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.78483,-2.5,2.5,-2.5,2.5,2.5,2.48031,-2.5,-2.5,-2.5,0.29306,2.39939,2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.5,-2.5,2.5,-2.5,2.5,2.5,-2.5,-2.5,-2.5,2.5,2.5,2.5,2.5,-2.5,-2.5,2.48928,-2.5,2.5,-2.5,2.19395,2.5,2.5,2.5,2.27895,2.31219,-2.5,2.5,2.5,2.27271,-2.5,-2.5,2.33905,2.5,2.5,-2.5,2.5,2.5,-2.5,2.5,-2.5,2.5,0.11747,2.5,2.5,2.5,2.24786,2.5,2.32469,1.05163,2.5,-2.5,-2.5,-2.5,2.5,1.85533,2.5,2.5,-2.5,-2.5
POSTN,1.90257,2.5,-0.55461,-2.15156,2.5,-0.2458,-2.5,-2.5,2.21843,-1.45585,1.86259,2.5,2.11926,2.5,0.90399,1.81637,2.5,1.16539,2.5,-1.04806,-2.5,2.5,-1.40784,-2.5,0.87844,2.5,-0.96474,1.5216,-0.56383,2.5,-2.5,2.5,2.5,2.5,1.46566,2.5,2.23805,2.5,-2.5,-2.5,0.34211,1.16966,2.5,2.5,2.5,-0.36865,-2.5,2.5,-0.54272,-0.31252,2.5,0.59779,2.30605,-0.51882,2.26578,2.08244,2.5,2.38428,0.02183,1.39736,-2.5,-1.67,-1.12952,-0.97166,0.97163,1.51723,2.5,-2.5,0.00215,-2.5,-2.24678,-2.5,2.5,2.5,-2.5,2.5,2.09609,2.40177,2.16176,0.59806,0.738,-2.5,-2.5,-2.45864
LTF,-0.86928,-2.5,-0.27295,-2.39063,-2.04966,-2.5,-2.5,-2.5,1.39814,-2.5,-1.86095,-2.5,0.94423,2.5,0.4311,2.5,-2.15719,-2.35091,-0.7554,-0.26379,2.0329,-2.03589,2.5,-2.5,0.10628,2.15477,-1.01454,2.30578,-1.35386,1.4357,-2.5,-0.27524,1.18582,-0.10583,2.5,2.02252,2.44561,2.5,-2.5,-2.5,-2.5,1.67746,0.26905,2.5,0.46073,-2.2802,-2.5,-2.5,2.5,0.49878,-1.38483,-1.15195,1.44974,2.5,-0.77128,0.94262,1.21729,0.21384,2.21125,-1.42743,2.5,-0.18918,2.5,-2.5,0.57585,-2.5,2.11899,-2.5,-0.83519,2.32704,2.5,-0.30187,2.10941,2.5,-2.5,2.01007,1.10409,1.87945,-1.48172,-1.58295,-1.30921,-2.5,2.07987,1.39224
EIF1AY,-2.5,2.31843,-2.30226,-2.42215,-2.5,-2.5,-2.5,2.39404,-2.5,-0.9714,-2.5,2.45555,2.07701,1.65411,-2.48781,-2.49878,-2.5,-0.52351,2.18291,2.17432,-2.5,-1.97094,-2.5,-2.4356,-2.31208,1.53054,-2.5,1.90844,-2.5,2.20462,1.69551,-2.5,-2.5,-2.42847,1.71518,1.78912,1.32603,1.83204,-2.5,-2.5,1.87567,-2.5,2.02232,-2.5,1.56928,2.38503,2.2588,2.16708,0.79309,2.2801,-2.5,2.01482,2.06164,1.56945,-2.5,-2.5,1.32534,2.10188,2.08675,-2.5,1.80494,1.66027,-2.5,2.13753,-2.34946,1.80357,-0.98467,1.58113,1.92596,1.53872,2.15579,2.5,1.37278,2.06169,2.30761,-2.1958,-2.05958,-2.42455,1.59041,1.92319,1.97474,1.61416,-2.45432,-2.5
TMSL8,-0.37612,2.5,1.22273,-2.5,0.6834,2.5,2.5,2.5,-0.46682,2.5,0.9733,2.5,-1.99729,0.40687,-1.08214,0.50691,-2.5,2.5,2.17715,2.5,-0.36763,-0.49426,-1.77982,-2.5,-0.32382,-1.36664,2.5,0.53534,2.21935,-1.46424,-1.2814,0.79571,0.27704,-0.27462,-1.11493,1.66523,-2.5,-2.5,0.15119,2.5,-2.49821,-2.5,-0.59876,0.73969,0.14371,2.5,2.5,-2.5,-2.02614,-1.77921,-2.5,2.24988,-1.40523,-0.02883,-2.5,-1.44093,-0.57581,-1.6856,2.5,1.80629,0.73687,2.5,1.1551,2.23319,1.64004,-0.10231,-0.11096,2.5,-2.0994,0.70349,-0.6932,2.5,-2.5,0.78194,-2.5,-1.62558,-0.36,0.07655,-2.5,1.18741,1.82944,2.5,1.30821,2.5
VSNL1,2.5,2.5,-1.85143,0.14688,-2.5,0.19429,-1.83273,0.38765,-2.5,2.28768,-0.69589,-2.02475,2.25584,-2.35365,-2.5,-1.50745,-2.5,0.795,2.44348,0.82737,-1.43432,2.5,-2.46276,2.5,2.5,-2.44842,-1.66715,-0.72912,-2.5,-0.48449,-2.5,2.5,2.5,-1.05016,2.5,-0.67994,0.63041,-0.36913,-0.87322,-2.5,2.5,0.09666,0.47297,-0.6497,2.05535,-1.11907,-1.792,0.11524,2.5,2.5,2.5,0.68465,-1.27574,-2.5,-2.5,-1.13607,-2.2121,0.39089,-0.17702,2.5,0.77516,-2.3564,2.5,0.84489,0.72547,0.27095,0.59032,-0.26219,0.82075,0.98992,-2.5,-1.36736,-1.26735,0.14915,2.5,1.4782,1.25561,-2.31822,0.59335,1.448,2.47857,2.5,-1.43006,-0.74197
AGXT2L1,-0.22722,0.69635,1.5563,0.69372,-0.57234,-0.12387,2.29547,-1.40642,-1.93162,1.20307,-1.07625,-2.02806,-2.34021,-2.38895,-1.46923,1.38548,-2.5,1.08765,0.83823,-0.76903,2.17312,-1.45611,2.40068,2.5,0.74457,-2.5,-2.5,-0.93828,-1.6764,-1.53179,2.5,-0.71317,0.44985,-2.42715,1.6723,0.84869,-1.63868,2.34291,1.33248,-1.94187,2.5,-1.63773,-0.57407,-1.37263,0.0473,0.69118,-0.47917,-2.374,2.5,2.5,0.66725,1.71094,-2.29598,-2.41219,-1.06203,-2.5,-2.24522,-2.31472,1.8068,2.41916,1.6329,1.48521,2.5,2.5,1.70416,-1.26044,-2.49139,-0.38325,1.84846,1.52198,0.93304,2.5,-1.61591,-2.36025,2.07937,-2.1931,2.5,-1.5189,-0.9066,1.25508,2.10564,1.36765,2.5,-0.77974
EGFR,-0.9129,2.5,-0.68121,-0.11339,2.5,-2.35243,-0.73802,-1.98289,2.5,-2.5,-2.5,-2.49914,-1.98228,-1.13846,-0.84686,2.5,-0.03455,2.28639,-2.18009,-2.5,0.65787,-2.3046,-0.66739,-0.31727,-1.88623,0.79017,-1.37256,2.3169,-2.11437,-1.33713,-0.54462,2.00497,-2.09334,-2.14021,1.71399,-1.70276,2.5,-1.72949,-1.14826,-0.49387,-0.85202,1.44023,0.46085,2.5,2.5,-1.61122,0.41426,-2.21344,1.63273,2.45673,2.5,0.3748,-2.48566,2.44438,2.5,-2.5,2.5,2.15542,0.14363,2.15447,2.5,-1.95646,-0.75095,-1.63539,2.5,-1.12712,-0.90524,-1.63865,-0.38489,2.11908,2.5,-0.35997,-1.11158,-1.69502,0.34617,-1.54154,2.34575,-1.33566,1.68275,1.12052,0.42491,-2.13569,1.47624,-2.5
NEFL,1.93817,2.5,0.37611,0.12576,-2.27415,0.32527,-2.25732,0.87108,-1.93366,2.5,2.5,-2.02339,-2.15221,0.80815,-0.06015,-1.52776,-2.33695,1.621,1.82714,-0.66978,-1.49573,2.5,-1.27836,1.57751,2.1718,-2.44842,-2.18469,-0.67669,-2.14146,-1.78547,-2.21542,1.02845,2.5,-1.81158,1.58551,-0.94364,-0.5153,-0.8515,2.5,-1.99814,2.00876,-0.75648,0.26577,-1.18118,1.38293,-1.64667,-2.05795,1.52005,2.5,0.91906,1.81581,2.5,-2.13271,2.5,-2.26676,-2.14046,0.44283,-1.92367,1.54472,-1.92539,-0.0901,1.91672,1.81032,0.01489,0.72606,-0.54216,-2.03379,-0.77351,-1.10198,0.02491,-2.00439,-1.19625,-1.95472,0.06412,2.5,-1.9811,0.42935,-1.96192,-0.16538,0.17162,1.24184,1.97389,-0.01123,2.05765
PI3,-0.81358,-1.40447,1.52237,-1.21948,-1.38948,-0.15495,-1.2341,-1.30437,-1.22755,-0.9759,-0.88782,-1.07532,2.5,2.5,2.5,-0.67157,1.39722,-1.36928,-0.87264,-1.25139,-1.13828,1.84053,-1.17592,-1.40475,-1.33806,2.04426,-1.5138,0.48903,-1.34143,0.0584,-1.26073,1.27785,-1.37565,2.5,0.95535,0.45897,1.99239,2.5,-1.48519,-1.23948,-0.30658,2.157,1.90828,-0.61131,-0.45769,-1.39309,-1.67764,-1.22144,2.5,-1.59527,-1.22936,0.90204,2.5,2.3022,-0.9175,0.30259,-0.65255,2.5,2.5,-1.13422,-1.18732,2.5,1.50775,-0.09045,-0.92238,-1.1561,-0.43069,-1.10817,-1.17721,-0.5434,2.5,-1.30087,0.85128,0.96754,-1.22348,2.5,-0.32113,2.5,-1.01928,-1.13705,-1.11875,-1.12436,-1.30441,-1.03523
