Tumor_Sample_Barcode,Expr_level
TCGA-2V-A95S,high
TCGA-2Y-A9GS,high
TCGA-2Y-A9GT,low
TCGA-2Y-A9GU,low
TCGA-2Y-A9GV,low
TCGA-2Y-A9GW,high
TCGA-2Y-A9GX,high
TCGA-2Y-A9GY,high
TCGA-2Y-A9GZ,low
TCGA-2Y-A9H0,low
TCGA-2Y-A9H1,low
TCGA-2Y-A9H2,high
TCGA-2Y-A9H3,low
TCGA-2Y-A9H4,low
TCGA-2Y-A9H5,high
TCGA-2Y-A9H6,high
TCGA-2Y-A9H7,high
TCGA-2Y-A9H8,high
TCGA-2Y-A9H9,low
TCGA-2Y-A9HA,low
TCGA-2Y-A9HB,high
TCGA-3K-AAZ8,high
TCGA-4R-AA8I,low
TCGA-5C-A9VG,high
TCGA-5C-A9VH,high
TCGA-5C-AAPD,low
TCGA-5R-AA1C,low
TCGA-5R-AA1D,high
TCGA-5R-AAAM,low
TCGA-BC-4072,high
TCGA-BC-4073,high
TCGA-BC-A10Q,high
TCGA-BC-A10R,low
TCGA-BC-A10S,high
TCGA-BC-A10T,high
TCGA-BC-A10U,high
TCGA-BC-A10W,high
TCGA-BC-A10X,high
TCGA-BC-A10Y,low
TCGA-BC-A10Z,low
TCGA-BC-A110,low
TCGA-BC-A112,high
TCGA-BC-A216,high
TCGA-BC-A217,high
TCGA-BC-A3KF,low
TCGA-BC-A3KG,high
TCGA-BC-A5W4,low
TCGA-BC-A69H,low
TCGA-BC-A69I,low
TCGA-BC-A8YO,high
TCGA-BD-A2L6,low
TCGA-BD-A3EP,high
TCGA-BD-A3ER,high
TCGA-BW-A5NO,low
TCGA-BW-A5NP,high
TCGA-BW-A5NQ,low
TCGA-CC-5258,low
TCGA-CC-5259,low
TCGA-CC-5260,high
TCGA-CC-5261,high
TCGA-CC-5262,high
TCGA-CC-5263,low
TCGA-CC-5264,low
TCGA-CC-A123,low
TCGA-CC-A1HT,high
TCGA-CC-A3M9,high
TCGA-CC-A3MA,high
TCGA-CC-A3MB,high
TCGA-CC-A3MC,low
TCGA-CC-A5UC,high
TCGA-CC-A5UD,high
TCGA-CC-A5UE,high
TCGA-CC-A7IE,high
TCGA-CC-A7IF,low
TCGA-CC-A7IG,low
TCGA-CC-A7IH,high
TCGA-CC-A7II,high
TCGA-CC-A7IJ,high
TCGA-CC-A7IK,low
TCGA-CC-A7IL,low
TCGA-CC-A8HS,high
TCGA-CC-A8HT,high
TCGA-CC-A8HU,low
TCGA-CC-A8HV,high
TCGA-CC-A9FS,high
TCGA-CC-A9FU,low
TCGA-CC-A9FV,low
TCGA-CC-A9FW,high
TCGA-DD-A113,high
TCGA-DD-A114,high
TCGA-DD-A115,low
TCGA-DD-A116,high
TCGA-DD-A118,high
TCGA-DD-A119,low
TCGA-DD-A11A,low
TCGA-DD-A11B,high
TCGA-DD-A11C,high
TCGA-DD-A11D,low
TCGA-DD-A1EA,high
TCGA-DD-A1EB,low
TCGA-DD-A1EC,high
TCGA-DD-A1ED,high
TCGA-DD-A1EE,high
TCGA-DD-A1EF,high
TCGA-DD-A1EG,high
TCGA-DD-A1EH,high
TCGA-DD-A1EI,low
TCGA-DD-A1EJ,high
TCGA-DD-A1EK,low
TCGA-DD-A1EL,high
TCGA-DD-A39V,low
TCGA-DD-A39W,high
TCGA-DD-A39X,high
TCGA-DD-A39Y,high
TCGA-DD-A39Z,low
TCGA-DD-A3A1,high
TCGA-DD-A3A2,low
TCGA-DD-A3A3,low
TCGA-DD-A3A4,low
TCGA-DD-A3A5,low
TCGA-DD-A3A6,high
TCGA-DD-A3A7,low
TCGA-DD-A3A8,low
TCGA-DD-A3A9,low
TCGA-DD-A4NA,high
TCGA-DD-A4NB,high
TCGA-DD-A4ND,high
TCGA-DD-A4NE,high
TCGA-DD-A4NF,high
TCGA-DD-A4NG,high
TCGA-DD-A4NH,low
TCGA-DD-A4NI,low
TCGA-DD-A4NJ,low
TCGA-DD-A4NK,low
TCGA-DD-A4NL,low
TCGA-DD-A4NN,high
TCGA-DD-A4NO,low
TCGA-DD-A4NP,high
TCGA-DD-A4NQ,low
TCGA-DD-A4NR,high
TCGA-DD-A4NS,high
TCGA-DD-A4NV,high
TCGA-DD-A73A,low
TCGA-DD-A73B,low
TCGA-DD-A73C,high
TCGA-DD-A73D,low
TCGA-DD-A73E,low
TCGA-DD-A73F,low
TCGA-DD-A73G,high
TCGA-DD-AA3A,high
TCGA-DD-AAC8,high
TCGA-DD-AAC9,low
TCGA-DD-AACA,high
TCGA-DD-AACB,low
TCGA-DD-AACC,low
