,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0008286,GO:0008286,insulin receptor signaling pathway,14/194,194/28832,0.0721649484536082,10.7250504835796,11.1861531943871,6.4072472194686e-11,1.72459010614858e-07,1.16553616151277e-07,13837/13869/14254/14255/16001/16337/16542/18750/19267/20660/20913/29815/18795/16590,14
GO:0032869,GO:0032869,cellular response to insulin stimulus,16/194,290/28832,0.0551724137931034,8.19964450764309,10.1420845504281,1.48731137674208e-10,1.72459010614858e-07,1.16553616151277e-07,13837/13869/14254/14255/16001/16337/16542/18750/19090/19267/20430/20660/20913/29815/18795/16590,16
GO:0038063,GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,9/194,59/28832,0.152542372881356,22.6706272933776,13.714004622251,2.20577733803432e-10,1.72459010614858e-07,1.16553616151277e-07,12826/13837/13869/14254/14255/16001/16337/16542/16590,9
GO:0071375,GO:0071375,cellular response to peptide hormone stimulus,18/194,396/28832,0.0454545454545455,6.75538894095595,9.49177410288627,2.38797629843596e-10,1.72459010614858e-07,1.16553616151277e-07,13837/13869/14254/14255/13617/16001/16337/16542/18024/18750/19090/19267/20430/20660/20913/29815/18795/16590,18
GO:0048638,GO:0048638,regulation of developmental growth,18/194,398/28832,0.0452261306532663,6.7214422628607,9.45991974096011,2.58947463385672e-10,1.72459010614858e-07,1.16553616151277e-07,11990/12561/13052/13869/14255/16001/16337/19090/20403/20430/21814/50769/54338/56274/18795/11603/64010/21960,18
GO:0032868,GO:0032868,response to insulin,17/194,356/28832,0.047752808988764,7.09695355033013,9.52703517865507,3.62937653578935e-10,2.01430397736309e-07,1.3613345672838e-07,13837/13869/14254/14255/16001/16337/16542/17096/18750/19090/19267/20430/20660/20913/29815/18795/16590,17
GO:0038065,GO:0038065,collagen-activated signaling pathway,9/194,64/28832,0.140625,20.8994845360825,13.1170554505593,4.69664546730533e-10,2.23426134373239e-07,1.50998917430057e-07,12826/13837/13869/14254/14255/16001/16337/16542/16590,9
GO:0046777,GO:0046777,protein autophosphorylation,13/194,200/28832,0.065,9.66020618556701,10.1152533045674,1.13966365445812e-09,4.22216082155152e-07,2.85347869020931e-07,13869/14254/14255/16001/16337/16542/16589/17096/18750/15467/27103/53416/16590,13
GO:0048010,GO:0048010,vascular endothelial growth factor receptor signaling pathway,10/194,97/28832,0.103092783505155,15.3215006908279,11.6286197708573,1.14112454636527e-09,4.22216082155152e-07,2.85347869020931e-07,13837/13869/14254/14255/16001/16337/16542/17999/19876/16590,10
GO:0036323,GO:0036323,vascular endothelial growth factor receptor-1 signaling pathway,8/194,49/28832,0.163265306122449,24.2642541552704,13.4146245025554,1.29462708653077e-09,4.31110819814745e-07,2.91359232737135e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0036215,GO:0036215,response to stem cell factor,8/194,52/28832,0.153846153846154,22.8643933386201,12.9883231196072,2.12342245147322e-09,5.39143955218688e-07,3.64371669434979e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0036216,GO:0036216,cellular response to stem cell factor stimulus,8/194,52/28832,0.153846153846154,22.8643933386201,12.9883231196072,2.12342245147322e-09,5.39143955218688e-07,3.64371669434979e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
