fromNode	toNode	weight	direction	fromAltName	toAltName
4833403I15Rik	Cct8	1	undirected	NA	NA
A630001G21Rik	Cdc27	1	undirected	NA	NA
Aamp	Bop1	1	undirected	NA	NA
Aamp	Brix1	1	undirected	NA	NA
Aamp	Ddx18	1	undirected	NA	NA
Aamp	Ddx27	1	undirected	NA	NA
Aamp	Ddx54	1	undirected	NA	NA
Aamp	Ebna1bp2	1	undirected	NA	NA
Aamp	Eif6	1	undirected	NA	NA
Aamp	Ftsj1	1	undirected	NA	NA
Aamp	Ftsj3	1	undirected	NA	NA
Aamp	Gnl2	1	undirected	NA	NA
Aamp	Gnl3	1	undirected	NA	NA
Aamp	Gnl3l	1	undirected	NA	NA
Aamp	Imp4	1	undirected	NA	NA
Aamp	Kiaa0020	1	undirected	NA	NA
Aamp	Lsg1	1	undirected	NA	NA
Aamp	Mrto4	1	undirected	NA	NA
Aamp	Nifk	1	undirected	NA	NA
Aamp	Nip7	1	undirected	NA	NA
Aamp	Nmd3	1	undirected	NA	NA
Aamp	Noa1	1	undirected	NA	NA
Aamp	Noc2l	1	undirected	NA	NA
Aamp	Noc3l	1	undirected	NA	NA
Aamp	Nop2	1	undirected	NA	NA
Aamp	Nsa2	1	undirected	NA	NA
Aamp	Nsun2	1	undirected	NA	NA
Aamp	Nsun5	1	undirected	NA	NA
Aamp	Pa2g4	1	undirected	NA	NA
Aamp	Pmfbp1	1	undirected	NA	NA
Aamp	Rbm28	1	undirected	NA	NA
Aamp	Rpl3	1	undirected	NA	NA
Aamp	Rpl3l	1	undirected	NA	NA
Aamp	Rplp0	1	undirected	NA	NA
Aamp	Rrp1	1	undirected	NA	NA
Aamp	Rrp1b	1	undirected	NA	NA
Aamp	Rrs1	1	undirected	NA	NA
Aamp	Rsl1d1	1	undirected	NA	NA
Aamp	Rsl24d1	1	undirected	NA	NA
Aamp	Wdr12	1	undirected	NA	NA
Aamp	Wdr74	1	undirected	NA	NA
Aars	Anapc10	1	undirected	NA	NA
Aars	Cdk4	1	undirected	NA	NA
Aars	Cdk6	1	undirected	NA	NA
Aars	Eef1e1	1	undirected	NA	NA
Aars	Fzr1	1	undirected	NA	NA
Aars	Mocs3	1	undirected	NA	NA
Aars	Rfwd2	1	undirected	NA	NA
Aars	Tbl2	1	undirected	NA	NA
Aars	Ube2a	1	undirected	NA	NA
Aars	Ube2j1	1	undirected	NA	NA
Aars	Ube2o	1	undirected	NA	NA
Aars	Ube2s	1	undirected	NA	NA
Aars	Wdr77	1	undirected	NA	NA
Aasdhppt	Fasn	1	undirected	NA	NA
Abcb6	Nubp1	1	undirected	NA	NA
Abcc1	Apob	1	undirected	NA	NA
Abcc1	Psmc5	1	undirected	NA	NA
Abcc4	Apob	1	undirected	NA	NA
Abce1	Abcf1	1	undirected	NA	NA
Abce1	Abcf2	1	undirected	NA	NA
Abce1	Bop1	1	undirected	NA	NA
Abce1	Brix1	1	undirected	NA	NA
Abce1	Ddx18	1	undirected	NA	NA
Abce1	Ddx21	1	undirected	NA	NA
Abce1	Ddx27	1	undirected	NA	NA
Abce1	E2f4	1	undirected	NA	NA
Abce1	Eif2ak1	1	undirected	NA	NA
Abce1	Eif3a	1	undirected	NA	NA
Abce1	Eif3c	1	undirected	NA	NA
Abce1	Eif3j2	1	undirected	NA	NA
Abce1	Eif5b	1	undirected	NA	NA
Abce1	Eif6	1	undirected	NA	NA
Abce1	Etf1	1	undirected	NA	NA
Abce1	Ftsj1	1	undirected	NA	NA
Abce1	Ftsj3	1	undirected	NA	NA
Abce1	G3bp1	1	undirected	NA	NA
Abce1	G3bp2	1	undirected	NA	NA
Abce1	Gcn1l1	1	undirected	NA	NA
Abce1	Gnl2	1	undirected	NA	NA
Abce1	Gnl3	1	undirected	NA	NA
Abce1	Gnl3l	1	undirected	NA	NA
Abce1	Imp4	1	undirected	NA	NA
Abce1	Kiaa0020	1	undirected	NA	NA
Abce1	Lsg1	1	undirected	NA	NA
Abce1	Mak16	1	undirected	NA	NA
Abce1	Metap2	1	undirected	NA	NA
Abce1	Mrpl15	1	undirected	NA	NA
Abce1	Mrpl2	1	undirected	NA	NA
Abce1	Mrpl3	1	undirected	NA	NA
Abce1	Mrto4	1	undirected	NA	NA
Abce1	Nifk	1	undirected	NA	NA
Abce1	Nip7	1	undirected	NA	NA
Abce1	Nmd3	1	undirected	NA	NA
Abce1	Noa1	1	undirected	NA	NA
Abce1	Noc2l	1	undirected	NA	NA
Abce1	Noc3l	1	undirected	NA	NA
Abce1	Nop2	1	undirected	NA	NA
Abce1	Nsa2	1	undirected	NA	NA
Abce1	Nsun2	1	undirected	NA	NA
Abce1	Nsun5	1	undirected	NA	NA
Abce1	Pa2g4	1	undirected	NA	NA
Abce1	Rpl14	1	undirected	NA	NA
Abce1	Rpl17	1	undirected	NA	NA
Abce1	Rpl19	1	undirected	NA	NA
Abce1	Rpl23a	1	undirected	NA	NA
Abce1	Rpl24	1	undirected	NA	NA
Abce1	Rpl27	1	undirected	NA	NA
Abce1	Rpl27a	1	undirected	NA	NA
Abce1	Rpl3	1	undirected	NA	NA
Abce1	Rpl34	1	undirected	NA	NA
Abce1	Rpl35	1	undirected	NA	NA
Abce1	Rpl37	1	undirected	NA	NA
Abce1	Rpl3l	1	undirected	NA	NA
Abce1	Rpl6	1	undirected	NA	NA
Abce1	Rpl7	1	undirected	NA	NA
Abce1	Rpl8	1	undirected	NA	NA
Abce1	Rplp0	1	undirected	NA	NA
Abce1	Rps8	1	undirected	NA	NA
Abce1	Rrp1	1	undirected	NA	NA
Abce1	Rrp1b	1	undirected	NA	NA
Abce1	Rrp8	1	undirected	NA	NA
Abce1	Rrs1	1	undirected	NA	NA
Abce1	Rsl24d1	1	undirected	NA	NA
Abce1	Tfdp1	1	undirected	NA	NA
Abce1	Usp10	1	undirected	NA	NA
Abce1	Wdr12	1	undirected	NA	NA
Abcf1	Bop1	1	undirected	NA	NA
Abcf1	Eef2	1	undirected	NA	NA
Abcf1	Eif2s1	1	undirected	NA	NA
Abcf1	Eif2s2	1	undirected	NA	NA
Abcf1	Eif2s3x	1	undirected	NA	NA
Abcf1	Eif5b	1	undirected	NA	NA
Abcf1	Eif6	1	undirected	NA	NA
Abcf1	Gcn1l1	1	undirected	NA	NA
Abcf1	Kiaa0020	1	undirected	NA	NA
Abcf1	Larp4b	1	undirected	NA	NA
Abcf1	Nmd3	1	undirected	NA	NA
Abcf1	Noc2l	1	undirected	NA	NA
Abcf1	Nufip2	1	undirected	NA	NA
Abcf1	Ppan	1	undirected	NA	NA
Abcf1	Rbm28	1	undirected	NA	NA
Abcf1	Rpl19	1	undirected	NA	NA
Abcf1	Rpl24	1	undirected	NA	NA
Abcf1	Rpl30	1	undirected	NA	NA
Abcf1	Rpl31	1	undirected	NA	NA
Abcf1	Rpl32	1	undirected	NA	NA
Abcf1	Rpl38	1	undirected	NA	NA
Abcf1	Rpl39	1	undirected	NA	NA
Abcf1	Rpl6	1	undirected	NA	NA
Abcf1	Rpl7a	1	undirected	NA	NA
Abcf1	Rpl8	1	undirected	NA	NA
Abcf1	Rps23	1	undirected	NA	NA
Abcf1	Rps26	1	undirected	NA	NA
Abcf1	Rps28	1	undirected	NA	NA
Abcf1	Rps29	1	undirected	NA	NA
Abcf1	Wdr12	1	undirected	NA	NA
Abcf2	Bop1	1	undirected	NA	NA
Abcf2	Brix1	1	undirected	NA	NA
Abcf2	Ddx18	1	undirected	NA	NA
Abcf2	Ddx21	1	undirected	NA	NA
Abcf2	Dnajc21	1	undirected	NA	NA
Abcf2	Eif2s3x	1	undirected	NA	NA
Abcf2	Eif5b	1	undirected	NA	NA
Abcf2	Eif6	1	undirected	NA	NA
Abcf2	Gcn1l1	1	undirected	NA	NA
Abcf2	Gnl3	1	undirected	NA	NA
Abcf2	Gnl3l	1	undirected	NA	NA
Abcf2	Kiaa0020	1	undirected	NA	NA
Abcf2	Mrto4	1	undirected	NA	NA
Abcf2	Nip7	1	undirected	NA	NA
Abcf2	Nmd3	1	undirected	NA	NA
Abcf2	Noc2l	1	undirected	NA	NA
Abcf2	Nop2	1	undirected	NA	NA
Abcf2	Pa2g4	1	undirected	NA	NA
Abcf2	Ppan	1	undirected	NA	NA
Abcf2	Rbm28	1	undirected	NA	NA
Abcf2	Rpl19	1	undirected	NA	NA
Abcf2	Rpl3	1	undirected	NA	NA
Abcf2	Rpl3l	1	undirected	NA	NA
Abcf2	Rpl6	1	undirected	NA	NA
Abcf2	Rrs1	1	undirected	NA	NA
Abcf2	Wdr12	1	undirected	NA	NA
Abt1	Bop1	1	undirected	NA	NA
Abt1	Ddx49	1	undirected	NA	NA
Abt1	Esf1	1	undirected	NA	NA
Abt1	Heatr1	1	undirected	NA	NA
Abt1	Imp4	1	undirected	NA	NA
Abt1	Krr1	1	undirected	NA	NA
Abt1	Nop14	1	undirected	NA	NA
Abt1	Pno1	1	undirected	NA	NA
Abt1	Pwp2	1	undirected	NA	NA
Abt1	Rbm19	1	undirected	NA	NA
Abt1	Wdr12	1	undirected	NA	NA
Abt1	Wdr3	1	undirected	NA	NA
Acaca	Acly	1	undirected	NA	NA
Acaca	Cad	1	undirected	NA	NA
Acaca	Fasn	1	undirected	NA	NA
Acly	Cct2	1	undirected	NA	NA
Acly	Cct8	1	undirected	NA	NA
Acly	Eef1a1	1	undirected	NA	NA
Acly	Eef1a2	1	undirected	NA	NA
Acly	Fabp5	1	undirected	NA	NA
Acly	Fasn	1	undirected	NA	NA
Acly	Hspa8	1	undirected	NA	NA
Acly	Hspa9	1	undirected	NA	NA
Acly	Nme2	1	undirected	NA	NA
Acly	Pa2g4	1	undirected	NA	NA
Acly	Psmb5	1	undirected	NA	NA
Acly	Psmb7	1	undirected	NA	NA
Acly	Rplp0	1	undirected	NA	NA
Acly	Sdcbp	1	undirected	NA	NA
Acly	Txnrd1	1	undirected	NA	NA
Acly	Uevld	1	undirected	NA	NA
Acly	Vat1	1	undirected	NA	NA
Acsl4	Agpat5	1	undirected	NA	NA
Adam10	Adam17	1	undirected	NA	NA
Adam10	Apob	1	undirected	NA	NA
Adam10	Atp6ap2	1	undirected	NA	NA
Adam10	Hmgcr	1	undirected	NA	NA
Adam10	Hsp90b1	1	undirected	NA	NA
Adam10	Itgb1	1	undirected	NA	NA
Adam10	Ktn1	1	undirected	NA	NA
Adam10	Notch1	1	undirected	NA	NA
Adam10	Notch2	1	undirected	NA	NA
Adam10	Ormdl3	1	undirected	NA	NA
Adam10	Pdia6	1	undirected	NA	NA
Adam10	Slc2a1	1	undirected	NA	NA
Adam17	Atp6ap2	1	undirected	NA	NA
Adam17	Hmgcr	1	undirected	NA	NA
Adam17	Hsp90b1	1	undirected	NA	NA
Adam17	Itga5	1	undirected	NA	NA
Adam17	Itgb1	1	undirected	NA	NA
Adam17	Notch1	1	undirected	NA	NA
Adam17	Notch2	1	undirected	NA	NA
Adss	Impdh2	1	undirected	NA	NA
Aebp2	Asxl1	1	undirected	NA	NA
Aebp2	Bmi1	1	undirected	NA	NA
Aebp2	Ezh2	1	undirected	NA	NA
Aebp2	H2afy	1	undirected	NA	NA
Aebp2	H2afy2	1	undirected	NA	NA
Aebp2	Kdm2b	1	undirected	NA	NA
Aebp2	Mtf2	1	undirected	NA	NA
Aebp2	Ubap2l	1	undirected	NA	NA
Aen	Mrpl2	1	undirected	NA	NA
Aen	Mrto4	1	undirected	NA	NA
Aen	Pcna	1	undirected	NA	NA
Aen	Rpl22	1	undirected	NA	NA
Aen	Rpl23	1	undirected	NA	NA
Aen	Rpl37a	1	undirected	NA	NA
Aen	Rpl7	1	undirected	NA	NA
Aen	Rpl8	1	undirected	NA	NA
Agpat5	Dgkd	1	undirected	NA	NA
Ahsa1	Eef1g	1	undirected	NA	NA
Ahsa1	Hsp90aa1	1	undirected	NA	NA
Ahsa1	Hsp90ab1	1	undirected	NA	NA
Ahsa1	Hsp90b1	1	undirected	NA	NA
Ahsa1	Trap1	1	undirected	NA	NA
Ahsa2	Eef1g	1	undirected	NA	NA
Ahsa2	Hsp90aa1	1	undirected	NA	NA
Ahsa2	Hsp90ab1	1	undirected	NA	NA
Ahsa2	Hsp90b1	1	undirected	NA	NA
Ahsa2	Trap1	1	undirected	NA	NA
Aimp2	Eef1e1	1	undirected	NA	NA
Aimp2	Eef1g	1	undirected	NA	NA
Aimp2	Eprs	1	undirected	NA	NA
Aimp2	Iars	1	undirected	NA	NA
Aimp2	Lars	1	undirected	NA	NA
Aimp2	Qars	1	undirected	NA	NA
Aimp2	Rpl39	1	undirected	NA	NA
Aimp2	Rpl5	1	undirected	NA	NA
Ak4	Ak6	1	undirected	NA	NA
Ak4	Nadk	1	undirected	NA	NA
Ak4	Nme1	1	undirected	NA	NA
Ak4	Nme2	1	undirected	NA	NA
Ak4	Polr1c	1	undirected	NA	NA
Ak4	Rrm1	1	undirected	NA	NA
Ak4	Rrm2	1	undirected	NA	NA
Ak4	Umps	1	undirected	NA	NA
Ak6	Atxn7l3	1	undirected	NA	NA
Ak6	Ell	1	undirected	NA	NA
Ak6	Gtf2e2	1	undirected	NA	NA
Ak6	Krr1	1	undirected	NA	NA
Ak6	Las1l	1	undirected	NA	NA
Ak6	Nabp1	1	undirected	NA	NA
Ak6	Nme1	1	undirected	NA	NA
