nodeName	altName	nodeAttr[nodesPresent, ]
4833403I15Rik	NA	47
A630001G21Rik	NA	71
Aamp	NA	113
Aars	NA	72
Aasdhppt	NA	48
Abcb6	NA	73
Abcc1	NA	12
Abcc4	NA	12
Abce1	NA	127
Abcf1	NA	192
Abcf2	NA	5
Abt1	NA	2
Acaca	NA	48
Acly	NA	48
Acsl4	NA	77
Adam10	NA	75
Adam17	NA	75
Adss	NA	129
Aebp2	NA	13
Aen	NA	1
Agpat5	NA	77
Ahsa1	NA	8
Ahsa2	NA	8
Aimp2	NA	37
Ak4	NA	24
Ak6	NA	18
Alas1	NA	194
Alcam	NA	130
Alkbh8	NA	50
Alpl	NA	131
Alyref	NA	16
Ambra1	NA	8
Amd2	NA	201
Anapc10	NA	72
Ankhd1	NA	21
Ankle2	NA	27
Ankrd17	NA	21
Ankrd52	NA	21
Apob	NA	12
Apopt1	NA	134
Appbp2	NA	134
Arhgap44	NA	149
Arl6	NA	88
Asb6	NA	4
Asf1b	NA	150
Asns	NA	69
Asxl1	NA	13
Atad1	NA	198
Atad3	NA	86
Atg16l2	NA	151
Atp12a	NA	89
Atp1a1	NA	89
Atp1b3	NA	89
Atp5g1	NA	34
Atp6ap1	NA	34
Atp6ap2	NA	34
Atxn2l	NA	14
Atxn7l3	NA	202
Aurkaip1	NA	3
Aven	NA	19
B4galt5	NA	154
Bach2	NA	92
Bag2	NA	47
Baiap2	NA	117
Batf	NA	70
Bcat1	NA	155
Bccip	NA	46
Bcl2l1	NA	19
Bcorl1	NA	15
Blzf1	NA	156
Bmi1	NA	13
Bms1	NA	2
Bop1	NA	5
Brix1	NA	5
Bsg	NA	90
Bst2	NA	149
Btaf1	NA	206
Btbd1	NA	4
Btbd9	NA	4
Btf3	NA	157
Btrc	NA	4
Bysl	NA	31
Bzw1	NA	23
Cacybp	NA	4
Cad	NA	69
Caprin1	NA	148
Carm1	NA	66
Cars	NA	53
Cblb	NA	115
Ccdc115	NA	34
Ccdc97	NA	16
Ccrn4l	NA	14
Cct2	NA	133
Cct3	NA	33
Cct6b	NA	33
Cct7	NA	33
Cct8	NA	47
Cd27	NA	82
Cd274	NA	19
Cd28	NA	44
Cd3eap	NA	10
Cd6	NA	130
Cd69	NA	120
Cd82	NA	154
Cdc123	NA	124
Cdc27	NA	71
Cdca7	NA	42
Cdk4	NA	46
Cdk6	NA	46
Cdr2	NA	126
Chaf1a	NA	180
Chaf1b	NA	180
Chd1	NA	202
Chek1	NA	80
Chka	NA	181
Chtop	NA	78
Ciapin1	NA	73
Cirh1a	NA	2
Cks1b	NA	143
Cks2	NA	143
Clpb	NA	7
Cnnm4	NA	182
Cnot8	NA	14
Col4a3	NA	57
Colgalt1	NA	57
Cox10	NA	101
Cox11	NA	182
Cox15	NA	101
Cox19	NA	183
Crabp1	NA	59
Crabp2	NA	59
Cry1	NA	27
Cry2	NA	27
Csde1	NA	16
Csnk1d	NA	27
Csnk1e	NA	27
Csnk2a1	NA	2
Ctnna1	NA	165
Ctnna2	NA	165
Ctps1	NA	25
Ctu2	NA	60
Cyp20a1	NA	61
Cyp51a1	NA	163
D2Wsu81e	NA	38
Dcaf13	NA	2
Dcaf4	NA	28
Dctd	NA	168
Dctpp1	NA	168
Ddx10	NA	28
Ddx18	NA	28
Ddx20	NA	17
Ddx21	NA	10
Ddx27	NA	28
Ddx3x	NA	51
Ddx49	NA	28
Ddx52	NA	2
Ddx54	NA	28
Ddx56	NA	28
Denr	NA	6
Dgkd	NA	77
Dhcr24	NA	163
Dhdds	NA	98
Dhps	NA	205
Dhx33	NA	2
Dhx37	NA	2
Dimt1	NA	2
Dnaja1	NA	7
Dnajb6	NA	7
Dnajc16	NA	39
Dnajc2	NA	39
Dnajc21	NA	39
Dnajc25	NA	39
Dnajc7	NA	7
Dnmt3a	NA	41
Dnmt3b	NA	41
Dohh	NA	102
Dot1l	NA	36
Dph2	NA	110
Drg1	NA	63
Dst	NA	111
Dusp11	NA	208
Dusp12	NA	5
Dync1li2	NA	159
E2f4	NA	97
Eaf1	NA	22
Ebna1bp2	NA	5
Ecd	NA	137
Eea1	NA	56
Eef1a1	NA	1
Eef1a2	NA	1
Eef1b	NA	53
Eef1e1	NA	53
Eef1g	NA	54
Eef2	NA	7
Eif1a	NA	6
Eif1b	NA	6
Eif2a	NA	6
Eif2ak1	NA	206
Eif2b1	NA	23
Eif2b3	NA	23
Eif2b4	NA	23
Eif2b5	NA	23
Eif2s1	NA	23
Eif2s2	NA	23
Eif2s3x	NA	124
Eif3a	NA	6
Eif3b	NA	125
Eif3c	NA	6
Eif3d	NA	6
Eif3e	NA	6
Eif3f	NA	6
Eif3g	NA	6
Eif3h	NA	6
Eif3i	NA	6
Eif3j2	NA	6
Eif3l	NA	6
Eif4a1	NA	51
Eif4a2	NA	51
Eif4b	NA	65
Eif4e	NA	14
Eif4e2	NA	14
Eif4enif1	NA	14
Eif4g1	NA	14
Eif5a	NA	102
Eif5b	NA	6
Eif6	NA	5
Ell	NA	18
Elovl1	NA	162
Elp2	NA	62
Elp5	NA	62
Enpep	NA	47
Entpd4	NA	24
Entpd6	NA	24
Eomes	NA	146
Eprs	NA	1
Erlin1	NA	160
Esf1	NA	2
Etf1	NA	123
Etnk1	NA	181
Ezh2	NA	13
Faap100	NA	136
Fabp5	NA	86
Fam134b	NA	20
Fam86a	NA	110
Farp2	NA	35
Fasn	NA	48
Fau	NA	49
Fbl	NA	2
Fbll1	NA	2
Fbxl6	NA	15
Fbxo11	NA	4
Fbxo30	NA	4
Fbxw11	NA	4
Fdft1	NA	98
Fdps	NA	98
Fem1aa	NA	4
Fem1b	NA	4
Fem1c	NA	4
Fgf13	NA	42
Fkbp4	NA	8
Fnip1	NA	8
Fosl1	NA	70
Foxk2	NA	46
Fpgs	NA	205
Ftsj1	NA	5
Ftsj3	NA	5
Fundc2	NA	20
Fxr1	NA	100
Fxr2	NA	100
Fyttd1	NA	78
Fzr1	NA	4
G3bp1	NA	148
G3bp2	NA	127
Gabarap	NA	20
Gabarapl2	NA	151
Gar1	NA	2
Gars	NA	29
Gart	NA	26
Gcn1l1	NA	5
Gde1	NA	144
Gemin4	NA	17
Gemin5	NA	17
Gemin6	NA	17
Gfm1	NA	3
Gfpt2	NA	69
Gigyf2	NA	166
Gins1	NA	11
Gins4	NA	11
Glmn	NA	114
Gltscr2	NA	128
