,TCGA-S9-A7J2-01,TCGA-E1-A7YI-01,gsym
ENSG00000242268.2,0.2998,-0.4521,RP11-368I23.2
ENSG00000259041.1,-9.9658,-9.9658,RP11-167B3.1
ENSG00000270112.3,-3.0469,-0.7346,RP11-742D12.2
ENSG00000167578.16,4.8881,5.7632,RAB4B
ENSG00000278814.1,-9.9658,-9.9658,AC104071.1
ENSG00000078237.5,2.3019,4.2266,TIGAR
ENSG00000269416.5,-1.0262,3.0927,LINC01224
ENSG00000263642.1,-9.9658,-9.9658,MIR4802
ENSG00000146083.11,5.3806,5.5104,RNF44
ENSG00000158486.13,-9.9658,-9.9658,DNAH3
ENSG00000273639.4,-9.9658,-9.9658,RP11-597A11.11
ENSG00000198242.13,9.7664,9.9791,RPL23A
ENSG00000231981.3,-9.9658,-9.9658,RPL7L1P12
ENSG00000269475.2,-2.8262,-4.6082,CH17-38B12.4
ENSG00000134108.12,5.8205,5.2653,ARL8B
ENSG00000261030.1,-9.9658,-9.9658,RP11-791M20.1
ENSG00000172137.18,2.8502,-0.8339,CALB2
ENSG00000276644.4,1.1641,0.6699,DACH1
ENSG00000240423.1,-4.2934,-3.6259,LINC00636
ENSG00000271616.1,-9.9658,-9.9658,RP11-578F21.13
ENSG00000234881.1,-9.9658,-9.9658,PIGFP2
ENSG00000236040.1,-9.9658,-9.9658,CHIAP1
ENSG00000231105.1,-4.6082,-4.035,RP5-1071N3.1
ENSG00000094963.13,-0.3383,-1.2828,FMO2
ENSG00000182141.9,3.5009,4.0454,ZNF708
ENSG00000280143.1,1.0363,1.0222,AP000892.6
ENSG00000251334.2,-9.9658,-9.9658,RP11-317G22.2
ENSG00000231112.1,-9.9658,-9.9658,MTHFD2P3
ENSG00000258610.1,4.8535,4.0348,RP11-488C13.7
ENSG00000264981.1,-9.9658,-9.9658,RP11-434D2.10
ENSG00000275265.1,-9.9658,-3.3076,RP11-15J22.8
ENSG00000185105.4,-1.8314,-0.5756,MYADML2
ENSG00000233540.1,-9.9658,-1.4699,DNM3-IT1
ENSG00000102174.8,-2.7274,1.0983,PHEX
ENSG00000166391.14,-9.9658,-9.9658,MOGAT2
ENSG00000232001.1,-2.6349,-9.9658,AC108868.6
ENSG00000270469.1,-4.6082,-4.6082,RP11-411B10.8
ENSG00000225275.4,-9.9658,-9.9658,NUP210P2
ENSG00000234253.1,-9.9658,-9.9658,RPL7P13
ENSG00000070087.13,8.3059,7.8942,PFN2
ENSG00000262950.1,-9.9658,-9.9658,RP11-189E14.5
ENSG00000255420.1,-9.9658,-9.9658,CASC23
ENSG00000280038.1,-1.2142,-1.8314,DNM1P41
ENSG00000153561.12,3.981,4.3965,RMND5A
ENSG00000251538.5,-9.9658,-9.9658,RP11-166A12.1
ENSG00000269148.1,-2.8262,-0.8084,AC092301.3
ENSG00000253438.2,-9.9658,-4.2934,PCAT1
ENSG00000235411.1,-9.9658,-3.0469,AC007041.2
ENSG00000179262.9,6.9392,7.4677,RAD23A
ENSG00000278099.1,-9.9658,-9.9658,U1
