probe_id gsym biotype
ASHG19A3A015745 AC007389.1 lincRNA
ASHG19A3A015746 AC007389.1 lincRNA
ASHG19A3A015747 AC007389.1 lincRNA
ASHG19A3A015748 AC007389.1 lincRNA
ASHG19A3A015749 AC007389.1 lincRNA
ASHG19A3H0000137 AC012531.1 lincRNA
ASHG19A3H0000138 AC012531.1 lincRNA
CUST_137_PI426075208 AC012531.1 lincRNA
CUST_138_PI426075208 AC012531.1 lincRNA
ASHG19A3A026097 AC139713.2 antisense
ASHG19A3A026099 AC139713.2 antisense
ASHG19A3A026100 AC139713.2 antisense
ASHG19A3A026101 AC139713.2 antisense
ASHG19A3A000175 AFDN-DT lincRNA
ASHG19A3A030830 AFDN-DT lincRNA
ASHG19A3A030831 AFDN-DT lincRNA
ASHG19A3A030832 AFDN-DT lincRNA
ASHG19A3A029460 AL022068.1 antisense
ASHG19A3A029461 AL022068.1 antisense
ASHG19A3A029463 AL022068.1 antisense
ASHG19A3A029464 AL022068.1 antisense
ASHG19A3A031855 AL589740.1 lincRNA
ASHG19A3A031856 AL589740.1 lincRNA
ASHG19A3A031858 AL589740.1 lincRNA
ASHG19A3A031860 AL589740.1 lincRNA
ASHG19A3A029391 AL591485.1 bidirectional_promoter_lncRNA
ASHG19A3A030963 AL591485.1 bidirectional_promoter_lncRNA
ASHG19A3A030964 AL591485.1 bidirectional_promoter_lncRNA
ASHG19A3A030965 AL591485.1 bidirectional_promoter_lncRNA
ASHG19A3A000458 AP002026.1 antisense
ASHG19A3A000477 AP002026.1 antisense
ASHG19A3A024515 AP002026.1 antisense
ASHG19A3A025828 AP002026.1 antisense
ASHG19A3A025829 AP002026.1 antisense
ASHG19A3A007756 BDNF-AS antisense
ASHG19A3A007757 BDNF-AS antisense
ASHG19A3A007758 BDNF-AS antisense
ASHG19A3A046227 BDNF-AS antisense
ASHG19A3A046228 BDNF-AS antisense
ASHG19A3A039546 BX890604.2 lincRNA
ASHG19A3A039548 BX890604.2 lincRNA
ASHG19A3A039549 BX890604.2 lincRNA
ASHG19A3A039550 BX890604.2 lincRNA
ASHG19A3A039551 BX890604.2 lincRNA
ASHG19A3A007489 CARMN lincRNA
ASHG19A3A029022 CARMN lincRNA
ASHG19A3A029024 CARMN lincRNA
ASHG19A3A029025 CARMN lincRNA
