"","x","runningScore","position","ymin","ymax","geneList","gene","Description"
"1",1,-8.26787928896238e-05,0,0,0,4.57261268231107,"4312","Proteasome"
"2",2,-0.000165357585779248,0,0,0,4.51459371540294,"8318","Proteasome"
"3",3,-0.000248036378668871,0,0,0,4.41821798112707,"10874","Proteasome"
"4",4,-0.000330715171558495,0,0,0,4.14407518193211,"55143","Proteasome"
"5",5,-0.000413393964448119,0,0,0,3.87625800905113,"55388","Proteasome"
"6",6,-0.000496072757337743,0,0,0,3.67785700608222,"991","Proteasome"
"7",7,-0.000578751550227367,0,0,0,3.50196257182422,"6280","Proteasome"
"8",8,-0.000661430343116991,0,0,0,3.29181180475379,"2305","Proteasome"
"9",9,-0.000744109136006614,0,0,0,3.28622327553642,"9493","Proteasome"
"10",10,-0.000826787928896238,0,0,0,3.21976069787127,"1062","Proteasome"
"11",11,-0.000909466721785862,0,0,0,3.21343469687452,"3868","Proteasome"
"12",12,-0.000992145514675486,0,0,0,3.20837276367322,"4605","Proteasome"
"13",13,-0.00107482430756511,0,0,0,3.19773690427129,"9833","Proteasome"
"14",14,-0.00115750310045473,0,0,0,3.12523889932218,"9133","Proteasome"
"15",15,-0.00124018189334436,0,0,0,3.08683552846105,"6279","Proteasome"
"16",16,-0.00132286068623398,0,0,0,3.06832474317075,"10403","Proteasome"
"17",17,-0.0014055394791236,0,0,0,2.98049240045984,"8685","Proteasome"
"18",18,-0.00148821827201323,0,0,0,2.96722291461667,"597","Proteasome"
"19",19,-0.00157089706490285,0,0,0,2.95109339365107,"7153","Proteasome"
"20",20,-0.00165357585779248,0,0,0,2.94906631520437,"23397","Proteasome"
"21",21,-0.0017362546506821,0,0,0,2.93319655454591,"6278","Proteasome"
"22",22,-0.00181893344357172,0,0,0,2.90489607718438,"79733","Proteasome"
"23",23,-0.00190161223646135,0,0,0,2.87700194081485,"259266","Proteasome"
"24",24,-0.00198429102935097,0,0,0,2.82552513642048,"1381","Proteasome"
"25",25,-0.0020669698222406,0,0,0,2.82428129851976,"3627","Proteasome"
"26",26,-0.00214964861513022,0,0,0,2.7922676355156,"27074","Proteasome"
"27",27,-0.00223232740801984,0,0,0,2.78798248037097,"6241","Proteasome"
"28",28,-0.00231500620090947,0,0,0,2.78423832455259,"55165","Proteasome"
"29",29,-0.00239768499379909,0,0,0,2.76613060129854,"9787","Proteasome"
"30",30,-0.00248036378668871,0,0,0,2.69747346495945,"7368","Proteasome"
"31",31,-0.00256304257957834,0,0,0,2.67972647035974,"11065","Proteasome"
"32",32,-0.00264572137246796,0,0,0,2.6762895491481,"55355","Proteasome"
"33",33,-0.00272840016535759,0,0,0,2.67431001864876,"9582","Proteasome"
"34",34,-0.00281107895824721,0,0,0,2.66888169680278,"220134","Proteasome"
"35",35,-0.00289375775113683,0,0,0,2.63284766251006,"55872","Proteasome"
"36",36,-0.00297643654402646,0,0,0,2.62958382800576,"51203","Proteasome"
"37",37,-0.00305911533691608,0,0,0,2.62682683929664,"3669","Proteasome"
"38",38,-0.00314179412980571,0,0,0,2.59570027852039,"83461","Proteasome"
"39",39,-0.00322447292269533,0,0,0,2.5931269224252,"22974","Proteasome"
"40",40,-0.00330715171558495,0,0,0,2.57645511923366,"10460","Proteasome"
"41",41,-0.00338983050847458,0,0,0,2.55386811529543,"10563","Proteasome"
"42",42,-0.0034725093013642,0,0,0,2.54667075821139,"4751","Proteasome"
"43",43,-0.00355518809425382,0,0,0,2.54315315665556,"6373","Proteasome"
"44",44,-0.00363786688714345,0,0,0,2.52745370307114,"8140","Proteasome"
"45",45,-0.00372054568003307,0,0,0,2.52436734092944,"79019","Proteasome"
"46",46,-0.0038032244729227,0,0,0,2.51458743183147,"820","Proteasome"
"47",47,-0.00388590326581232,0,0,0,2.493021394596,"10635","Proteasome"
"48",48,-0.00396858205870194,0,0,0,2.49256708560016,"1844","Proteasome"
"49",49,-0.00405126085159157,0,0,0,2.49100137654174,"4283","Proteasome"
"50",50,-0.00413393964448119,0,0,0,2.46952002313472,"27299","Proteasome"
"51",51,-0.00421661843737081,0,0,0,2.4689309844272,"55839","Proteasome"
"52",52,-0.00429929723026044,0,0,0,2.46013932538693,"27338","Proteasome"
"53",53,-0.00438197602315006,0,0,0,2.44693353068464,"890","Proteasome"
"54",54,-0.00446465481603969,0,0,0,2.43770328421161,"9415","Proteasome"
"55",55,-0.00454733360892931,0,0,0,2.42216462691667,"983","Proteasome"
"56",56,-0.00463001240181893,0,0,0,2.41874823716783,"54821","Proteasome"
"57",57,-0.00471269119470856,0,0,0,2.41872027138629,"10232","Proteasome"
"58",58,-0.00479536998759818,0,0,0,2.41518776914574,"4085","Proteasome"
"59",59,-0.0048780487804878,0,0,0,2.40778308080024,"6362","Proteasome"
"60",60,-0.00496072757337743,0,0,0,2.37633010514165,"9837","Proteasome"
"61",61,-0.00504340636626705,0,0,0,2.37600161440676,"5080","Proteasome"
"62",62,-0.00512608515915668,0,0,0,2.37336571483027,"7850","Proteasome"
"63",63,-0.0052087639520463,0,0,0,2.37282076305454,"81930","Proteasome"
"64",64,-0.00529144274493592,0,0,0,2.36981856605078,"5918","Proteasome"
"65",65,-0.00537412153782555,0,0,0,2.3625624169791,"81620","Proteasome"
"66",66,-0.00545680033071517,0,0,0,2.35506049138685,"332","Proteasome"
"67",67,-0.0055394791236048,0,0,0,2.35443895996355,"55765","Proteasome"
"68",68,-0.00562215791649442,0,0,0,2.34711414400842,"79605","Proteasome"
"69",69,-0.00570483670938404,0,0,0,2.34008550822467,"3832","Proteasome"
"70",70,-0.00578751550227367,0,0,0,2.33401302222811,"6286","Proteasome"
"71",71,-0.00587019429516329,0,0,0,2.33159347644854,"5163","Proteasome"
"72",72,-0.00595287308805291,0,0,0,2.32813572232542,"2146","Proteasome"
"73",73,-0.00603555188094254,0,0,0,2.31757432136409,"3002","Proteasome"
"74",74,-0.00611823067383216,0,0,0,2.30958990186447,"50852","Proteasome"
"75",75,-0.00620090946672179,0,0,0,2.28817170180098,"7272","Proteasome"
"76",76,-0.00628358825961141,0,0,0,2.28536454045819,"2568","Proteasome"
"77",77,-0.00636626705250103,0,0,0,2.28409005788997,"64151","Proteasome"
"78",78,-0.00644894584539066,0,0,0,2.28257378157491,"51806","Proteasome"
"79",79,-0.00653162463828028,0,0,0,2.28164291672685,"366","Proteasome"
"80",80,-0.00661430343116991,0,0,0,2.27943678261934,"2842","Proteasome"
"81",81,-0.00669698222405953,0,0,0,2.27589510769316,"9212","Proteasome"
"82",82,-0.00677966101694915,0,0,0,2.2676095771495,"140578","Proteasome"
"83",83,-0.00686233980983878,0,0,0,2.25632822477146,"51659","Proteasome"
"84",84,-0.0069450186027284,0,0,0,2.25209188180157,"8715","Proteasome"
