SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
RPL41,40030.68087,40292.92358,40345.05035,40397.74828,40719.05925,40345.05035
ANXA2,31230.28424,35752.88797,37174.09705,36584.55932,37906.75081,36292.68643
TPT1,34509.26064,33224.72702,34509.26064,34528.1094,35306.71637,34509.26064
PLK1 ,33776.06121,33098.99739,34648.96029,34953.16895,34874.99242,35081.78321
RPL23A,34933.64671,34657.4721,33335.98351,33957.86548,33656.04378,33879.19158
RPS2,34138.56202,32664.68803,32056.10591,32664.68803,32664.68803,32664.68803
S100A10,26929.73894,31327.62805,33219.29455,32538.37056,34037.10347,32457.14209
RPS3A,29545.15903,29086.12447,29771.23154,30028.42808,30950.23916,29604.44911
RPS19,29719.01693,28752.04921,29719.01693,30247.22212,29458.52807,30695.04849
UBC,27622.03716,29434.96145,29908.60569,29424.07052,30505.06121,29336.70749
RPL17,32752.39706,28991.09484,28013.56224,28369.51114,28286.92147,29583.65532
EEF1A1,31149.09136,30762.86547,27828.98776,26572.028,28531.17872,27256.51481
RPS18,29412.55136,28252.84689,27878.55208,27658.18365,28034.08906,28252.84689
RPS23,29099.97201,27417.52023,26677.59908,27354.50565,27145.41279,27354.50565
RPL4,30583.26459,28667.99415,25890.58635,26256.09441,25994.08777,26296.68068
RPL13A,26704.30241,26349.08963,27349.34992,27831.11183,27817.17952,27614.68902
RPL7A,31322.91155,27301.67084,25769.95055,26242.99436,25320.98118,25855.40049
TMSB10,29581.63507,30571.03479,24755.44991,25849.06629,25121.75001,25839.10591
RPL13,28545.40531,26025.49589,25533.44821,26414.16125,25549.23335,26414.16125
HUWE1,25606.73659,25467.75006,26316.05515,26410.9619,27764.51775,26376.50942
RPL31,29897.49415,27663.8402,25180.32835,25040.3846,24822.5179,25279.97223
RPS17,26302.63798,25907.9182,26365.91711,26984.4787,25518.94988,26684.98912
RPL32,26683.11811,25676.99922,26242.99436,25002.4437,26274.68821,26242.99436
RPS3A ,25905.59141,24830.87393,25592.56736,25905.59141,26667.03632,25912.17409
RPS10,27837.10526,26838.32369,24206.28284,24567.30235,24361.00568,25723.1125
FTH1,25352.85025,24044.14665,25562.92839,25597.80988,27055.18289,25761.21594
ACTB,21424.39393,24270.6505,27068.31706,26738.556,26954.07762,26663.91689
PPIA,24172.28086,26076.57615,25229.17843,26050.00565,24347.67886,25910.23048
RPL18A ,24907.31706,22865.89805,24907.31706,25499.22976,24907.31706,26313.30313
RPL27A ,23623.48288,23120.9444,24504.16801,25781.77563,25491.72024,25324.32813
LDHA,23670.51937,20905.61024,25575.44122,26218.61861,25577.90561,25172.36782
RPS24,25248.64996,26162.41081,23553.20186,23807.86407,24001.06234,23880.30198
S100A2,15885.3198,18977.64946,27578.0479,27874.61323,28619.92397,27013.93126
KRT6B,97.79883188,38.99004494,36250.75401,35578.27214,37377.18197,36436.83419
HSPB1 ,11760.17237,11366.86774,29598.64764,30802.83087,30132.60591,30873.85313
RPL19,23979.59843,23115.86802,24690.57853,24080.47223,24080.47223,24080.47223
GAPDH,28550.01672,29738.74388,21287.22278,21419.45381,21116.90605,21241.40745
RPL8,24097.72248,21742.00549,24097.72248,24328.91667,24335.49747,24538.33251
RPS15,25395.00497,24300.85834,23701.41762,23688.53907,21764.91689,23825.40679
RPL14,26155.14514,23185.16275,22514.52932,23256.4628,23333.6389,23589.58561
RPS11,25455.87917,24600.3392,23090.89057,22124.58573,22016.19723,23090.89057
RPS20,23782.70803,22016.55059,23585.53025,23338.72512,23536.11562,23179.7945
RPS13,24248.06486,22856.93698,23353.49436,23191.93253,22539.30463,23008.03885
RPS15A,26365.91711,25931.73224,20863.4616,21659.59993,21551.49433,21838.79857
RPLP0,24682.44213,24508.98371,21630.64167,22497.10757,21892.30417,22376.86134
RPSA ,21510.14827,21547.50995,23776.27767,23272.57685,23853.72666,22706.42129
RPL30,21302.75962,20773.29631,24072.25995,23735.31641,23447.41855,23162.57227
RPL12,24937.61145,22675.2651,21578.26118,22109.62705,20947.43082,22665.51848
RPS4X,30997.28556,30572.2349,17991.15007,18146.22629,17474.53232,19455.11371
LGALS3,21114.27266,19513.54225,23459.94874,23605.56487,23004.88601,23621.80578
RPL24 ,23950.94731,22106.11665,21728.99469,21939.83497,22106.11665,21679.40287
RPLP1,22949.42642,22418.62826,22213.45916,21962.13208,21944.6853,21872.53507
RPS12,21206.63922,20549.75411,22758.90935,22645.961,23312.69445,22127.04916
RPS6,23283.16125,21736.53972,21885.84855,20763.28885,21869.74669,21660.44865
ACTG1,18586.13277,19872.42791,23324.69639,22594.29739,23394.9948,23170.95013
RPS27,22633.68886,21438.15222,21073.28149,21767.76787,21446.69434,21565.05052
RPL9,21426.36619,20965.33507,21083.70546,22394.16257,21738.86334,21975.27662
PABPC1,20403.35293,20371.77381,22458.81514,22079.1212,22922.15085,20915.99404
CSTB,9681.23551,10786.45108,27017.90623,26748.76108,28639.54761,26178.51548
CFL1,18283.1438,21124.99072,22571.78343,21499.18269,23279.48875,21654.90571
SFN,5303.971123,8986.758071,28480.3025,27670.41899,30125.30791,27821.01177
KRT17,3999.426207,3688.967432,30263.38924,30010.65545,29713.11544,30505.06121
RPL13A ,21584.139,20394.51106,21386.05003,21725.4112,21456.66136,21386.05003
EIF1,17832.90566,18859.69614,22642.98373,22386.23322,23653.49207,21639.22787
NACA,22044.5559,20588.57238,21047.09824,21191.95333,20702.2614,20998.16207
RPL39,20978.68831,21518.74989,20567.33817,19723.93164,21296.60591,19774.3748
RPS16,21549.48848,21877.71713,19648.92735,20188.12767,20034.60853,20314.62102
RPL7,19760.33855,19153.43903,21068.86866,20736.43193,21445.12565,20709.38173
RPL22,21303.95704,19662.78016,20160.62318,20729.48236,20339.77225,20663.49098
RPL15,21680.6058,19730.06756,20373.01587,20288.44674,19973.52014,20198.6279
RPS28 ,21321.11418,21394.29832,19394.04214,19279.11133,19899.37197,20252.58379
RPL28,21736.36134,20668.7951,20105.02937,19082.1275,19318.9018,20125.46105
RPS14,21092.08879,20707.86152,19156.492,19170.45053,19719.12934,19048.09463
TUBA6,18748.87931,18794.78972,20125.35504,20478.43287,20074.49451,20516.08885
RPS21,21394.29347,21372.8219,18590.16189,19385.01578,17874.59452,19681.3199
RPL29,24161.88718,20829.49543,18099.68714,18146.76805,17116.56923,18973.35772
S100A11,14400.99516,15290.37373,21483.2813,21601.91971,22698.10413,21458.47365
EEF1A1 ,21942.70595,20853.44635,18284.39673,17747.88419,19767.65091,18159.03517
RPL21 ,20011.1606,19179.30273,19109.08786,18947.94674,19322.32809,19352.53308
RPL10,22943.52857,21232.34121,17309.93676,16720.02457,18104.74629,18338.9948
EEF1G ,22791.60189,21707.98462,17058.72798,16823.38987,17169.07206,17580.67429
KRT6A ,813.8285243,959.5124812,27207.23454,27941.07723,27744.95378,27577.67889
UBB,17662.94999,18676.89653,18707.64207,18676.89653,17513.61574,18372.18306
KRT14,5042.904347,4874.241279,25060.00145,24720.00498,24085.8717,25496.30939
B2M,16188.06007,16775.92796,19177.63107,18814.24691,20136.13724,17919.77784
RPL3,20021.06121,19596.37103,16908.13823,17211.57812,17273.96107,17808.18808
HSP90AA1,16620.86272,16068.61574,18158.01704,18578.82883,19716.52302,17627.13547
RPL5,20127.64361,18724.98563,17133.93854,16787.29641,16988.04118,16532.47223
CTSL2,80.34049723,117.2096444,26846.78399,26513.56741,27538.47507,25075.86401
K-ALPHA-1,18830.49028,18736.79632,17315.54641,16975.85509,16417.60867,17167.60869
FTHP1,17453.77955,15809.67345,17719.31814,17719.31814,17963.82337,18301.22985
RPL37,18518.00506,18502.535,16849.22764,16630.31979,17830.66977,16514.11606
GNB2L1,21896.06957,21101.12794,15178.73323,15331.48377,15480.35714,15599.78731
RPL36A ,21545.61129,19311.96683,15375.56983,16197.48341,14634.06862,16743.40755
HSPA8,17846.63911,16663.7902,17323.3089,17208.86123,16800.14208,17208.86123
TACSTD2,1672.773034,1248.761246,25454.21658,25122.08507,25473.46138,23946.42715
FN1,25350.68901,25940.84966,11893.62389,11838.7954,11851.71078,15678.72798
RPL38,16748.1221,16566.3313,16865.73905,16997.36112,17751.85219,17138.01615
RPL34 ,20046.87835,18383.81465,15758.8883,15617.61654,15642.59015,16489.7168
RPL18,18438.60687,16860.99469,16019.27385,16727.30092,16309.02792,16727.30092
S100A6,19095.97223,19492.68056,15828.92455,15731.19447,15112.34238,15017.47614
RPS27A,18393.28354,17238.85902,15838.34991,16503.30391,15702.95443,16286.6639
RPL11,19595.4913,19232.80578,15069.89195,14452.19147,15804.18338,15182.91761
YWHAZ,8717.354149,10524.80567,20155.22787,19623.49003,20006.59346,18986.73803
FAU,16284.62694,15263.04019,16246.50587,16824.71713,16057.8088,17273.53764
RPS29,15812.15772,15931.86979,16182.51683,16265.37126,16567.81844,16858.11786
CALM2,13280.76619,14905.11977,17405.66103,16861.37875,17692.4061,16937.31074
NPM1,18607.59473,15415.02427,15264.11581,15575.70552,15652.79328,15575.70552
BTF3,17322.1537,16342.17242,15587.53153,15586.84523,15474.85018,15126.84367
TMSB4X ,15744.43185,15698.81685,15518.85487,15698.81685,16622.779,15701.61017
RPL24,16827.88375,15832.01672,15511.03132,15511.03132,15742.95162,15434.95229
RPS3 ,17891.46106,16018.24772,15132.28332,14994.65314,14853.22273,15635.48965
CSTA,8740.728914,6996.265654,19798.73299,19742.22724,19917.30578,19035.66402
MT2A,31598.57184,36324.01672,4931.905661,4873.694587,5697.90511,10747.97461
LOC642741,17863.7388,15940.8588,14187.11633,15084.88325,14861.2562,15549.84796
RPL6,16270.53124,16333.44873,15126.43644,15462.09473,15590.00745,14650.24235
RPS7 ,16605.24978,16227.6756,15549.33305,15191.15018,14449.2073,15341.46877
RPL27,17917.82792,17105.91265,14329.06288,14646.91245,14046.63608,14947.79826
RPS5 ,16244.5101,15219.7168,15299.27295,15159.13259,14957.81492,15610.06041
RPS7,16429.29086,15478.6174,14624.49447,15141.08418,14923.70563,14334.38479
TIMP1,27762.97567,31758.71257,7560.252607,7422.433613,7620.226344,8088.906537
SPRR1B,29.06990853,25.53173705,22267.69902,22265.42134,23493.3724,20734.74577
RPS25,17446.10591,15452.73122,14076.66103,14216.42115,14232.82545,13298.44542
FTL,18002.60495,15066.60003,13931.37219,13927.08628,14045.0148,13271.93699
EIF3S3,14310.4868,12071.47234,15483.82539,15653.609,15428.50794,14818.55025
DSTN,14853.55007,15448.86867,14001.2338,14300.26108,13562.39412,15233.49145
CCDC72,13686.98521,14567.47783,14324.47266,14267.8277,15894.45139,14082.57864
UBA52,14099.95289,13828.17653,13816.42815,14355.73918,14034.61698,14142.8724
OAZ1,13446.4605,13399.12045,14480.4433,14460.71031,14098.0185,13714.88785
YBX1,15963.07035,16530.76263,12644.49901,12664.59224,12707.35208,12911.85005
SKP1A,13509.77691,13758.64322,13947.57238,13424.44507,13950.402,13651.22217
RPS9,17300.57324,15965.38306,11417.30762,12232.57421,11711.41341,12485.04018
RPL10A,16181.70442,14592.71358,12150.70024,12578.81435,12442.09556,13030.31696
SPRR1A,35.97638527,41.37705731,19992.99561,19109.6484,20653.71699,20444.27247
RPL35A,14038.23293,12979.0611,13205.74682,13130.94756,13777.89836,13058.09452
HINT1,11876.20574,12363.29342,13933.87652,14509.3758,13444.96127,13759.50493
KRT15,85.95785457,189.5109825,19489.7168,20161.4533,20672.50862,19113.09109
KLK7,33.19379464,35.42104278,20552.2084,20719.68328,19984.06525,18084.61468
