Variable,Count,Percent,Point Estimate,Low,High,P
All patients,2166,100,1.3,0.9,1.5,
Age,,,,,,0.001
   <= 65,1534,71,1.5,1.05,1.9,
   > 65,632,29,0.8,0.6,1.25,
Sex,,,,,,0.001
   Male,1690,78,1.5,1.05,1.9,
   Female,476,22,0.8,0.6,1.3,
Race,,,,,,0.001
   Nonwhite,428,20,1.05,0.6,1.8,
   White,1738,80,1.2,0.6,1.6,
From MI to Randomization,,,,,,0.001
   <=7 days,963,44,1.2,0.8,1.5,
   > 7 days,1203,56,1.15,0.75,1.5,
Infract-related artery,,,,,,0.001
   LAD,781,36,1.4,0.9,1.9,
   Other,1385,64,1.1,0.8,1.4,
Ejection Fraction,,,,,,0.001
   <50%,1151,54,1.2,0.8,1.5,
   >=50%,999,46,0.9,0.6,1.4,
Diabetes,,,,,,0.001
   Yes,446,21,1.4,0.9,2,
   No,1720,79,1.1,0.8,1.5,
Killip class,,,,,,0.001
   I,1740,81,1.2,0.8,1.6,
   II-IV,413,19,0.95,0.6,1.5,
