"","gene1","gene2","p.value","q.value"
"21","CDH1","TP53",9.03622910487335e-19,4.7662018652962e-18
"23","GATA3","TP53",1.18108536592061e-15,4.72808741709922e-15
"22","PIK3CA","TP53",5.26595442106744e-13,1.69320560439268e-12
"13","TP53","MAP3K1",2.36758836634473e-09,1.45458443413379e-08
"20","FOXA1","TP53",3.07942670495044e-07,3.07161868758713e-06
"31","GATA3","MUC4",7.30989206822719e-06,0.00011795087766407
"35","GATA3","PIK3CA",3.33063099807331e-05,0.000480632767368428
"33","GATA3","PCLO",3.68768192433025e-05,0.000529259387415074
"30","GATA3","CSMD3",5.25552913748138e-05,0.000677425023099726
"32","GATA3","CDH1",5.96283946689245e-05,0.000734735051319113
"19","KMT2C","TP53",0.000281495818237639,0.00386676178481348
"15","NCOR1","MAP3K1",0.000340510789517716,0.00420601094275096
"17","TTN","MAP3K1",0.000350717340272288,0.00420601094275096
"16","GATA3","MAP3K1",0.000369586198795902,0.00420601094275096
"24","ARID1A","TP53",0.000376454241700825,0.00420601094275096
"34","GATA3","FLG",0.000395298366237475,0.00420601094275096
"18","MAP2K4","TP53",0.000406449067675373,0.00427287273608733
"6","GATA3","SYNE1",0.000436022271865585,0.00427287273608733
"36","TTN","GATA3",0.000480692897029461,0.00427287273608733
"26","PTEN","MAP2K4",0.000486623300823204,0.00427287273608733
"2","GATA3","SPTA1",0.000496854084866794,0.00427287273608733
"3","GATA3","FAT3",0.000530953693443195,0.00450099860712728
"9","CDH1","DMD",0.000549292684368284,0.00459070478237721
"10","GATA3","DMD",0.00078562462797,0.00650634420390856
"25","FLG","MAP2K4",0.000835531960161355,0.00702449349175817
"1","MAP2K4","SPTA1",0.000934478786330041,0.00702449349175817
"4","TP53","TBX3",0.000959394787119426,0.00702449349175817
"11","TP53","GPR98",0.000959394787119426,0.00702449349175817
"29","PIK3CA","CSMD3",0.00097864467551121,0.00702449349175817
"28","GATA3","NEB",0.000988185107193895,0.00702449349175817
"5","TP53","MUC16",0.000995189358649161,0.00702449349175817
"14","MAP2K4","MAP3K1",0.00116573117123529,0.00814755243710476
"27","GATA3","ZFHX4",0.00124316278883734,0.00913385285415523
"12","MAP3K1","USH2A",0.00146524005103415,0.010866924731579
"7","GATA3","SYNE2",0.00164919029973727,0.012633060686302
"8","MAP3K1","DMD",0.00174788938951003,0.0134899764619222
