,Gene1,Gene2,mutex_q,log_odds
1,BCOR,ASXL1,0.926908305904769,1.14267227846214
2,BCORL1,ASXL1,0.968116234042329,1.50407739677627
3,BCORL1,BCOR,0.99999730881483,4.10038687667806
4,CBFB.MYH11,ASXL1,0.0571990220450325,-3.09742226797974
5,CBFB.MYH11,BCOR,0.136994869448655,0
6,CBFB.MYH11,BCORL1,0.488290633253649,0
7,CEBPA,ASXL1,0.0320962236680855,-3.09742226797974
8,CEBPA,BCOR,0.286010446285422,-0.648550339767516
9,CEBPA,BCORL1,0.420736418569802,0
10,CEBPA,CBFB.MYH11,0.124444165893809,0
11,DNMT3A,ASXL1,0.0674064936427456,-0.355627274906289
12,DNMT3A,BCOR,0.356317205467377,0.125862603915218
13,DNMT3A,BCORL1,0.395427424994372,-0.199892442045807
14,DNMT3A,CBFB.MYH11,0.0225241924544522,-1.2180859418024
15,DNMT3A,CEBPA,0.1029397644645,-0.399822620709083
16,EZH2,ASXL1,0.824966805697368,0.860778021943897
17,EZH2,BCOR,0.260769022138968,0
18,EZH2,BCORL1,0.894749950991089,1.08479173304948
19,EZH2,CBFB.MYH11,0.30994942647747,0
20,EZH2,CEBPA,0.559707642663612,-0.0892564344907621
21,EZH2,DNMT3A,0.119177106104503,-0.792519654373149
22,FLT3,ASXL1,0.366683283191058,0.0596068814629219
23,FLT3,BCOR,0.12255569748186,-1.07563980752462
24,FLT3,BCORL1,0.823603559098412,0.852574917488047
25,FLT3,CBFB.MYH11,0.583871173825104,0.312326481817347
26,FLT3,CEBPA,0.249715797441275,-0.396615492831182
27,FLT3,DNMT3A,0.684033816967366,0.613184189096743
28,FLT3,EZH2,0.599451756378045,0.262364264467491
29,FLT3_ITD,ASXL1,0.0152709385330477,-0.805433261156609
30,FLT3_ITD,BCOR,0.0240996191806493,-0.963607056425287
31,FLT3_ITD,BCORL1,0.192310937825574,-1.04363015425076
32,FLT3_ITD,CBFB.MYH11,0.000856432202496252,-3.09742226797974
33,FLT3_ITD,CEBPA,0.00507564902926303,-1.49100531520892
34,FLT3_ITD,DNMT3A,0.866426714739341,0.84757360835531
35,FLT3_ITD,EZH2,0.0398250191999183,-1.59169346713503
36,FLT3_ITD,FLT3,0.177126483103296,-0.0368777181426582
37,GATA2,ASXL1,0.652017824675844,0.363965377201412
38,GATA2,BCOR,0.808841084375135,0.772502839082443
39,GATA2,BCORL1,0.894749950991089,1.08479173304948
40,GATA2,CBFB.MYH11,0.30994942647747,0
41,GATA2,CEBPA,0.99999730881483,2.51945445724189
42,GATA2,DNMT3A,0.119177106104503,-0.792519654373149
43,GATA2,EZH2,0.777625228677271,0.540149238612495
44,GATA2,FLT3,0.12255569748186,0
45,GATA2,FLT3_ITD,0.00854010003857567,-3.09742226797974
46,IDH1,ASXL1,0.620701414443311,0.443513175745694
47,IDH1,BCOR,0.554441998279651,0.247294011546493
48,IDH1,BCORL1,0.644510909986724,0.129356021214042
49,IDH1,CBFB.MYH11,0.0571990220450325,-3.09742226797974
50,IDH1,CEBPA,0.300082661600789,-0.294753083692333
51,IDH1,DNMT3A,0.943434179091262,1.09142865329668
52,IDH1,EZH2,0.143672276263146,0
53,IDH1,FLT3,0.231908013152498,-0.278632236931863
54,IDH1,FLT3_ITD,0.261483605359476,0.0880590460220734
55,IDH1,GATA2,0.143672276263146,0
56,IDH2,ASXL1,0.659361577489976,0.54715030245962
57,IDH2,BCOR,0.725365743732065,0.627478077052088
58,IDH2,BCORL1,0.711601135267241,0.477471267726398
59,IDH2,CBFB.MYH11,0.0154457778104906,-3.09742226797974
60,IDH2,CEBPA,0.0934060684028049,-0.773542684144708
61,IDH2,DNMT3A,0.725365743732065,0.662800024170654
62,IDH2,EZH2,0.622813561145208,0.374895042023486
63,IDH2,FLT3,0.569608349475545,0.429612640944264
64,IDH2,FLT3_ITD,0.0298866932125649,-0.356171165590546
65,IDH2,GATA2,0.209662266728819,-0.885073539673634
66,IDH2,IDH1,0.00105409426736304,-3.09742226797974
67,JAK2,ASXL1,0.90426483313267,1.10712297833602
68,JAK2,BCOR,0.771815411705906,0.650587566141149
69,JAK2,BCORL1,0.982078516728343,1.82415096501929
70,JAK2,CBFB.MYH11,0.597087313643207,0.0228938198658525
71,JAK2,CEBPA,0.210233652078451,0
72,JAK2,DNMT3A,0.074772583148131,-0.915290231540571
73,JAK2,EZH2,0.922300961188185,1.23474446299269
74,JAK2,FLT3,0.303855980957233,-0.631042970068179
75,JAK2,FLT3_ITD,0.0680566760074722,-0.949486745043524
76,JAK2,GATA2,0.405900970547757,0
77,JAK2,IDH1,0.787296050310638,0.731377584514375
78,JAK2,IDH2,0.556910388996968,0.245287447309056
79,KIT,ASXL1,0.351371730098011,0
80,KIT,BCOR,0.481485946380458,0
81,KIT,BCORL1,0.755632532315512,0
82,KIT,CBFB.MYH11,0.99999730881483,2.71609853428504
83,KIT,CEBPA,0.455247113124952,0
84,KIT,DNMT3A,0.469950788078844,-0.0796674027338713
85,KIT,EZH2,0.988003916014292,2.06567534591569
86,KIT,FLT3,0.316586977205656,0
87,KIT,FLT3_ITD,0.0609681260599032,-3.09742226797974
88,KIT,GATA2,0.633079712978914,0
89,KIT,IDH1,0.351371730098011,0
90,KIT,IDH2,0.212347985542192,0
91,KIT,JAK2,0.598408290031852,0
92,KRAS,ASXL1,0.926908305904769,1.17801554198755
93,KRAS,BCOR,0.848256703284075,0.932039088842294
94,KRAS,BCORL1,0.826431426002424,0.770510717173433
95,KRAS,CBFB.MYH11,0.979497571490921,1.48366852514507
96,KRAS,CEBPA,0.143672276263146,0
97,KRAS,DNMT3A,0.0114179813478462,-1.87510732232312
