,tissue,type2,tpm
1,ACC,tumor,4.1327
2,ACC,tumor,4.9519
3,ACC,tumor,3.0619
4,ACC,tumor,2.7051
5,ACC,tumor,1.9749
6,ACC,tumor,3.1079
7,ACC,tumor,3.8491
8,ACC,tumor,2.9338
9,ACC,tumor,4.8812
10,ACC,tumor,3.3177
11,ACC,tumor,3.5424
12,ACC,tumor,3.5947
13,ACC,tumor,2.3337
14,ACC,tumor,4.1628
15,ACC,tumor,3.5424
16,ACC,tumor,3.0808
17,ACC,tumor,3.9543
18,ACC,tumor,3.1145
19,ACC,tumor,3.8808
20,ACC,tumor,4.0575
21,ACC,tumor,4.3399
22,ACC,tumor,3.162
23,ACC,tumor,5.1563
24,ACC,tumor,3.6312
25,ACC,tumor,2.5487
26,ACC,tumor,3.4765
27,ACC,tumor,3.8837
28,ACC,tumor,3.5669
29,ACC,tumor,3.3938
30,ACC,tumor,2.8582
31,ACC,tumor,3.3633
32,ACC,tumor,2.9655
33,ACC,tumor,4.208
34,ACC,tumor,4.735
35,ACC,tumor,3.9829
36,ACC,tumor,4.2578
37,ACC,tumor,2.6418
38,ACC,tumor,2.5511
39,ACC,tumor,4.7587
40,ACC,tumor,4.0584
41,ACC,tumor,4.1828
42,ACC,tumor,4.5898
43,ACC,tumor,4.8017
44,ACC,tumor,3.5851
45,ACC,tumor,3.0446
46,ACC,tumor,5.1396
47,ACC,tumor,4.0722
48,ACC,tumor,4.6662
49,ACC,tumor,1.6045
50,ACC,tumor,4.5066
51,ACC,tumor,2.2813
52,ACC,tumor,5.1073
53,ACC,tumor,3.2481
54,ACC,tumor,3.3364
55,ACC,tumor,4.0722
56,ACC,tumor,1.8996
57,ACC,tumor,4.001
58,ACC,tumor,2.6114
59,ACC,tumor,4.162
60,ACC,tumor,3.7507
61,ACC,tumor,3.1327
62,ACC,tumor,4.3385
63,ACC,tumor,4.1351
64,ACC,tumor,4.1978
65,ACC,tumor,1.8957
66,ACC,tumor,3.8778
67,ACC,tumor,3.0978
68,ACC,tumor,4.6306
69,ACC,tumor,4.2929
70,ACC,tumor,4.1136
71,ACC,tumor,3.8531
72,ACC,tumor,3.2617
73,ACC,tumor,4.041
74,ACC,tumor,5.5996
75,ACC,tumor,4.7442
76,ACC,tumor,3.2496
77,ACC,tumor,4.5066
78,ACC,normal,3.7614
79,ACC,normal,3.6417
80,ACC,normal,2.5634
81,ACC,normal,3.5947
82,ACC,normal,4.0807
83,ACC,normal,2.1734
84,ACC,normal,3.5645
85,ACC,normal,2.7763
86,ACC,normal,3.0305
87,ACC,normal,2.59
88,ACC,normal,3.9204
89,ACC,normal,3.4971
90,ACC,normal,4.3765
91,ACC,normal,2.6418
92,ACC,normal,3.5324
93,ACC,normal,3.9938
94,ACC,normal,3.6972
95,ACC,normal,2.5876
96,ACC,normal,3.5274
97,ACC,normal,3.6646
98,ACC,normal,3.8866
99,ACC,normal,4.0392
100,ACC,normal,3.5887
101,ACC,normal,3.7846
102,ACC,normal,3.6195
103,ACC,normal,3.186
104,ACC,normal,1.5758
105,ACC,normal,2.8994
106,ACC,normal,3.5899
107,ACC,normal,3.0995
108,ACC,normal,3.1604
109,ACC,normal,3.9079
110,ACC,normal,3.5682
111,ACC,normal,3.6894
112,ACC,normal,3.7625
113,ACC,normal,4.1244
114,ACC,normal,3.6006
115,ACC,normal,3.2572
116,ACC,normal,3.242
117,ACC,normal,3.7378
118,ACC,normal,3.2959
119,ACC,normal,4.0242
120,ACC,normal,3.027
121,ACC,normal,3.8044
122,ACC,normal,4.0696
123,ACC,normal,3.9728
124,ACC,normal,3.1278
125,ACC,normal,3.492
126,ACC,normal,3.8157
127,ACC,normal,4.2427
128,ACC,normal,3.9608
129,ACC,normal,3.755
130,ACC,normal,3.8401
131,ACC,normal,3.8491
132,ACC,normal,2.5213
133,ACC,normal,3.5682
134,ACC,normal,4.0653
135,ACC,normal,2.0638
136,ACC,normal,3.7857
137,ACC,normal,3.3192
138,ACC,normal,3.245
139,ACC,normal,3.8611
140,ACC,normal,3.4984
141,ACC,normal,4.1506
142,ACC,normal,3.5935
143,ACC,normal,3.793
144,ACC,normal,3.716
145,ACC,normal,3.9524
146,ACC,normal,2.5731
147,ACC,normal,3.795
148,ACC,normal,3.402
149,ACC,normal,1.9302
150,ACC,normal,2.9562
151,ACC,normal,3.7345
152,ACC,normal,4.6628
153,ACC,normal,2.1541
154,ACC,normal,-9.9658
155,ACC,normal,3.4197
156,ACC,normal,3.3032
157,ACC,normal,2.9765
158,ACC,normal,3.5947
159,ACC,normal,4.1764
160,ACC,normal,3.7226
161,ACC,normal,3.4183
162,ACC,normal,3.0481
163,ACC,normal,3.4856
164,ACC,normal,3.4277
165,ACC,normal,4.01
166,ACC,normal,3.7094
167,ACC,normal,3.5411
168,ACC,normal,4.3506
169,ACC,normal,3.9337
170,ACC,normal,3.9468
171,ACC,normal,3.9356
172,ACC,normal,3.6646
173,ACC,normal,3.6195
174,ACC,normal,2.2144
175,ACC,normal,3.7656
176,ACC,normal,4.1844
177,ACC,normal,4.0295
178,ACC,normal,3.2602
179,ACC,normal,3.5657
180,ACC,normal,2.7615
181,ACC,normal,3.7182
182,ACC,normal,3.8401
183,ACC,normal,3.0074
184,ACC,normal,0.605
185,ACC,normal,1.6604
186,ACC,normal,3.869
187,ACC,normal,2.1345
188,ACC,normal,3.5098
189,ACC,normal,3.8239
190,ACC,normal,3.1781
191,ACC,normal,3.7039
192,ACC,normal,4.1547
193,ACC,normal,3.8511
194,ACC,normal,3.8147
195,ACC,normal,3.772
196,ACC,normal,3.7248
197,ACC,normal,3.8886
198,ACC,normal,3.5633
199,ACC,normal,3.5669
200,ACC,normal,3.6066
201,ACC,normal,2.8381
202,ACC,normal,2.5924
203,ACC,normal,3.5274
204,ACC,normal,3.6172
205,ACC,normal,3.652
206,BLCA,tumor,5.1651
207,BLCA,tumor,5.865
208,BLCA,tumor,5.6419
209,BLCA,tumor,5.2917
210,BLCA,tumor,5.1132
211,BLCA,tumor,4.4317
212,BLCA,tumor,3.2313
213,BLCA,tumor,5.4006
214,BLCA,tumor,4.717
215,BLCA,tumor,5.6268
216,BLCA,tumor,5.1035
217,BLCA,tumor,4.7523
218,BLCA,tumor,5.2548
219,BLCA,tumor,6.563
220,BLCA,tumor,4.6381
221,BLCA,tumor,3.6184
222,BLCA,tumor,4.1652
223,BLCA,tumor,4.2009
224,BLCA,tumor,4.5717
225,BLCA,tumor,5.48
226,BLCA,tumor,4.079
227,BLCA,tumor,4.8228
228,BLCA,tumor,5.6338
229,BLCA,tumor,6.1757
230,BLCA,tumor,4.8778
231,BLCA,tumor,4.4861
232,BLCA,tumor,5.278
233,BLCA,tumor,5.1958
234,BLCA,tumor,4.4751
235,BLCA,tumor,3.2541
236,BLCA,tumor,4.7693
237,BLCA,tumor,5.5404
238,BLCA,tumor,5.4172
239,BLCA,tumor,5.2806
240,BLCA,tumor,5.2377
241,BLCA,tumor,3.5827
242,BLCA,tumor,5.9702
243,BLCA,tumor,4.7924
244,BLCA,tumor,4.3583
245,BLCA,tumor,4.6399
246,BLCA,tumor,6.0159
247,BLCA,tumor,5.2483
248,BLCA,tumor,2.7336
249,BLCA,tumor,5.6591
250,BLCA,tumor,4.5626
