Annotation_information,Gene_identifier,logFC,adj_pval,zscore
protein autophosphorylation,13869,-0.301868,2.29E-05,-1.069044968
protein autophosphorylation,14254,-0.183248,2.29E-05,-1.069044968
protein autophosphorylation,14255,-0.594008,2.29E-05,-1.069044968
protein autophosphorylation,16001,-0.213881,2.29E-05,-1.069044968
protein autophosphorylation,16337,-0.182849,2.29E-05,-1.069044968
protein autophosphorylation,16542,-0.150017,2.29E-05,-1.069044968
protein autophosphorylation,16589,-0.332171,2.29E-05,-1.069044968
protein autophosphorylation,17096,-0.338056,2.29E-05,-1.069044968
protein autophosphorylation,18750,-0.176666,2.29E-05,-1.069044968
protein autophosphorylation,15467,0.103025,2.29E-05,-1.069044968
protein autophosphorylation,27103,0.51598,2.29E-05,-1.069044968
protein autophosphorylation,53416,0.145487,2.29E-05,-1.069044968
protein autophosphorylation,54635,0.372667,2.29E-05,-1.069044968
protein autophosphorylation,16590,0.348014,2.29E-05,-1.069044968
cell junction assembly,12552,-0.206564,2.29E-05,-3.050851079
cell junction assembly,12561,-0.500161,2.29E-05,-3.050851079
cell junction assembly,12565,-0.255698,2.29E-05,-3.050851079
cell junction assembly,13837,-0.681811,2.29E-05,-3.050851079
cell junction assembly,14260,-0.155192,2.29E-05,-3.050851079
cell junction assembly,15257,-0.119693,2.29E-05,-3.050851079
cell junction assembly,16542,-0.150017,2.29E-05,-3.050851079
cell junction assembly,16774,-0.509532,2.29E-05,-3.050851079
cell junction assembly,226519,-0.24746,2.29E-05,-3.050851079
cell junction assembly,17926,-0.696409,2.29E-05,-3.050851079
cell junction assembly,18750,-0.176666,2.29E-05,-3.050851079
cell junction assembly,23836,-0.255506,2.29E-05,-3.050851079
cell junction assembly,58220,0.826941,2.29E-05,-3.050851079
cell junction organization,12552,-0.206564,2.51E-05,-3.207134903
cell junction organization,12561,-0.500161,2.51E-05,-3.207134903
cell junction organization,12565,-0.255698,2.51E-05,-3.207134903
cell junction organization,13052,-0.200243,2.51E-05,-3.207134903
cell junction organization,13837,-0.681811,2.51E-05,-3.207134903
