0	small GTPase mediated signal transduction	regulation of developmental growth	axon development	axonogenesis	synapse organization	positive regulation of developmental growth	muscle system process	regulation of chemotaxis	peptidyl-tyrosine phosphorylation	peptidyl-tyrosine modification	cell junction assembly	cell junction organization	cell-cell adhesion via plasma-membrane adhesion molecules	adherens junction organization	cell-cell adhesion mediated by cadherin	developmental growth involved in morphogenesis	positive regulation of neuron differentiation	leukocyte migration	leukocyte chemotaxis	response to wounding	cell chemotaxis	regulation of ERK1 and ERK2 cascade	positive regulation of ERK1 and ERK2 cascade	ERK1 and ERK2 cascade	regulation of actin filament-based process	protein autophosphorylation	regulation of phosphatidylinositol 3-kinase signaling	positive regulation of phosphatidylinositol 3-kinase signaling	regulation of MAP kinase activity	camera-type eye morphogenesis
small GTPase mediated signal transduction	1	-0.0559610705596107	0.00711743772241993	0.0194647201946472	-0.0449438202247191	0.0201149425287356	-0.0210803689064559	0.0355555555555556	-0.167364016736402	-0.167364016736402	-0.0921409214092141	-0.102766798418972	-0.0808926080892608	-0.0428134556574924	-0.087719298245614	0.0920502092050209	0.125641025641026	-0.102766798418972	-0.0689655172413793	-0.199750312109863	-0.0808926080892608	-0.102766798418972	-0.0808926080892608	-0.102766798418972	-0.00813008130081301	-0.184453227931489	-0.0130718954248366	0.00338409475465313	-0.0921409214092141	0.0695102685624013
regulation of developmental growth	-0.0559610705596107	1	0.190692395005675	0.208204334365325	0.152871287128713	0.749775784753363	-0.0432073120066473	0.0147397512666974	0.0655307994757536	0.0655307994757536	-0.109028960817717	-0.0432073120066473	-0.0157273918741809	-0.0568181818181818	0.00852878464818763	0.228047182175623	0.0948905109489051	-0.0432073120066473	-0.084304932735426	0.00554455445544554	-0.0969855832241153	0.0340673036975488	0.0655307994757536	0.0340673036975488	-0.109028960817717	0.0340673036975488	-0.0260782347041123	-0.00930232558139535	-0.109028960817717	-0.0418899171943497
axon development	0.00711743772241993	0.190692395005675	1	0.964812712826334	0.208816705336427	0.151238591916558	0.0218446601941748	0.171122994652406	0.132315521628499	0.132315521628499	0.114285714285714	0.0970873786407767	0.290076335877863	0.106995884773663	0.0980091883614089	0.447837150127226	0.37485172004745	-0.0533980582524272	-0.091264667535854	0.0649651972157773	-0.104325699745547	0.0218446601941748	0.0534351145038168	0.0218446601941748	-0.0397515527950311	-0.0533980582524272	-0.0318379160636758	-0.0148809523809524	0.114285714285714	-0.047887323943662
axonogenesis	0.0194647201946472	0.208204334365325	0.964812712826334	1	0.152871287128713	0.165919282511211	0.0340673036975488	0.186089359742054	0.0655307994757536	0.0655307994757536	0.0494037478705281	0.0340673036975488	0.228047182175623	0.03125	0.107675906183369	0.471821756225426	0.321167883211679	-0.0432073120066473	-0.084304932735426	0.0792079207920792	-0.0969855832241153	-0.0432073120066473	-0.0157273918741809	-0.0432073120066473	-0.109028960817717	-0.0432073120066473	-0.0260782347041123	-0.00930232558139535	0.128620102214651	-0.0418899171943497
synapse organization	-0.0449438202247191	0.152871287128713	0.208816705336427	0.152871287128713	1	0.181565539601667	-0.0324508966695132	0.0247855100095329	0.32972972972973	0.32972972972973	0.0622533976326173	0.0469684030742955	0.0783783783783784	0.0412371134020619	0.0145008365867262	-0.00540540540540541	0.0324594257178527	-0.111870196413322	-0.0768874478925428	0.0941558441558442	-0.0891891891891892	0.205807002561913	0.245945945945946	0.205807002561913	-0.0192897851819377	0.126387702818104	0.0772845953002611	0.0970873786407767	0.0622533976326173	-0.129554655870445
positive regulation of developmental growth	0.0201149425287356	0.749775784753363	0.151238591916558	0.165919282511211	0.181565539601667	1	0.0317302925136341	-0.0196191575302943	0.1568	0.1568	-0.0513874614594039	-0.060485870104115	-0.0416	-0.0072202166064982	0.0551523947750363	0.1568	0.198275862068966	-0.060485870104115	-0.134146341463415	-0.0768874478925428	-0.1408	0.123946455131383	0.1568	0.123946455131383	-0.0513874614594039	0.123946455131383	0.0210526315789474	0.0372670807453416	-0.0513874614594039	0.00628535512256443
muscle system process	-0.0210803689064559	-0.0432073120066473	0.0218446601941748	0.0340673036975488	-0.0324508966695132	0.0317302925136341	1	0.142418032786885	0.106628242074928	0.106628242074928	0.00372612948299953	-0.00904159132007233	-0.161383285302594	-0.0349761526232114	-0.0860479409956976	-0.161383285302594	-0.102766798418972	0.159132007233273	0.216162617749132	-0.111870196413322	0.195965417867435	0.0750452079566004	0.106628242074928	0.0750452079566004	0.0903586399627387	-0.00904159132007233	-0.00569151963574274	0.0106382978723404	0.0903586399627387	-0.0208562019758507
regulation of chemotaxis	0.0355555555555556	0.0147397512666974	0.171122994652406	0.186089359742054	0.0247855100095329	-0.0196191575302943	0.142418032786885	1	0.382059800664452	0.382059800664452	0.0596061734965407	0.0471311475409836	-0.0299003322259136	0.00378071833648393	-0.0772200772200772	0.0730897009966777	0.0355555555555556	0.42827868852459	0.517022504327755	0.113441372735939	0.588039867109635	0.332991803278689	0.27906976744186	0.332991803278689	-0.138371474188398	0.237704918032787	0.0319222761970854	0.0482456140350877	0.257583821181479	0.0171730515191546
peptidyl-tyrosine phosphorylation	-0.167364016736402	0.0655307994757536	0.132315521628499	0.0655307994757536	0.32972972972973	0.1568	0.106628242074928	0.382059800664452	1	1	0.12220566318927	0.106628242074928	-0.0524691358024691	0.0898100172711572	-0.082135523613963	-0.148148148148148	0.0920502092050209	0.285302593659942	0.3552	0.245945945945946	0.425925925925926	0.821325648414986	0.808641975308642	0.821325648414986	-0.0625931445603577	0.642651296829971	0.476547842401501	0.513725490196078	0.491803278688525	0.107913669064748
peptidyl-tyrosine modification	-0.167364016736402	0.0655307994757536	0.132315521628499	0.0655307994757536	0.32972972972973	0.1568	0.106628242074928	0.382059800664452	1	1	0.12220566318927	0.106628242074928	-0.0524691358024691	0.0898100172711572	-0.082135523613963	-0.148148148148148	0.0920502092050209	0.285302593659942	0.3552	0.245945945945946	0.425925925925926	0.821325648414986	0.808641975308642	0.821325648414986	-0.0625931445603577	0.642651296829971	0.476547842401501	0.513725490196078	0.491803278688525	0.107913669064748
