"CellType","AffymetrixID","Symbol","Gene.Symbol","ENTREZ_GENE_ID"
"aDC","205569_at","LAMP3","LAMP3",27074
"aDC","207533_at","CCL1","CCL1",6346
"aDC","210029_at","INDO","IDO1",3620
"aDC","218400_at","OAS3","OAS3",4940
"aDC","219424_at","EBI3","EBI3",10148
"B cells","204836_at","GLDC","GLDC",2731
"B cells","205229_s_at","COCH","COCH",1690
"B cells","205316_at","SLC15A2","SLC15A2",6565
"B cells","205544_s_at","CR2","CR2",1380
"B cells","205671_s_at","HLA-DOB","HLA-DOB",3112
"B cells","205861_at","SPIB","SPIB",6689
"B cells","205901_at","PNOC","PNOC",5368
"B cells","206255_at","BLK","BLK",640
"B cells","206398_s_at","CD19","CD19",930
"B cells","206478_at","KIAA0125","KIAA0125",9834
"B cells","206641_at","TNFRSF17","TNFRSF17",608
"B cells","206896_s_at","GNG7","GNG7",2788
"B cells","207445_s_at","CCR9","CCR9",10803
"B cells","207655_s_at","BLNK","BLNK",29760
"B cells","207819_s_at","ABCB4","ABCB4",5244
"B cells","209199_s_at","MEF2C","MEF2C",4208
"B cells","209200_at","MEF2C","MEF2C",4208
"B cells","209374_s_at","IGHM","IGHM",3507
"B cells","209995_s_at","TCL1A","TCL1A",8115
"B cells","210347_s_at","BCL11A","BCL11A",53335
"B cells","210356_x_at","MS4A1","MS4A1",931
"B cells","210432_s_at","SCN3A","SCN3A",6328
"B cells","212715_s_at","MICAL3","MICAL3",57553
"B cells","213674_x_at","IGHG1","IGHD",3495
"B cells","215118_s_at","IGHA1","AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH",3492
"B cells","215217_at","IGKC","IGKC",3514
"B cells","215565_at","DTNB","LOC101929272",101929272
"B cells","215925_s_at","CD72","CD72",971
"B cells","217138_x_at","IGL@","IGLC1",3537
"B cells","217418_x_at","MS4A1","MS4A1",931
"B cells","218948_at","QRSL1","QRSL1",55278
"B cells","218949_s_at","QRSL1","QRSL1",55278
"B cells","219073_s_at","OSBPL10","OSBPL10",114884
"B cells","219497_s_at","BCL11A","BCL11A",53335
"B cells","220377_at","FAM30A","KIAA0125",9834
"B cells","221234_s_at","BACH2","BACH2",60468
"B cells","221239_s_at","FCRL2","FCRL2",79368
"B cells","222285_at","IGHG1","IGHD",3495
"B cells","39318_at","TCL1A","TCL1A",8115
"Blood vessels","204677_at","CDH5","CDH5",1003
"CD8 T cells","200664_s_at","DNAJB1","DNAJB1",3337
"CD8 T cells","200666_s_at","DNAJB1","DNAJB1",3337
"CD8 T cells","201367_s_at","ZFP36L2","ZFP36L2",678
"CD8 T cells","201369_s_at","ZFP36L2","ZFP36L2",678
"CD8 T cells","201557_at","VAMP2","VAMP2",6844
"CD8 T cells","202165_at","PPP1R2","PPP1R2",5504
"CD8 T cells","202495_at","TBCC","TBCC",6903
"CD8 T cells","202595_s_at","LEPROTL1","LEPROTL1",23484
"CD8 T cells","203538_at","CAMLG","CAMLG",819
"CD8 T cells","203543_s_at","KLF9","KLF9",687
"CD8 T cells","203725_at","GADD45A","GADD45A",1647
"CD8 T cells","205758_at","CD8A","CD8A",925
"CD8 T cells","206059_at","ZNF91","ZNF91",7644
"CD8 T cells","206390_x_at","PF4","PF4",5196
"CD8 T cells","206555_s_at","THUMPD1","THUMPD1",55623
"CD8 T cells","207001_x_at","TSC22D3","TSC22D3",1831
"CD8 T cells","207057_at","SLC16A7","SLC16A7",9194
"CD8 T cells","207460_at","GZMM","GZMM",3004
"CD8 T cells","208078_s_at","ZEB1","SIK1",150094
"CD8 T cells","208319_s_at","RBM3","RBM3",5935
"CD8 T cells","209871_s_at","APBA2","APBA2",321
"CD8 T cells","210054_at","C4orf15","HAUS3",79441
"CD8 T cells","210172_at","SF1","SF1",7536
"CD8 T cells","210607_at","FLT3LG","FLT3LG",2323
"CD8 T cells","212574_x_at","C19orf6","TMEM259",91304
"CD8 T cells","212620_at","ZNF609","ZNF609",23060
"CD8 T cells","213649_at","SFRS7","SRSF7",6432
"CD8 T cells","214617_at","PRF1","PRF1",5551
"CD8 T cells","214958_s_at","TMC6","TMC6",11322
"CD8 T cells","216361_s_at","MYST3","KAT6A",7994
"CD8 T cells","217729_s_at","AES","AES",166
"CD8 T cells","218006_s_at","ZNF22","ZNF22",7570
"CD8 T cells","218405_at","ABT1","ABT1",29777
"CD8 T cells","218929_at","CDKN2AIP","CDKN2AIP",55602
"CD8 T cells","219168_s_at","ARHGAP8","PRR5",55615
"CD8 T cells","219541_at","LIME1","LIME1",54923
"CD8 T cells","47069_at","PRR5","PRR5",55615
"CD8 T cells","64432_at","C12orf47","MAPKAPK5-AS1",51275
"Cytotoxic cells","204198_s_at","RUNX3","RUNX3",864
"Cytotoxic cells","204794_at","DUSP2","DUSP2",1844
"Cytotoxic cells","205488_at","GZMA","GZMA",3001
"Cytotoxic cells","205495_s_at","GNLY","GNLY",10578
"Cytotoxic cells","205883_at","ZBTB16","ZBTB16",7704
"Cytotoxic cells","207795_s_at","KLRD1","KLRD1",3824
"Cytotoxic cells","207796_x_at","KLRD1","KLRD1",3824
"Cytotoxic cells","209870_s_at","APBA2","APBA2",321
"Cytotoxic cells","210321_at","GZMH","GZMH",2999
"Cytotoxic cells","210426_x_at","RORA","RORA",6095
"Cytotoxic cells","210606_x_at","KLRD1","KLRD1",3824
"Cytotoxic cells","213915_at","NKG7","NKG7",4818
"Cytotoxic cells","214450_at","CTSW","CTSW",1521
"Cytotoxic cells","214470_at","KLRB1","KLRB1",3820
"Cytotoxic cells","218921_at","SIGIRR","SIGIRR",59307
"Cytotoxic cells","220646_s_at","KLRF1","KLRF1",51348
"Cytotoxic cells","221087_s_at","APOL3","APOL3",80833
"Cytotoxic cells","37145_at","GNLY","GNLY",10578
"Cytotoxic cells","52940_at","SIGIRR","SIGIRR",59307
"DC","205404_at","HSD11B1","HSD11B1",3290
"DC","206407_s_at","CCL13","CCL13",6357
"DC","207277_at","CD209","CD209",30835
"DC","207861_at","CCL22","CCL22",6367
"DC","207900_at","CCL17","CCL17",6361
"DC","212841_s_at","PPFIBP2","PPFIBP2",8495
