gene,immune_cells,cor,p.value
SCOC,aDC,-0.0523440451030189,0.184617233194214
SCOC,B.cells,0.0312766313756692,0.428148571527923
SCOC,CD8.T.cells,0.148150864698523,0.0001611770559707
SCOC,Cytotoxic.cells,-0.142064813312485,0.000298549274960064
SCOC,DC,-0.14820967689457,0.00016020095594823
SCOC,Eosinophils,-0.0543773565959912,0.168116353365973
SCOC,iDC,-0.166847077612525,2.08354769741689e-05
SCOC,Macrophages,0.0381394395618277,0.333873190809417
SCOC,Mast.cells,-0.0809914927549498,0.0399063311213835
SCOC,Neutrophils,-0.131317861692899,0.000836349866245292
SCOC,NK.CD56bright.cells,-0.354842441338102,1.52204301816697e-20
SCOC,NK.CD56dim.cells,-0.178975217257151,4.87706382166567e-06
SCOC,NK.cells,-0.355452151732644,1.29601637145534e-20
SCOC,pDC,-0.150425138420438,0.000127224822075127
SCOC,T.cells,0.00131496252697028,0.973431212269347
SCOC,T.helper.cells,0.400917371424225,2.90505379376211e-26
SCOC,Tcm,0.224653940046987,8.22230317106426e-09
SCOC,Tem,-0.174871842264815,8.06065374038983e-06
SCOC,TFH,-0.0844219645691383,0.0321892734520171
SCOC,Tgd,0.309390632983817,9.42295336275348e-16
SCOC,Th1.cells,0.0214319235413519,0.587207613837201
SCOC,Th17.cells,-0.217462048644674,2.47963925200475e-08
SCOC,Th2.cells,0.357513858418819,7.50592163859658e-21
SCOC,TReg,-0.263103921257185,1.17108516431873e-11
FAM198B,aDC,0.0496213276595843,0.208544945303349
FAM198B,B.cells,0.102451773625604,0.0092754123036463
FAM198B,CD8.T.cells,0.150462701326384,0.000126725133225669
FAM198B,Cytotoxic.cells,-0.0158152166810567,0.688721600440243
FAM198B,DC,0.188202100645553,1.51081159788093e-06
FAM198B,Eosinophils,0.166002007337379,2.29689111804229e-05
FAM198B,iDC,0.258531892189648,2.70792473642112e-11
FAM198B,Macrophages,0.43606063949386,2.84246461031995e-31
FAM198B,Mast.cells,0.357364994714003,7.80889550751741e-21
FAM198B,Neutrophils,0.180472019097905,4.04873883558842e-06
FAM198B,NK.CD56bright.cells,-0.322945419431776,4.25033829185244e-17
FAM198B,NK.CD56dim.cells,-0.148279947349355,0.000159041961386254
FAM198B,NK.cells,0.179796440073254,4.4044175676718e-06
FAM198B,pDC,0.134271170104467,0.000634824228058134
FAM198B,T.cells,0.137387069576502,0.000471736823335875
FAM198B,T.helper.cells,0.28387321567163,2.11284708149543e-13
FAM198B,Tcm,0.227659617857327,5.12609058625009e-09
FAM198B,Tem,0.281400061333757,3.47014293975241e-13
FAM198B,TFH,0.19039419991152,1.133831079769e-06
FAM198B,Tgd,0.462084663290381,2.21912763761013e-35
FAM198B,Th1.cells,0.23439858209082,1.73459830689163e-09
FAM198B,Th17.cells,-0.304823758483073,2.58355977657751e-15
FAM198B,Th2.cells,0.0390310934746703,0.322687259629722
FAM198B,TReg,0.0946219545717926,0.0163073911423524
GRAP2,aDC,0.485070114075771,2.58194702026861e-39
GRAP2,B.cells,0.49975600878807,5.46062549725474e-42
GRAP2,CD8.T.cells,0.322862852091796,4.33341599822837e-17
GRAP2,Cytotoxic.cells,0.515364494299324,5.60174854238499e-45
GRAP2,DC,0.473374754308813,2.82537607949279e-37
GRAP2,Eosinophils,0.194146002547439,6.88374417940884e-07
GRAP2,iDC,0.412529015489357,7.4665496110628e-28
GRAP2,Macrophages,0.400322441639009,3.49096224767433e-26
GRAP2,Mast.cells,0.413983907390622,4.6714878904685e-28
GRAP2,Neutrophils,0.298781948583643,9.54986148622466e-15
GRAP2,NK.CD56bright.cells,-0.0193747889521812,0.623590619016176
GRAP2,NK.CD56dim.cells,0.124317553361741,0.00157246293959822
GRAP2,NK.cells,0.116654804952677,0.00302935061019225
