GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|100336|	ID_0	36	0.00	1.17	0.86	0.86	-1.58	-2.58	1.05	-3.09	-3.41
JGI|COPCI_AMUTBMUT1|10085|	ID_1	2	0.00	-0.26	-0.88	-0.56	-0.26	-0.02	-0.88	2.52	0.06
JGI|COPCI_AMUTBMUT1|102355|	ID_2	11	0.00	-0.48	-1.40	-1.07	-3.29	-2.67	0.22	0.38	3.92
JGI|COPCI_AMUTBMUT1|104036|	ID_3	20	0.00	-0.03	-0.53	-0.62	-2.24	-1.40	-1.27	-0.34	-1.51
JGI|COPCI_AMUTBMUT1|104072|	ID_4	29	0.00	-0.84	-0.41	-0.40	1.24	-0.09	-0.46	-2.57	-2.15
JGI|COPCI_AMUTBMUT1|104367|	ID_5	26	0.00	0.30	0.66	0.40	0.28	0.10	1.21	2.59	1.05
JGI|COPCI_AMUTBMUT1|104532|	ID_6	6	0.00	-0.42	-0.08	-0.06	-1.83	0.85	-1.73	-0.72	0.04
JGI|COPCI_AMUTBMUT1|104742|	ID_7	41	0.00	2.39	-0.55	-0.19	2.29	2.39	-0.44	3.23	1.67
JGI|COPCI_AMUTBMUT1|104827|	ID_8	29	0.00	-0.15	0.50	0.51	0.81	1.74	1.20	-0.47	-0.27
JGI|COPCI_AMUTBMUT1|105298|	ID_9	14	0.00	-0.15	0.46	0.81	2.43	2.05	1.15	1.64	0.08
JGI|COPCI_AMUTBMUT1|105528|	ID_10	39	0.00	1.22	1.35	1.07	2.21	3.15	2.01	4.22	3.51
JGI|COPCI_AMUTBMUT1|105825|	ID_11	37	0.00	-0.34	-0.31	-0.59	0.06	1.54	1.37	0.78	-0.95
JGI|COPCI_AMUTBMUT1|107221|	ID_12	24	0.00	-0.21	0.32	-0.00	0.09	-1.25	-0.65	2.76	1.14
JGI|COPCI_AMUTBMUT1|107495|	ID_13	24	0.00	2.23	1.42	1.80	-0.32	3.37	-1.54	1.85	4.48
JGI|COPCI_AMUTBMUT1|107502|	ID_14	38	0.00	1.50	1.62	1.49	0.01	2.45	-0.23	1.16	0.52
JGI|COPCI_AMUTBMUT1|10880|	ID_17	29	0.00	-0.39	2.01	1.53	3.28	3.96	4.17	-0.43	-1.01
JGI|COPCI_AMUTBMUT1|110032|	ID_18	39	0.00	-0.28	-0.48	-0.26	-0.52	2.96	0.83	3.49	5.00
JGI|COPCI_AMUTBMUT1|110072|	ID_19	43	0.00	2.92	-0.27	-1.43	-1.81	-0.66	-1.89	0.23	2.52
JGI|COPCI_AMUTBMUT1|110284|	ID_20	47	0.00	3.46	5.39	5.17	2.12	2.90	0.99	0.15	1.87
JGI|COPCI_AMUTBMUT1|110605|	ID_21	11	0.00	-1.32	-2.14	-1.27	-3.61	-1.19	-0.19	-2.09	0.17
JGI|COPCI_AMUTBMUT1|111284|	ID_22	8	0.00	-0.08	0.50	0.15	0.65	1.25	1.87	-1.81	-1.59
JGI|COPCI_AMUTBMUT1|111349|	ID_23	41	0.00	1.96	1.03	0.55	2.37	2.89	0.11	0.12	0.66
JGI|COPCI_AMUTBMUT1|111662|	ID_24	10	0.00	-1.55	-3.70	-2.29	-6.35	-6.24	-6.94	-6.82	-7.41
JGI|COPCI_AMUTBMUT1|111837|	ID_25	47	0.00	0.75	3.31	1.61	-0.68	-0.65	-0.72	0.56	-0.95
JGI|COPCI_AMUTBMUT1|113190|	ID_26	22	0.00	-0.03	0.01	-0.28	-0.02	-0.59	-0.95	1.19	-0.52
JGI|COPCI_AMUTBMUT1|113984|	ID_27	21	0.00	1.50	0.40	0.55	-2.09	-0.77	-1.81	-0.15	1.36
JGI|COPCI_AMUTBMUT1|114194|	ID_28	24	0.00	0.09	-1.23	-0.44	-1.55	-1.72	-3.08	1.71	1.10
JGI|COPCI_AMUTBMUT1|114948|	ID_29	32	0.00	-0.52	-1.19	-0.91	-0.62	-0.63	2.94	-1.38	-0.17
JGI|COPCI_AMUTBMUT1|115401|	ID_30	48	0.00	1.62	2.01	1.83	4.06	3.98	2.44	2.23	3.16
JGI|COPCI_AMUTBMUT1|11580|	ID_31	14	0.00	1.03	1.09	0.50	1.64	1.98	0.55	2.20	0.51
JGI|COPCI_AMUTBMUT1|116409|	ID_32	35	0.00	2.00	2.03	1.75	2.82	4.43	4.26	1.50	3.34
JGI|COPCI_AMUTBMUT1|116639|	ID_33	28	0.00	-0.44	-0.45	-0.26	1.01	-1.01	-1.79	-1.22	0.37
JGI|COPCI_AMUTBMUT1|11671|	ID_34	24	0.00	0.59	0.93	1.01	2.91	0.97	-0.04	5.09	3.32
JGI|COPCI_AMUTBMUT1|116727|	ID_35	46	0.00	0.52	1.11	0.81	1.75	-0.16	0.37	0.83	-1.07
JGI|COPCI_AMUTBMUT1|116926|	ID_36	3	0.00	-0.92	-1.63	-1.42	-1.32	-1.59	-2.71	-0.76	-1.93
JGI|COPCI_AMUTBMUT1|117415|	ID_37	12	0.00	0.59	1.83	1.81	3.92	0.48	2.87	1.74	-1.98
JGI|COPCI_AMUTBMUT1|118376|	ID_38	29	0.00	0.54	0.98	1.02	0.61	0.99	0.81	-0.21	-1.31
JGI|COPCI_AMUTBMUT1|118807|	ID_39	22	0.00	-0.96	-1.51	-1.01	-1.62	-2.37	-2.52	-0.79	-2.22
JGI|COPCI_AMUTBMUT1|118945|	ID_40	14	0.00	0.18	-0.40	-0.38	0.96	1.23	0.14	1.82	0.39
JGI|COPCI_AMUTBMUT1|119922|	ID_41	39	0.00	2.57	1.73	1.86	4.45	4.89	4.06	3.33	4.96
JGI|COPCI_AMUTBMUT1|120101|	ID_42	33	0.00	0.34	-1.05	-0.48	0.11	0.97	-0.76	-0.49	-0.19
JGI|COPCI_AMUTBMUT1|120497|	ID_43	10	0.00	-0.38	-0.37	-0.12	-0.63	-0.65	0.49	-1.10	-3.51
JGI|COPCI_AMUTBMUT1|120659|	ID_44	35	0.00	0.47	0.24	0.17	-0.63	0.81	0.76	-1.70	0.18
JGI|COPCI_AMUTBMUT1|120762|	ID_45	23	0.00	-0.05	-0.62	-0.28	-0.78	-0.53	-2.22	-0.24	-2.73
