Protein	lme	hclust	IHS
AAMP	AAMP	0.0312559314299418	0.961653296713388	0.173370613142629
AATF	AATF	0.0439283081308555	0.961838938450818	0.205552808933672
ABCA1	ABCA1	0.111246202944346	0.96178104712908	0.327100121609497
ABCA12	ABCA12	0.0748660401328358	0.961899120878334	0.268353457565608
ABCA3	ABCA3	0.0231713890282507	0.96170845563187	0.149278668125102
ABCA7	ABCA7	0.0128553673040145	0.961843820062971	0.111197372253151
ABCA8	ABCA8	0.015860214620787	0.961897124173453	0.123514755525438
ABCB1	ABCB1	0.0426179760642224	0.962009088489422	0.202481802409023
ABCB11	ABCB11	0.0436903206844529	0.961696387858992	0.204980056558289
ABCB4	ABCB4	0.0217253915104413	0.961729178603753	0.144547372622894
ABCB5	ABCB5	0.033667180923871	0.96186856220919	0.179953891063462
ABCB6	ABCB6	0.0735845555993759	0.962290665611749	0.266100978928053
ABCC1	ABCC1	0.0257388033465269	0.961870657675336	0.157344843266947
ABCC10	ABCC10	0.0408428152448089	0.961936817257035	0.198212531653295
ABCC11	ABCC11	0.0178422986647077	0.961904189953	0.1310060374333
ABCC2	ABCC2	0.0878329645507288	0.961893391525159	0.29066466616947
ABCC3	ABCC3	0.0294016721101597	0.961937492311101	0.168174227334037
ABCC4	ABCC4	0.0126442063554846	0.961753599909806	0.110275160305437
ABCC5	ABCC5	0.0452211347903563	0.961471184299312	0.208515750057982
ABCC6	ABCC6	0.0808966193882648	0.961828217468488	0.278942021261483
ABCC8	ABCC8	0.0457863613899084	0.962041842133697	0.209877096073265
ABCC9	ABCC9	0.0351895386962577	0.961691073642719	0.183960499156194
ABCG1	ABCG1	0.118249940013052	0.962133889815754	0.337301459758533
ABCG2	ABCG2	0.0288530058578114	0.961704091532143	0.166577470825013
ABCG4	ABCG4	0.0883713213829392	0.961974277570319	0.291566352731737
ABCG5	ABCG5	0.0240075453215774	0.961941895324765	0.151966653081304
ABCG8	ABCG8	0.0317484347725918	0.961962879902556	0.174759308038916
