gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	B Activated	CD14 Mono	CD16 Mono	CD4 Memory T	CD4 Naive T	CD8 T	DC	Eryth	Mk	NK	T activated	pDC
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.0	0.0	0.024	0.0	0.001	0.0	0.002	0.013	0.0	0.009	0.0	0.006	0.036
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.0	0.0	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.0	0.0	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0	0.0	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.008	0.005	0.015	0.011	0.002	0.003	0.0	0.023	0.0	0.008	0.003	0.006	0.023
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.008	0.005	0.015	0.011	0.002	0.003	0.0	0.023	0.0	0.008	0.003	0.006	0.023
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.008	0.005	0.015	0.011	0.002	0.003	0.0	0.023	0.0	0.008	0.003	0.006	0.023
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.01	0.0	0.027	0.013	0.012	0.013	0.01	0.023	0.0	0.033	0.007	0.014	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.004	0.0	0.012	0.007	0.006	0.003	0.005	0.015	0.0	0.0	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.002	0.0	0.001	0.003	0.006	0.001	0.0	0.006	0.0	0.0	0.004	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.01	0.0	0.027	0.013	0.012	0.013	0.01	0.023	0.0	0.033	0.007	0.014	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.004	0.0	0.0	0.0	0.005	0.001	0.005	0.0	0.0	0.0	0.011	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.004	0.0	0.012	0.007	0.006	0.003	0.005	0.015	0.0	0.0	0.0	0.003	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.0	0.0	0.011	0.007	0.001	0.003	0.005	0.002	0.0	0.0	0.0	0.003	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.004	0.0	0.0	0.0	0.005	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.002	0.0	0.001	0.003	0.006	0.001	0.0	0.006	0.0	0.0	0.004	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.0	0.0	0.001	0.003	0.001	0.001	0.0	0.002	0.0	0.0	0.004	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.0	0.0	0.001	0.003	0.001	0.001	0.0	0.002	0.0	0.0	0.004	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.002	0.0	0.0	0.0	0.005	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.0	0.0	0.011	0.007	0.001	0.003	0.005	0.002	0.0	0.0	0.0	0.003	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.0	0.0	0.001	0.003	0.001	0.001	0.0	0.002	0.0	0.0	0.004	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.0	0.0	0.001	0.003	0.001	0.001	0.0	0.002	0.0	0.0	0.004	0.0	0.0
BCR	P11274	True	BCR_HUMAN	BCR_CD45_CD22	CPI-CS037C1C02B	0.005	0.0	0.002	0.001	0.0	0.001	0.003	0.0	0.0	0.006	0.0	0.0	0.0
PTPRC	P08575	True	PTPRC_HUMAN	BCR_CD45_CD22	CPI-CS037C1C02B	0.005	0.0	0.002	0.001	0.0	0.001	0.003	0.0	0.0	0.006	0.0	0.0	0.0
CD22	P20273	True	CD22_HUMAN	BCR_CD45_CD22	CPI-CS037C1C02B	0.005	0.0	0.002	0.001	0.0	0.001	0.003	0.0	0.0	0.006	0.0	0.0	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.004	0.0	0.0	0.0	0.005	0.001	0.005	0.0	0.0	0.0	0.011	0.0	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.004	0.0	0.0	0.0	0.005	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.002	0.0	0.0	0.0	0.005	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0
CD8A	P01732	True	CD8A_HUMAN	CD8_receptor	CPI-CS0DBD5CD16	0.011	0.006	0.013	0.015	0.058	0.177	0.905	0.034	0.115	0.223	0.024	0.073	0.0
CD8B	P10966	True	CD8B_HUMAN	CD8_receptor	CPI-CS0DBD5CD16	0.011	0.006	0.013	0.015	0.058	0.177	0.905	0.034	0.115	0.223	0.024	0.073	0.0
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.007	0.0	0.005	0.001	0.006	0.002	0.096	0.0	0.0	0.0	0.955	0.006	0.0
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2C	CPI-CS05AB368CE	0.0	0.0	0.0	0.0	0.001	0.0	0.045	0.003	0.0	0.0	0.15	0.0	0.0
